#Data for Yuehu Lake (汉阳月湖) from 2019/10/01 to 2020/04/02. [generated on 2020-04-02 00:23]
#Station is located at latitude 30.5571378257044, longitude 114.251523174281
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Wuhan Environmental Protection Bureau (武汉市环保局)  http://www.whepb.gov.cn/
#Attribution: Hubei Environmental Protection Agency (湖北省环境保护厅)  http://www.hbepb.gov.cn/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,o3,o3_min,o3_max,no2,no2_min,no2_max,so2,so2_min,so2_max,co,co_min,co_max
2020-04-02,36,36,36,37,37,37,54,54,54,14,14,14,7,7,7,0.8,0.8,0.8
2020-04-01,19.3,8,30,32.3,14,47,44.8,10,96,26,12,45,6.6,6,7,0.7,0.6,0.9
2020-03-31,20.9,12,26,29.5,18,44,38.8,23,54,21.5,11,40,6.7,6,8,0.7,0.6,0.8
2020-03-30,12,6,16,19,4,38,54.8,40,69,14.6,9,30,6.3,6,8,0.6,0.5,1.3
2020-03-29,12.3,8,21,14.4,8,26,56.2,44,65,14.9,10,22,6.7,6,7,0.7,0.4,1.2
2020-03-28,6,1,21,13.8,2,30,58.5,49,86,14.8,10,25,7.2,6,12,0.7,0.5,1.3
2020-03-27,3.2,1,7,15,3,29,47.6,30,61,12.5,10,18,6.1,6,7,0.5,0.5,0.8
2020-03-26,20.8,5,37,35.9,17,54,42,8,81,23.5,11,39,6.9,6,8,1,0.6,1.4
2020-03-25,26,9,47,45.5,18,68,37.4,22,64,24.4,13,39,7.4,6,10,1,0.8,1.2
2020-03-24,30.7,19,44,57.9,50,73,67.3,49,86,24.6,17,37,9.6,8,12,1,0.8,1.3
2020-03-23,35.5,27,50,75.7,62,88,92.3,46,155,24.3,15,38,8.8,7,14,1,0.7,1.6
2020-03-22,51.1,34,82,89,46,146,69.5,35,121,18.5,14,24,7.3,6,8,1.1,0.8,1.3
2020-03-21,42.5,31,59,63.6,50,79,56.6,29,88,34.4,21,41,10.1,8,14,1.3,0.9,1.8
2020-03-20,29.4,22,38,96.8,31,168,87.1,45,137,26.6,13,39,11,8,16,0.9,0.7,1
2020-03-19,27.6,17,34,62.2,41,108,76.2,27,137,29.2,14,52,7.7,6,10,0.8,0.7,0.9
2020-03-18,41.2,11,78,74.4,30,115,75.5,26,117,21.6,10,42,8.1,7,13,0.8,0.6,1
2020-03-17,42,25,56,78.6,56,96,66.3,9,119,30.1,12,57,9.3,7,14,0.9,0.7,1.2
2020-03-16,40.2,30,51,85.6,76,94,60.9,19,94,34.1,21,66,9.3,6,12,0.9,0.7,1.2
2020-03-15,22.5,17,28,84.4,78,91,64.1,16,107,27.5,12,53,7.1,6,9,0.6,0.5,0.7
2020-03-14,37.6,19,56,83.6,68,102,61,29,99,16,13,21,6.6,6,8,0.8,0.6,1
2020-03-13,43.2,28,58,79.6,60,122,45.7,6,99,29.8,15,66,6.8,6,8,1.2,0.8,1.3
2020-03-12,39.3,27,47,64.7,56,74,56.9,18,80,32.8,21,59,10.2,8,18,1.5,1.3,2.3
2020-03-11,29.1,20,49,70.2,54,89,65.8,4,109,30,12,71,9.1,6,17,1.1,0.9,1.7
2020-03-10,22.8,14,34,53.2,35,97,72.4,47,103,10.1,4,37,6.3,5,9,1,0.8,1.1
2020-03-09,31.2,16,58,50.9,30,73,73.8,36,107,6.5,5,12,6,5,6,1.1,0.9,1.3
2020-03-08,19.7,14,27,32.5,24,40,55.8,15,84,11.3,7,18,6.5,6,8,1.2,1,1.7
2020-03-07,25,15,44,44,32,63,62.9,29,122,12.2,6,17,7.6,5,14,1.2,0.9,2.2
2020-03-06,33.8,27,41,51.8,41,60,66.1,48,88,10.3,8,14,6.9,6,12,1,0.9,1.1
2020-03-05,40,24,55,60.5,48,70,81.8,41,124,13.5,8,27,7.3,6,12,0.9,0.7,1
2020-03-04,23.9,16,30,41.1,28,63,66.9,26,116,15,8,21,7.6,5,14,1.1,0.8,1.6
2020-03-03,17.8,14,22,27.5,24,33,52.6,40,63,11.1,10,17,5,5,5,0.8,0.8,0.8
2020-03-02,21.3,16,32,38.8,30,53,63.6,49,70,10.1,8,18,5.3,5,7,0.9,0.8,1.4
2020-03-01,22.5,15,29,36,18,57,60.9,27,86,10.9,7,22,5,5,5,0.9,0.8,1
2020-02-29,8.6,5,15,14.8,8,29,56.5,26,93,13,9,18,5,5,5,1.4,0.9,1.5
2020-02-28,5.7,2,21,14.3,3,49,33,26,39,11.8,9,17,5,5,5,1.4,1.4,1.5
2020-02-27,25,12,42,47.9,26,79,52,35,66,10.6,7,17,5.1,5,6,1.4,1.3,1.7
2020-02-26,34.5,9,64,67.5,29,144,49.8,37,70,12,7,14,5,5,6,1.8,1.3,2
2020-02-25,64,43,87,89,56,122,65.4,12,119,16.8,9,36,6.2,5,7,1.6,1.5,1.8
2020-02-24,37.5,30,49,62,41,98,78.4,44,113,15.6,7,41,9,7,16,1.6,1.3,1.9
2020-02-23,27.7,19,38,69,50,81,72.3,39,105,21,8,46,12.9,6,54,1.4,1.2,1.7
2020-02-22,36.2,28,52,57.6,45,79,60.5,15,127,17.2,12,25,7.8,5,17,1.5,1.3,2.3
2020-02-21,46.3,19,86,53,34,72,61.3,41,92,17.3,11,33,6.7,5,8,1.3,1.2,1.4
2020-02-20,36.6,11,72,52.3,28,77,47,5,110,31.1,10,58,8.3,6,14,1.5,1.2,2.1
2020-02-19,27.9,23,33,34.8,24,42,68.8,38,86,17,12,32,11.1,6,17,1.3,1.1,1.5
2020-02-18,20.4,10,40,25.4,16,32,59.4,7,104,18,8,40,8.2,5,17,1.1,1,1.3
2020-02-17,14.3,1,27,25.6,14,37,57.1,29,90,14.1,6,22,5.8,5,8,1,0.9,1.1
2020-02-16,5.5,1,16,23.3,18,32,56,39,82,9.6,6,15,5.6,5,7,0.9,0.9,1
2020-02-15,10.6,1,53,26.9,4,85,50.3,41,56,7.5,5,13,5.2,5,6,1.2,0.9,2
2020-02-14,20,12,37,36,20,71,30.3,13,51,17.7,8,30,6.7,6,9,1.5,1.2,2.1
2020-02-13,18.9,13,32,31.3,23,44,28.5,6,64,23.4,12,32,7.8,6,11,1.6,1.3,1.9
2020-02-12,20.6,13,31,33.4,21,43,28,6,57,20.1,9,29,6.7,6,10,1.3,1.1,1.4
2020-02-11,23,12,40,32.5,15,58,43.5,26,60,12.9,9,22,5.9,5,6,1.2,1,1.8
2020-02-10,34.3,28,44,43.1,38,57,39,6,65,25.3,12,45,6.3,5,9,1.2,1.1,1.7
2020-02-09,27.5,21,32,37,26,49,48.6,19,86,16.2,9,27,5.7,5,7,1,0.9,1.2
2020-02-08,18.9,15,24,27,22,31,43.3,33,57,12.4,9,20,5.5,5,7,0.9,0.8,1.3
2020-02-07,12.4,6,23,20.1,10,28,44.9,40,48,8.7,8,10,5,5,5,0.8,0.8,0.8
2020-02-06,31.8,5,97,56.1,8,135,50.6,46,56,11.1,8,17,5.3,5,6,1,0.9,1.3
2020-02-05,75.2,39,113,101,65,172,57.9,5,117,27.3,13,64,7.9,5,18,1.3,1,2.4
2020-02-04,52,36,70,77.3,60,97,53.3,12,112,32.2,14,52,8.5,5,21,1.1,0.9,1.4
2020-02-03,63.2,42,101,81.4,55,112,64.1,30,114,21.3,15,38,7.8,5,17,1.2,0.9,2
2020-02-02,57.2,43,67,74,51,86,42.5,8,83,35.3,16,63,7.6,6,10,1.1,0.8,1.3
2020-02-01,58,49,71,74,60,90,62.7,34,102,29.3,20,43,10.2,7,13,1.3,1.1,1.5
2020-01-31,62.7,41,99,78.4,53,114,58.8,5,119,31.4,13,60,9.2,5,18,1.1,0.9,1.7
2020-01-30,46,35,65,58.8,46,74,53.4,17,107,22.1,11,40,6.8,5,10,0.9,0.8,1.1
2020-01-29,43.8,38,55,58.7,51,65,53.3,14,90,18.4,10,34,6.8,5,10,0.8,0.8,0.9
2020-01-28,47.7,32,62,62.9,46,78,60.1,36,84,13.3,8,24,5.9,5,6,0.8,0.6,1
2020-01-27,38.3,15,60,49.1,28,74,63.7,59,74,9.5,8,14,6,6,6,0.9,0.8,1.1
2020-01-26,20.5,6,46,32.6,15,57,59.1,44,78,9.3,8,10,5.7,5,6,0.6,0.5,0.9
2020-01-25,34.2,7,76,51.9,15,116,50.3,47,61,12.2,10,15,5.4,5,6,0.9,0.4,1.5
2020-01-24,20.3,8,51,41.3,24,82,51.5,26,70,12.8,10,19,5.3,5,6,0.6,0.5,1
2020-01-23,72.9,56,96,94,84,111,37.7,24,52,22.1,18,33,5.9,5,6,1.3,1.1,1.6
2020-01-22,61,44,75,90.5,63,114,38.5,10,55,33.3,20,52,6.1,6,7,1.2,0.9,1.6
2020-01-21,74.6,60,84,104.2,94,114,30.3,13,55,54.6,36,70,7.1,6,10,1.4,1.1,1.5
2020-01-20,71.2,57,91,114.7,82,129,20.4,4,94,86.4,38,137,10.4,7,17,1.5,1.2,2.2
2020-01-19,89.7,74,124,119.5,87,148,30.6,5,78,51.7,35,90,8.5,6,12,1.1,0.9,1.3
2020-01-18,47.4,29,69,65.4,43,82,25.6,4,63,52.1,28,77,11.1,6,23,1.3,0.8,2.3
2020-01-17,35,29,54,45,33,86,34.2,6,49,32,14,69,5.3,5,8,0.8,0.7,1.4
2020-01-16,45.1,31,70,61,44,94,39.5,27,48,22.5,16,29,5.4,5,6,1,0.7,1.2
2020-01-15,76.8,43,86,105.9,86,127,40.3,26,67,36.4,27,50,6.1,5,10,1.3,1.2,1.6
2020-01-14,90.6,70,112,128.2,88,145,47.2,9,71,39,24,108,8,5,21,1.4,1.1,2.2
2020-01-13,35,23,65,61.6,39,109,24.2,4,56,38.1,20,55,7.6,6,12,1.1,0.8,1.5
2020-01-12,49.5,35,72,83.8,57,123,11,4,38,44.2,28,64,6.5,5,8,1.3,1,1.8
2020-01-11,29,19,44,43.2,30,69,19.8,5,44,26.5,14,50,5.5,5,6,0.8,0.6,1.2
2020-01-10,21.4,16,27,30.7,26,34,20.1,6,40,33.4,21,52,5.1,5,6,0.9,0.8,1.1
2020-01-09,12.6,5,29,20.8,6,40,28.9,8,55,35.9,16,53,5,5,6,0.9,0.7,1
2020-01-08,34.6,28,44,49.7,37,75,36.3,23,54,37.1,21,59,7.3,5,12,1.2,0.9,1.8
2020-01-07,11.4,3,27,20.3,5,44,25.9,5,57,37.6,27,69,5.4,5,6,1.5,1.3,1.7
2020-01-06,12.1,6,30,32,11,129,5.3,4,9,45.4,34,63,6,5,7,1.6,1.2,2.3
2020-01-05,50.3,32,78,117.3,73,178,4.4,4,5,48.1,39,61,7.8,7,9,1.5,1.2,1.9
2020-01-04,82.6,71,97,154.5,110,196,5.5,4,15,57.7,48,70,6.9,6,8,1.4,1,2.2
2020-01-03,78.7,74,84,127.4,120,144,8,5,16,52.5,49,58,6.6,5,8,1,0.9,1.2
2020-01-02,66.4,54,79,108.8,80,141,5,4,7,52.8,45,61,6.4,6,8,1,0.7,1.6
2020-01-01,41.6,28,70,80.2,64,102,7.1,4,13,64,59,75,11.6,8,14,1,0.7,1.5
2019-12-31,68.5,36,134,124.4,72,214,16.5,5,24,49.5,32,77,8.6,6,14,1.1,0.7,1.8
2019-12-30,68.6,44,139,107.8,77,202,19,5,59,51.5,29,76,6.2,6,7,1.2,0.7,1.8
2019-12-29,45.1,32,73,72.6,42,117,12,4,37,57.6,36,83,7.1,6,10,0.9,0.6,1.7
