#Data for 江汉南片区站 from 2019/10/01 to 2020/04/02. [generated on 2020-04-02 00:23]
#Station is located at latitude 30.57102778, longitude 114.2838278
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Wuhan Environmental Protection Bureau (武汉市环保局)  http://www.whepb.gov.cn/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,o3,o3_min,o3_max,no2,no2_min,no2_max,so2,so2_min,so2_max,co,co_min,co_max
2020-04-02,32,32,32,37,37,37,44,44,44,12,12,12,5,5,5,0.7,0.7,0.7
2020-04-01,27,11,53,35.1,17,53,37.1,5,90,22.1,9,37,5.7,5,7,0.5,0.4,0.7
2020-03-31,23.3,11,37,30.4,17,47,27.2,19,35,17.3,8,25,5.8,5,8,0.4,0.3,0.5
2020-03-30,17.5,6,29,19.9,6,36,38.5,32,46,11.8,5,26,5.4,5,9,0.4,0.2,1
2020-03-29,12.8,3,30,17.5,7,33,40.7,34,51,13.5,8,27,6.3,5,10,0.4,0.2,1
2020-03-28,12,4,28,18.5,5,35,41.6,35,61,13.1,6,27,6.3,4,13,0.5,0.3,1.3
2020-03-27,12.4,2,23,18.2,5,36,34.3,19,44,9.6,7,14,4.5,4,5,0.4,0.3,0.7
2020-03-26,27.7,12,45,43.4,18,103,24.7,5,53,18.9,6,33,7.9,5,11,0.9,0.4,1.6
2020-03-25,32.8,14,57,46.1,21,68,19.8,9,37,23,7,48,9.9,6,16,1,0.7,1.3
2020-03-24,37.1,20,52,59,42,99,65.7,21,89,25.1,15,43,12.7,8,21,1,0.8,1.4
2020-03-23,45.9,33,54,71,60,87,112.8,62,184,18.4,10,30,9.7,7,16,1,0.7,1.7
2020-03-22,57.4,38,94,81.5,39,145,82,40,132,12.5,6,22,6.4,6,7,0.9,0.8,1.1
2020-03-21,38.8,27,50,67.1,42,125,65.9,34,109,26.7,9,58,13.4,7,20,1.1,0.7,1.9
2020-03-20,31.9,15,45,101.2,35,222,79.8,24,116,34.4,14,73,12.1,8,20,0.7,0.5,1.1
2020-03-19,33.8,22,50,63.7,40,128,83.1,13,136,25.9,9,87,7.3,6,9,0.6,0.5,0.7
2020-03-18,47.2,13,79,85.8,34,231,75.8,12,116,26.7,8,68,8.5,6,15,0.7,0.4,0.9
2020-03-17,45.8,29,62,74.8,56,95,58.2,1,128,48.5,14,91,9.3,7,17,0.8,0.5,1
2020-03-16,41,32,53,82.9,70,92,75.7,33,100,30.1,19,57,10,6,15,0.7,0.5,1
2020-03-15,34.2,25,53,80.6,72,87,68.8,10,119,37,9,73,7,6,9,0.5,0.4,0.6
2020-03-14,52.5,21,76,79.5,57,101,70.1,37,113,17.1,8,54,5.9,5,8,0.7,0.5,0.8
2020-03-13,55.1,34,75,80.2,53,124,53.6,12,95,22.6,12,45,6.8,5,9,0.7,0.6,0.9
2020-03-12,46,30,62,61.9,47,73,56.2,23,83,32.6,21,44,13.6,9,21,1,0.7,1.6
2020-03-11,39,25,57,67.7,52,84,66.4,6,114,30.7,11,82,9.4,6,17,0.6,0.4,1.2
2020-03-10,39.9,16,60,52.3,29,93,76.7,18,103,19.1,10,79,6.5,6,8,1,0.3,1.4
2020-03-09,44.5,23,63,49,26,72,86.9,52,131,13,11,17,6.8,6,8,1.3,1.3,1.4
2020-03-08,26.3,4,42,32.9,21,47,66.5,26,92,20.6,13,35,7.4,6,9,1.3,1.2,1.6
2020-03-07,34.8,18,51,41.5,26,59,72.3,7,128,23.2,14,52,7.5,6,12,1.2,1.1,1.5
2020-03-06,39.5,29,51,49.4,37,62,72.4,58,86,22.3,15,33,7.2,6,9,1.2,1.1,1.3
