#Data for 硚口古田 from 2019/10/01 to 2020/04/02. [generated on 2020-04-02 00:23]
#Station is located at latitude 30.60583333, longitude 114.1872222
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Wuhan Environmental Protection Bureau (武汉市环保局)  http://www.whepb.gov.cn/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,o3,o3_min,o3_max,no2,no2_min,no2_max,so2,so2_min,so2_max,co,co_min,co_max
2020-04-02,35,35,35,40,40,40,55,55,55,15,15,15,6,6,6,0.6,0.6,0.6
2020-04-01,25.6,8,39,33.2,15,56,53.7,12,112,26,12,50,6.5,6,7,0.6,0.5,0.9
2020-03-31,24.5,17,34,36.2,22,48,51.1,29,66,19.4,10,30,6.3,6,7,0.6,0.4,0.9
2020-03-30,12,3,21,16.6,6,30,69.8,57,86,12.6,6,25,5.7,5,7,0.7,0.6,0.9
2020-03-29,8.7,2,19,12.7,2,27,71.3,61,76,11.7,7,23,5.8,5,7,0.6,0.5,0.9
2020-03-28,11.3,2,24,14,2,28,70.7,58,97,15,9,30,6.1,5,7,0.7,0.4,1.2
2020-03-27,12.7,4,25,15.3,3,30,56.2,35,70,14.5,13,17,5.7,5,6,0.4,0.4,0.6
2020-03-26,26.9,7,46,31.4,17,49,52.5,9,93,17.4,9,30,6.5,6,9,1,0.5,1.8
2020-03-25,32.7,13,52,42.3,10,72,50.9,31,82,16.3,7,24,7.1,6,10,1.1,0.8,1.4
2020-03-24,35.4,19,47,56,40,75,85.6,56,104,19.1,13,28,6.6,6,9,1.1,0.9,1.3
2020-03-23,44.1,30,59,77.8,63,92,112.3,72,172,17.9,11,29,7.8,6,13,1.1,0.7,1.8
2020-03-22,60,34,94,92.6,45,163,77.9,44,133,11.9,7,15,6.6,6,7,1,0.8,1.1
2020-03-21,36.2,22,53,57.8,45,71,75,22,119,23.4,12,49,9,6,15,1.2,0.8,2.5
2020-03-20,29,14,44,104.5,35,192,113.8,72,159,15,5,23,7,6,11,0.7,0.5,1
2020-03-19,32.6,26,47,68.8,42,152,103,60,149,14.3,7,23,6.6,5,8,0.6,0.6,0.7
2020-03-18,44.4,17,90,77.1,36,119,100.1,57,131,10.8,5,19,6.9,6,8,0.7,0.5,0.8
2020-03-17,42.3,28,61,85.2,60,107,88.3,13,150,22.9,7,47,6.7,5,9,0.8,0.5,1.1
2020-03-16,39.1,27,50,91.7,83,104,92.2,48,119,24.5,16,45,6.8,6,9,0.7,0.4,1.2
2020-03-15,29,18,48,89.7,81,111,98.3,42,136,15.6,7,35,6.6,6,11,0.3,0.1,0.5
2020-03-14,51.2,18,78,87.8,55,110,79.2,37,131,12.8,9,21,6.3,5,7,0.4,0.2,0.6
2020-03-13,52.6,35,73,83.5,58,130,59,29,100,20.6,12,37,6.5,5,8,0.5,0.4,0.7
2020-03-12,42.7,30,57,65.7,55,82,71.1,46,98,25.9,18,37,8.2,6,15,0.8,0.5,1.6
2020-03-11,34,23,46,77.3,55,100,85.3,40,123,20.4,11,37,6.8,5,11,0.5,0.3,1.8
2020-03-10,32.7,18,46,51.7,29,94,80,45,117,12.9,9,22,6.3,5,7,1.5,0.5,22.9
2020-03-09,41,22,53,46.8,24,62,82.1,47,118,13.4,10,19,5.7,5,6,0.7,0.6,0.9
2020-03-08,23,11,32,29.5,21,38,66,22,90,20.8,14,40,6.6,6,8,1,0.7,1.6
2020-03-07,34.2,22,56,45.3,17,66,76,39,134,17,11,30,6,5,8,0.9,0.7,1.6
2020-03-06,40.8,26,51,52.7,33,71,78,58,95,19.3,17,24,6.4,6,7,0.9,0.8,1
2020-03-05,47,32,61,65,51,79,98.5,61,139,21,15,33,6.5,6,7,0.9,0.8,1.1
2020-03-04,29.8,17,48,39.7,27,61,75.5,33,120,18.8,8,31,6.2,5,7,1.1,0.7,1.6
2020-03-03,20.4,10,33,25.6,6,42,58.5,40,70,9.9,7,17,5.2,5,6,0.7,0.7,0.8
2020-03-02,24.2,14,34,46.3,22,61,69.7,44,80,11.1,7,23,5.8,5,7,0.9,0.7,1.3
2020-03-01,25.9,16,41,36.5,12,71,65.4,32,93,9.6,6,21,5.5,5,6,0.9,0.8,0.9
2020-02-29,14.1,6,28,15.1,2,28,65.4,41,106,8.9,6,18,5.8,5,7,0.8,0.8,0.9
2020-02-28,11.5,2,34,10.7,2,33,35.7,28,46,11.6,8,17,5.6,5,6,0.7,0.7,0.8
2020-02-27,31.3,17,46,43,17,67,59.6,41,75,11.6,10,15,5.5,5,7,0.6,0.4,0.7
2020-02-26,51,12,80,56.2,19,96,55.8,40,80,11.4,10,14,5.9,5,7,0.9,0.4,1.1
2020-02-25,62.1,43,86,83.2,56,128,75.8,30,130,20.5,11,33,6.2,5,7,0.7,0.5,0.9
2020-02-24,33.9,27,43,74,34,423,91.3,71,123,22,16,37,6.6,6,7,0.6,0.4,0.9
2020-02-23,28.8,13,43,67.9,42,87,90.1,61,113,22,16,40,7.3,6,14,0.5,0.3,0.8
2020-02-22,42.3,28,57,55.9,32,89,70,26,126,20.3,12,32,6.3,5,9,0.7,0.5,1.4
2020-02-21,38.9,18,62,49.6,28,71,73.3,43,107,17.3,12,35,6.4,5,7,0.6,0.4,0.7
2020-02-20,34.5,18,62,46.8,15,79,65.1,18,122,30.6,13,51,6.8,6,9,0.8,0.5,1.4
2020-02-19,23,13,31,33.3,17,55,83.6,66,105,18.5,12,24,6.8,6,10,0.6,0.5,0.8
2020-02-18,15.7,5,34,25.5,9,38,74.2,18,120,19.5,8,40,6,5,7,0.5,0.4,0.7
2020-02-17,13.8,3,24,26.5,15,50,65.3,34,102,14.8,4,29,5.7,5,7,0.4,0.3,0.5
2020-02-16,12.6,3,23,20.6,6,35,62.3,38,92,9.2,5,20,5.8,5,7,0.5,0.4,0.5
2020-02-15,20.7,5,62,25.6,2,95,57.4,49,63,11.5,8,17,5.7,5,6,0.7,0.5,1.4
2020-02-14,22.4,8,49,32.7,13,70,34.2,21,56,17.8,9,28,6.7,6,7,1,0.6,1.4
2020-02-13,19.8,10,34,31.3,12,71,34.7,22,56,22.5,15,30,6.3,5,7,1,0.8,1.1
2020-02-12,25.6,15,41,30.2,13,46,30.5,5,54,25,12,39,6.2,5,7,0.8,0.6,0.9
2020-02-11,25.8,14,50,35.7,20,63,50,35,64,16,11,26,6,5,7,0.7,0.6,1.1
2020-02-10,37.4,19,58,42.6,32,54,53.8,29,69,24.7,18,34,5.9,5,8,0.7,0.6,1.2
2020-02-09,26.4,17,38,33.9,17,53,60.6,30,94,13.1,9,20,5.8,5,7,0.6,0.5,0.7
2020-02-08,19.6,10,33,25.6,12,41,53.1,44,70,9.3,6,17,5.7,5,6,0.4,0.4,0.7
2020-02-07,16.8,9,27,19.6,2,39,48.8,44,53,7.3,6,9,5.6,5,6,0.3,0.3,0.4
2020-02-06,46.3,2,120,55.7,2,129,55.8,51,63,12.1,8,20,5.7,5,6,0.5,0.4,0.8
2020-02-05,80.2,51,124,94.8,44,158,69.7,27,122,30.2,18,52,6.2,5,9,0.9,0.6,1.6
2020-02-04,62,33,84,76.8,35,108,67.1,25,121,34.5,14,56,6.6,5,9,0.8,0.4,1.3
2020-02-03,68.5,43,100,81.2,45,118,74.6,42,120,21.9,12,47,6.1,5,7,0.8,0.5,1.3
2020-02-02,61.3,42,74,71.8,47,101,57.9,32,92,27.2,15,48,6.5,5,7,0.7,0.5,1
2020-02-01,58,45,70,71.4,51,110,77.7,33,108,31.6,21,54,6.5,6,7,0.8,0.7,1.1
2020-01-31,60.1,41,86,73.1,42,108,70.6,12,133,33.9,13,63,6.4,6,10,0.8,0.5,1.4
2020-01-30,48.7,36,72,55.7,36,77,70,30,118,16.6,10,43,6.1,5,7,0.6,0.3,0.7
2020-01-29,47.6,39,58,54.1,35,74,70.2,43,100,12.4,7,21,6,5,7,0.6,0.5,0.6
2020-01-28,50.3,32,63,57.8,33,71,67,32,93,10.3,5,18,5.4,5,6,0.6,0.4,0.8
2020-01-27,42.9,20,61,48.8,15,91,70.1,59,84,7.1,3,10,5.7,5,6,0.7,0.6,0.9
2020-01-26,27.1,12,46,32.9,13,56,68.8,51,89,6.3,4,8,5.8,5,6,0.5,0.3,0.6
2020-01-25,50.5,9,118,49.3,13,129,56.3,52,69,7.5,5,10,5.5,5,6,0.7,0.3,1.4
2020-01-24,36.5,10,76,34.8,13,86,57.2,28,81,7.7,5,11,5.3,5,6,0.5,0.4,0.9
2020-01-23,85.6,66,105,92.7,71,121,43.2,27,60,16.7,13,24,5.5,5,6,1.1,1,1.3
2020-01-22,91.9,67,117,93,65,116,37.3,7,53,24.9,14,48,5.6,5,6,0.9,0.6,1.2
2020-01-21,90.2,72,100,101.6,79,144,38.5,5,70,47.8,31,61,6.5,5,7,1,0.7,1.5
2020-01-20,97.4,49,124,125.8,76,173,23.9,4,94,79.4,41,118,7.5,5,25,1.2,0.8,1.8
2020-01-19,98.1,70,139,122.4,74,150,39.3,6,97,38.8,25,67,6.4,6,7,0.7,0.5,0.8
2020-01-18,61.3,49,82,86.6,53,133,21.1,4,76,55.4,28,85,6.9,6,8,0.9,0.5,1.3
2020-01-17,39.1,23,59,54.4,2,121,38,4,67,26.7,7,71,5.7,5,7,0.4,0.3,0.7
2020-01-16,66,44,92,65.5,38,113,41.2,30,55,20.8,11,26,7.2,5,26,0.6,0.4,0.7
2020-01-15,88.2,73,99,104.3,57,129,21.2,11,39,34.4,21,47,5.9,5,7,1,0.8,1.1
