#Data for 江夏区站 from 2019/10/01 to 2020/04/02. [generated on 2020-04-02 00:23]
#Station is located at latitude 30.34361111, longitude 114.3327778
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Wuhan Environmental Protection Bureau (武汉市环保局)  http://www.whepb.gov.cn/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,o3,o3_min,o3_max,no2,no2_min,no2_max,so2,so2_min,so2_max,co,co_min,co_max
2020-04-02,30,30,30,35,35,35,75,75,75,19,19,19,7,7,7,0.4,0.4,0.4
2020-04-01,23.8,8,39,31.7,19,46,60,25,103,13,8,19,6.3,4,15,0.4,0.3,0.7
2020-03-31,21.7,13,36,30.5,17,43,33.2,9,62,16.1,12,21,5.3,4,12,0.4,0.3,0.6
2020-03-30,15.9,8,25,21,12,31,45.9,34,65,12.6,5,23,4.4,3,8,0.7,0.4,1
2020-03-29,9.5,4,19,13.4,5,21,66.7,48,72,5.2,2,12,3.1,3,4,0.7,0.6,0.8
2020-03-28,12.8,2,24,14.8,5,25,61.8,34,88,8.4,5,30,4.1,3,7,0.8,0.6,1.7
2020-03-27,12.5,2,25,15.6,3,28,44.4,30,60,13.1,8,22,3.8,3,5,0.7,0.4,1.2
2020-03-26,28.4,16,40,34.9,13,46,40.7,13,91,13.9,4,23,7.6,4,12,2,0.9,2.6
2020-03-25,39.7,14,48,56.5,19,83,31.9,24,42,16.8,1,22,9.9,4,17,1.6,1,4.5
2020-03-24,37.6,26,55,56,42,73,74.2,44,109,17,10,23,19.2,6,96,1,0.8,1.1
2020-03-23,47,38,69,77.9,65,91,105.4,61,163,15.5,9,28,9.2,6,15,1,0.8,1.5
2020-03-22,51.8,29,86,77.7,39,145,64.5,31,117,18.7,8,32,8,4,14,1.3,0.9,2
2020-03-21,38.7,31,51,62.8,47,78,66.1,44,110,15.1,10,22,10.3,5,17,1,0.8,1.5
2020-03-20,32.9,21,46,77.3,37,118,116.5,69,157,10.8,6,15,8.1,6,12,0.7,0.6,0.9
2020-03-19,34.2,27,46,57.1,47,90,111.8,60,170,13.5,10,21,8.2,4,14,0.7,0.5,1.1
2020-03-18,50.3,20,83,78.8,32,122,96.9,50,137,12.9,5,24,7.5,5,10,0.7,0.4,1
2020-03-17,46,33,59,80,56,98,97.8,46,150,17.3,9,28,15.6,8,33,0.8,0.6,1.1
2020-03-16,43.1,32,59,88.3,75,102,88.1,51,114,17.7,8,29,21.1,6,137,0.8,0.5,1.3
2020-03-15,31,23,35,80.5,74,88,104.1,78,136,10.3,6,25,5.9,5,10,0.4,0.2,0.7
2020-03-14,46.4,29,61,81.5,68,91,76.8,22,129,13,8,19,6,4,10,0.6,0.3,1.3
2020-03-13,50.9,38,59,80.3,59,117,62.3,20,118,17.9,13,23,8,5,13,0.8,0.4,1.1
2020-03-12,42.3,31,59,60.3,51,76,68.6,37,102,13.8,9,23,10.5,6,19,0.8,0.6,1
2020-03-11,34.3,24,51,68.7,53,83,94.1,49,124,12.2,8,19,17.9,6,123,1.5,0.2,10.4
2020-03-10,28.7,2,37,48.3,30,75,80.4,46,123,10.5,7,17,7.1,6,9,0.6,0.3,1
2020-03-09,36.9,14,56,46.9,25,63,76.8,32,118,11.8,9,22,6.1,6,7,0.7,0.6,1.1
2020-03-08,22,10,28,30,23,45,62.6,36,89,10.5,8,17,9.7,7,13,0.9,0.7,1.2
2020-03-07,32.3,22,47,40.1,27,52,70.5,30,129,10.9,7,18,8.7,6,15,0.9,0.7,1.2
2020-03-06,35.3,26,47,46.8,40,63,69.3,54,94,10,7,14,7.4,6,10,0.7,0.7,0.9
2020-03-05,43.5,35,56,58.7,48,73,97.5,57,136,11.9,10,15,12.6,7,27,0.9,0.7,1.1
2020-03-04,27.5,15,44,37.3,25,60,66.1,27,112,12.3,7,19,8,6,11,0.8,0.7,1.1
2020-03-03,24.5,15,31,35.7,23,42,53.2,29,81,19.1,10,30,9.5,7,15,1.1,0.7,1.8
2020-03-02,23.8,15,29,36,28,46,67.8,55,84,8.4,4,20,7,6,11,0.9,0.7,1.3
2020-03-01,25.7,16,36,36.5,18,52,58.7,24,83,9.3,6,17,6.9,6,10,1.2,0.9,1.5
2020-02-29,13.7,7,22,23.2,15,53,48.7,21,80,7.7,5,15,6.2,6,8,1,0.9,1.3
2020-02-28,17.3,4,48,23,6,71,27,10,40,14.8,6,35,6.5,6,9,1.2,1,2.1
2020-02-27,26.2,16,49,35.7,21,62,51,14,65,7.1,4,28,6.1,6,8,0.9,0.8,1.9
2020-02-26,51.2,19,82,69.3,33,113,35.5,17,65,19.1,5,44,7.6,6,9,1.8,0.9,2.5
2020-02-25,64.3,41,94,89.5,58,127,73,41,111,19.9,6,38,13.3,8,20,1.6,1,2.6
2020-02-24,37.6,28,52,60.7,39,88,82.5,58,107,9,3,16,13.7,8,48,1,0.7,1.3
2020-02-23,35,25,45,68.7,57,80,85.4,55,112,10.9,6,16,17,9,52,0.8,0.6,1
2020-02-22,39,25,56,51.4,29,77,67.7,23,131,9,4,15,11.6,6,48,1,0.8,1.6
2020-02-21,38.3,26,60,48.3,31,71,61,36,86,16.8,9,31,10.4,7,14,1.1,0.6,1.6
2020-02-20,41.9,18,64,55.8,30,80,69,25,118,14,6,23,16,9,27,1,0.7,1.6
2020-02-19,24.6,16,31,34.4,28,45,80.2,55,96,7.9,5,12,9.6,8,16,0.8,0.7,1
2020-02-18,17.9,12,27,24.9,16,34,88.3,54,120,7,4,11,9.8,7,18,0.6,0.4,0.9
2020-02-17,14,8,20,23.5,15,31,72.3,29,102,9.4,3,29,9.2,6,23,0.4,0.3,0.5
2020-02-16,13.7,6,24,22.2,17,30,62,40,90,5.3,3,13,7,6,9,0.4,0.4,0.6
2020-02-15,18.5,5,47,23.2,7,58,53.3,31,63,6,4,12,6,6,7,0.7,0.5,1.6
2020-02-14,22.6,13,50,29.6,16,56,28.5,12,43,13,5,33,10.6,7,18,1.2,0.6,2.3
2020-02-13,20.7,10,38,28.1,21,45,37.7,20,69,8.9,4,16,10.4,8,13,0.9,0.7,1.1
2020-02-12,20.5,10,27,34.8,10,84,32.6,9,59,5.8,3,10,8.3,7,13,0.8,0.7,1
2020-02-11,26.3,14,51,31.9,16,60,36.7,26,57,5.8,1,14,7.1,6,10,0.9,0.7,1.5
2020-02-10,35.3,27,49,41.8,31,52,55.2,31,82,6.8,4,11,7.4,6,9,1,0.7,1.6
2020-02-09,29.1,17,51,33,27,59,60,33,93,9,6,21,7.3,6,9,0.7,0.6,1
2020-02-08,22.5,16,31,26.1,21,35,45.4,33,61,8.9,7,11,6.4,6,7,0.7,0.6,0.9
2020-02-07,17.2,12,22,19.9,11,29,42.5,35,50,7.7,5,15,6.3,6,8,0.6,0.5,1
2020-02-06,45.9,15,108,55.3,17,124,51.8,26,70,11.7,4,36,7,6,8,0.9,0.6,2
2020-02-05,58.3,36,102,68.9,41,119,90.4,61,124,11.8,8,16,10.3,8,18,0.8,0.6,1.1
2020-02-04,53.5,40,71,62.6,46,81,86.5,39,119,10.7,6,22,8.9,7,12,0.9,0.7,1.1
2020-02-03,52.4,38,74,64.6,50,84,65.1,24,126,12,8,17,8.1,7,10,0.9,0.6,1
