#Data for 化工区站 from 2019/10/01 to 2020/04/02. [generated on 2020-04-02 00:23]
#Station is located at latitude 30.629419, longitude 114.535683
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Wuhan Environmental Protection Bureau (武汉市环保局)  http://www.whepb.gov.cn/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,o3,o3_min,o3_max,no2,no2_min,no2_max,so2,so2_min,so2_max,co,co_min,co_max
2020-04-02,48,48,48,59,59,59,50,50,50,16,16,16,7,7,7,0.6,0.6,0.6
2020-04-01,19.8,10,54,41.8,21,62,45.8,3,104,27.3,9,49,7.2,6,8,0.6,0.5,0.6
2020-03-31,19.5,12,27,37.3,9,63,38.7,18,64,24.7,10,49,6.4,6,8,0.4,0.4,0.5
2020-03-30,12.6,5,19,29.1,11,43,59.9,31,83,15.8,8,32,6.5,5,9,0.4,0.3,0.6
2020-03-29,11.7,5,19,24,5,43,65.3,50,74,14,6,22,5.7,5,9,0.3,0.3,0.5
2020-03-28,6,1,16,24.5,5,60,66.5,43,100,17.3,9,29,5.7,5,8,0.4,0.4,0.6
2020-03-27,10.1,4,21,27.4,10,51,48.2,27,71,19.6,11,29,6,5,7,0.6,0.4,1
2020-03-26,18.6,10,28,37.5,21,50,54.7,18,96,17.9,12,33,6.8,5,9,0.9,0.7,1.1
2020-03-25,34.8,16,64,48.4,25,77,41.6,20,74,26.1,12,48,7.7,6,12,1.1,0.8,1.6
2020-03-24,39,26,57,62,35,89,76.5,24,112,29.4,18,51,11.1,9,16,1,0.7,1.2
2020-03-23,40.3,29,61,71.6,53,92,104.2,32,167,23,9,61,7.7,6,9,0.7,0.6,1
2020-03-22,52.3,28,85,83.5,36,147,76.6,30,138,19,11,30,6.9,5,9,0.8,0.6,0.9
2020-03-21,44.4,30,64,65.3,43,98,74.2,41,115,23.8,15,45,10.2,6,18,0.7,0.6,0.8
2020-03-20,32.8,18,56,112.2,27,182,103,29,167,30.3,9,72,12.1,8,21,0.6,0.4,1.1
2020-03-19,30.5,17,46,64.7,38,159,89.8,3,161,32.3,9,89,9.2,6,14,0.5,0.4,0.7
2020-03-18,47,14,87,78.6,38,119,106.7,29,155,17.5,10,46,10,7,15,0.6,0.3,0.9
2020-03-17,46.1,26,67,87.3,61,120,88.1,13,158,31.8,14,53,14.5,9,29,0.8,0.6,1.1
2020-03-16,43,26,52,92.2,69,116,84.3,26,118,29.9,15,84,11.6,9,15,0.6,0.5,0.9
2020-03-15,31.1,25,43,86.3,72,108,89.8,32,144,27.1,9,53,14.2,8,23,0.6,0.5,0.9
2020-03-14,40.8,20,63,88.7,56,112,73.3,31,119,21,11,55,11.3,7,29,0.9,0.4,2.4
2020-03-13,55,35,75,88.8,52,131,45.2,15,89,27.2,15,50,8.9,8,11,0.8,0.6,0.9
2020-03-12,41.7,32,59,64.5,46,87,67.8,40,105,27.9,13,58,12,8,16,0.9,0.7,1.5
2020-03-11,36.5,21,54,71.3,44,95,80.3,16,128,24.3,13,64,11,7,17,0.8,0.5,1.6
2020-03-10,28,20,38,57.5,32,80,80.3,52,113,13.8,8,20,8,6,11,0.7,0.5,0.8
2020-03-09,38.5,23,59,53.6,24,81,76.7,48,108,14.2,9,25,6.9,6,7,0.9,0.5,1.2
2020-03-08,23.5,18,31,35.8,15,61,57.9,31,88,18.7,7,48,7.8,6,10,1,0.9,1.3
2020-03-07,31.8,25,40,48.8,35,66,56,3,135,24.7,7,41,9.7,8,13,1.2,1.1,1.3
2020-03-06,37.2,28,48,54.3,40,77,66.3,37,90,21.5,12,30,12,8,21,1.2,0.9,1.4
2020-03-05,43.5,30,54,69.7,41,161,88.7,21,154,24.9,13,51,10.1,7,13,1.1,0.9,1.3
