#Data for Munich from 2019/10/01 to 2020/04/02. [generated on 2020-04-02 00:23]
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Bayern State Office for the Environment (Bayerisches Staatsministerium für Umwelt und Verbraucherschutz) -  LfU  https://www.lfu.bayern.de/luft/
date,pm10,pm10_min,pm10_max,o3,o3_min,o3_max,no2,no2_min,no2_max,co,co_min,co_max
2020-04-01,28.3,22,43,58.3,15,86,40.1,21,82,0.3,0.2,0.4
2020-03-31,19.8,14,36,52.8,12,86,49.8,27,93,0.3,0.3,0.4
2020-03-30,13.5,7,24,64.2,43,80,33.6,6,67,0.2,0.2,0.3
2020-03-29,46.7,12,76,86.7,65,105,31,15,67,0.4,0.3,0.6
2020-03-28,79.5,52,107,59.2,9,109,61.2,32,132,0.4,0.3,0.5
2020-03-27,47.8,23,110,67.6,38,92,36,13,90,0.3,0.2,0.3
2020-03-26,20.3,15,31,67.1,56,79,20.3,10,37,0.3,0.2,0.3
2020-03-25,22.7,19,26,75.5,54,93,18.8,12,41,0.3,0.2,0.3
2020-03-24,23.4,14,32,70,46,89,22.9,13,45,0.3,0.2,0.3
2020-03-23,12.2,8,18,70.7,53,80,18.7,6,36,0.2,0.2,0.2
2020-03-22,10.9,8,15,71,55,87,7.4,5,13,0.2,0.2,0.2
2020-03-21,11.3,3,57,56.1,25,83,16.8,9,27,0.2,0.2,0.4
2020-03-20,32.6,22,44,56.3,3,96,66,25,105,0.4,0.3,0.5
2020-03-19,28,21,52,54.1,3,93,55.6,26,94,0.4,0.3,0.5
2020-03-18,34.5,23,49,40.8,1,85,59.8,36,91,0.5,0.3,0.6
2020-03-17,33.3,18,44,34,10,65,76.5,40,107,0.5,0.4,0.7
2020-03-16,29,15,62,41,3,85,80.8,44,141,0.5,0.3,0.7
2020-03-15,15.4,9,27,50,21,83,32.8,11,75,0.3,0.2,0.4
2020-03-14,17.4,11,24,46.5,7,80,49.9,21,82,0.4,0.3,0.5
2020-03-13,15.5,9,32,62,37,80,63.1,15,95,0.4,0.2,0.5
2020-03-12,17.2,10,26,45.5,13,62,49.5,15,97,0.3,0.2,0.4
2020-03-11,13.1,5,28,51.8,36,63,38.8,5,81,0.3,0.2,0.4
2020-03-10,11,4,24,59.8,42,70,52.9,14,105,0.4,0.2,0.5
2020-03-09,18.5,9,36,54,21,76,70.8,18,113,0.5,0.3,0.6
2020-03-08,21.8,9,42,56,7,97,67,33,122,0.4,0.3,0.6
2020-03-07,26.5,13,53,63.8,47,76,53.5,21,82,0.4,0.3,0.5
2020-03-06,9.4,6,14,63.5,44,72,41.1,11,74,0.3,0.3,0.4
2020-03-05,18.5,10,31,45,28,68,62.5,32,122,0.4,0.3,0.5
2020-03-04,24.8,12,46,51.3,17,75,78.5,32,119,0.5,0.3,0.6
2020-03-03,15.5,5,29,57.9,45,70,63.3,10,102,0.4,0.2,0.5
2020-03-02,11.3,4,28,55.9,12,82,46.7,8,121,0.3,0.2,0.4
2020-03-01,12.1,5,24,77.7,60,90,41.6,14,71,0.3,0.2,0.4
2020-02-29,27.6,10,65,54.4,35,79,56.8,24,106,0.4,0.2,0.5
2020-02-28,19.4,6,39,61.2,43,73,62.8,15,106,0.4,0.2,0.5
2020-02-27,14.5,5,43,65,45,79,50.8,10,112,0.3,0.2,0.4
