#Data for Marburg from 2019/10/01 to 2020/04/02. [generated on 2020-04-02 00:24]
#Station is located at latitude 50.80425833, longitude 8.76932778
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Hessian State Office for Nature Conservation, Environment and Geology - (Hessisches Landesamt für Naturschutz, Umwelt und Geologie)  https://www.hlnug.de/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,o3,o3_min,o3_max,no2,no2_min,no2_max
2020-04-01,9.8,7.2,14.4,17.5,11.4,59.4,44.4,1,89.6,29.3,6.4,54.8
2020-03-31,8.9,4.6,14.1,17,9,67.5,60.3,21.1,82.8,16.2,5,46.8
2020-03-30,4.7,2,11.8,9.7,3.9,15.4,65.3,30.8,81.7,12.6,4.4,36.2
2020-03-29,5,1.4,8.9,9.8,3.4,17.5,70.2,47.8,80.4,6.7,3.6,26.1
2020-03-28,30,14.9,38.4,46.1,26.4,72.9,84,36.1,117.4,14.9,5.8,35
2020-03-27,26.7,19.8,35.5,54.1,27,102.2,72.4,39,98.6,18.2,8.4,34.9
2020-03-26,19.1,15,22.3,28.2,20.8,35.2,77.2,62.8,88.9,12.1,6.6,22
2020-03-25,16.2,11.3,20.2,25.5,20.4,32.3,62,11.8,92.5,21.3,8.2,53.9
2020-03-24,9.7,5.5,14.6,19.9,11.3,64,57.2,2.8,87.8,18.7,5.4,57.2
2020-03-23,6.4,4.3,10.2,12.7,5,26.4,61.7,13.6,81.4,14.3,4.9,54.7
2020-03-22,4.5,3.7,5.4,7.3,5,13,69.6,60.6,82.8,6.9,3.2,11.6
2020-03-21,4.6,2.4,8,6.8,4.4,10.4,63.5,54.2,70.4,5.7,2.6,8
2020-03-20,20.4,4.6,30.1,27.3,7.6,40,34.9,5.9,69.3,15.4,6.5,30.8
2020-03-19,13.8,10.8,18.7,20.4,15.7,30.4,35.2,1,88.2,26.3,7.8,50.6
2020-03-18,10.6,4.4,20.2,16,7,28.2,29.2,0.6,80.8,33.4,4.8,62.9
2020-03-17,12.5,4.8,23.8,17.9,8.2,30.1,26.3,0.6,75.2,33.9,7.6,67.9
2020-03-16,9.8,7.6,15.4,15.5,11,23.5,23.7,0.6,71,36.6,15,68
2020-03-15,6.7,3.3,13.3,8.8,4.8,15.8,50.7,2.2,89.1,21,5.8,64.9
2020-03-14,7.5,4.3,12.2,9.1,5.2,15.2,37.5,4.5,77,19,5.5,59.3
2020-03-13,4.1,3.2,5.4,7.2,4,10.3,69.1,47.6,80,8.4,3.4,21.5
2020-03-12,2.8,1.4,7.7,4.8,2.1,10.8,67.3,34.3,84,9.1,3.2,36.4
2020-03-11,0.9,0.5,2.2,2.1,1.2,4.4,45.3,5,65.9,14,2.1,59.6
2020-03-10,2.8,1.1,10.6,4,1.9,14.2,44.2,7.6,54.6,17.9,10,50.8
2020-03-09,4.2,1.4,12.1,6.2,2.3,16.4,51.1,2.2,75.2,21.6,5.4,63.2
2020-03-08,8.9,4.4,14.6,11,5.6,18.2,44.8,3.1,66.8,22.1,9.1,58.6
2020-03-07,9,4,19.8,10.7,4.8,24.6,60.7,2.1,82.2,17.8,4.8,72.6
2020-03-06,5.1,0.5,10,5.8,0.8,10.4,42.3,14.4,72.4,17.5,5.8,37.9
2020-03-05,8.2,2.4,13.2,9.8,2.8,14.8,26.9,1,53.6,27.3,12.8,45.5
2020-03-04,8.3,3.4,12.2,10.3,4.6,15,27,0.6,72.8,31.8,7.1,54.2
2020-03-03,5.5,1.2,13.6,7.6,1.5,17.2,47.1,1.7,75,23.9,6,71.4
2020-03-02,2.9,0.5,8.2,4.4,0.5,10,56.8,3.8,75.4,17.1,1.8,63.4
2020-03-01,3.3,0.5,8.1,5,1.2,11,62.4,9.4,82,13.8,1.8,57.8
2020-02-29,5.9,1.6,10.4,12,2.6,27.4,58,28.6,83.9,13.5,4.8,27.6
2020-02-28,6.4,1.4,11.8,8.9,1.4,15.7,54.4,23.4,75.8,19.3,5.9,47.7
2020-02-27,5.7,2.8,8.6,7.1,3.2,9.6,48.4,31.1,56,19.2,8,42.1
2020-02-26,2.5,0.5,7.1,3.6,1.2,8.4,62.1,45.1,74.7,13.3,4.8,20.9
2020-02-25,2.2,1,3.5,3.4,1.6,5.8,66.1,41.6,81.8,8.3,3.8,27.6
2020-02-24,4,1.1,7.6,6.3,1.4,12.2,41.1,15.8,72.1,24,5,48.4
2020-02-23,1.8,0.5,4.1,2.5,0.8,4.8,64.2,48.6,77.4,4.2,2.4,8.4
2020-02-22,5,3.7,6,7.5,4.6,9.6,55.8,38.8,71.4,10.1,5.1,18
2020-02-21,4.4,0.5,5.8,7.5,0.5,10.1,61.7,49.1,76.1,8.5,3.2,14.4
2020-02-20,4.5,1,10,6.2,1.7,13.4,47,10.7,75.6,21.1,4.9,48.4
2020-02-19,4.5,0.5,9.2,6.8,0.8,12.2,57.9,11,67.8,12.9,5.9,49.2
2020-02-18,3.1,1.8,5.2,5.1,2.6,8,60.6,50.8,64.6,8.4,3.2,14.6
2020-02-17,1.6,0.5,3.2,3.1,0.5,5.4,68.1,48.4,93.9,14.9,2,30.6
2020-02-16,4.3,2.9,6,6.1,4.2,7.6,55.6,31,69.2,13.1,6.8,32.2
2020-02-15,9.8,5.3,15.8,12.5,7,19,23.4,0.6,61.2,32.4,10.4,51.4
2020-02-14,8.3,2.2,16.3,10,2.9,20,25.9,1.6,55.4,34.7,13.3,58
2020-02-13,7.2,2.6,13.2,8.8,4.2,15.4,31.1,1.3,60.6,30.7,12.6,57.2
2020-02-12,4.5,3,8.8,7.5,4.6,10.5,64.9,19.6,76.6,12.8,3.4,48.6
2020-02-11,3.7,0.5,7.1,6.3,0.5,13.3,75.2,63.3,81,6.5,2.6,16.8
2020-02-10,2.8,1.3,6.7,5,2.2,12.7,72.8,64.9,81.9,4.8,0.6,9.8
2020-02-09,14.4,3.6,27.1,17.5,5.8,30,37.5,1.6,73.5,26.2,2.5,55.8
2020-02-08,22.6,14.9,32.5,25.4,17,35.6,5.8,0.6,21.5,40.5,25.5,53.8
2020-02-07,19.5,15,31.2,22.9,17.8,34.9,19.5,1.6,58.2,38.1,7.4,63.8
2020-02-06,16.8,12.2,20.7,21.2,15.4,27.5,3.6,0.6,11.9,46.1,38.2,56.8
2020-02-05,6.4,2.4,17.8,9.6,4,21.2,35.3,2.5,70.7,33.5,6.8,72.2
2020-02-04,3.8,0.5,10.4,5,0.5,12.3,55,1.8,75,17.2,4.8,57.4
2020-02-03,5.2,2.2,7.8,7.6,3.5,12.1,67.7,46.5,80.4,9.9,2.8,20.1
2020-02-02,5,1.6,8.7,7.5,2,13.8,63.8,36,76.1,9,3.9,22.6
2020-02-01,1.9,0.5,6.4,3,1,10.4,54.4,33.6,75.2,10.2,3.2,21.8
2020-01-31,1.9,0.5,3.5,3.2,0.8,4.8,51.1,36.8,62.2,11,5,20.2
2020-01-30,5.3,3.6,8.4,8.2,4.8,11.4,46.5,25.5,65.8,22.1,8.8,43
2020-01-29,5,2.7,13.6,6.9,3.6,16.4,49.3,1.6,66.2,21.7,10.4,58
2020-01-28,1.9,0.5,4,3.4,1.4,6.2,63.9,43.8,78.2,12,6.6,32.8
2020-01-27,20.6,3.7,35,23.9,5.4,37.3,12,0.6,50.2,40.1,12.8,51.4
2020-01-26,17.5,9.8,32.2,18.9,10.4,34,4.9,0.6,10.8,36.7,23.4,44.2
2020-01-25,26.1,12.2,31.2,28,13.2,33.5,6.3,0.6,15.4,36.3,23,48.6
2020-01-24,29.7,20.4,37.1,31.7,21.2,40.6,9.8,1.2,25.2,36.7,15.3,54.7
2020-01-23,21.6,10.4,29.1,23.4,10.9,31.4,8.4,0.6,39,38.3,13.8,53
2020-01-22,19.2,13.5,27.9,20.9,14.5,30.1,2.5,0.6,7.8,37,28.1,48.3
2020-01-21,12.6,8.1,19.3,15.2,11.2,21,5.8,0.6,34.8,42.3,25.5,63.7
2020-01-20,9,6.6,12.4,12.8,10.5,16.2,22,1,64.5,35.9,10.9,65
2020-01-19,11.1,6,15.4,12.9,8.2,16.6,21.9,0.6,60.6,27.2,11.2,44.8
2020-01-18,6.9,2.4,17.4,8.9,3,19.8,31.7,3.5,59.6,26.9,10.2,52.8
2020-01-17,14.1,8,18.6,16.7,9.3,23.4,4.1,0.6,16.8,39.2,21.2,64
2020-01-16,9.8,3.1,19.2,13.7,4.4,23.6,11,0.6,65.8,38.2,6.4,67.6
2020-01-15,5.3,3.8,6.8,8.4,5.6,11.6,45.9,24.2,68.7,23.9,6,40.3
2020-01-14,8.1,4.8,13.6,10.4,6.3,14.8,29.2,11.3,43.6,30.3,20,41.4
2020-01-13,10.9,3.8,17.4,12.4,5,19,19.5,2,40.5,32.8,10.3,55.9
2020-01-12,11.5,6,17.4,12.8,7.2,18.9,28.5,8.6,48.8,27.7,16.9,44.7
2020-01-11,6.9,2,16.9,8.8,2.8,19.2,35.8,2.4,62.8,23.3,6.6,52
2020-01-10,3.9,1.8,5.6,5.3,2.4,8,45.1,25.3,60.2,17.3,8,42.6
2020-01-09,6.7,3,16.5,8.3,4.1,19,13.1,0.6,42.4,32.6,13.6,42.4
2020-01-08,13.5,11,16.4,15.3,12.2,19.2,7.3,0.9,19.6,38.5,23.2,45.3
2020-01-07,15.9,11,22,17.5,11.2,24.4,4.1,0.6,9.3,33.6,24.5,46.2
2020-01-06,11.1,6.4,16.2,12.5,7.6,16.9,16.5,0.9,47.4,31.9,7.5,51.4
2020-01-05,10.4,3,18,12.4,4,21.2,9,1.1,31.2,36.1,25.7,43.6
2020-01-04,7.6,0.8,11.1,10.1,1.7,13.4,42.5,8,72.6,20,4.8,45.2
2020-01-03,14.9,0.5,28.6,16.9,0.5,29.6,15.6,0.6,74.2,30.7,4.7,41.6
2020-01-02,22.9,18.5,28.4,23.6,19,29.1,2.4,0.6,7,32,24.6,39.2
2020-01-01,56.1,24.5,216.2,59.2,25,236.3,3.1,0.6,7.8,31.6,26.9,36.8
2019-12-31,33.3,24.6,71.4,35.1,25.6,74,2.2,0.6,4,37.8,33.4,47
2019-12-30,19.5,14.3,30.3,21.4,15.2,32.2,4.3,0.6,18.1,36.1,25.2,48.4
2019-12-29,17.3,10.2,22.7,18.4,11.7,24.4,5.2,0.6,25.2,30.3,17.6,47
2019-12-28,12.4,9.2,24.2,13.9,10.8,25.8,6.3,0.6,27.2,33,21.4,52.2
2019-12-26,7.8,6.2,10.8,8.7,6.7,12.5,4.1,0.6,11.3,25.9,17.8,31.4
2019-12-25,5.3,1.4,13.3,6.9,2,15,41.4,2,66.2,17,5.2,48.3
2019-12-24,5.1,2.7,7.6,7.1,3.5,11.4,40.6,18.6,64.4,17.8,8.2,31.2
2019-12-23,3.7,1.4,10.8,5.1,2,12.8,47.1,18.8,65.2,16.8,5.8,36.6
2019-12-22,5.4,1.2,11,6.5,1.6,12.6,34.2,1.6,56.1,17.7,7,38
2019-12-21,7.1,3,11.7,9.2,5,13.8,22.2,2.2,42.8,31.8,17.6,44.6
2019-12-20,9.4,5.2,16,11.3,5.8,19.2,2.1,0.6,13.4,32.7,15.6,56.8
2019-12-19,10.3,5.4,17.2,13,6.2,21.4,1.7,1,3.6,26.4,19,35.6
2019-12-18,6.9,1,13.2,10.3,1.6,20.8,22.7,1.6,54.2,34.6,5.4,66.8
2019-12-17,10.9,7.8,17.9,15.1,10.2,23.7,2.4,1.2,5.2,45.3,30.2,57.4
2019-12-16,10.6,4.4,17.4,14.3,5.2,29.6,9.1,1.5,45.2,44.4,14.2,58
2019-12-15,4.1,0.5,9.6,6.5,1.6,16,58.2,13.1,77.4,15.3,4,44.2
2019-12-14,3.8,0.8,8.7,6,1.5,17.6,64.7,30.8,82.2,10.1,5.3,22.6
2019-12-13,5.5,3.4,9.2,6.7,4.2,10.7,26.4,1,49,30,9,55.3
2019-12-12,8.7,2.8,15.5,10.4,4.4,18.8,15,0.6,46.3,37.2,12.2,53.6
2019-12-11,8.8,6.8,13.7,11.5,7.8,17.2,13.6,0.6,37.6,46.2,19,62.5
2019-12-10,10.1,7.2,13.9,16.4,13.1,20.8,35.4,1,68.8,33.4,5.1,71.6
2019-12-09,3.7,1.2,11.8,7.9,2,70.2,55.5,28.8,72.4,15.5,4.4,33.8
2019-12-08,3,1,6.5,4.5,1.7,9,54.9,44.1,75.8,10.2,5.1,27.1
2019-12-07,3.5,1.2,7,4.8,1.8,7.6,45.7,33.8,62.8,13.2,6.2,21.8
2019-12-06,20.7,9.6,29.7,22.1,10.2,30.8,7.5,0.6,22.2,39.9,26.9,48.6
2019-12-05,21.2,13.8,29,22.8,14.6,30.1,1.8,0.6,4.4,35.3,23.7,51.2
2019-12-04,14.4,8.4,23.7,16.9,8.8,26.2,12.6,1.4,33.6,31.9,16.4,57.4
