#Data for Stuttgart-Bad Cannstatt from 2019/10/01 to 2020/04/02. [generated on 2020-04-02 00:24]
#Station is located at latitude 48.808933333291, longitude 9.2298611111111
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: State Institute for Environment, Measurements and Nature Conservation Baden-Wurttemberg (Landesanstalt für Umwelt, Messungen und Naturschutz Baden-Württemberg)  https://www.lubw.baden-wuerttemberg.de/luft
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,o3,o3_min,o3_max,no2,no2_min,no2_max
2020-04-02,14.7,14.7,14.7,20.6,20.6,20.6,24,24,24,48,48,48
2020-04-01,11.9,10.3,14.2,16.3,14.9,19.9,58.9,5,99,26.4,9,54
2020-03-31,7.2,3.8,10.1,11.6,6.5,15.1,48.1,3,96,29.3,5,54
2020-03-30,7.3,3.2,16.4,9.8,5.4,22,71.9,20,90,11.4,5,48
2020-03-29,27,17.9,32.8,48.7,24.5,66.3,73.4,59,94,12.4,9,26
2020-03-28,29.4,23,34.1,58.7,44,69,53.4,2,112,32.7,11,61
2020-03-27,18.4,15.9,22.3,29.1,21.4,42.3,56.3,14,100,26.1,9,57
2020-03-26,15.8,14.7,18.2,21,19.5,23.9,71.6,35,89,16.3,8,45
2020-03-25,18,14,19.5,22.9,18.2,25,80,34,106,17.5,7,47
2020-03-24,10.4,8,13.8,13.8,10.5,18,66.7,18,96,20.4,8,51
2020-03-23,6.9,6.2,7.8,8.8,8,10.1,74,49,88,12,6,30
2020-03-22,7.2,6,9.9,8.4,6.7,11,76.1,57,94,7,5,11
2020-03-21,23.8,10.9,32.1,29.8,12.1,43,55.8,35,66,9.6,5,14
2020-03-20,28.8,27.5,31.8,41.3,39.1,43.3,44.4,1,98,29.6,13,49
2020-03-19,26.1,24,28.2,36,33,39.2,40.1,1,101,36.3,13,56
2020-03-18,20.3,17.1,23.9,28.8,26.2,32.7,33.2,1,83,38.3,15,59
2020-03-17,14.3,12.1,16.9,23.9,20.3,26.3,28.2,1,81,45,14,72
2020-03-16,11,10,11.8,15.7,12.6,19.7,34,2,86,43,15,75
2020-03-15,10.2,9.7,10.6,13.1,11.9,14.8,44.1,5,99,30.4,6,59
2020-03-14,8.4,4.8,10.4,13,8.4,14.8,38,2,88,32.2,8,59
2020-03-13,3,2.3,4.5,5.9,5.2,8,72.7,31,83,14.6,5,46
2020-03-12,2,1.3,2.3,5.3,3.7,6.2,53.8,24,82,19,6,45
2020-03-11,1.2,1,2.1,2.8,2,3.5,57.4,37,75,10.7,4,23
2020-03-10,3.3,2.4,3.8,5.5,3.7,6.3,56.8,46,63,16,9,24
2020-03-09,5.6,3.8,8.2,7.7,6.2,10.3,59.9,30,81,22.8,9,41
2020-03-08,9.3,8.5,10.1,11.4,10.6,12.3,60.1,38,84,21.1,9,34
2020-03-07,6,2.2,9,7.2,3.2,10.7,65.9,39,80,16.5,8,42
2020-03-06,3.1,1,8.1,4.9,2.1,11.8,55.7,32,82,17.1,7,31
2020-03-05,9.6,7.9,10.4,14.7,12.7,16,31.2,2,72,40.1,19,66
2020-03-04,6.2,4.1,7.6,9.8,6.6,12.2,36.8,2,76,37.8,15,63
2020-03-03,4,3.8,4.3,6.6,5.8,7.4,57.9,12,78,22.2,7,58
2020-03-02,2.5,1.8,3.7,5,3.2,7.2,45.1,4,89,33,3,71
2020-03-01,4.9,1.9,7.9,11.5,3.3,18.6,74.7,53,87,12.9,4,32
2020-02-29,7.5,5.8,9.4,14.7,9.7,20.8,55.7,21,84,24,10,44
2020-02-28,3.3,2.5,5.4,5.7,4.4,9.1,61.4,36,83,23.1,7,44
2020-02-27,2.7,2,3.2,4.9,3.7,5.8,62.2,46,76,19,10,32
2020-02-26,2.3,1.7,4,4,3.2,6.1,70.7,54,87,14.3,4,30
2020-02-25,4.5,3.7,5,7.2,6,7.9,52.2,23,84,20.6,9,38
2020-02-24,3,2.6,3.5,4.4,3.8,5.6,49.7,25,75,20.1,3,51
2020-02-23,4,3.2,5.1,6.7,4.5,9.3,65.9,59,77,7.3,3,11
2020-02-22,5.5,4.2,6,10,8.1,10.7,52.9,12,81,26.1,6,49
