#Data for Stuttgart Am Neckartor from 2019/10/01 to 2020/04/02. [generated on 2020-04-02 00:24]
#Station is located at latitude 48.788113888635, longitude 9.1910055557887
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: State Institute for Environment, Measurements and Nature Conservation Baden-Wurttemberg (Landesanstalt für Umwelt, Messungen und Naturschutz Baden-Württemberg)  https://www.lubw.baden-wuerttemberg.de/luft
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,no2,no2_min,no2_max
2020-04-02,14.9,14.9,14.9,27.5,27.5,27.5,52,52,52
2020-04-01,12.4,10.5,14.7,24.2,22.2,27.1,45.6,23,77
2020-03-31,7.2,4.2,10.2,18.2,12.1,22,45.5,29,68
2020-03-30,7.3,3.9,15.3,12.5,10.1,21.2,29.5,4,54
2020-03-29,23.8,16.4,28.9,45.3,23.1,60.6,13.4,6,31
2020-03-28,25.3,21.2,28.5,55.2,44.4,63.6,39.5,19,72
2020-03-27,17.9,15.8,20.9,32.4,25,43.4,47.3,24,74
2020-03-26,15.8,14.8,17.8,25,23.1,28.6,38.8,12,76
2020-03-25,17.5,13.9,18.9,28.4,24,30.2,44,17,84
2020-03-24,10,7.5,13.6,18.2,13.8,23.6,44.1,20,73
2020-03-23,6.8,6.4,7.3,10.6,9,13.4,38.1,7,67
2020-03-22,7.2,6.1,10.1,8.8,7.3,12,12.5,4,21
2020-03-21,23.1,11.1,30,31.2,13.1,43.7,20.6,8,33
2020-03-20,24.7,23.8,28.3,41.2,40.6,43,38.8,15,65
2020-03-19,22.3,20.3,24.3,37.5,34.7,40.9,52.2,31,71
2020-03-18,16.7,13.7,20.2,31.7,29.5,35.3,49.9,36,71
2020-03-17,11.8,10.8,13.6,29.4,25.9,31.5,51.2,30,71
2020-03-16,10.4,9.4,11.3,22.5,17.8,26.5,58.4,45,74
2020-03-15,10,9.5,10.6,18.5,16.6,20.4,43.4,26,69
2020-03-14,7.4,4.7,9.4,16,10,19.4,47.2,19,60
2020-03-13,3.3,2.8,4.5,8.2,6.8,9.8,22.9,7,53
2020-03-12,3,2.2,3.4,10.8,7.9,12.6,28.5,7,71
2020-03-11,1.8,1.4,2.6,4.6,3.5,7.6,18.1,4,38
2020-03-10,3.6,2.7,4,8.1,5.4,9.6,30.1,9,50
2020-03-09,4.6,3.6,6.5,8.3,7.1,9.9,32.6,17,51
2020-03-08,7.9,6.7,8.6,11.6,10.3,12.4,27.9,12,58
2020-03-07,5.6,2.4,8.1,7.5,4.1,10.9,23.5,11,52
2020-03-06,3.7,1.4,8,8.4,3.4,17.4,23.3,8,38
