#Data for Hannover from 2019/10/01 to 2020/04/02. [generated on 2020-04-02 00:24]
#Station is located at latitude 52.3758916, longitude 9.7320104
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Luftqualität | Nds. Ministerium für Umwelt, Energie und Klimaschutz  http://www.umwelt.niedersachsen.de/luft/luftqualitaet-9123.html
date,pm10,pm10_min,pm10_max,no2,no2_min,no2_max
2020-04-02,11,11,11,9,9,9
2020-04-01,13.3,11,16,16,5,46
2020-03-31,10,7,12,17.8,9,48
2020-03-30,5.8,5,7,15.3,10,23
2020-03-29,17.9,8,31,8.2,5,10
2020-03-28,35.8,32,38,12.6,7,21
2020-03-27,29.9,28,33,16.4,11,28
2020-03-26,24.5,22,28,18.3,11,32
2020-03-25,20.3,16,23,19.3,12,38
2020-03-24,13,10,16,16.8,9,44
2020-03-23,6.6,4,10,11.4,6,25
2020-03-22,4.3,4,5,5.7,3,10
2020-03-21,6.8,6,8,7.1,4,13
2020-03-20,11.5,7,18,14.5,8,25
2020-03-19,17.5,14,21,15.9,11,23
2020-03-18,14.4,13,17,18.3,8,39
2020-03-17,17.4,15,19,22.8,9,54
2020-03-16,10,8,14,20.6,9,48
2020-03-15,11.4,8,16,8.1,4,19
2020-03-14,14.3,10,17,17,5,41
2020-03-13,8.3,6,10,7.3,4,13
2020-03-12,5.5,5,7,5.6,3,12
2020-03-11,5.3,4,7,7.8,4,16
2020-03-10,7.6,5,10,12.6,6,18
2020-03-09,9.2,8,10,10.5,6,17
2020-03-08,9.4,8,13,10.1,6,21
2020-03-07,14.4,13,15,12.5,6,33
2020-03-06,11.8,11,13,19.7,9,28
2020-03-05,11.3,10,13,22.3,11,40
2020-03-04,11.9,10,13,24.4,12,51
2020-03-03,8.6,8,10,15.2,9,45
2020-03-02,8.6,7,9,15.9,8,29
2020-02-29,7.6,7,9,6.9,6,9
2020-02-28,8.3,7,9,10.3,5,20
2020-02-27,6,5,7,15,6,43
2020-02-26,6.3,6,7,13.3,6,56
2020-02-25,6.7,5,10,7.3,4,11
2020-02-24,8.6,6,10,11.9,5,19
2020-02-22,11.4,9,13,6.1,3,9
2020-02-21,7.7,5,12,8.8,3,16
2020-02-20,9.9,7,11,12.9,6,21
2020-02-19,8.5,8,9,9.1,5,13
2020-02-18,8.5,8,9,8,5,13
2020-02-17,5.5,4,7,6.1,2,11
2020-02-16,6.4,5,8,5.2,3,8
2020-02-15,11.3,8,15,12.7,7,23
2020-02-14,12,10,15,18.8,8,61
2020-02-13,11.2,10,12,19.1,9,33
2020-02-12,9.2,8,10,8,5,13
2020-02-11,6.7,5,8,6.9,4,11
2020-02-10,6.8,5,10,5.7,3,13
2020-02-09,14.9,10,17,11.5,4,21
2020-02-08,14,12,17,15.4,10,32
2020-02-07,23.5,18,26,21.6,13,47
2020-02-06,17.5,10,24,18.8,9,29
2020-02-05,8.5,8,10,18.7,4,44
2020-02-04,9.5,9,11,9.4,7,13
2020-02-03,9.7,9,11,8.5,4,12
2020-02-02,11.1,7,14,8,4,19
2020-02-01,6.3,5,8,7.3,4,11
2020-01-31,8.2,7,10,9.6,6,14
2020-01-30,11,10,12,13.4,8,20
2020-01-29,6.7,3,9,11,8,19
2020-01-28,4.6,2,9,10,7,17
2020-01-27,11.9,10,14,22.7,11,41
2020-01-26,16.9,14,18,20.5,15,31
2020-01-25,24,17,29,32,20,46
2020-01-24,20.5,15,29,36.1,28,43
2020-01-23,13.8,13,17,35.9,13,57
2020-01-22,18,15,19,31.5,18,54
2020-01-21,16.4,15,19,39.6,17,56
2020-01-20,20.4,17,22,19.2,11,32
2020-01-18,10.9,10,12,7.2,5,13
2020-01-17,12.4,12,13,18.3,11,29
2020-01-16,11,9,13,25.7,5,55
2020-01-15,6.5,5,8,10.7,6,19
2020-01-14,6.9,6,8,11.5,7,18
2020-01-13,7.2,6,8,19.2,11,38
2020-01-12,10,9,12,6.9,5,9
2020-01-11,8.5,7,9,10.9,7,16
2020-01-10,5.1,4,7,8.7,5,15
2020-01-09,6.3,5,7,16.7,9,28
2020-01-08,9.6,5,13,16.2,7,23
2020-01-07,11.1,9,14,18.5,12,30
2020-01-06,10.5,8,13,21.2,16,30
2020-01-05,12.5,12,13,13.3,7,30
2020-01-04,10.5,7,13,7.6,4,12
2020-01-03,13.3,6,19,14.7,5,21
2020-01-02,20.1,19,21,21.1,12,29
2020-01-01,108.2,21,123,23.5,12,39
2019-12-31,14.3,8,19,15.8,8,23
2019-12-30,7.1,6,8,21.3,13,36
2019-12-29,7.7,6,9,16.1,11,28
2019-12-28,7.3,6,9,23.3,11,33
2019-12-27,9,7,10,23.4,15,41
2019-12-26,6.4,5,8,12.8,6,30
2019-12-25,8.2,8,9,8.2,4,12
2019-12-24,9.3,8,10,10,6,19
2019-12-23,6.5,6,8,9.1,4,15
2019-12-22,7.5,6,8,11.4,7,16
2019-12-21,7.3,6,11,11.6,5,20
2019-12-20,14.5,12,15,27.8,11,46
2019-12-19,13,11,14,24.5,16,42
2019-12-18,9,8,11,23.1,5,61
2019-12-17,10.4,9,11,26.8,15,52
2019-12-16,9.9,9,11,28.9,7,57
2019-12-15,8.1,6,10,7,4,11
2019-12-14,9.6,5,11,13.2,8,30
2019-12-13,7.8,6,10,26,7,45
2019-12-12,10.3,8,11,24.2,14,32
2019-12-11,12.4,8,16,18.9,8,29
2019-12-10,13.1,9,17,15.3,4,34
2019-12-09,8.7,7,10,10.3,4,17
2019-12-08,6.3,5,7,6.6,4,11
2019-12-07,5.1,3,9,10.6,6,16
2019-12-06,16.3,10,18,26.3,14,40
2019-12-05,14.9,13,18,36.7,23,53
2019-12-04,13.2,12,15,31.1,20,44
2019-12-03,10.5,8,12,16.4,8,30
2019-12-02,13.6,9,19,20.2,15,31
2019-12-01,19.3,14,21,28.6,19,40
2019-11-30,10.7,9,13,19.4,7,48
2019-11-29,7.5,2,11,10,4,17
2019-11-28,5.5,2,9,9.9,5,14
2019-11-27,9.3,8,10,20.2,11,30
2019-11-26,15.4,9,19,25.3,18,32
2019-11-25,26.6,20,32,19,14,23
2019-11-24,23.3,17,31,17,10,24
2019-11-23,16.1,16,17,19.9,14,27
2019-11-22,14.9,13,17,24.3,18,34
2019-11-21,19.3,14,24,25,19,33
2019-11-20,15.7,5,24,38.3,24,52
2019-11-19,2.8,2,4,21.2,5,44
2019-11-18,"-","-","-",21,10,29
2019-11-17,"-","-","-",23.4,16,32
2019-11-16,129.7,69,183,24.4,18,34
2019-11-15,76.2,13,144,24.3,13,38
2019-11-14,11.7,9,13,25.5,12,40
2019-11-13,5.3,4,8,15.7,10,22
2019-11-12,6.9,4,9,15.2,10,25
2019-11-11,11,9,12,15.7,10,27
2019-11-10,12.1,11,13,16.6,8,30
2019-11-09,11.2,9,12,20.2,9,36
2019-11-08,5.4,3,8,25.5,9,41
2019-11-07,9.4,8,10,23.9,12,34
2019-11-06,12.3,10,14,17.3,9,35
2019-11-05,6.9,5,10,15.4,10,24
2019-11-04,3.6,2,5,19.6,7,52
2019-11-03,"-","-","-",8.8,4,22
2019-11-02,9.9,2,20,9.4,6,14
2019-11-01,23,21,24,22.1,15,31
2019-10-31,17,9,23,28.2,14,47
2019-10-30,9.2,8,12,32,16,54
2019-10-29,12.9,11,14,23.5,15,40
2019-10-28,10.9,9,13,11.2,6,19
2019-10-27,6.1,3,9,5.7,2,10
2019-10-26,3.3,2,4,6.9,4,11
2019-10-25,9.5,4,21,13.3,5,50
2019-10-24,28.7,25,31,16.5,9,25
2019-10-23,16.1,9,25,21.3,15,30
2019-10-22,5.9,4,9,19.4,11,34
2019-10-21,10.6,8,12,16.6,7,34
2019-10-20,8.1,8,9,14.5,6,28
2019-10-19,7.2,7,8,8.9,6,17
2019-10-18,8.1,7,9,8.5,4,12
2019-10-17,8.1,7,10,13.4,6,39
2019-10-16,18.3,11,23,8.9,4,28
2019-10-15,19.4,15,23,27,13,50
2019-10-14,13.9,13,16,15.8,4,33
2019-10-13,14.3,10,16,11.8,5,30
2019-10-12,9.3,9,10,7.7,4,16
2019-10-11,10.3,9,11,8.9,6,14
2019-10-10,9.9,9,12,9.4,6,17
2019-10-09,12.1,11,13,10,7,15
2019-10-08,11.3,10,12,13.6,9,22
2019-10-07,9.3,9,10,22.1,10,36
2019-10-06,8.7,7,10,12.5,8,21
2019-10-05,6.3,6,8,12.8,7,30
2019-10-04,7.4,6,8,14.5,9,20
2019-10-03,5.5,4,6,5.8,3,15
2019-10-02,5.3,4,8,9.8,4,34
2019-10-01,7.6,6,8,12.8,7,23
