#Data for Wuhan (武汉) from 2019/10/01 to 2020/04/02. [generated on 2020-04-02 00:23]
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Wuhan Environmental Protection Bureau (武汉市环保局)  http://www.whepb.gov.cn/
#Attribution: Hubei Environmental Protection Agency (湖北省环境保护厅)  http://www.hbepb.gov.cn/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,o3,o3_min,o3_max,no2,no2_min,no2_max,so2,so2_min,so2_max,co,co_min,co_max
2020-04-02,44,44,44,45,45,45,54,54,54,20,20,20,9,9,9,1,1,1
2020-04-01,35.3,17,61,44.5,21,80,58.6,13,115,35.9,16,55,10.6,8,18,1.2,0.9,2.6
2020-03-31,31.1,21,48,40.6,27,62,53,41,70,29.9,17,46,10.8,8,25,0.9,0.8,1.1
2020-03-30,22,15,33,26.4,18,38,66.3,49,84,19.4,13,33,8.8,8,13,0.9,0.7,1.4
2020-03-29,17.6,12,30,19.9,12,32,69.3,61,75,23,15,47,10.2,8,15,1,0.7,1.7
2020-03-28,18.5,6,34,21.2,8,35,71.2,57,97,22.5,13,42,11.5,8,28,1,0.7,2.2
2020-03-27,17.3,6,28,23.6,12,46,54.2,36,70,15.7,13,20,8.1,8,9,0.8,0.7,1
2020-03-26,34.3,11,46,66.3,21,234,53.9,13,105,30.1,12,52,13.2,9,30,1.5,0.8,2.7
2020-03-25,39.6,15,60,47.3,21,70,48.2,28,80,29.1,14,51,14,9,23,1.3,1,1.5
2020-03-24,47,35,62,64.3,52,82,84.3,58,105,31.3,20,50,19.7,12,26,1.3,1,1.5
2020-03-23,57.4,46,74,83.3,66,105,111.5,67,166,38.3,19,70,19.5,10,49,1.6,0.9,3.1
2020-03-22,67.7,43,97,95.7,53,149,78.2,39,129,22.5,14,47,10.4,9,16,1.3,1,2.9
2020-03-21,52.8,37,75,79,54,119,74.3,51,115,45.7,31,76,21.3,15,28,1.6,1.2,3.2
2020-03-20,40.2,24,48,108.8,38,182,108.1,72,152,41,14,82,21.1,10,54,1,0.7,1.4
2020-03-19,40.7,33,50,69.5,46,150,93.5,34,144,43.6,17,77,11.7,9,15,1,0.9,1.4
2020-03-18,59.1,30,96,83.5,41,125,97.8,60,128,37.1,15,75,14.3,9,31,1,0.7,2.7
2020-03-17,55.5,38,66,83.2,68,96,88.3,29,146,57.2,22,96,13.4,10,21,1.1,0.8,1.3
2020-03-16,54.7,41,67,91,81,108,86.7,65,110,51.6,26,91,17.6,9,35,1.3,0.9,3
2020-03-15,38.2,30,49,88.4,80,121,93,45,133,42.9,19,87,9.9,8,15,0.8,0.7,1.2
2020-03-14,67.5,39,95,86.1,68,102,79.2,45,120,25.7,16,74,9,8,13,1,0.7,1.1
2020-03-13,70.6,48,96,103.1,67,185,56.6,28,99,37.1,19,66,9.9,8,15,1.2,0.9,1.7
2020-03-12,61.6,49,71,70.4,64,82,68.1,41,89,44,32,64,27.5,14,60,1.6,1.3,2.6
2020-03-11,53.3,44,84,77.5,57,95,78.5,37,121,46.1,18,90,14.5,8,30,1.2,0.9,1.8
2020-03-10,51.4,42,61,58,41,104,79,54,108,26.3,17,83,8.4,7,10,1,0.8,1.1
2020-03-09,60.8,30,86,57,34,78,78.5,50,113,19.6,15,27,7.7,7,8,1.1,0.9,1.3
2020-03-08,41.5,32,57,37.8,32,46,62.3,37,86,31.1,17,52,15.4,9,37,1.5,1,2.4
2020-03-07,47.9,36,61,49,38,63,77.4,48,128,31.8,21,46,12.6,8,26,1.4,1,2.4
2020-03-06,54.8,48,63,54.4,48,65,73.9,61,88,26.4,22,33,19.5,8,47,1,1,1.1
2020-03-05,65.2,56,75,66.5,53,83,96.8,62,136,33.8,20,63,13.2,8,29,1.1,1,1.3
2020-03-04,45.4,35,61,46.8,32,63,79.3,52,123,34.3,17,51,13.5,7,26,1.3,0.7,2.2
2020-03-03,31.8,25,37,30.3,24,35,58.1,45,64,22.9,17,36,7.3,7,8,1.1,0.8,1.3
2020-03-02,37.7,30,46,42.5,33,53,67.6,59,73,23.7,17,60,10.8,7,28,1.5,1.2,2.9
2020-03-01,40.9,30,54,43.5,30,64,67.6,39,90,19.2,14,38,7.1,6,9,1.3,1.3,1.4
2020-02-29,27.5,14,63,22.7,13,64,66.1,41,100,25.4,15,54,8.8,6,15,1.5,1.4,2
2020-02-28,19.6,12,38,18.3,8,49,38,30,44,19.7,16,26,6.8,6,7,1.4,1.4,1.5
2020-02-27,46.1,29,70,53.8,30,79,56.3,38,70,28.3,16,46,11,6,18,1.5,1.3,2
2020-02-26,66.8,28,98,70.9,32,144,53.1,39,76,21,14,54,8.6,6,23,1.8,1.3,2.2
2020-02-25,77.8,47,106,99.4,56,148,70.5,24,124,33.2,16,72,8.3,7,10,1.6,1.5,1.8
2020-02-24,48.3,37,63,65.8,43,98,86,63,114,27.9,14,62,18.2,9,55,1.6,1.3,1.9
2020-02-23,46.9,35,61,74.8,60,85,87.4,65,116,33.8,17,58,17.7,9,54,1.4,1.2,1.7
2020-02-22,56.9,43,85,62.1,48,87,66.5,23,127,30.5,17,45,13,6,32,1.5,1.3,2.3
2020-02-21,59.1,33,89,57,38,76,68,43,99,31.7,16,55,9.5,7,18,1.3,1.2,1.4
2020-02-20,54,24,103,57.3,35,93,64.4,16,114,43.7,16,71,13.3,8,23,1.5,1.2,2.1
2020-02-19,35.3,30,40,37.3,30,44,78.1,59,95,30.3,22,48,15,8,26,1.3,1.1,1.5
2020-02-18,30.2,21,45,31.9,24,52,71.7,29,114,37.3,18,56,10.4,6,20,1.1,1,1.3
2020-02-17,22.5,16,28,28.8,21,37,67.5,37,95,28.9,11,52,7.3,6,9,1,0.9,1.1
2020-02-16,21,15,27,25.8,20,32,62.7,46,87,16.4,11,36,7.3,6,10,0.9,0.9,1
2020-02-15,28.1,12,79,31.8,11,92,53.9,47,60,14.2,12,19,6,6,6,1.2,0.9,2
2020-02-14,35.3,23,60,44.7,27,74,39.4,26,54,23.5,10,42,11,6,16,1.6,1.2,3.1
2020-02-13,38.5,24,69,39.2,28,60,36.7,17,68,31.8,21,48,12.9,9,16,1.6,1.3,1.9
2020-02-12,37.2,27,47,37.3,23,50,36.8,14,63,34.2,16,54,10.2,8,15,1.3,1.1,1.4
2020-02-11,42.1,26,71,40,22,66,47.3,34,63,22.7,17,37,9,7,14,1.3,1,1.9
2020-02-10,55.2,42,76,50.8,40,69,50.8,29,68,45,26,72,11.3,7,28,1.2,1.1,1.7
