#Data for Berlin from 2019/10/01 to 2020/04/02. [generated on 2020-04-02 00:24]
#Station is located at latitude 52.5200066, longitude 13.404954
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Berlin Air Quality - (Luftqualität in Berlin)  http://www.stadtentwicklung.berlin.de/umwelt/luftqualitaet/
date,pm10,pm10_min,pm10_max,o3,o3_min,o3_max,no2,no2_min,no2_max
2020-04-02,15,15,15,61,61,61,22,22,22
2020-04-01,18.3,10,35,55.1,24,79,49.3,35,71
2020-03-31,12.3,9,22,60.3,38,77,40.1,13,79
2020-03-30,15.9,7,47,41,8,70,48.1,25,86
2020-03-29,17.5,7,36,68.2,49,84,12.9,6,24
2020-03-28,60.1,37,70,85.2,50,127,35.1,26,41
2020-03-27,58.2,45,74,78.3,41,109,33.8,20,47
2020-03-26,44.3,34,57,76.3,49,100,35.5,22,71
2020-03-25,39.7,33,55,77.1,50,103,49.7,29,81
2020-03-24,33.1,24,58,63.5,24,93,54.4,35,90
2020-03-23,21.8,14,41,58.4,30,83,48.4,29,83
2020-03-22,10.5,7,21,67.3,53,78,22.8,10,46
2020-03-21,11.2,8,18,64.9,51,77,19.8,11,36
2020-03-20,20.6,11,34,56.5,43,80,35.4,16,61
2020-03-19,32.3,13,58,41.3,7,61,47.9,27,82
2020-03-18,37.3,22,55,47.4,16,82,60.4,43,95
2020-03-17,37.3,23,55,28.4,2,70,71.5,48,90
2020-03-16,42.8,22,151,43.4,3,72,72.8,26,118
2020-03-15,16.3,11,25,62.4,41,81,30.6,17,52
2020-03-14,21.9,15,39,51.5,9,77,53.4,27,84
2020-03-13,14,8,27,57.3,43,71,40.5,18,59
2020-03-12,13.9,7,25,53.6,36,73,41.2,14,68
2020-03-11,16,8,27,47.6,34,65,47.9,17,81
2020-03-10,15.5,9,26,36,24,50,45.4,22,76
2020-03-09,24.8,16,37,29.6,7,44,64.5,33,96
2020-03-08,27.5,19,37,37.5,19,55,45,32,67
2020-03-07,30.8,21,45,38.5,21,53,42.9,19,84
2020-03-06,25.3,20,31,35.1,3,56,58.4,28,81
2020-03-05,32.1,18,97,34.1,2,67,56.3,36,85
2020-03-04,29.2,14,42,33.1,9,61,64.5,32,100
2020-03-03,20.5,10,30,30.2,5,62,55.4,24,87
2020-03-02,18,8,29,38.7,16,63,58.6,26,83
2020-03-01,9.6,8,15,59.5,36,73,34.1,17,67
2020-02-29,22.8,9,46,50.6,38,67,37,14,61
2020-02-28,20.4,15,31,40.9,14,62,58.1,37,85
2020-02-27,23,11,52,38.8,5,56,61.3,16,99
2020-02-26,16.5,10,31,39.3,21,65,58.4,25,87
2020-02-25,13,8,19,47.8,27,66,50.8,25,76
2020-02-24,15.5,9,27,51.7,39,68,44.7,11,71
2020-02-23,9.7,5,16,58.6,31,78,33.1,14,74
2020-02-22,12.7,7,16,58.3,44,78,32.6,16,50
2020-02-21,14.8,5,24,49.8,34,70,44.7,10,71
2020-02-20,20.6,12,28,31.3,13,46,48.8,21,71
2020-02-19,14,9,50,46.6,32,57,45,17,74
2020-02-18,35.7,7,259,53,45,68,44.4,13,70
2020-02-17,61.6,4,752,71.9,57,92,38.8,10,76
2020-02-16,11.5,10,16,48.2,40,55,26.9,19,48
2020-02-15,25.4,16,43,24.4,2,51,49,31,93
2020-02-14,29.3,17,44,16.5,2,37,60,35,78
2020-02-13,23.5,11,90,40.9,18,60,52.3,17,79
2020-02-12,19,8,71,57.7,45,69,37.6,12,59
2020-02-11,18.3,4,80,61.8,54,70,35.5,10,56
2020-02-10,10.7,6,22,60.4,40,76,42.8,8,71
2020-02-09,23.6,15,31,43.1,20,66,27.9,18,42
2020-02-08,30.8,23,80,27.9,13,49,48.7,19,98
2020-02-07,28.8,24,44,21.2,8,37,61.5,24,92
2020-02-06,21.1,15,25,30.9,22,38,53.1,25,73
2020-02-05,12.8,4,43,39.4,18,53,44,11,81
2020-02-04,14.3,8,18,43.1,29,55,47.4,23,70
2020-02-03,13.5,8,21,36.8,17,51,56.4,20,77
