#Data for Friedrichshagen, Berlin from 2019/10/01 to 2020/04/02. [generated on 2020-04-02 00:24]
#Station is located at latitude 52.447697, longitude 13.64705
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Berlin Air Quality - (Luftqualität in Berlin)  http://www.stadtentwicklung.berlin.de/umwelt/luftqualitaet/
#Attribution: European Environment Agency  http://www.eea.europa.eu/themes/air/
date,pm10,pm10_min,pm10_max,o3,o3_min,o3_max,no2,no2_min,no2_max
2020-04-02,9,9,9,68,68,68,15,15,15
2020-04-01,11.1,7,17,64.8,36,89,15.1,4,29
2020-03-31,10.2,5,17,62.9,27,84,9.7,2,38
2020-03-30,10.8,5,46,53,7,78,17.5,2,61
2020-03-29,15.1,4,34,74.9,58,87,3.8,1,9
2020-03-28,54,34,60,90.4,46,133,8.7,6,12
2020-03-27,48.5,38,56,85,54,119,9.8,6,18
2020-03-26,30.7,23,37,84.8,61,106,7.6,5,13
2020-03-25,24.8,19,30,89.5,67,109,6.3,4,10
2020-03-24,20.3,14,53,74,25,102,8.6,3,30
2020-03-23,11.4,9,17,66.3,32,88,7.3,2,22
2020-03-22,6.5,5,12,71.6,55,83,2.8,1,8
2020-03-21,7.7,5,15,68.5,56,83,3,1,5
2020-03-20,14.2,5,21,58.1,44,84,7.9,3,21
2020-03-19,20.2,9,32,48,26,62,15.8,5,34
2020-03-18,23.9,11,37,53.4,21,95,14,5,28
2020-03-17,21.8,14,31,36.3,5,88,23.1,7,37
2020-03-16,13.7,11,17,65,24,85,12.8,6,36
2020-03-15,10.3,6,17,74.5,56,89,5.5,3,14
2020-03-14,12.2,7,26,67.2,20,92,10.7,3,26
2020-03-13,6.5,4,16,67.2,52,77,8,4,17
2020-03-12,6.5,4,11,63.7,42,86,9.4,6,19
2020-03-11,7.2,5,9,65.1,42,77,9.7,5,20
2020-03-10,7.4,4,14,51.8,29,72,8.9,4,26
2020-03-09,13.3,11,17,44.1,18,57,15.7,7,32
2020-03-08,18.7,12,27,50.8,32,67,10.2,6,26
2020-03-07,22,15,29,50.1,25,67,14.3,8,32
2020-03-06,15.7,8,19,46.4,14,65,10.8,5,19
2020-03-05,14.1,7,20,49.1,17,85,8,1,15
2020-03-04,16.8,11,25,44.3,23,73,17.4,6,29
2020-03-03,13.4,6,27,44.9,18,70,16.7,3,34
2020-03-02,8.6,5,15,55.8,44,74,8.7,5,17
2020-03-01,4.3,3,6,75,55,86,3.7,2,8
2020-02-29,12.9,5,25,63.1,53,75,5.6,3,9
2020-02-28,12.3,7,21,47.8,11,74,17.7,6,34
2020-02-27,10.3,8,18,53.7,18,76,13.5,4,37
2020-02-26,9.8,6,15,50.8,34,64,16.1,6,30
2020-02-25,6.7,4,8,57.3,42,75,10.7,4,21
2020-02-24,8,4,11,67.5,56,81,8.2,5,15
2020-02-23,5.1,3,7,71.7,53,81,5.8,1,14
2020-02-22,6.1,4,7,66.5,55,83,4.5,3,7
2020-02-21,8,4,11,64,53,79,7.8,3,13
2020-02-20,10.6,6,17,49.9,41,59,10,6,17
2020-02-19,5.8,5,8,60.5,55,70,8,4,15
2020-02-18,5.9,4,9,63.7,56,68,7.3,3,14
2020-02-17,4.5,3,6,79.3,63,97,5.2,1,15
2020-02-16,6.6,5,12,62.4,51,71,4.7,3,8
2020-02-15,16.2,8,26,36.2,1,65,11.9,4,27
2020-02-14,19.1,10,28,20.8,3,59,25,6,43
2020-02-13,8,7,11,60.7,42,69,8.4,4,19
2020-02-12,7.5,6,9,68.5,63,72,7.7,5,12
2020-02-11,5.8,3,8,70.9,66,78,7,3,11
2020-02-10,5.1,3,9,71.7,62,88,5.3,1,9
2020-02-09,14.5,7,20,55.5,31,77,9,4,15
2020-02-08,16,12,20,43.5,33,64,9.1,5,17
2020-02-07,14.8,6,20,45.9,29,76,13,2,26
2020-02-06,13.2,9,17,45.2,31,56,18,13,28
2020-02-05,5.5,3,10,53.9,36,65,9.1,1,22
2020-02-04,8.7,5,13,56.8,43,68,12,5,20
2020-02-03,8.6,6,12,51.7,39,60,14,8,22
2020-02-02,8.4,6,10,62.3,49,71,7.8,2,17
2020-02-01,5.4,4,9,50.4,40,66,7.2,5,15
2020-01-31,8.7,5,12,51.7,40,73,10.9,5,18
2020-01-30,8,6,11,59,49,65,8.6,5,12
2020-01-29,7.3,5,9,60.1,52,71,10,6,15
2020-01-28,9,4,21,56.3,32,75,9.3,5,16
2020-01-27,22.3,16,27,24.4,2,47,19.3,12,28
2020-01-26,19.4,12,26,25.8,10,36,12.7,7,18
2020-01-25,17.9,14,23,27.2,16,34,12.9,7,23
2020-01-24,27.1,20,33,18,6,30,23.1,14,36
2020-01-23,14.1,10,20,28.6,3,63,26.7,10,39
2020-01-22,17.6,7,29,30.4,10,60,24.3,12,42
2020-01-21,15.5,13,19,28.7,12,46,23.5,12,39
2020-01-20,15.3,9,22,29.7,3,54,22.9,7,46
2020-01-19,16.5,12,20,43.5,26,57,12.6,5,22
2020-01-18,14,9,25,38.6,20,54,13.6,8,22
2020-01-17,22.2,13,29,31.8,1,68,14.1,4,24
2020-01-16,10.9,7,18,35.1,12,66,22.8,8,46
2020-01-15,8.5,6,14,49.3,33,65,10.3,6,20
2020-01-14,10.3,7,18,39.5,19,53,11.3,8,15
2020-01-13,10.9,8,15,38.8,27,52,10.5,4,18
2020-01-12,12,10,13,50,46,53,6.3,5,8
2020-01-11,7,5,10,55.1,42,72,7.8,4,12
2020-01-10,9.8,5,15,41.9,30,55,11.4,8,16
2020-01-09,11.1,5,17,18.9,13,28,13.2,10,16
2020-01-08,10.6,7,18,32.9,19,47,12.3,9,16
2020-01-07,19,15,21,14.3,1,45,24.3,8,38
2020-01-06,14.4,11,18,46.5,30,60,11.8,6,27
2020-01-05,11.3,10,13,39.5,26,60,15.8,6,24
2020-01-04,8.8,4,11,62.5,49,73,8.6,4,13
2020-01-03,11.5,8,22,38.9,19,49,10.1,6,21
2020-01-02,18.2,12,24,20.3,5,39,20.8,11,39
2020-01-01,40.1,14,177,39,11,64,18.8,7,48
2019-12-31,16.4,8,39,45.9,18,63,14.7,9,24
2019-12-30,11.3,8,16,34,25,43,13.9,11,22
2019-12-29,13,9,17,33.6,2,57,14,5,29
2019-12-28,7.1,4,13,39,25,57,10.7,4,29
2019-12-27,8.2,4,13,31.7,20,44,9.5,5,20
2019-12-26,9.3,6,13,37.1,27,45,14.3,10,22
2019-12-25,9.8,7,13,36.9,29,49,9.5,2,16
2019-12-24,10.3,6,15,42.9,30,58,7.8,2,15
2019-12-23,12.8,8,17,30.7,12,44,15.3,7,24
2019-12-22,18.6,12,22,13.9,4,22,14.5,9,26
2019-12-21,15.3,8,28,26.9,1,46,16.7,10,29
2019-12-20,25.5,18,37,19.2,1,40,16.6,8,24
2019-12-19,20.5,8,41,8.8,1,15,21.8,15,31
2019-12-18,9.9,5,18,33,2,61,21.7,11,40
2019-12-17,15.6,11,20,19.2,12,26,16.9,10,23
2019-12-16,8.1,6,12,34,9,59,15.6,5,34
2019-12-15,5.2,4,8,63.5,56,77,5.9,3,16
2019-12-14,9.2,4,19,42.1,17,72,9.6,3,18
2019-12-13,23.1,17,30,14.3,6,28,20.5,12,28
2019-12-12,15.8,12,19,22,10,32,17.6,11,24
