#Data for Grunewald (3.5 m), Berlin from 2019/10/01 to 2020/04/02. [generated on 2020-04-02 00:24]
#Station is located at latitude 52.473192, longitude 13.225144
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Berlin Air Quality - (Luftqualität in Berlin)  http://www.stadtentwicklung.berlin.de/umwelt/luftqualitaet/
#Attribution: European Environment Agency  http://www.eea.europa.eu/themes/air/
date,pm10,pm10_min,pm10_max,o3,o3_min,o3_max,no2,no2_min,no2_max
2020-04-02,8,8,8,78,78,78,5,5,5
2020-04-01,8.9,6,15,64.3,20,91,10.8,3,43
2020-03-31,7.1,4,15,61.8,34,85,5.3,2,14
2020-03-30,7.3,5,13,60.9,43,77,5.8,3,8
2020-03-29,13.2,4,30,69,54,82,6.6,2,22
2020-03-28,48.3,31,58,88.6,41,132,9.6,6,15
2020-03-27,46,37,56,79.8,40,115,15.7,7,30
2020-03-26,33,28,41,75.3,48,100,13.7,8,26
2020-03-25,26.3,22,33,75.6,33,105,12.5,6,29
2020-03-24,19.3,14,26,61.9,15,99,12.1,4,38
2020-03-23,12.7,10,27,56.3,27,85,11.4,4,29
2020-03-22,6.4,5,8,66.1,42,81,5.3,2,12
2020-03-21,8.1,6,14,68.2,52,82,4.1,2,8
2020-03-20,13.5,5,21,54,38,84,12.6,2,24
2020-03-19,18.2,9,24,44.9,6,63,17,5,54
2020-03-18,16.7,9,34,47,2,92,21.4,4,59
2020-03-17,17.8,10,27,44.4,2,86,13.8,4,44
2020-03-16,12.1,9,15,61.1,22,94,11.3,3,36
2020-03-15,11.4,7,13,63.3,44,86,10,5,20
2020-03-14,12.6,7,20,60.1,30,81,10,2,36
2020-03-13,7.3,4,18,69.5,45,79,4.3,2,14
2020-03-12,7,4,12,61.7,26,89,7.1,2,33
2020-03-11,7.3,5,9,63.7,16,77,7.1,2,42
2020-03-10,8.6,4,17,43.3,22,60,11.1,7,22
2020-03-09,13,10,16,45.7,28,67,10.6,5,24
2020-03-08,17.2,11,21,36.6,4,61,13.2,7,30
2020-03-07,21,17,26,56.8,30,73,4.4,3,7
2020-03-06,17.6,13,33,36.7,4,58,19.3,10,32
2020-03-05,13.9,8,22,37.3,1,80,17.8,5,33
2020-03-04,15.6,11,23,52.7,34,75,9,6,17
2020-03-03,11.7,5,18,42.6,21,72,12.9,6,34
2020-03-02,10.1,4,15,47.9,24,78,12.5,2,27
2020-03-01,5,4,7,64.8,30,80,7.5,1,36
2020-02-29,15,5,32,59,48,80,6.6,3,10
2020-02-28,11,7,15,55.2,27,79,6.5,2,15
2020-02-27,9.3,6,12,51,15,70,7.2,1,23
2020-02-26,9.2,5,13,48.7,33,61,8.7,3,20
2020-02-25,6.9,5,8,55.7,36,71,6.1,4,9
2020-02-24,9.1,5,11,61,44,77,4.6,1,9
2020-02-23,5.2,3,7,65.1,41,76,4.4,1,17
2020-02-22,7.8,4,9,60.5,52,77,4,1,6
2020-02-21,8.9,4,12,59,45,76,5,1,12
2020-02-20,11.5,7,14,36.5,10,54,12.3,4,31
2020-02-19,6.5,4,9,55.8,48,67,5.6,4,10
2020-02-18,6.2,4,9,60,56,67,4.9,3,7
2020-02-17,5.1,3,7,72.9,57,87,3.2,1,6
2020-02-16,7.7,6,11,49.2,36,61,6.3,4,9
2020-02-15,14.4,9,22,31.1,1,53,15,8,26
2020-02-14,16.7,11,20,21,3,31,11.2,7,21
2020-02-13,9.4,8,11,49,28,59,10.9,6,22
2020-02-12,8.5,6,10,64.3,59,69,5.5,4,7
2020-02-11,6.8,3,10,66.7,58,72,4.4,2,7
2020-02-10,6.2,4,13,67.7,57,84,3.4,1,7
2020-02-09,15.9,10,22,49.5,20,74,9.6,4,16
2020-02-08,15.4,11,21,31.7,12,54,15.2,6,42
2020-02-07,18.4,14,23,29.5,1,48,17.2,6,44
2020-02-06,13.2,8,18,53,40,69,6.9,4,12
2020-02-05,5.4,3,9,55.7,43,64,5.1,2,10
2020-02-04,8.8,5,12,61.2,40,72,4.2,3,6
2020-02-03,8.7,6,13,57.5,49,63,4.8,1,10
2020-02-02,8.7,6,11,64,55,69,3.8,2,5
2020-02-01,5.5,4,9,50.7,43,66,4.8,3,8
2020-01-31,8.7,4,11,52.5,29,75,7.6,3,21
2020-01-30,9,7,12,58.1,46,69,7.5,4,12
2020-01-29,8.3,4,10,61,54,68,7.8,5,11
2020-01-28,9.2,4,22,51,27,72,8.5,4,12
2020-01-27,23,17,29,18.6,1,40,19,12,30
2020-01-26,19.2,13,26,22.6,2,36,12.3,6,22
2020-01-25,16.8,12,25,22.8,14,29,14.5,9,25
2020-01-24,25.9,16,32,11.3,1,28,27.5,16,39
2020-01-23,12,7,19,30.9,1,59,11.4,4,22
2020-01-22,17.4,6,30,37.5,22,65,12.1,5,21
2020-01-21,13.6,10,19,31.3,6,49,17.8,9,26
2020-01-20,14.4,10,21,33.4,17,60,10,5,22
2020-01-19,16.4,13,19,47.3,25,60,4.6,2,8
2020-01-18,11.8,7,23,47.3,13,66,8.8,5,24
2020-01-17,24.3,16,31,17.5,1,59,27.3,9,41
2020-01-16,10,5,22,33.9,1,66,26,4,70
2020-01-15,9.5,8,14,43.6,33,53,14.1,10,21
2020-01-14,10.7,7,15,33.6,7,48,14.3,11,22
