#Data for Wedding-Amrumer Str., Berlin from 2019/10/01 to 2020/04/02. [generated on 2020-04-02 00:24]
#Station is located at latitude 52.543041, longitude 13.349326
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Berlin Air Quality - (Luftqualität in Berlin)  http://www.stadtentwicklung.berlin.de/umwelt/luftqualitaet/
#Attribution: European Environment Agency  http://www.eea.europa.eu/themes/air/
date,pm10,pm10_min,pm10_max,o3,o3_min,o3_max,no2,no2_min,no2_max
2020-04-02,8,8,8,61,61,61,24,24,24
2020-04-01,11.7,6,27,61.6,23,79,26.3,13,59
2020-03-31,8.2,5,16,61.5,38,80,16.8,6,46
2020-03-30,11.5,5,50,42.8,8,71,32.1,10,61
2020-03-29,14.1,4,32,70.3,49,88,10.2,3,29
2020-03-28,51.3,31,60,89.5,51,130,13.5,10,20
2020-03-27,45.5,36,55,81.6,41,113,17.3,9,35
2020-03-26,33.7,28,41,77.8,49,100,17.3,10,32
2020-03-25,28.1,24,33,78.6,50,103,18.8,9,31
2020-03-24,22,17,33,65,23,94,24.5,12,52
2020-03-23,12.8,10,20,63,30,85,17.5,6,41
2020-03-22,7.3,5,11,67,50,81,9.7,3,23
2020-03-21,8.4,6,15,66.7,51,80,5.5,3,12
2020-03-20,13.6,5,18,58.2,43,82,14.7,9,29
2020-03-19,19.7,9,31,47.9,19,63,21.2,9,47
2020-03-18,21.2,12,37,49.3,9,82,31.8,14,62
2020-03-17,23.8,12,42,32.5,2,70,43.8,22,65
2020-03-16,17.7,11,30,45.2,3,72,38.3,15,97
2020-03-15,12.2,8,16,63.5,46,81,15.7,8,35
2020-03-14,13.8,9,20,54.5,9,79,30.3,8,70
2020-03-13,9,5,18,57.7,41,72,22.3,9,41
2020-03-12,8.8,5,21,54.9,39,73,20.1,9,33
2020-03-11,8.3,6,11,49.6,34,65,30.5,12,47
2020-03-10,9.5,6,13,38,24,50,25.8,15,39
2020-03-09,15.6,11,21,34.7,17,50,34.7,16,58
2020-03-08,19.7,14,23,43,30,55,22.3,14,31
2020-03-07,22.5,15,28,40.1,21,53,34.6,24,59
2020-03-06,18.9,14,27,32.3,3,56,30.9,14,57
2020-03-05,18.8,11,29,34.9,2,67,30.3,20,46
2020-03-04,19.3,11,37,38.5,11,62,29.8,18,52
