#Data for Neukölln-Nansenstraße, Berlin from 2019/10/01 to 2020/04/02. [generated on 2020-04-02 00:24]
#Station is located at latitude 52.489451, longitude 13.430844
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Berlin Air Quality - (Luftqualität in Berlin)  http://www.stadtentwicklung.berlin.de/umwelt/luftqualitaet/
#Attribution: European Environment Agency  http://www.eea.europa.eu/themes/air/
date,pm10,pm10_min,pm10_max,o3,o3_min,o3_max,no2,no2_min,no2_max
2020-04-02,9,9,9,73,73,73,12,12,12
2020-04-01,11.7,7,18,59.2,27,84,23.7,8,49
2020-03-31,9.3,6,16,62.2,38,79,16.3,7,45
2020-03-30,10.2,6,17,52.8,23,70,21.9,12,46
2020-03-29,15,5,32,72.4,49,88,7.5,3,15
2020-03-28,52.4,33,61,87.1,50,127,17.9,13,29
2020-03-27,50.3,40,60,78.7,47,109,19.7,13,33
2020-03-26,35.3,30,46,78.3,52,100,15.8,10,27
2020-03-25,30.1,25,38,80.7,54,103,14.5,9,25
2020-03-24,23.5,19,36,65.7,36,94,18.8,6,32
2020-03-23,15.3,11,24,62.3,43,83,15.7,6,32
2020-03-22,8,6,12,66.8,51,78,10.7,5,24
2020-03-21,9.4,7,15,64.6,52,77,7.8,5,14
2020-03-20,15.1,7,21,59.3,51,80,13,7,24
2020-03-19,21.3,10,35,41.5,7,61,26.6,12,57
2020-03-18,24.1,11,42,43.5,3,85,31.7,11,61
2020-03-17,25.3,16,47,35.3,3,80,36.9,11,68
2020-03-16,20.8,12,43,46.9,4,84,33.8,13,96
2020-03-15,13,9,28,63.6,41,83,14.7,6,36
2020-03-14,14.5,9,28,57.8,11,82,26.7,12,57
2020-03-13,8.9,5,19,62.1,41,73,14.5,8,25
2020-03-12,8.8,5,13,57,36,82,14.8,6,33
2020-03-11,9.4,6,15,56.2,34,71,20.2,9,48
2020-03-10,10.5,7,14,38.7,27,56,22.1,12,32
2020-03-09,17,13,23,32,7,47,33.9,17,68
2020-03-08,21,16,27,39.7,19,59,25.4,12,49
2020-03-07,23.7,16,31,44.8,26,60,22.8,10,53
2020-03-06,20.1,17,25,34.2,3,59,26.9,9,56
2020-03-05,17.5,10,24,37,5,74,24.1,11,38
2020-03-04,19.1,11,30,36.7,9,64,32.2,16,58
2020-03-03,15.2,7,25,35.7,5,63,29.8,10,63
2020-03-02,12.3,6,20,41.6,17,69,25.8,13,41
2020-03-01,7.3,5,13,62.8,36,73,14.5,7,39
2020-02-29,18,8,34,52.3,38,69,17.7,8,27
2020-02-28,14.7,9,22,46,23,68,28.5,14,47
2020-02-27,13.2,8,22,46,9,60,27.1,11,64
2020-02-26,11.6,7,19,42,21,65,29.8,13,45
2020-02-25,8.8,5,15,48.8,27,68,21.9,10,46
2020-02-24,11,5,15,57.9,43,78,17,6,27
2020-02-23,7.1,4,15,63.4,31,78,15.4,7,41
2020-02-22,10.3,6,20,60.8,44,78,12.3,8,20
2020-02-21,11.8,4,20,55.3,34,77,18.4,7,41
2020-02-20,14.4,9,18,36.2,17,54,23.7,11,41
2020-02-19,8.5,7,13,50.3,40,62,18,9,35
2020-02-18,8,5,15,54.5,46,68,16.4,6,25
