#Data for Steglitz-Schildhornstr., Berlin from 2019/10/01 to 2020/04/02. [generated on 2020-04-02 00:24]
#Station is located at latitude 52.463611, longitude 13.31825
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Berlin Air Quality - (Luftqualität in Berlin)  http://www.stadtentwicklung.berlin.de/umwelt/luftqualitaet/
#Attribution: European Environment Agency  http://www.eea.europa.eu/themes/air/
date,pm10,pm10_min,pm10_max,no2,no2_min,no2_max,co,co_min,co_max
2020-04-02,9,9,9,10,10,10,0.2,0.2,0.2
2020-04-01,12.1,9,18,32.3,15,60,0.3,0.2,0.4
2020-03-31,9.5,6,17,26.8,9,57,0.3,0.2,0.4
2020-03-30,10.1,6,18,29.1,14,57,0.3,0.1,0.5
2020-03-29,15.5,5,35,9.8,5,19,0.2,0.1,0.3
2020-03-28,55.9,34,67,16.3,10,23,0.3,0.3,0.4
2020-03-27,54.8,42,66,28.8,16,45,0.4,0.3,0.5
2020-03-26,38,32,47,26.3,18,49,0.3,0.3,0.4
2020-03-25,31.5,26,38,32.2,19,66,0.3,0.2,0.4
2020-03-24,25.5,19,42,42.6,22,82,0.3,0.3,0.5
2020-03-23,15.3,11,20,34.1,19,61,0.3,0.2,0.4
2020-03-22,8.2,6,13,15.9,5,37,0.2,0.2,0.3
2020-03-21,10.5,8,17,14.2,8,23,0.2,0.2,0.3
2020-03-20,17.8,7,31,25.5,9,56,0.2,0.2,0.3
2020-03-19,25.1,11,58,35.9,21,82,0.3,0.2,0.7
2020-03-18,25.7,12,45,41,20,86,0.4,0.2,0.9
2020-03-17,25.6,13,44,56,22,78,0.4,0.2,0.7
2020-03-16,18.9,11,33,50,16,92,0.4,0.2,1.1
2020-03-15,14,9,21,24.5,13,52,0.3,0.2,0.3
2020-03-14,16.3,11,21,42.5,11,84,0.3,0.2,0.5
2020-03-13,9.4,5,20,21.6,7,55,0.2,0.2,0.4
2020-03-12,9.1,6,13,25.2,9,60,0.2,0.1,0.4
2020-03-11,10,6,14,29.2,5,62,0.3,0.2,0.5
2020-03-10,10.6,6,16,34.4,14,55,0.3,0.2,0.5
