#Data for Neukölln-Karl-Marx-Str. 76, Berlin from 2019/10/01 to 2020/04/02. [generated on 2020-04-02 00:24]
#Station is located at latitude 52.481709, longitude 13.433967
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Berlin Air Quality - (Luftqualität in Berlin)  http://www.stadtentwicklung.berlin.de/umwelt/luftqualitaet/
#Attribution: European Environment Agency  http://www.eea.europa.eu/themes/air/
date,pm10,pm10_min,pm10_max,no2,no2_min,no2_max
2020-04-02,10,10,10,21,21,21
2020-04-01,14.9,9,27,47.5,32,71
2020-03-31,11,8,18,28.9,10,66
2020-03-30,12.4,6,24,42.2,19,77
2020-03-29,15.8,6,33,11.2,6,18
2020-03-28,55.3,35,65,24.7,16,35
2020-03-27,53.5,41,73,26.3,13,46
2020-03-26,37.5,31,46,21,12,40
2020-03-25,31.7,26,42,26.7,18,49
2020-03-24,24.2,20,33,35.7,22,61
2020-03-23,16.5,13,25,28.8,13,73
2020-03-22,8.8,6,18,10.7,4,28
2020-03-21,10.3,8,16,11.1,6,22
2020-03-20,16.9,9,24,21.5,8,34
2020-03-19,24.2,11,39,37.9,12,71
2020-03-18,30.1,17,49,57,31,95
2020-03-17,31.1,23,51,63.1,24,90
2020-03-16,37.2,18,151,67.5,24,118
2020-03-15,14,9,22,26.8,14,50
2020-03-14,17.2,11,36,45.1,25,78
2020-03-13,11.8,7,20,38.4,18,56
2020-03-12,10.8,6,14,38,11,68
2020-03-11,12.2,6,20,45,13,81
2020-03-10,12.5,8,18,43,20,76
2020-03-09,21.1,15,34,59.8,26,96
2020-03-08,23,18,32,35.9,22,67
2020-03-07,27.6,18,37,42.3,17,84
2020-03-06,23.1,17,30,47.5,17,81
2020-03-05,22.9,14,30,44.5,25,60
2020-03-04,23.8,13,35,61.3,22,99
2020-03-03,18.5,10,30,46.2,15,76
2020-03-02,15.4,7,27,52.8,23,81
2020-03-01,8,6,14,29.8,13,61
2020-02-29,19.6,8,37,34.7,11,61
2020-02-28,17.3,10,22,55.8,32,85
2020-02-27,16.3,10,25,51.5,14,87
2020-02-26,13.8,8,22,54.3,23,83
2020-02-25,11,7,16,48,18,75
2020-02-24,13.2,5,19,40.3,10,65
2020-02-23,8.2,5,16,27.5,9,56
2020-02-22,11.3,6,16,29.5,14,50
2020-02-21,13.3,4,21,40.6,10,71
2020-02-20,17.8,12,28,44.1,18,70
2020-02-19,12.3,8,50,41.6,14,74
2020-02-18,34.8,6,259,42.3,12,70
2020-02-17,50.1,4,752,40,9,78
2020-02-16,10.1,8,14,25,16,48
2020-02-15,21.5,16,33,45,28,93
2020-02-14,26.5,14,35,54.5,26,78
2020-02-13,15,9,22,49.9,14,79
2020-02-12,12.5,7,22,34.9,9,54
2020-02-11,16,4,80,34.3,8,56
2020-02-10,9.7,5,22,40.3,5,71
2020-02-09,21.5,13,28,25.4,18,40
2020-02-08,23,17,28,44.7,16,98
2020-02-07,24.3,16,33,50.3,20,87
2020-02-06,19,12,25,50.9,19,73
2020-02-05,9.6,4,18,38.3,11,81
2020-02-04,13.1,7,18,45.1,20,70
2020-02-03,11.8,6,18,53.4,20,74
2020-02-02,11.5,9,15,35.8,11,67
2020-02-01,9.2,6,16,42.6,16,79
2020-01-31,15.9,5,26,53.3,14,100
2020-01-30,14,11,19,50.3,17,96
2020-01-29,12.8,7,23,38.5,13,64
2020-01-28,12.8,8,24,45.4,18,81
2020-01-27,32.4,21,40,50.8,28,80
2020-01-26,25.3,17,33,30.6,15,46
2020-01-25,22.7,17,30,42.3,25,68
2020-01-24,36.3,26,46,54.5,40,70
2020-01-23,24.8,11,53,69,41,93
2020-01-22,23.8,12,36,50.7,27,80
2020-01-21,21.9,17,28,59.9,30,81
2020-01-20,20.5,15,32,58.1,25,92
2020-01-19,21.2,17,30,36.9,19,55
2020-01-18,20.1,12,31,52.7,23,93
2020-01-17,34,24,51,51.6,35,79
2020-01-16,20.5,8,41,67.9,28,101
2020-01-15,16.2,9,24,49.4,28,78
2020-01-14,18,12,23,46.8,25,74
2020-01-13,16.9,9,24,47.3,14,78
2020-01-12,17.1,12,20,27.3,18,35
2020-01-11,13.2,7,19,42.2,14,81
2020-01-10,15.3,9,24,45.4,18,74
2020-01-09,16.9,12,22,41.1,22,65
2020-01-08,16.1,12,24,43.2,18,74
2020-01-07,25.6,18,34,55.4,25,91
2020-01-06,20,14,26,55.5,27,97
2020-01-05,15.7,12,21,43,18,63
2020-01-04,12.3,7,15,37.4,14,64
2020-01-03,17.1,12,29,42.9,25,62
2020-01-02,33.3,25,57,62,36,118
2020-01-01,50.6,20,304,44.2,23,70
2019-12-31,27.6,11,73,46.3,25,63
2019-12-30,18.8,14,21,55.9,26,93
2019-12-29,16.3,11,22,41.8,29,64
2019-12-28,11.7,5,26,37.1,15,66
2019-12-27,12.6,9,19,29.6,16,40
2019-12-26,11.8,7,16,34.6,15,60
2019-12-25,12.3,8,17,28,11,47
2019-12-24,14.8,10,20,36.9,14,56
2019-12-23,18.3,10,23,53,25,92
2019-12-22,26.1,22,35,32.3,22,46
2019-12-21,22,13,36,53.2,30,94
2019-12-20,34.8,28,44,49,31,75
2019-12-19,32.8,12,44,40.2,22,60
2019-12-18,17.8,13,28,62.6,25,107
2019-12-17,26.8,18,41,56.7,36,82
2019-12-16,18.4,8,32,58.5,19,88
2019-12-15,8.9,6,12,30.6,19,51
2019-12-14,14.4,8,26,46.3,24,90
2019-12-13,30.1,26,43,39.7,24,53
2019-12-12,23.9,16,35,49.6,25,75
2019-12-11,19.8,11,29,51.6,17,78
2019-12-10,18.3,11,29,59.2,12,130
2019-12-09,11.6,7,15,49,11,99
2019-12-08,10.2,7,19,25,12,40
2019-12-07,11.3,8,16,35.6,13,61
2019-12-06,28.5,17,37,51.3,27,75
2019-12-05,33.4,24,40,55.4,41,92
2019-12-04,27.9,15,40,49.7,20,75
2019-12-03,19.2,10,26,57.6,6,89
2019-12-02,19.1,11,29,50.9,20,84
2019-12-01,27.7,20,34,44.5,27,66
2019-11-30,17.8,9,27,58.8,32,92
2019-11-29,12.5,7,18,43.4,12,70
2019-11-28,11.7,8,16,40.5,21,68
