#Data for Mariendorf, Mariendorfer Damm, Berlin from 2019/10/01 to 2020/04/02. [generated on 2020-04-02 00:24]
#Station is located at latitude 52.438115, longitude 13.38772
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Berlin Air Quality - (Luftqualität in Berlin)  http://www.stadtentwicklung.berlin.de/umwelt/luftqualitaet/
#Attribution: European Environment Agency  http://www.eea.europa.eu/themes/air/
date,pm10,pm10_min,pm10_max,no2,no2_min,no2_max
2020-04-02,10,10,10,21,21,21
2020-04-01,17.3,9,24,43.1,24,67
2020-03-31,12.2,9,22,39.3,12,79
2020-03-30,14.8,7,25,47.7,25,86
2020-03-29,16.3,6,36,11.8,4,24
2020-03-28,59.5,36,70,34.8,25,41
2020-03-27,57.8,45,74,32.9,20,47
2020-03-26,38.2,31,48,20.1,9,44
2020-03-25,31.1,22,38,18.1,8,40
2020-03-24,24.7,20,35,22.2,12,59
2020-03-23,16.4,11,22,27.5,12,55
2020-03-22,9.1,7,21,15.8,4,43
2020-03-21,10,8,16,10.5,7,22
2020-03-20,18,10,24,31.1,12,46
2020-03-19,28,12,50,42.4,19,74
2020-03-18,33.3,18,53,50.4,24,87
2020-03-17,31.8,21,48,63.8,48,80
2020-03-16,27.3,20,41,60.3,17,105
2020-03-15,14.3,10,25,19.8,12,40
2020-03-14,17.5,12,26,39.3,16,70
2020-03-13,12.3,7,22,29.7,10,53
2020-03-12,11.4,7,15,30.1,11,62
2020-03-11,15.3,6,27,40.8,7,67
2020-03-10,12.1,8,17,32.1,16,53
2020-03-09,22.3,14,33,56.2,20,86
2020-03-08,23.7,17,36,29.4,18,56
2020-03-07,27.9,20,42,33.6,12,68
2020-03-06,20.5,15,25,28,11,62
2020-03-05,21.8,13,34,31.5,18,57
2020-03-04,27.9,12,42,55.9,28,85
2020-03-03,18.4,8,29,49.6,16,85
2020-03-02,15.3,7,29,38.9,16,69
2020-03-01,7.5,6,11,23.4,8,53
2020-02-29,19.2,8,37,22.5,11,31
