#Data for Friedrichshain-Frankfurter Allee, Berlin from 2019/10/01 to 2020/04/02. [generated on 2020-04-02 00:24]
#Station is located at latitude 52.514072, longitude 13.469931
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Berlin Air Quality - (Luftqualität in Berlin)  http://www.stadtentwicklung.berlin.de/umwelt/luftqualitaet/
#Attribution: European Environment Agency  http://www.eea.europa.eu/themes/air/
date,pm10,pm10_min,pm10_max,o3,o3_min,o3_max,no2,no2_min,no2_max,so2,so2_min,so2_max,co,co_min,co_max
2020-04-02,10,10,10,68,68,68,18,18,18,1,1,1,0.2,0.2,0.2
2020-04-01,15.9,10,35,51.3,22,71,36.5,26,62,1.2,1,2,0.3,0.3,0.4
2020-03-31,10.2,7,18,59.4,36,77,19.5,6,50,1,1,1,0.2,0.2,0.4
2020-03-30,14.8,7,47,41.1,10,63,38.8,14,78,1.6,1,3,0.3,0.2,0.5
2020-03-29,16,6,35,73.7,53,92,6.7,2,13,"-","-","-",0.2,0.2,0.3
2020-03-28,57.7,37,66,87.4,46,128,15.3,11,23,1.8,1,4,0.3,0.3,0.4
2020-03-27,53.9,42,65,77.8,39,109,21.6,11,44,5.9,4,11,0.3,0.3,0.4
2020-03-26,39,34,48,68.4,39,83,27.7,14,46,4.4,2,9,0.3,0.3,0.4
2020-03-25,33.3,29,42,66.9,22,88,32.1,18,67,2.5,1,4,0.3,0.3,0.5
2020-03-24,27.2,22,38,53.5,8,73,37.5,22,80,1.7,1,4,0.4,0.3,0.5
2020-03-23,16.5,13,22,53.4,30,73,29.2,9,56,3.2,1,6,0.3,0.2,0.4
2020-03-22,8.5,6,12,68.1,55,78,8.9,4,22,1,1,1,0.2,0.2,0.3
2020-03-21,10.1,8,17,66.6,53,79,5.6,3,10,1.1,1,2,0.2,0.2,0.2
2020-03-20,17.2,7,22,55.4,34,78,17.4,5,40,1,1,1,0.2,0.2,0.3
2020-03-19,25.8,11,47,38.3,6,62,31.9,9,69,1.4,1,3,0.3,0.2,0.5
2020-03-18,30.3,21,49,31.1,2,62,48.2,31,80,1.3,1,2,0.4,0.3,0.6
2020-03-17,32.6,20,55,22.3,3,48,55.4,35,69,2,1,4,0.5,0.3,0.8
2020-03-16,29,20,58,34.9,3,58,52.1,21,109,2.5,1,5,0.5,0.3,1.7
2020-03-15,15.2,11,20,60.2,42,79,20,12,32,2.5,1,5,0.3,0.3,0.3
2020-03-14,16.8,10,27,54.1,24,74,32.3,13,55,1.1,1,2,0.3,0.2,0.5
2020-03-13,12.4,7,21,53,37,70,26.5,12,43,1,1,1,0.3,0.2,0.4
2020-03-12,13,7,25,45.1,32,57,31,9,54,1,1,1,0.3,0.2,0.4
2020-03-11,13.3,7,18,42,22,68,39.1,9,71,1.2,1,2,0.3,0.2,0.6
2020-03-10,15.2,9,26,32.8,15,46,30.5,16,49,1.5,1,3,0.3,0.3,0.5
2020-03-09,22.7,16,30,19.5,3,39,54.2,23,85,1.7,1,3,0.5,0.3,0.8
2020-03-08,26.2,19,31,30.5,11,51,34.2,19,62,1.1,1,2,0.4,0.3,0.7
2020-03-07,26.6,17,33,38.4,16,53,31.3,14,67,1.3,1,3,0.4,0.3,0.7
2020-03-06,23.6,20,29,22.3,2,54,45.5,14,64,1.2,1,2,0.5,0.3,0.7
2020-03-05,30.2,17,97,23.6,3,54,43.8,30,81,1.9,1,3,0.4,0.3,0.6
2020-03-04,26.1,14,42,28,10,41,47.7,27,70,1.5,1,2,0.4,0.3,0.6
2020-03-03,17.9,9,29,31.5,6,55,38,14,69,1.3,1,2,0.4,0.2,0.6
2020-03-02,15.6,8,26,31,11,44,42.8,19,69,1.3,1,2,0.4,0.2,0.5
2020-03-01,9.1,7,14,57.9,28,69,19.3,9,47,1.2,1,2,0.3,0.2,0.5
2020-02-29,21.8,9,42,47.8,35,66,21.4,9,33,1.3,1,2,0.3,0.2,0.4
2020-02-28,18.5,14,22,32.4,18,44,45.1,28,62,1.9,1,5,0.4,0.3,0.5
2020-02-27,21.3,11,52,35.8,18,51,41.9,16,61,1.1,1,2,0.4,0.2,0.6
2020-02-26,15.4,10,31,32.7,16,63,46.6,16,77,1.3,1,2,0.4,0.2,0.6
2020-02-25,12.1,7,16,39.1,15,54,35.6,12,76,1.1,1,2,0.3,0.2,0.5
2020-02-24,14,6,19,46.5,19,76,33.7,8,71,1.1,1,2,0.3,0.2,0.5
2020-02-23,8.7,5,14,59.2,36,72,21.4,12,40,1,1,1,0.3,0.2,0.5
2020-02-22,11.6,7,14,56,43,72,17.3,10,29,"-","-","-",0.3,0.2,0.3
2020-02-21,13.7,5,20,42.5,23,77,35.5,6,63,1.3,1,2,0.3,0.2,0.5
2020-02-20,19.6,12,27,28.2,4,52,35.2,14,66,2.3,1,4,0.4,0.2,0.6
2020-02-19,11.1,9,18,38.1,21,54,37,9,73,1.4,1,2,0.3,0.2,0.5
2020-02-18,11.2,7,20,46.3,30,64,30.6,10,57,1,1,1,0.3,0.2,0.5
2020-02-17,9.8,4,15,65.2,49,89,21,6,35,1,1,1,0.3,0.2,0.3
2020-02-16,11.3,9,16,45.3,36,55,18.2,13,25,2.6,1,5,0.3,0.2,0.3
2020-02-15,23.9,15,43,21.8,2,49,31.9,18,47,1.5,1,4,0.4,0.3,0.8
2020-02-14,26.7,15,39,15.8,3,39,45.3,28,77,2.1,1,4,0.5,0.3,0.8
2020-02-13,23.2,11,90,38.8,17,60,34.8,11,66,1.5,1,3,0.3,0.2,0.6
2020-02-12,16.4,8,71,51.1,37,67,30.1,9,59,1,1,1,0.3,0.2,0.5
2020-02-11,14,4,55,53.8,37,72,27.8,7,54,1,1,1,0.3,0.2,0.4
2020-02-10,9.6,5,14,52.6,29,80,27.7,4,53,1.1,1,2,0.3,0.2,0.4
2020-02-09,23,14,29,41.3,17,64,21.1,12,35,3,2,4,0.3,0.2,0.4
2020-02-08,24.5,17,31,25.1,12,46,30.8,15,55,1.9,1,3,0.4,0.2,0.5
2020-02-07,22.3,13,31,27.7,12,46,37.4,14,64,1,1,1,0.3,0.2,0.5
2020-02-06,19.3,13,24,27.1,11,39,45.8,24,73,1.5,1,2,0.4,0.2,0.5
2020-02-05,11,4,43,40.5,13,59,29,4,70,1.3,1,3,0.3,0.2,0.5
2020-02-04,13,7,18,43.3,26,57,31.8,12,52,1.3,1,2,0.3,0.2,0.4
2020-02-03,12.9,8,21,29.6,10,54,49.8,18,74,1.5,1,2,0.4,0.2,0.6
2020-02-02,12.6,8,16,50.7,28,66,26.5,9,56,1.3,1,2,0.3,0.2,0.5
2020-02-01,9.8,6,18,36.5,27,48,23.8,14,35,1,1,1,0.3,0.2,0.4
2020-01-31,17,6,26,28.8,16,48,44.3,13,79,1.6,1,3,0.4,0.2,0.6
2020-01-30,15.5,13,18,41.7,32,53,30.9,13,49,1.4,1,3,0.3,0.2,0.4
2020-01-29,15.1,7,22,43.5,31,62,32.7,12,53,1,1,1,0.3,0.2,0.4
2020-01-28,15.4,8,28,35.7,19,60,33,18,56,1.1,1,2,0.3,0.3,0.4
2020-01-27,41,26,88,12.1,2,31,38.3,25,52,2,1,4,0.5,0.3,0.7
2020-01-26,27.8,19,39,15,3,26,25.9,14,38,1.3,1,3,0.4,0.3,0.6
2020-01-25,23.3,17,37,12.7,6,21,30.9,22,40,1.7,1,2,0.4,0.3,0.5
2020-01-24,38.7,28,57,8.7,3,16,48.5,38,64,2.1,1,5,0.5,0.3,0.7
2020-01-23,26.6,16,41,17.7,1,41,52.8,35,70,1.4,1,3,0.4,0.3,0.6
2020-01-22,24.8,11,39,18.4,2,48,45,28,61,1.6,1,3,0.4,0.3,0.6
2020-01-21,25.5,19,39,14.7,3,26,50.7,25,74,2.6,1,4,0.4,0.3,0.6
2020-01-20,25.6,17,54,21.5,2,56,49.5,15,74,2.1,1,4,0.4,0.2,0.7
2020-01-19,22.3,18,27,37.4,26,48,27.7,14,44,1.1,1,2,0.3,0.2,0.4
2020-01-18,20.3,13,33,29.1,5,43,35.5,21,48,1,1,1,0.4,0.2,0.5
2020-01-17,35.2,25,46,14,2,40,43.2,27,58,2,1,3,0.5,0.4,0.7
2020-01-16,34.6,9,194,17.5,2,35,56.8,25,87,1.7,1,4,0.5,0.2,0.9
2020-01-15,43.9,11,230,27.5,11,38,36.9,18,53,3.1,2,6,0.4,0.2,0.5
2020-01-14,31.3,12,209,18.9,10,31,37.9,22,57,2.7,1,7,0.4,0.3,0.5
2020-01-13,19.6,10,29,23.3,5,47,36.3,10,58,1.6,1,3,0.4,0.2,0.5
2020-01-12,18.6,14,23,39.1,35,42,19.7,17,25,1,1,1,0.3,0.2,0.3
2020-01-11,14,8,21,42,33,53,25.9,11,46,1.1,1,2,0.3,0.2,0.5
2020-01-10,16.5,9,22,24.8,14,37,32.6,17,55,1,1,1,0.3,0.2,0.5
2020-01-09,20,14,28,5.7,1,11,33.1,20,49,1.6,1,3,0.4,0.3,0.6
2020-01-08,18.6,13,27,15.9,5,29,32.7,20,50,1.5,1,3,0.4,0.3,0.5
2020-01-07,27.1,20,33,7.5,1,32,44.8,24,65,2.1,1,3,0.5,0.3,0.7
2020-01-06,23.6,17,37,26,8,35,39.5,20,60,1.1,1,2,0.4,0.2,0.5
2020-01-05,18.5,14,26,29,13,53,34.5,12,52,1.5,1,3,0.4,0.2,0.5
2020-01-04,12.8,6,17,50.5,35,64,23.7,8,38,1,1,1,0.3,0.2,0.3
2020-01-03,18.5,13,30,20.5,4,28,28.9,20,40,2.6,2,4,0.4,0.3,0.5
2020-01-02,40.8,31,80,3.3,1,11,52.5,36,68,4.1,1,8,0.5,0.3,0.9
2020-01-01,85.8,21,757,28.7,7,55,33.2,3,58,15.7,2,223,0.4,0.2,1.1
2019-12-31,31.3,12,89,33.9,18,48,31.1,25,42,4,1,21,0.3,0.3,0.4
2019-12-30,25,15,86,15.1,4,29,38.2,27,52,2,1,5,0.4,0.3,0.6
2019-12-29,19.3,13,28,17.3,1,39,38.8,22,58,2,1,4,0.4,0.3,0.5
2019-12-28,9.2,6,15,32,17,49,25,10,53,1,1,1,0.3,0.2,0.5
2019-12-27,10.5,7,17,26.9,13,36,20.2,14,25,1,1,1,0.3,0.2,0.3
2019-12-26,12.5,8,18,28,15,37,31.2,15,53,1.2,1,2,0.3,0.2,0.5
2019-12-25,12.3,8,19,32,21,40,18.3,7,30,1,1,1,0.3,0.2,0.4
2019-12-24,16.8,11,21,27.3,20,38,30,16,36,1.2,1,2,0.3,0.2,0.4
2019-12-23,19.4,13,24,13.5,2,28,46.5,25,70,1.3,1,2,0.4,0.3,0.6
2019-12-22,26.5,23,31,6.9,3,11,30.5,19,43,1,1,1,0.4,0.3,0.6
2019-12-21,24.2,14,41,9.7,1,29,42.4,29,57,1.3,1,2,0.5,0.3,0.7
2019-12-20,37.8,33,45,4.8,1,9,46,25,66,2.3,1,3,0.6,0.4,0.8
2019-12-19,34.1,13,51,2.9,1,7,42.6,23,63,2.4,1,5,0.6,0.3,1
2019-12-18,30.5,14,111,13.3,1,35,58.2,27,89,2.4,2,3,0.5,0.3,1
2019-12-17,34.6,19,97,1.8,1,4,48,30,70,2.5,1,5,0.5,0.3,0.9
2019-12-16,19.9,10,32,14.3,1,53,52.8,16,76,3.1,1,8,0.5,0.2,0.9
2019-12-15,11.1,6,16,51.2,42,66,22.5,16,29,1.1,1,2,0.3,0.2,0.3
2019-12-14,16.8,9,33,25.5,5,61,31,16,51,1.3,1,3,0.4,0.2,0.5
2019-12-13,36.1,30,52,4.8,1,9,41.8,26,63,2.7,1,5,0.5,0.3,0.9
2019-12-12,28.4,17,57,8,1,22,41.6,22,63,1.7,1,3,0.4,0.2,0.7
2019-12-11,85.9,15,1102,21.7,4,45,46.4,16,85,2.5,1,4,0.4,0.2,0.9
2019-12-10,23.7,13,78,27.4,9,56,45.5,11,76,2.3,1,4,0.4,0.2,0.6
2019-12-09,17.7,8,55,40.5,12,62,31.4,10,73,1.8,1,5,0.3,0.2,0.5
2019-12-08,11.5,7,21,43.5,24,51,18.2,10,41,1,1,1,0.3,0.2,0.5
2019-12-07,12.3,9,17,33.9,20,40,28.7,12,53,1,1,1,0.3,0.2,0.4
2019-12-06,30.7,18,42,12,2,33,38.5,25,48,1.4,1,2,0.4,0.3,0.6
2019-12-05,37.3,28,54,3.5,1,10,45.3,37,59,2.5,1,6,0.5,0.4,0.7
2019-12-04,29.7,17,41,12.4,1,31,41.3,19,61,1.9,1,3,0.5,0.3,0.6
2019-12-03,23.3,11,51,15.5,1,43,48,18,75,2,1,4,0.5,0.2,1.1
2019-12-02,20.2,11,28,17.5,4,39,51.1,27,87,2.7,1,4,0.4,0.2,0.7
2019-12-01,28.3,20,39,16.2,3,32,40.9,20,60,1.9,1,5,0.4,0.3,0.6
2019-11-30,17.4,11,25,16.6,4,34,48.5,28,67,1.8,1,3,0.4,0.2,0.7
2019-11-29,12.8,7,25,34.5,19,55,34.3,13,55,1,1,1,0.3,0.2,0.5
2019-11-28,14.2,8,21,27.6,6,42,31.1,17,72,1.5,1,3,0.3,0.3,0.5
