#Data for Flughafen, Hamburg from 2019/10/01 to 2020/04/02. [generated on 2020-04-02 00:25]
#Station is located at latitude 53.63819900, longitude 9.99741900
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Hamburger air monitoring network - (Hamburger Luftmessnetz – FHH)  http://luft.hamburg.de/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,o3,o3_min,o3_max,no2,no2_min,no2_max,co,co_min,co_max
2020-04-02,2,2,2,6,6,6,"-","-","-","-","-","-","-","-","-"
2020-04-01,2,2,2,5.7,5,7,59.4,29,81,15.9,6,35,0.2,0.1,0.3
2020-03-31,2,2,2,5.3,4,6,50.1,3,78,21.5,5,76,0.3,0.2,0.5
2020-03-30,2,2,2,5.4,4,6,51.5,21,78,16.7,4,38,0.3,0.1,0.3
2020-03-29,15.8,11,20,12.9,5,24,70,52,80,3.5,2,14,0.1,0.1,0.3
2020-03-28,28.3,22,31,31.7,26,35,74.5,48,103,10.6,5,27,0.2,0.1,0.3
2020-03-27,22.7,18,28,28,24,33,77.6,42,100,13.5,9,32,0.3,0.3,0.3
2020-03-26,14.5,12,17,20.7,17,24,77,47,103,16.5,7,37,0.3,0.3,0.3
2020-03-25,10,9,12,15.9,15,17,66.3,35,96,24.8,7,46,0.3,0.2,0.5
2020-03-24,"-","-","-","-","-","-",54.3,21,83,24.5,8,48,0.2,0.1,0.3
2020-03-23,2,2,2,2.4,2,3,52.9,23,73,14,4,36,0.2,0.1,0.3
2020-03-22,2,2,2,2.5,2,3,63,41,79,6.1,2,16,0.2,0.1,0.3
2020-03-21,2,2,2,7.5,5,11,56,36,73,6.9,2,15,0.2,0.1,0.3
2020-03-20,2.7,2,3,11.3,9,13,43.7,28,54,11.4,6,23,0.2,0.2,0.3
2020-03-19,5,3,7,11.1,9,15,39.3,19,57,16.5,4,34,0.2,0.1,0.4
2020-03-18,7.4,7,9,16.2,14,19,36.3,25,43,17.9,11,25,0.3,0.2,0.3
2020-03-17,9.5,8,11,23.6,20,29,27.9,1,56,24.8,8,58,0.4,0.2,1
2020-03-16,4.5,3,6,2.6,2,4,31.7,7,47,27.7,10,49,0.3,0.2,0.4
2020-03-15,4.9,4,6,7.2,4,10,50.8,37,66,16,7,31,0.2,0.2,0.3
2020-03-14,4,3,5,12.3,10,14,35.3,1,67,28.7,8,47,0.3,0.1,0.5
2020-03-13,2.1,2,3,4.7,2,9,59.6,51,73,9.7,6,17,0.1,0.1,0.2
2020-03-12,2.8,2,3,"-","-","-",60.9,44,73,7.5,2,16,0.1,0.1,0.1
2020-03-11,"-","-","-","-","-","-",55.8,31,69,13.2,4,42,0.2,0.1,0.3
