#Data for 黄陂区站 from 2019/10/01 to 2020/04/02. [generated on 2020-04-02 00:23]
#Station is located at latitude 30.88444444, longitude 114.3691667
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Wuhan Environmental Protection Bureau (武汉市环保局)  http://www.whepb.gov.cn/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,o3,o3_min,o3_max,no2,no2_min,no2_max,so2,so2_min,so2_max,co,co_min,co_max
2020-04-02,37,37,37,55,55,55,59,59,59,7,7,7,6,6,6,0.6,0.6,0.6
2020-04-01,22.8,8,41,39.2,18,56,52,4,114,14.2,6,26,6.4,6,8,0.5,0.4,0.6
2020-03-31,21.6,13,32,32,18,51,57.5,37,75,10,4,24,6.3,5,7,0.4,0.3,0.4
2020-03-30,12.9,5,20,18.8,11,26,76,60,95,5.3,3,8,5.8,5,6,0.3,0.2,0.4
2020-03-29,12.5,3,22,17.1,4,36,68.7,49,79,6,2,18,5.8,5,7,0.3,0.2,0.6
2020-03-28,11.1,4,27,16.4,8,29,75.4,49,104,7.7,5,20,5.8,5,8,0.3,0.2,0.5
2020-03-27,11,2,22,22.5,5,37,54.5,38,67,6.6,4,10,5.9,5,6,0.3,0.3,0.4
2020-03-26,20,11,37,24.8,8,47,42.7,21,83,7,3,11,6.2,5,7,0.5,0.4,0.7
2020-03-25,30.6,19,45,54.5,26,89,34.4,20,45,14.2,5,25,6.8,6,9,0.9,0.6,1.3
2020-03-24,38.4,25,48,73.6,44,94,79.8,46,116,16,7,23,6.3,5,7,1,0.8,1.1
2020-03-23,34.3,24,43,75,60,105,111.8,66,167,9.7,7,15,6.4,5,8,0.7,0.6,0.9
2020-03-22,52.4,31,80,102.9,36,188,75.1,31,129,9.8,3,15,6.8,6,7,0.8,0.7,1
2020-03-21,39.5,21,54,66.5,42,84,78.7,31,131,13.1,8,19,6.8,6,9,0.7,0.6,0.8
2020-03-20,28.8,20,44,112.2,38,195,115.9,67,161,14,6,32,7.8,5,21,0.6,0.4,1.4
2020-03-19,31.6,20,44,92.5,48,194,93.3,36,138,11.5,7,22,6.6,6,8,0.6,0.5,0.7
2020-03-18,44.2,16,75,85.9,39,140,98.8,36,138,11.9,6,19,6.8,6,8,0.7,0.5,0.9
2020-03-17,40.8,18,67,81.5,54,102,96.3,46,154,13.1,6,26,6.8,5,11,0.7,0.5,1.1
2020-03-16,44.2,30,63,98.4,79,116,103.6,82,125,12.8,7,19,6.6,5,8,0.6,0.5,0.7
2020-03-15,32.9,17,50,93.4,76,107,96.4,43,146,13,5,28,6.5,6,7,0.5,0.4,0.6
2020-03-14,44.5,25,73,93.6,60,135,78.3,41,127,9.4,6,14,6,5,7,0.6,0.5,0.8
2020-03-13,48.3,29,69,94.1,54,157,62.4,41,85,11.8,4,19,6.9,6,8,0.7,0.6,1
2020-03-12,36.6,29,48,66.6,57,81,85.7,67,109,14.9,7,24,6.8,6,9,0.8,0.6,1.2
2020-03-11,35,21,46,85.3,73,98,85.3,38,130,11,7,17,6.5,6,8,0.6,0.5,0.8
2020-03-10,32.4,11,44,66.9,46,103,78.3,38,112,8.9,3,15,7,6,15,0.7,0.4,1
2020-03-09,44.9,32,66,67.9,46,97,81.1,58,120,7.6,5,11,5.9,5,6,0.9,0.7,1.1
2020-03-08,27.1,15,45,34.4,16,51,58.4,41,80,8.3,3,14,6.4,6,7,1,0.9,1.1
2020-03-07,37.5,21,56,55.3,28,76,59.5,14,120,12.2,5,21,6.6,5,7,1.1,0.9,1.4
2020-03-06,44.3,30,54,66.9,56,78,65.2,38,85,18.4,11,28,8.3,6,17,1.3,1,1.7
2020-03-05,47.3,38,59,75,57,93,110.7,79,139,10.3,7,17,6.7,6,8,1,0.9,1.1
2020-03-04,27.1,21,49,41.3,32,72,89.6,71,122,8,4,14,6.6,6,7,0.9,0.8,1
2020-03-03,22.4,15,33,32.8,25,51,66,58,79,6.8,2,14,6.1,6,7,0.8,0.8,0.9
2020-03-02,25.7,15,38,42.5,25,60,72.5,64,82,5.9,4,8,5.8,5,6,0.9,0.9,1
2020-03-01,27.3,17,42,41.5,26,63,69.5,40,94,6.2,2,10,5.8,5,6,1,0.9,1.1
2020-02-29,15.6,8,28,20.8,11,36,64.6,43,96,6.9,5,11,5.8,5,6,0.9,0.8,1
2020-02-28,12,4,23,15.6,8,25,39.4,30,52,8.3,5,12,5.8,5,6,0.8,0.8,0.9
2020-02-27,29.8,12,47,51.8,26,78,59.9,43,75,6,3,9,5.9,5,6,0.8,0.7,0.9
2020-02-26,46,12,87,66.4,21,112,58.7,38,87,7.4,4,11,5.9,5,6,1.1,0.7,1.4
2020-02-25,65.3,48,86,96.7,68,128,72.5,40,132,12.5,7,21,6.8,6,9,1.1,0.9,1.2
2020-02-24,36.9,29,50,62.7,42,85,89.2,65,116,13.7,8,25,7.1,6,12,1,0.8,1.5
2020-02-23,40.6,26,60,80.1,61,110,87.5,54,126,17.6,9,49,8.5,6,21,0.9,0.7,2.4
2020-02-22,40.1,28,57,61.2,30,93,69.6,22,125,11.2,8,16,6.3,6,7,0.8,0.7,1
2020-02-21,41.7,30,65,57.2,37,95,77.6,54,109,10.5,7,14,6.7,6,8,0.7,0.5,0.9
2020-02-20,38.5,9,57,53.8,25,78,78.6,42,116,11.6,7,18,6.5,5,8,0.7,0.5,0.9
2020-02-19,26.3,15,41,42.1,30,54,87,72,111,14.9,9,30,7.2,6,12,0.7,0.5,1.3
2020-02-18,24.2,10,47,34.2,19,58,83.8,47,127,13.5,4,31,8.3,6,18,0.7,0.4,1.6
2020-02-17,12.9,2,22,27.6,16,47,67.2,25,102,8.8,5,17,6.6,5,9,0.4,0.3,0.5
2020-02-16,14.3,6,24,27.4,18,35,65,46,92,7.2,5,10,6.5,6,7,0.4,0.3,0.5
2020-02-15,20.4,6,60,29.4,9,90,56.5,51,62,7.9,7,10,5.9,5,6,0.7,0.4,1.4
2020-02-14,23.5,8,49,35.8,13,79,36.4,25,54,5.3,2,10,5.9,5,6,0.8,0.6,1.5
2020-02-13,23.7,11,46,31.9,18,63,46.1,38,62,8.3,5,13,6.5,6,8,0.8,0.7,1
2020-02-12,27,13,48,40.2,28,68,39.8,20,63,14.9,9,31,6.7,6,7,0.8,0.6,1.4
2020-02-11,36,19,62,54.8,27,87,39.1,23,59,15.9,11,25,7.5,6,16,1,0.7,1.5
2020-02-10,48.5,30,62,65,45,94,50.8,24,78,19.7,12,35,9,6,25,1.1,0.6,2.2
2020-02-09,42.7,20,110,51.8,27,127,54.8,14,99,10.7,6,17,6.8,6,10,0.6,0.5,0.7
2020-02-08,23.9,13,36,30.4,14,49,60.2,38,71,7.5,2,17,6.2,4,10,0.6,0.4,0.8
2020-02-07,18.8,12,29,21.5,13,34,1.8,1,2,7.1,6,8,5.9,5,6,0.8,0.7,0.8
2020-02-06,41.3,4,106,59.9,13,148,36.7,2,60,8.5,7,13,6,5,7,0.9,0.8,1.3
2020-02-05,103.5,73,143,130.1,86,174,76.4,58,110,11.9,8,18,6.7,6,8,1.3,1.1,1.5
2020-02-04,79.5,45,104,103.2,61,136,86.8,53,130,16,10,33,7.6,6,17,1.2,1,2
2020-02-03,71,44,119,99.8,64,144,74.7,37,126,13.8,11,22,6.6,6,8,1,0.8,1.3
2020-02-02,59.8,51,67,74.7,67,92,59.6,30,84,20.1,13,34,6.7,6,7,1,0.9,1.2
2020-02-01,66,51,85,81,64,109,93.4,72,122,13.8,6,25,6.9,6,8,0.9,0.8,1.1
2020-01-31,74.8,53,90,90.4,68,103,95.7,67,142,13.3,5,23,7.4,6,14,1,0.8,1.3
2020-01-30,57.2,44,74,67.9,55,86,81.9,34,123,11.9,8,22,6.4,6,7,0.9,0.8,1
2020-01-29,47.4,40,63,59.8,48,74,59.8,17,102,12.7,9,18,7.9,6,27,0.8,0.7,0.9
2020-01-28,62.1,39,79,72,55,85,68.5,41,91,9.9,7,14,6.3,6,7,0.7,0.6,0.9
2020-01-27,50.4,31,76,56.2,32,79,68.5,59,78,9.7,9,11,6,5,7,0.9,0.7,1.1
2020-01-26,33.4,16,60,41.7,13,64,67,49,85,8.8,6,11,6,5,7,0.6,0.5,0.8
2020-01-25,53.3,11,119,62,21,142,57.1,53,63,9,7,13,6.1,6,7,0.8,0.4,1.5
2020-01-24,34.1,21,55,45.5,30,72,61.8,32,83,7.9,5,11,6.1,5,7,0.6,0.5,0.9
2020-01-23,87.5,58,105,113.7,86,134,49.1,36,61,12.5,10,19,6.5,6,7,1.2,1,1.5
2020-01-22,91.5,63,112,117.9,87,141,48.5,36,62,16.3,9,20,6.5,6,7,1.1,0.8,1.5
2020-01-21,69.2,55,110,92.7,75,156,59.5,40,79,20.2,12,35,6.8,6,8,0.8,0.7,0.9
2020-01-20,100.6,71,120,140.9,102,169,52.9,12,125,31.9,18,61,8.1,6,20,1.1,0.9,1.5
2020-01-19,80.4,48,112,127.2,99,166,41.4,8,105,26.9,13,64,6.7,6,8,1,0.8,1.3
2020-01-18,60.8,37,91,81.4,54,127,46.2,9,98,21.3,10,42,6.5,6,7,0.7,0.6,1
2020-01-17,49,31,70,61.8,37,86,45.1,20,71,16.7,9,39,6.3,6,7,0.7,0.5,0.8
2020-01-16,64.9,49,85,78.8,55,107,44.8,35,55,13.8,10,18,6.3,5,7,0.7,0.6,0.8
2020-01-15,89.6,56,103,119.1,70,136,58.4,41,101,14,11,17,6.7,6,7,0.8,0.7,0.9
2020-01-14,107.2,78,132,147,103,185,74.2,44,112,12.6,10,18,6.4,5,7,0.9,0.6,1.1
2020-01-13,42.6,20,76,70,37,113,36.9,4,81,23.3,9,47,6.5,6,8,0.6,0.4,1.1
2020-01-12,44.9,26,77,66.1,38,125,17.6,3,53,29.9,16,64,6.3,5,7,0.7,0.4,1.3
