#Data for Habichtstraße, Hamburg from 2019/10/01 to 2020/04/02. [generated on 2020-04-02 00:25]
#Station is located at latitude 53.59235000, longitude 10.05372400
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Hamburger air monitoring network - (Hamburger Luftmessnetz – FHH)  http://luft.hamburg.de/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,no2,no2_min,no2_max,co,co_min,co_max
2020-04-02,6,6,6,14,14,14,"-","-","-","-","-","-"
2020-04-01,6.7,6,7,13.8,12,15,43.7,21,79,0.3,0.1,0.4
2020-03-31,4.7,4,6,11.5,10,14,46.2,9,87,0.3,0.1,0.6
2020-03-30,3.2,2,5,7.6,4,12,49.4,7,86,0.3,0.1,0.5
2020-03-29,8.9,2,21,13,4,27,5.7,2,37,0.1,0.1,0.3
2020-03-28,29.7,24,32,37.6,30,40,17,9,35,0.2,0.1,0.3
2020-03-27,25.6,23,29,34.5,30,38,25,14,63,0.3,0.2,0.4
2020-03-26,19.6,17,22,26.7,25,29,30.3,16,65,0.3,0.2,0.5
2020-03-25,15.7,14,17,23.4,21,24,55.3,22,105,0.4,0.2,0.6
2020-03-24,10.4,7,14,17.6,14,21,51.7,19,99,0.4,0.2,0.6
2020-03-23,3.6,2,6,8.6,5,14,47.4,10,75,0.3,0.1,0.4
2020-03-22,2.7,2,3,5,5,5,12.7,6,22,0.1,0.1,0.2
2020-03-21,2.8,2,5,7.9,5,12,9.3,6,17,0.1,0.1,0.2
2020-03-20,4.7,4,5,12.7,10,14,19.5,6,42,0.1,0.1,0.3
2020-03-19,10.5,6,14,17.3,12,22,33.3,5,54,0.2,0.1,0.4
2020-03-18,11.1,10,13,19.2,17,24,46.2,15,67,0.3,0.1,0.5
2020-03-17,12.8,11,14,24.1,19,26,58.3,40,94,0.5,0.3,1.3
2020-03-16,7.7,5,10,12.9,9,18,52.8,25,99,0.4,0.2,0.8
2020-03-15,6,5,7,13,10,18,27,13,47,0.3,0.1,0.4
2020-03-14,5.7,4,7,19.9,18,21,44.5,24,65,0.4,0.2,0.6
2020-03-13,2.6,2,4,12.4,10,16,35.6,13,60,0.3,0.1,0.4
