#Data for Max-Brauer-Allee II, Hamburg from 2019/10/01 to 2020/04/02. [generated on 2020-04-02 00:25]
#Station is located at latitude 53.55572600, longitude 9.94306500
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Hamburger air monitoring network - (Hamburger Luftmessnetz – FHH)  http://luft.hamburg.de/
date,pm10,pm10_min,pm10_max,no2,no2_min,no2_max
2020-04-02,10,10,10,"-","-","-"
2020-04-01,11.3,10,13,33,18,57
2020-03-31,9.1,7,12,47.7,20,75
2020-03-30,6.1,4,8,43.7,21,69
2020-03-29,17.2,6,32,13,5,39
2020-03-28,39.8,34,42,31.3,23,53
2020-03-27,34.1,29,40,38.1,17,60
2020-03-26,25,22,29,31.8,14,56
2020-03-25,19.4,17,21,31.9,16,57
2020-03-24,12.6,9,16,29.3,17,48
2020-03-23,4.6,2,8,26.7,10,56
2020-03-22,3.1,2,4,11.3,6,19
2020-03-21,8,4,13,16.6,11,25
2020-03-20,12.8,10,14,32.8,16,51
2020-03-19,12.3,11,16,40.7,7,60
2020-03-18,18.3,16,21,36.2,19,52
2020-03-17,19.1,15,21,50.7,29,74
2020-03-16,12,10,14,51.5,33,73
2020-03-15,12.1,10,15,36.7,20,66
2020-03-14,18.4,16,21,39.3,22,74
2020-03-13,9.8,8,14,25.8,11,48
2020-03-12,10,8,14,20,8,44
2020-03-11,9.5,7,13,32.4,5,77
2020-03-10,10.3,7,13,39.9,14,63
2020-03-09,12.6,12,15,48.4,25,79
2020-03-08,17.6,15,19,35.6,20,51
2020-03-07,19.7,18,21,39.6,15,99
2020-03-06,16.9,15,18,34.9,7,54
2020-03-05,21,18,23,39.1,17,58
2020-03-04,16.7,13,21,41.6,18,68
2020-03-03,13.7,12,15,46.1,16,81
2020-03-02,12,9,15,51.7,37,73
2020-03-01,13.7,8,17,37.9,21,75
2020-02-29,12.3,10,16,30.2,14,43
2020-02-28,11.6,11,12,37.8,17,64
2020-02-27,9.4,7,11,41.9,11,64
2020-02-26,8.6,6,12,40.8,15,63
2020-02-25,8,5,11,21,5,48
2020-02-24,9.1,5,12,37.4,6,59
2020-02-23,7.2,5,10,25.1,8,53
2020-02-22,13.7,10,16,20.6,13,33
2020-02-21,9.7,8,13,32,8,57
2020-02-20,10.8,8,13,42.9,21,61
2020-02-19,8.6,7,10,27.4,15,38
2020-02-18,10.2,8,12,28.9,13,50
2020-02-17,8.7,5,12,33.6,7,58
2020-02-16,11.3,7,16,20,12,28
2020-02-15,19.6,17,22,35.1,24,48
2020-02-14,14.3,11,20,50.8,41,58
2020-02-13,9.6,7,12,40.3,13,66
2020-02-12,7,7,8,18.4,5,30
2020-02-11,7.5,7,8,17.2,4,26
2020-02-10,10.2,8,16,23.2,4,58
2020-02-09,23.1,18,25,22.7,12,42
2020-02-08,15.5,13,21,40.2,15,62
2020-02-07,16.2,13,18,43.6,19,81
2020-02-06,15.7,11,19,34.6,12,60
2020-02-05,8.5,7,10,38,10,67
2020-02-04,11.2,10,13,30.8,14,47
2020-02-03,10,10,11,32.9,17,54
2020-02-02,9.3,7,11,30.4,7,66
2020-02-01,12,8,16,21.9,13,33
2020-01-31,14.3,13,15,27.4,9,52
2020-01-30,10.7,8,14,34.4,15,67
2020-01-29,6.5,6,7,29.3,7,52
2020-01-28,14.5,7,23,39.9,19,67
2020-01-27,26.5,24,28,47.4,29,63
2020-01-26,25.7,24,28,33,25,39
2020-01-25,31.3,30,33,39,32,51
2020-01-24,29,25,32,40.7,33,47
2020-01-23,23,21,24,42.4,13,72
2020-01-22,30.3,24,35,43.3,14,65
2020-01-21,32.8,29,35,36.4,27,51
2020-01-20,29.7,26,32,45.6,26,62
2020-01-19,17.5,15,25,37.4,14,73
2020-01-18,20.6,17,23,26.6,7,45
2020-01-17,22.7,22,24,50.3,27,72
2020-01-16,17.5,15,22,46.1,12,71
2020-01-15,13.7,12,16,34.5,16,54
2020-01-14,17.7,13,21,37.6,20,54
2020-01-13,16.7,14,20,48.4,7,79
2020-01-12,19.8,17,21,28,15,40
2020-01-11,15.7,13,20,37.3,19,57
2020-01-10,17,14,20,33.9,22,60
2020-01-09,21.6,20,23,47.8,42,54
2020-01-08,25.8,20,31,38.4,20,52
2020-01-07,27.6,24,31,40.9,17,63
2020-01-06,27.1,26,29,45.2,13,64
2020-01-05,20.7,19,25,38.3,21,54
2020-01-04,18,17,19,24.3,8,42
2020-01-03,25.3,17,34,36.7,23,51
2020-01-02,36.7,33,74,37.7,21,56
2020-01-01,110.2,68,117,41.2,26,63
2019-12-31,20.4,14,30,32.5,14,59
2019-12-30,15,13,17,42,24,58
2019-12-29,15.5,15,17,42.2,33,58
2019-12-28,13.4,12,15,47.3,38,57
2019-12-27,13.5,12,14,40.6,22,54
2019-12-26,10.3,9,13,36.3,20,64
2019-12-25,15.7,14,17,37.1,24,58
2019-12-24,14.8,13,17,38.3,12,54
2019-12-23,16.2,14,17,36,13,65
2019-12-22,14.6,14,16,27.9,19,34
2019-12-21,16,14,20,49.5,33,65
2019-12-20,24.1,22,25,35.9,20,54
2019-12-19,22.3,18,24,40.3,24,51
2019-12-18,17,15,21,48.3,6,77
2019-12-17,19.7,19,21,51,21,70
2019-12-16,16.6,15,18,58,19,79
2019-12-15,14.3,13,16,27.2,16,39
2019-12-14,20.6,19,23,36.8,17,59
2019-12-13,19.2,17,24,33.5,14,48
2019-12-12,17.5,10,24,47.5,27,64
2019-12-11,14,10,17,52,20,78
2019-12-10,14.1,11,17,50.2,11,76
2019-12-09,8.7,7,11,42.7,15,71
2019-12-08,8.4,8,9,26.9,16,38
2019-12-07,9.4,7,15,28.2,14,44
2019-12-06,27.4,18,32,47.5,23,64
2019-12-05,33.6,30,39,47.7,33,64
2019-12-04,32.3,24,39,45.7,25,69
2019-12-03,"-","-","-",39.6,20,53
2019-12-02,26.1,24,27,45.9,23,62
2019-12-01,17.5,11,25,42.5,32,54
2019-11-30,12.7,11,15,40.1,23,62
2019-11-29,11.1,9,14,43.4,11,84
2019-11-28,13.5,10,18,39.6,17,62
2019-11-27,21.7,18,26,37.8,27,49
2019-11-26,33.6,29,38,31.5,17,46
2019-11-25,38,37,39,25.7,15,40
2019-11-24,31.9,28,36,18.8,11,33
2019-11-23,26.1,25,27,22.1,17,29
2019-11-22,26.6,25,28,33.3,23,46
