#Data for Finkenwerder West, Hamburg from 2019/10/01 to 2020/04/02. [generated on 2020-04-02 00:25]
#Station is located at latitude 53.53623700, longitude 9.84423100
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Hamburger air monitoring network - (Hamburger Luftmessnetz – FHH)  http://luft.hamburg.de/
date,pm10,pm10_min,pm10_max,no2,no2_min,no2_max
2020-04-02,14,14,14,"-","-","-"
2020-04-01,11.5,9,13,21.7,5,62
2020-03-31,7.1,6,9,26.1,7,70
2020-03-30,5.4,2,7,26.8,8,71
2020-03-29,12.4,4,30,6.8,2,20
2020-03-28,42.2,33,47,16.5,5,53
2020-03-27,35.8,31,41,26.3,14,59
2020-03-26,28.2,26,31,40.6,12,81
2020-03-25,22.8,19,26,34.4,11,71
2020-03-24,14.8,11,18,22,4,65
2020-03-23,5.3,3,10,19.8,5,41
2020-03-22,3.5,3,5,16.2,2,36
2020-03-21,8.5,5,12,11.6,4,27
2020-03-20,10.8,7,13,16.3,8,31
2020-03-19,11.7,8,16,19.7,8,38
2020-03-18,15.1,13,18,12.2,8,16
2020-03-17,17.4,14,19,20.3,8,48
2020-03-16,9.5,7,13,17.6,6,53
2020-03-15,10.3,8,15,4.7,2,6
2020-03-14,18.8,16,21,11.1,2,49
2020-03-13,9.7,8,15,7,4,9
2020-03-12,10.3,8,13,4.2,2,9
2020-03-11,10.7,7,14,8.3,2,15
2020-03-10,8.3,6,10,10.6,4,18
2020-03-09,7.2,6,8,12.5,4,27
2020-03-08,35.7,7,46,6,2,10
2020-03-07,25.3,18,47,13.3,5,29
2020-03-06,16.4,14,19,23,9,36
2020-03-05,19.6,16,24,31.4,12,52
2020-03-04,18.3,11,24,19,10,33
2020-03-03,12.7,10,15,23.9,10,37
2020-03-02,11.1,8,15,22.4,6,42
2020-03-01,12.8,9,16,5.5,2,26
2020-02-29,9.3,7,12,4.4,2,7
2020-02-28,9.9,9,10,9.7,4,18
2020-02-27,7.3,5,9,9.7,2,18
2020-02-26,8.6,7,10,16.2,9,36
2020-02-25,8.9,6,13,5.7,2,9
2020-02-24,10.7,6,14,11.8,2,26
2020-02-23,7.7,6,11,3.8,2,11
2020-02-22,13.4,11,14,4.1,2,8
2020-02-21,10.3,9,13,9.4,2,16
2020-02-20,13.5,11,15,11.9,2,16
2020-02-19,9.8,9,11,7.3,2,12
2020-02-18,10,9,11,8.6,4,13
2020-02-17,6.3,5,8,7,2,11
2020-02-16,8.6,6,12,3.1,2,10
2020-02-15,15.8,13,20,7.7,5,12
2020-02-14,16.2,11,20,26.5,9,51
2020-02-13,10.1,9,12,16.4,5,35
2020-02-12,8.4,8,9,5.8,2,8
2020-02-11,8.7,7,11,5,2,8
2020-02-10,9.9,9,12,3.4,2,7
2020-02-09,20,14,22,6.8,2,15
2020-02-08,16.7,13,21,13.4,5,29
2020-02-07,14.2,12,16,14.8,5,33
2020-02-06,13.8,10,18,14,7,20
2020-02-05,8.3,8,9,18.7,8,45
2020-02-04,11.3,9,13,9.5,5,18
2020-02-03,11,10,13,9.3,5,18
2020-02-02,9,8,10,7.1,2,32
2020-02-01,14.3,10,17,4.9,2,7
2020-01-31,12.6,11,16,10,2,19
2020-01-30,12,9,14,11.8,8,19
