#Data for Milano Pascal Città Studi, Lombardia from 2019/10/01 to 2020/04/02. [generated on 2020-04-02 00:25]
#Station is located at latitude 45.478347, longitude 9.231667
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Agenzia Regionale per la Protezione dell'Ambiente della Lombardia)  https://ita.arpalombardia.it/ITA/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,o3,o3_min,o3_max,no2,no2_min,no2_max,so2,so2_min,so2_max
2020-03-30,12,12,12,26,26,26,93,93,93,36,36,36,4,4,4
2020-03-29,19,19,19,80,80,80,105,105,105,42,42,42,5,5,5
2020-03-28,23,23,23,85,85,85,94,94,94,48,48,48,5,5,5
2020-03-27,17,17,17,32,32,32,79,79,79,45,45,45,4,4,4
2020-03-26,13,13,13,19,19,19,69,69,69,34,34,34,4,4,4
2020-03-25,13,13,13,18,18,18,81,81,81,37,37,37,5,5,5
2020-03-24,15,15,15,22,22,22,84,84,84,55,55,55,5,5,5
2020-03-23,9,9,9,17,17,17,73,73,73,36,36,36,4,4,4
2020-03-22,18,18,18,26,26,26,80,80,80,13,13,13,4,4,4
2020-03-21,23,23,23,32,32,32,110,110,110,56,56,56,6,6,6
2020-03-20,36,36,36,47,47,47,94,94,94,65,65,65,5,5,5
2020-03-19,34,34,34,45,45,45,115,115,115,86,86,86,7,7,7
2020-03-18,36,36,36,48,48,48,109,109,109,80,80,80,4,4,4
2020-03-17,32,32,32,42,42,42,93,93,93,73,73,73,11,11,11
2020-03-16,21,21,21,26,26,26,86,86,86,73,73,73,5,5,5
2020-03-15,19,19,19,22,22,22,82,82,82,53,53,53,4,4,4
2020-03-14,20,20,20,24,24,24,66,66,66,32,32,32,3,3,3
2020-03-13,9,9,9,15,15,15,83,83,83,43,43,43,5,5,5
2020-03-12,21,21,21,31,31,31,64,64,64,66,66,66,5,5,5
2020-03-11,12,12,12,21,21,21,85,85,85,76,76,76,9,9,9
2020-03-10,19,19,19,26,26,26,74,74,74,61,61,61,6,6,6
2020-03-09,22,22,22,27,27,27,79,79,79,76,76,76,5,5,5
2020-03-08,14,14,14,19,19,19,88,88,88,81,81,81,6,6,6
2020-03-07,24,24,24,31,31,31,84,84,84,58,58,58,7,7,7
2020-03-06,20,20,20,24,24,24,55,55,55,70,70,70,4,4,4
2020-03-05,16,16,16,21,21,21,61,61,61,64,64,64,4,4,4
2020-03-04,16,16,16,24,24,24,74,74,74,75,75,75,9,9,9
2020-03-03,14,14,14,20,20,20,39,39,39,62,62,62,4,4,4
2020-03-02,22,22,22,29,29,29,47,47,47,45,45,45,5,5,5
2020-03-01,24,24,24,30,30,30,52,52,52,34,34,34,4,4,4
2020-02-29,19,19,19,27,27,27,51,51,51,72,72,72,9,9,9
2020-02-28,7,7,7,12,12,12,87,87,87,87,87,87,7,7,7
2020-02-27,7,7,7,12,12,12,68,68,68,69,69,69,13,13,13
2020-02-26,29,29,29,42,42,42,79,79,79,58,58,58,6,6,6
2020-02-25,43,43,43,64,64,64,51,51,51,71,71,71,5,5,5
2020-02-24,31,31,31,43,43,43,71,71,71,48,48,48,7,7,7
2020-02-23,33,33,33,44,44,44,81,81,81,73,73,73,11,11,11
2020-02-22,40,40,40,54,54,54,70,70,70,75,75,75,12,12,12
2020-02-21,32,32,32,46,46,46,57,57,57,79,79,79,11,11,11
2020-02-20,16,16,16,25,25,25,62,62,62,86,86,86,39,39,39
2020-02-19,38,38,38,51,51,51,59,59,59,83,83,83,11,11,11
2020-02-18,44,44,44,59,59,59,49,49,49,70,70,70,6,6,6
2020-02-17,42,42,42,54,54,54,31,31,31,68,68,68,4,4,4
2020-02-16,56,56,56,72,72,72,67,67,67,82,82,82,7,7,7
2020-02-15,47,47,47,62,62,62,46,46,46,68,68,68,7,7,7
2020-02-14,26,26,26,35,35,35,51,51,51,84,84,84,6,6,6
2020-02-13,26,26,26,35,35,35,52,52,52,77,77,77,12,12,12
2020-02-12,7,7,7,15,15,15,79,79,79,98,98,98,8,8,8
2020-02-11,20,20,20,28,28,28,76,76,76,79,79,79,10,10,10
2020-02-10,52,52,52,64,64,64,30,30,30,72,72,72,4,4,4
2020-02-09,64,64,64,79,79,79,14,14,14,76,76,76,6,6,6
2020-02-08,41,41,41,55,55,55,46,46,46,80,80,80,10,10,10
2020-02-07,27,27,27,43,43,43,58,58,58,103,103,103,13,13,13
2020-02-06,16,16,16,24,24,24,59,59,59,79,79,79,10,10,10
2020-02-05,8,8,8,13,13,13,81,81,81,61,61,61,5,5,5
2020-02-04,23,23,23,40,40,40,81,81,81,38,38,38,4,4,4
2020-02-03,30,30,30,45,45,45,14,14,14,65,65,65,10,10,10
2020-02-02,31,31,31,40,40,40,15,15,15,43,43,43,5,5,5
2020-02-01,63,63,63,80,80,80,8,8,8,58,58,58,5,5,5
2020-01-31,51,51,51,70,70,70,31,31,31,86,86,86,11,11,11
2020-01-30,34,34,34,47,47,47,33,33,33,74,74,74,9,9,9
2020-01-29,19,19,19,30,30,30,49,49,49,88,88,88,7,7,7
2020-01-28,47,47,47,61,61,61,11,11,11,66,66,66,4,4,4
2020-01-27,75,75,75,99,99,99,7,7,7,102,102,102,9,9,9
2020-01-26,67,67,67,81,81,81,40,40,40,66,66,66,7,7,7
2020-01-25,64,64,64,80,80,80,12,12,12,70,70,70,6,6,6
2020-01-24,74,74,74,98,98,98,7,7,7,118,118,118,8,8,8
2020-01-23,49,49,49,67,67,67,30,30,30,80,80,80,7,7,7
2020-01-22,37,37,37,49,49,49,27,27,27,76,76,76,12,12,12
2020-01-21,36,36,36,51,51,51,10,10,10,90,90,90,16,16,16
2020-01-20,16,16,16,25,25,25,59,59,59,71,71,71,6,6,6
2020-01-19,34,34,34,41,41,41,37,37,37,68,68,68,4,4,4
2020-01-18,33,33,33,40,40,40,45,45,45,68,68,68,4,4,4
2020-01-17,52,52,52,69,69,69,24,24,24,123,123,123,14,14,14
