#Data for 蔡甸区站 from 2019/10/01 to 2020/04/02. [generated on 2020-04-02 00:23]
#Station is located at latitude 30.58766667, longitude 114.0213611
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Wuhan Environmental Protection Bureau (武汉市环保局)  http://www.whepb.gov.cn/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,o3,o3_min,o3_max,no2,no2_min,no2_max,so2,so2_min,so2_max,co,co_min,co_max
2020-04-02,24,24,24,35,35,35,40,40,40,15,15,15,5,5,5,0.8,0.8,0.8
2020-04-01,22.2,6,37,35.5,18,53,38.5,2,91,26.8,7,47,6,5,7,0.7,0.6,1.3
2020-03-31,22.3,12,38,32.1,18,50,47.3,28,67,12.1,5,20,5.8,5,7,0.6,0.5,1
2020-03-30,13.6,6,20,19.9,8,33,60.4,42,79,9.8,3,26,5.9,5,6,0.6,0.4,0.7
2020-03-29,11.9,5,27,14.9,2,37,58,52,65,8.6,4,13,6,5,7,0.6,0.5,0.9
2020-03-28,9.8,2,24,18.9,2,30,60.1,53,76,8.8,2,22,6,5,7,0.7,0.5,1
2020-03-27,12.5,2,23,20,9,29,47.8,28,58,7.4,5,14,6.1,6,7,0.6,0.5,0.8
2020-03-26,23.4,6,41,30.8,15,49,42.8,1,86,15.2,2,29,6.4,5,8,1,0.6,1.5
2020-03-25,30.6,17,49,42.4,8,67,43,28,64,13.7,7,22,7.6,6,12,1.1,0.8,1.3
2020-03-24,36.8,22,57,58,40,81,67.5,44,80,17.7,8,29,7.3,6,13,1,0.8,1.2
2020-03-23,40.4,29,55,71.7,56,99,80.8,28,145,17.5,8,37,6.7,6,8,0.9,0.7,1.8
2020-03-22,57,39,81,88.8,49,144,56.8,18,110,11.1,5,15,6.3,5,7,0.9,0.7,1.1
2020-03-21,36.2,26,47,56.7,46,77,61.1,8,91,22.9,8,55,11.6,6,30,1,0.7,2
2020-03-20,28,16,40,89.7,32,157,90.3,47,136,14.5,1,32,6.4,5,8,0.7,0.5,1.2
2020-03-19,32.4,26,38,66.9,44,127,82.5,13,125,13.2,3,40,6.3,6,8,0.6,0.5,0.7
2020-03-18,46,14,81,75.5,37,130,67.6,9,94,6,1,12,6.8,6,8,0.9,0.1,5.3
2020-03-17,44.9,21,62,79.5,55,95,73.5,15,125,16.7,3,54,6.6,6,10,0.8,0.5,1.2
2020-03-16,39.8,28,51,85.5,67,98,62.5,28,99,23.8,9,46,7.2,6,9,0.8,0.5,1.3
2020-03-15,28.4,20,38,81.4,73,90,90.2,38,120,8.2,3,27,6.5,6,8,0.5,0.4,0.9
2020-03-14,48.7,26,71,84,62,106,66.5,31,113,7.5,3,12,6.4,5,8,0.7,0.5,0.9
2020-03-13,46.1,33,65,80.3,50,151,46.5,22,82,21.4,11,55,6.1,5,7,0.9,0.6,1.8
2020-03-12,41.4,33,52,59.8,49,71,54.5,21,87,25.3,13,51,6.7,6,8,0.9,0.7,1.5
2020-03-11,32,23,40,68.5,54,87,73.9,24,113,16,5,29,7.5,6,18,0.6,0.5,1.1
2020-03-10,29.9,26,36,48.5,30,85,71.6,41,108,6.7,4,13,6.4,6,7,0.6,0.5,0.6
2020-03-09,41.8,20,67,47.6,29,69,66.9,30,102,8.1,5,15,6,6,7,0.7,0.5,0.9
2020-03-08,23.9,17,39,32.6,14,43,51.8,8,75,17.1,5,49,6.8,6,8,0.8,0.6,1.5
2020-03-07,30.5,19,48,36.4,24,63,69,38,126,11,4,23,6.6,6,8,0.7,0.6,1.2
2020-03-06,38.5,28,53,52,38,66,62.9,50,86,18.5,13,34,6.4,6,8,0.6,0.6,0.8
2020-03-05,44.5,33,66,62.5,45,77,78.1,27,124,25.3,2,69,6.3,6,7,1,0.6,1.4
2020-03-04,29.5,22,43,39.5,27,56,67.3,35,104,17.9,5,41,6.3,6,7,1.2,0.9,1.5
2020-03-03,21.3,14,33,28.1,18,35,51.4,33,68,9.5,6,20,6.6,6,7,0.9,0.9,1
2020-03-02,25.5,20,31,41.5,25,57,60.2,43,72,13.1,5,29,6.3,5,7,1.1,1,1.4
2020-03-01,24.7,5,36,35.2,17,53,55.1,27,82,6.2,2,15,6.9,6,7,1.1,1,1.1
2020-02-29,13.1,2,23,16.8,9,34,60.3,42,96,7.1,2,12,6.7,6,7,1,0.9,1.1
2020-02-28,10.8,2,19,12.7,4,22,34.8,27,43,10,5,14,7,7,7,0.9,0.9,1
2020-02-27,29,14,47,41.5,22,62,52.4,35,66,6.9,1,13,6.8,6,7,0.9,0.8,1
2020-02-26,42.8,20,66,57.3,20,90,48.2,34,72,9.3,2,15,6.8,6,7,1.3,0.8,1.5
2020-02-25,69.1,58,89,87.8,66,113,58,21,107,16,7,29,6.1,5,7,1.2,1.1,1.3
2020-02-24,40.6,29,65,60.4,39,77,69.3,40,105,18.2,5,59,8.1,6,20,1.1,0.9,1.3
2020-02-23,34.4,22,50,64.9,51,77,78.2,40,103,18.4,9,49,7.2,6,13,1,0.9,1.2
2020-02-22,36.8,29,48,49.6,31,79,64.3,24,110,15.9,5,42,6.5,6,7,1,0.8,1.2
2020-02-21,39.9,28,49,50.7,29,66,61.3,44,92,14.1,7,24,5.8,5,7,0.9,0.8,1
2020-02-20,32.3,16,48,44.8,29,67,56.5,11,111,38,9,77,6.5,5,7,1.1,0.8,1.8
2020-02-19,25.1,17,39,35.6,22,47,76,61,102,18.5,7,30,6.8,6,10,0.9,0.7,1.1
2020-02-18,16.2,6,22,24.4,13,36,74.5,23,117,16.3,2,50,6.4,5,7,0.8,0.6,1.6
2020-02-17,13.2,9,19,25.8,16,37,68.8,37,98,7.5,1,26,6.3,5,7,0.6,0.6,0.7
2020-02-16,13.2,8,17,24.3,16,34,60.6,40,89,5,1,23,6.4,5,7,0.7,0.6,0.7
2020-02-15,21.2,4,63,26.8,7,79,51.7,43,57,3.8,1,14,7,6,8,0.9,0.7,1.6
2020-02-14,23.5,13,48,36,15,68,24.3,7,44,16.3,2,47,6.3,5,7,1.2,0.9,1.7
2020-02-13,20.8,14,28,32,20,45,23.5,8,40,26.6,16,56,6.3,5,7,1.2,1,1.5
2020-02-12,23.4,15,32,31.1,19,46,28.8,14,49,23.4,5,39,6.1,5,7,1,0.8,1.1
2020-02-11,26.8,14,41,31.5,16,44,40.3,27,56,17.7,11,31,6.1,5,7,0.9,0.8,1.3
2020-02-10,33.9,25,39,41.2,29,51,54.6,35,70,20,9,30,5.8,5,7,0.9,0.8,1.3
2020-02-09,31.1,20,52,38,19,53,56.5,26,85,12.7,5,38,5.9,5,7,0.8,0.7,1
2020-02-08,22.8,17,30,26,16,40,46.1,32,65,8.8,2,39,6.5,6,7,0.7,0.6,0.9
2020-02-07,21.9,13,29,26.1,15,38,39.6,31,48,2.8,1,6,7,7,7,0.6,0.6,0.7
2020-02-06,46.4,12,104,55.5,12,124,45.2,39,52,4.4,2,12,7,6,8,0.7,0.6,1.1
2020-02-05,78.8,58,120,91.9,65,140,67.4,36,107,14.5,8,20,6.1,5,7,1.1,0.8,1.4
2020-02-04,66.1,41,93,78.3,46,112,60.3,10,112,15.9,3,28,6.5,5,12,1.1,0.7,1.8
2020-02-03,60.9,38,94,74.6,48,115,62.3,26,115,11.5,4,45,6.3,5,9,1,0.7,1.9
2020-02-02,76.8,51,102,87.8,61,107,54,37,72,14.4,8,25,6.4,6,7,1,0.7,1.3
2020-02-01,62.8,46,96,74.8,55,126,73.1,44,103,18.6,11,31,7.4,6,13,1.1,0.9,1.5
2020-01-31,56.2,36,80,66.7,44,95,71.3,8,118,17.1,5,39,7,5,14,0.9,0.6,1.7
2020-01-30,50.2,39,67,58.5,46,80,69.6,28,113,8.8,5,24,6.5,6,7,0.7,0.6,1
2020-01-29,49.7,41,60,59,48,73,67.5,46,94,5.7,2,9,6.8,6,14,0.8,0.7,0.9
2020-01-28,51.6,35,63,59.9,39,72,55.3,33,83,6.4,2,17,6,5,7,0.9,0.6,1.1
2020-01-27,49.2,25,67,55.2,26,74,56.9,46,66,2.5,1,7,6.2,5,7,1.1,0.9,1.2
2020-01-26,34.6,15,53,39.2,18,57,56,43,74,1.7,1,2,6.4,6,7,0.7,0.5,0.9
2020-01-25,50,18,110,57.3,18,144,46,40,55,2.9,1,7,6.3,5,7,1,0.5,1.6
2020-01-24,34.3,19,59,43.4,26,83,46.4,19,66,4.7,1,10,6,6,6,0.7,0.5,1.1
2020-01-23,81.4,63,97,96.3,72,120,33.3,23,51,15.3,10,25,6.5,5,7,1.4,1.2,1.5
2020-01-22,84,55,109,99.2,67,125,27.5,12,41,22.2,13,31,6.2,5,7,1.1,0.9,1.3
2020-01-21,79.7,69,92,101.4,83,114,27.9,3,54,47,32,92,6.8,6,8,1.4,1.1,1.7
2020-01-20,82.1,52,100,107.8,70,130,27.4,3,92,55.6,22,100,8.8,6,13,1.5,0.9,2.2
2020-01-19,96.3,72,120,121.7,88,147,47.9,10,94,19.4,8,44,6.3,5,8,1.1,1,1.4
2020-01-18,54.2,40,106,78.3,53,140,25.6,2,65,38.4,23,53,7.3,6,12,1.2,1,1.4
2020-01-17,41.7,31,55,49.9,31,80,27.8,3,57,28.9,8,62,6.3,5,7,0.9,0.8,1.2
2020-01-16,60.1,36,93,72.1,41,114,31.3,19,41,17.9,9,31,5.9,5,6,1,0.9,1.2
2020-01-15,83.1,70,97,102.7,83,116,33.6,14,65,29.5,21,38,6.1,5,7,1.1,1,1.3
2020-01-14,91.5,54,125,121,72,161,38.6,2,94,39.9,22,93,6.6,5,7,1.1,0.9,1.3
2020-01-13,52.2,28,82,75.3,34,131,22.8,2,66,51.9,26,86,6.5,6,7,1.1,0.6,1.7
2020-01-12,48.8,24,88,69.8,39,127,16.7,2,58,48.8,32,90,6.5,6,7,1,0.6,1.9
2020-01-11,45.5,34,58,58.8,41,85,21.6,4,41,26.6,16,53,6.5,6,8,0.8,0.6,2.1
2020-01-10,32,20,47,46.7,21,83,11.5,6,17,31.2,27,36,6.1,6,8,0.7,0.5,0.9
2020-01-09,23.3,9,44,25.2,7,46,20.5,9,43,29.5,14,41,6.3,5,8,0.6,0.4,0.7
2020-01-08,39.5,30,60,48.8,36,73,26.1,2,41,34.8,19,63,6.5,6,7,0.8,0.6,1
2020-01-07,18.4,3,41,22.7,3,62,29.3,2,60,23.3,9,64,6.5,6,7,1.3,1,1.6
2020-01-06,16.3,6,23,26.1,14,65,4.2,1,11,34.2,22,50,6.7,6,8,1.5,1.1,2.2
2020-01-05,59.3,22,99,89.3,61,115,1.9,1,2,32.5,24,46,6.5,6,7,1.2,1,1.4
2020-01-04,103.9,79,122,134.9,107,162,3.4,2,8,43.4,27,61,6.7,6,7,1.2,1,1.6
2020-01-03,91.8,79,103,119.3,103,136,3.3,2,7,36.3,32,40,6.3,5,7,1,0.9,1.1
2020-01-02,68.9,47,91,121.5,80,154,3.5,2,7,36.7,28,48,6.9,6,7,0.9,0.8,1.1
2020-01-01,42.2,27,60,76.3,61,92,4.2,2,11,52.5,43,63,6.6,6,7,0.9,0.7,1.5
2019-12-31,78.4,34,160,113.1,59,228,17.2,2,27,35.9,21,57,6.8,6,8,1,0.7,1.7
2019-12-30,68,31,146,104,66,183,18,2,63,40.4,20,62,6.7,6,7,1.2,0.9,1.7
2019-12-29,46.2,30,65,70.3,45,122,11.5,1,47,44,19,70,6.5,6,7,1.1,0.7,1.7
2019-12-28,67.3,47,86,113,94,143,3.3,2,8,72,64,80,36.8,6,222,1.5,1.1,2.2
2019-12-27,59.5,28,91,105.3,51,150,22.8,2,81,49.8,15,94,6.5,6,7,1.3,0.7,2.2
2019-12-26,72.2,21,123,97.5,22,161,20.8,3,54,35.3,20,72,6.4,6,7,1.3,0.8,1.8
2019-12-25,43.9,12,72,60,16,118,4.7,2,15,28,22,45,6.4,5,7,1,0.7,1.3
2019-12-24,74.1,56,94,99.4,73,130,5.4,2,22,36.4,29,52,6,5,7,1.4,1.2,1.7
2019-12-23,40.5,23,66,59.8,40,84,15,2,42,36.5,18,51,6.3,6,7,0.9,0.7,1.2
2019-12-22,36,23,51,51.6,30,103,36.5,10,63,24.3,12,50,15.7,5,111,0.7,0.5,0.8
2019-12-21,48.3,35,65,72.7,44,115,7.2,5,21,44.5,36,49,6.5,6,7,1.1,0.6,1.4
2019-12-20,45,31,59,71.2,44,89,7.9,5,25,43.2,33,53,6.4,6,7,1,0.9,1.4
