#Data for 洪山地大 from 2019/10/01 to 2020/04/02. [generated on 2020-04-02 00:23]
#Station is located at latitude 30.52027778, longitude 114.3983333
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Wuhan Environmental Protection Bureau (武汉市环保局)  http://www.whepb.gov.cn/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,o3,o3_min,o3_max,no2,no2_min,no2_max,so2,so2_min,so2_max,co,co_min,co_max
2020-04-02,30,30,30,46,46,46,45,45,45,18,18,18,9,9,9,1.1,1.1,1.1
2020-04-01,20.3,6,43,28.3,11,43,52.7,17,99,14.9,9,22,5.2,4,8,0.7,0.6,1.1
2020-03-31,20,8,36,26.9,17,44,42,30,58,15.5,8,26,5.3,5,8,0.6,0.6,0.7
2020-03-30,15.6,2,30,22.9,2,37,54.2,39,68,11.8,2,34,6.7,4,13,0.8,0.5,1.5
2020-03-29,8.4,2,25,13.6,6,28,66.5,52,76,3.9,2,8,5.3,4,11,0.6,0.5,1
2020-03-28,11.6,2,26,14.4,4,33,65.4,50,93,7.8,3,22,6,4,11,0.7,0.5,1.2
2020-03-27,14.1,3,27,17.3,2,34,43.2,26,58,9.4,3,20,6.7,5,12,0.9,0.5,1.6
2020-03-26,25.3,12,44,37.8,13,81,37.8,8,79,12.2,4,21,7.5,6,14,1,0.6,1.5
2020-03-25,27.7,3,46,41.3,14,73,29.3,17,48,13,4,20,8,5,16,1,0.7,1.2
2020-03-24,33.3,23,46,54.8,44,74,70.8,34,92,14.9,7,26,13.8,8,20,1,0.7,1.2
2020-03-23,37.8,27,50,71.9,57,89,93.9,45,144,10.7,3,22,7.4,6,11,1,0.7,1.4
2020-03-22,49.2,25,83,82.7,40,153,52.3,13,104,14.7,4,28,7.5,4,12,1.5,1,2.2
2020-03-21,36.8,29,48,60.8,43,80,52.8,19,114,18.7,10,27,14.6,5,27,1.2,0.9,1.7
2020-03-20,28.5,14,42,97.6,27,165,106.7,60,147,12.6,4,22,16.9,5,56,0.7,0.5,1
2020-03-19,28.6,16,36,61.7,34,107,85.2,31,143,13.9,8,21,9.1,4,22,0.8,0.7,1.3
2020-03-18,43.1,19,68,69.4,26,103,94,46,136,10.8,4,21,8,5,14,0.6,0.1,0.9
2020-03-17,40.1,9,57,67.8,54,80,85.7,19,149,15.8,6,29,9.6,4,17,0.8,0.5,1.1
2020-03-16,36.9,28,46,79.3,64,94,84.3,55,107,17.1,8,24,12.2,8,17,0.9,0.7,1.2
2020-03-15,28.8,16,42,72.9,61,86,87.4,45,132,11.9,4,22,9.5,8,21,0.6,0.5,0.8
2020-03-14,46.9,27,70,77.9,59,90,75.2,25,121,12.7,8,19,8.1,7,10,0.8,0.6,1
2020-03-13,49.2,37,67,80.3,54,141,49.8,11,99,18.3,15,28,8.8,7,13,0.9,0.7,1.1
2020-03-12,43.3,33,55,58,38,67,60.5,32,88,17.3,12,22,23.3,11,72,1.2,0.9,1.4
2020-03-11,35.3,23,49,64.4,42,84,77.4,32,118,13.3,7,31,13.5,7,39,0.9,0.6,1.7
2020-03-10,31.9,12,42,45.5,32,73,77,51,110,7.1,3,11,7.7,7,9,0.8,0.5,1
2020-03-09,38,19,52,44.9,20,60,58.7,20,98,6.5,4,11,7,7,7,0.8,0.6,1.1
2020-03-08,20.8,12,26,29,16,55,33.3,18,53,10.6,5,19,10.1,7,30,0.9,0.7,1.1
2020-03-07,30,13,41,35.8,28,46,57.8,23,111,9.2,5,23,8.7,7,13,0.8,0.7,1.3
2020-03-06,35.3,20,52,46.1,33,65,69.8,53,97,9.2,7,13,17.4,7,60,0.7,0.7,0.9
2020-03-05,40,23,50,49.3,32,76,84.9,41,132,10.4,6,16,12.3,7,42,0.7,0.6,0.9
2020-03-04,24.6,13,34,35.5,24,49,66.5,30,118,12.9,7,22,8.3,7,15,0.6,0.4,1.2
2020-03-03,19.5,12,28,26.7,16,39,53.6,28,71,12.2,7,27,8.3,7,15,0.6,0.4,1.7
2020-03-02,22.7,13,32,34.3,20,48,62.5,46,77,10.5,7,22,7.5,6,10,1.3,0.5,1.6
2020-03-01,24.2,8,40,35.6,9,56,59.4,21,85,12.8,6,35,9,6,15,1.7,1.4,3.1
2020-02-29,16.9,4,33,21.3,3,36,53.3,35,78,16.6,8,30,11.3,6,27,1.9,1.3,3.1
2020-02-28,10.3,4,28,16.5,2,48,36.6,17,47,9.7,4,25,6.7,6,11,1.4,1.3,2.3
2020-02-27,27.9,14,42,40.6,17,66,49.1,29,62,9.4,6,16,6.8,6,9,1.3,1.2,1.7
2020-02-26,43.6,15,75,58.4,28,94,40.7,20,69,12.9,6,33,8.3,7,15,1.9,1.2,2.9
2020-02-25,59.5,33,82,78.1,40,118,52.1,16,114,18,9,42,12.3,7,24,1.9,1.3,3.3
2020-02-24,34.8,26,48,54.6,35,79,75.4,55,104,10.4,2,20,16.9,8,66,1.4,1.1,1.8
2020-02-23,29.9,19,39,64,49,76,85.9,62,113,12,3,21,15,8,42,0.9,0.7,1.6
