#Data for 新洲区站 from 2019/10/01 to 2020/04/02. [generated on 2020-04-02 00:23]
#Station is located at latitude 30.83555556, longitude 114.7913889
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Wuhan Environmental Protection Bureau (武汉市环保局)  http://www.whepb.gov.cn/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,o3,o3_min,o3_max,no2,no2_min,no2_max,so2,so2_min,so2_max,co,co_min,co_max
2020-04-02,30,30,30,47,47,47,43,43,43,9,9,9,7,7,7,1.3,1.3,1.3
2020-04-01,25.8,12,40,36.8,18,59,41.3,9,80,15.2,7,31,7,6,7,1,0.9,1.1
2020-03-31,20.8,11,37,35.3,18,62,39.1,28,48,10.5,6,20,6.8,6,7,0.9,0.8,1.1
2020-03-30,16.3,9,23,26.7,15,40,52.2,40,67,7.7,5,12,6.5,6,7,0.8,0.8,0.9
2020-03-29,9.2,4,15,17.8,6,37,59.2,52,65,7,4,11,6.3,6,7,0.6,0.6,0.7
2020-03-28,9.6,2,21,13.5,2,25,65.4,49,82,9,5,17,6.6,6,7,0.8,0.7,0.8
2020-03-27,9.4,2,25,19.1,3,44,48.8,29,63,8.3,4,14,6.4,6,7,0.6,0.5,0.9
2020-03-26,20.1,11,30,32.4,14,45,35.2,17,57,8.5,3,14,6.8,6,7,0.5,0.4,0.8
2020-03-25,26.3,17,45,44.1,21,93,45,32,53,8.1,4,17,6.6,6,8,0.7,0.6,0.8
2020-03-24,37.8,25,51,66.3,46,91,64.6,40,96,12.5,7,20,6.6,6,7,0.8,0.7,0.9
2020-03-23,37.7,28,53,79.2,67,97,79.3,46,115,10.3,7,17,6.4,6,7,0.7,0.6,0.9
2020-03-22,48.2,26,79,90.7,44,144,53.2,24,94,10.9,7,14,6.5,6,7,0.7,0.4,0.9
2020-03-21,32.3,20,43,65.3,33,151,67.8,28,99,10,6,17,7,6,8,0.6,0.5,0.7
2020-03-20,33.9,25,47,109.1,58,178,85.5,23,140,12.4,8,19,8.3,6,43,0.7,0.5,0.8
2020-03-19,32.1,23,52,81.9,48,185,72.9,25,118,10.9,5,20,6.6,6,7,0.6,0.5,0.8
2020-03-18,47.2,28,67,87.9,57,131,80.7,46,130,14,7,21,8.3,6,16,0.8,0.7,1.3
2020-03-17,53.5,26,87,106.2,53,237,72.4,29,130,15.7,6,26,8,6,19,0.9,0.7,1.6
2020-03-16,44.3,32,75,98.3,76,134,66.8,38,92,13.1,7,24,6.6,6,7,0.9,0.7,1.2
2020-03-15,39.2,32,56,97.3,80,127,78.5,35,131,13.7,10,21,9.1,6,19,1,0.7,1.3
2020-03-14,36.8,26,52,71.9,48,111,64.3,30,106,8.2,5,15,6.5,6,10,0.8,0.7,1.1
2020-03-13,50.1,36,72,87.6,47,140,46.4,25,73,12,7,17,6.7,6,7,0.9,0.7,1
2020-03-12,35.5,25,49,62.8,49,79,76.5,54,86,6.7,4,12,6.4,6,7,0.8,0.7,1
