#Data for 江汉红领巾 from 2019/10/01 to 2020/04/02. [generated on 2020-04-02 00:23]
#Station is located at latitude 30.62955556, longitude 114.2444444
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Wuhan Environmental Protection Bureau (武汉市环保局)  http://www.whepb.gov.cn/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,o3,o3_min,o3_max,no2,no2_min,no2_max,so2,so2_min,so2_max,co,co_min,co_max
2020-04-02,27,27,27,43,43,43,44,44,44,19,19,19,5,5,5,0.8,0.8,0.8
2020-04-01,22.7,4,42,37,5,72,38.6,4,92,32.8,11,47,4.4,2,7,0.8,0.6,1.8
2020-03-31,21.4,7,41,34,22,51,41.4,27,59,24.3,10,38,2.1,1,4,0.7,0.6,0.9
2020-03-30,14,4,26,20.5,5,36,58.9,44,76,14.3,8,30,2.1,2,3,0.6,0.5,0.8
2020-03-29,10.6,2,25,12.3,2,25,58,47,65,14,7,30,4.9,3,6,0.5,0.4,1.1
2020-03-28,11.1,2,28,14.5,3,31,59.9,48,83,15.7,8,32,5.8,5,9,0.7,0.5,1.2
2020-03-27,10.9,2,20,13.9,3,33,46.4,27,57,10.4,8,16,5.4,5,6,0.5,0.5,0.7
2020-03-26,25.7,12,40,37.6,15,57,35.8,5,69,19.5,9,37,6.7,5,17,1,0.5,1.9
2020-03-25,32.7,14,48,45,13,70,29.9,16,54,20.3,8,30,6.5,5,9,1.1,0.8,1.4
2020-03-24,34.5,21,49,56.8,44,73,65.5,35,87,21.8,14,31,8.7,6,12,1,0.8,1.4
2020-03-23,41.3,33,52,77.2,60,105,95.4,62,156,20.5,10,42,9,6,17,1.1,0.7,2
2020-03-22,56.8,37,89,94.1,42,159,59.3,15,113,14.4,9,20,6.1,5,7,0.9,0.8,1.1
2020-03-21,37.3,28,48,61.5,47,74,48.7,8,74,29.4,15,53,9.6,6,14,1.2,0.7,2.4
2020-03-20,29.8,12,44,103.3,37,179,87.5,37,144,25.5,7,50,10.5,7,16,0.7,0.5,1
2020-03-19,29.3,19,39,97,37,248,80.5,23,140,21,8,44,7.3,5,10,0.6,0.5,0.7
2020-03-18,43.8,20,70,73.1,27,135,85.6,39,125,17.5,5,40,8.1,6,13,0.6,0.4,0.8
2020-03-17,41.5,26,57,76.5,48,97,75.2,16,141,29.5,9,55,9.6,6,17,0.8,0.5,1.1
2020-03-16,36.6,26,51,82.1,71,98,69.8,33,103,30.2,19,52,9.9,6,16,0.9,0.5,1.8
2020-03-15,28.3,20,40,78.9,67,95,80.2,18,131,21.8,9,46,7.7,6,15,0.5,0.4,0.6
2020-03-14,48.3,21,75,85.5,55,107,76.7,30,122,13.1,7,18,6.7,5,8,0.7,0.4,0.8
2020-03-13,50.8,35,69,82.1,51,136,46.4,12,97,24.4,9,50,6.5,6,8,0.9,0.6,1.1
2020-03-12,43.4,33,51,63.7,47,76,52.3,15,74,31.6,21,53,11,7,31,1.1,0.8,2.6
2020-03-11,32,21,45,70.6,52,88,66.6,14,116,27,12,56,12.5,8,20,0.8,0.5,1.5
2020-03-10,32.3,17,44,50.6,34,83,67.5,28,112,16.2,6,41,11.4,10,13,0.7,0.5,0.8
2020-03-09,43.7,28,61,52.9,34,81,71.7,37,109,9.7,7,16,9.2,8,11,0.7,0.6,1
2020-03-08,24.3,14,36,34.1,18,51,46.3,10,72,19.1,10,44,8.4,7,11,1,0.7,1.7
2020-03-07,32.3,15,46,43.6,30,63,63,22,117,15.8,6,33,9.3,7,17,0.9,0.6,1.7
2020-03-06,37.6,25,50,54.3,36,83,62.8,45,75,17.9,12,34,8.5,7,10,0.8,0.7,0.9
2020-03-05,45.5,31,59,63.3,47,84,77.8,19,127,22.6,10,53,8.8,7,12,0.8,0.7,1
2020-03-04,26.6,14,39,36.9,23,52,61,18,113,25.8,11,66,9.8,6,17,1.1,0.7,1.9
2020-03-03,22.3,12,32,27.2,16,43,59.5,34,69,12.2,8,29,6.5,6,7,0.8,0.7,0.8
2020-03-02,27.2,13,36,38,25,64,65.8,44,77,13,8,25,6.7,6,8,0.9,0.8,1.3
2020-03-01,27.7,20,37,39.6,23,67,65.2,33,93,10.9,7,25,6,6,6,0.9,0.8,0.9
2020-02-29,14.1,4,28,15.2,4,25,63.1,37,103,13.3,6,30,6.1,6,7,0.8,0.7,1
2020-02-28,11.5,3,32,14.3,5,35,36.9,27,45,11.8,7,20,6,6,6,0.7,0.7,0.8
2020-02-27,31,16,48,44.2,21,65,56.5,41,71,9.1,6,12,6,6,6,0.7,0.5,0.8
2020-02-26,53,16,82,63.3,22,98,53,39,75,10.5,6,14,6,6,6,1,0.5,1.3
2020-02-25,62,31,85,80.3,46,112,53.3,4,120,22.4,11,43,7,6,8,0.9,0.8,1
2020-02-24,35.5,24,45,58.9,43,78,60.2,20,99,22,7,49,7.8,7,9,0.8,0.6,1.2
2020-02-23,31.9,18,45,66.1,44,78,67.5,29,105,23.1,9,49,12.5,7,43,0.7,0.5,0.9
2020-02-22,42.9,30,61,54.7,38,80,51.1,9,114,22.7,12,44,8.6,6,20,0.9,0.6,1.6
2020-02-21,41.2,22,59,52.8,27,82,53.7,12,95,22.7,9,64,6.8,6,8,0.7,0.5,0.8
2020-02-20,36.7,20,71,46.3,28,79,45.8,5,107,37,11,60,9,6,17,0.9,0.6,1.6
2020-02-19,24,17,31,33.9,26,45,60.2,29,87,25.8,15,43,10,7,15,0.7,0.5,1
