#Data for Hankou (汉口江滩) from 2019/10/01 to 2020/04/02. [generated on 2020-04-02 00:23]
#Station is located at latitude 30.594389, longitude 114.301447
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Wuhan Environmental Protection Bureau (武汉市环保局)  http://www.whepb.gov.cn/
#Attribution: Hubei Environmental Protection Agency (湖北省环境保护厅)  http://www.hbepb.gov.cn/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,o3,o3_min,o3_max,no2,no2_min,no2_max,so2,so2_min,so2_max,co,co_min,co_max
2020-04-02,40,40,40,44,44,44,52,52,52,12,12,12,5,5,5,0.6,0.6,0.6
2020-04-01,22.9,9,38,32,18,50,48.5,7,102,24.2,10,50,6.7,5,14,0.6,0.4,0.7
2020-03-31,22.8,16,29,29.6,19,44,45.9,34,60,19,10,26,8.2,5,25,0.5,0.4,0.8
2020-03-30,14.1,10,21,20.1,10,31,57.7,44,76,16,8,30,5.7,5,11,0.4,0.3,1
2020-03-29,10.6,6,20,14.8,7,26,60.2,46,69,18.2,9,37,6.7,5,11,0.5,0.3,1.4
2020-03-28,8,2,22,15.2,4,33,61.5,50,88,19.9,11,39,7.3,5,18,0.6,0.4,1.5
2020-03-27,5,2,13,14.1,3,27,49.3,30,62,12.9,10,16,5,5,5,0.5,0.4,0.7
2020-03-26,23.2,7,35,35.3,15,51,38.5,7,89,22.5,5,50,8,5,17,1,0.6,1.5
2020-03-25,28.9,13,47,41.1,17,61,34.5,12,64,23.7,10,51,10,6,17,1,0.7,1.1
2020-03-24,33.2,22,43,56.3,45,66,65.4,21,96,26.3,13,50,13.4,9,22,0.9,0.7,1.2
2020-03-23,37,27,55,72.6,54,89,91.3,25,163,22.8,7,70,10.1,6,25,0.9,0.5,1.9
2020-03-22,55.5,36,92,86,45,139,68.4,20,119,12.6,5,34,6.4,5,8,0.8,0.7,0.9
2020-03-21,45.6,36,57,74.1,52,119,56.3,15,104,38.6,16,76,15.4,8,25,1.2,0.8,1.9
2020-03-20,28.4,18,40,93.8,33,155,86,24,142,39.8,14,82,15.2,8,29,0.8,0.7,1
2020-03-19,29.3,14,42,62.8,40,126,74.8,6,128,39.3,12,77,7.7,6,11,0.7,0.6,0.8
2020-03-18,46.1,12,84,77.5,35,119,76.6,12,128,35,10,75,10.3,6,21,0.9,0.6,2.7
2020-03-17,45.2,28,63,80.2,65,93,61.2,5,134,56.5,21,96,10.5,8,20,0.9,0.7,1.2
2020-03-16,43.5,32,52,83.4,75,93,63.8,15,108,45.6,19,91,11.2,7,16,0.9,0.6,1.2
2020-03-15,24.7,19,31,85,77,121,73.8,6,121,39.2,13,87,7.3,6,10,0.6,0.6,0.9
2020-03-14,39.3,19,62,77.8,61,91,72.7,44,116,19,7,74,5.9,5,8,0.8,0.6,1
2020-03-13,48.3,36,64,78,58,118,53.8,24,96,23.3,11,52,6.5,5,10,0.9,0.8,1.1
2020-03-12,45.3,28,56,63.3,54,79,54.6,26,77,35.9,20,64,18,9,31,1.2,0.9,2.4
2020-03-11,33.1,24,52,69.2,51,86,63.7,5,118,40.9,11,90,10.4,5,20,0.9,0.7,1.5
2020-03-10,22.9,15,33,49.8,32,82,70.8,18,107,17.5,7,83,5.8,5,7,0.7,0.6,0.9
2020-03-09,38,17,65,51.4,31,78,75,50,110,9.7,7,14,5,5,5,0.8,0.7,1
2020-03-08,24.3,17,34,33,25,42,52.3,21,81,21.7,10,40,8.5,5,23,1,0.8,1.5
2020-03-07,28.9,17,41,43.1,22,60,66.7,19,128,21.3,5,46,8.5,5,17,1,0.7,1.7
2020-03-06,36.3,29,45,48.8,40,56,67,48,84,18.6,10,31,9.8,5,34,0.8,0.7,0.9
2020-03-05,48.9,38,60,60.2,47,71,93.5,46,135,15.9,7,43,7.8,6,15,0.8,0.7,0.9
2020-03-04,28.2,20,40,38.3,27,59,75.3,46,118,16,7,25,9.2,5,20,0.8,0.5,1.8
2020-03-03,19.7,17,22,25.4,19,33,56.8,42,64,13.7,8,27,5,5,5,1,0.5,1.3
2020-03-02,22.5,19,30,36.4,24,50,66.6,58,73,10.8,6,20,5.4,5,7,1.3,1.2,1.5
2020-03-01,22.7,18,27,34.8,23,58,65.6,36,90,9.6,5,23,5,5,5,1.3,1.3,1.4
2020-02-29,13.5,8,22,14.2,8,33,60.2,34,100,14,5,26,5.3,4,7,1.3,1.2,1.6
2020-02-28,7.1,4,15,12.8,3,44,36.5,29,44,10.5,7,15,4.9,4,5,1.2,1.2,1.2
2020-02-27,25,13,37,42.6,25,60,55.1,37,68,7.2,4,12,5,5,5,1.1,1,1.2
2020-02-26,38.6,12,67,55,21,91,50.6,38,70,8.4,5,20,5,4,5,1.5,1,1.7
2020-02-25,66.5,45,92,87.6,9,148,56.3,8,116,24.9,6,72,5.9,5,7,1.4,1.3,1.5
2020-02-24,39.7,36,46,57.4,37,81,74.7,28,111,22.3,4,62,9.9,6,17,1.4,1.1,1.6
2020-02-23,30,23,39,65.8,51,81,75.6,49,116,27.9,7,58,14,6,50,1.2,1,1.7
2020-02-22,39.5,31,59,53.9,38,76,61.2,8,125,20.3,8,43,9.7,5,31,1.3,1,2.2
2020-02-21,48.2,18,89,51,25,71,55.5,14,90,25.4,9,55,7,5,14,1.1,1,1.2
2020-02-20,40.4,16,74,46.5,23,78,54.6,8,111,34.3,7,68,10.1,6,18,1.3,0.9,1.8
2020-02-19,28.5,22,35,32,27,42,74.2,56,92,21.2,12,40,12.3,7,20,1.1,0.9,1.4
2020-02-18,23.7,12,42,25,19,31,68.5,16,110,22,9,51,8.5,5,16,0.9,0.8,1.1
2020-02-17,14.2,7,22,23.1,13,32,65.6,27,94,13.4,4,29,5.5,5,7,0.8,0.7,0.9
2020-02-16,8.7,2,14,20,14,27,61.2,44,84,6.9,2,22,5.3,5,7,0.9,0.7,0.9
2020-02-15,11.7,1,58,25.6,8,72,53.3,45,60,4.7,3,9,5,4,5,1.1,0.9,1.8
2020-02-14,25.3,16,52,37.8,24,63,33.6,12,54,12.6,1,32,7.1,5,11,1.3,1.1,1.7
2020-02-13,23.4,17,38,33.9,21,43,29.5,6,55,25,9,41,8.6,6,13,1.5,1.2,1.7
2020-02-12,25.4,16,32,32.6,18,50,29.6,5,63,24.6,5,54,6.5,5,10,1.1,1,1.3
2020-02-11,26.3,15,41,32.7,13,54,43.8,27,57,14.4,10,24,6.5,5,14,1.2,0.9,1.9
2020-02-10,37.8,31,46,42.4,35,56,40.1,5,63,37.9,17,72,7.3,5,15,1.1,0.9,1.5
2020-02-09,29.8,18,39,32.8,20,42,56,24,99,18.2,5,42,5.8,5,9,0.9,0.8,1.2
2020-02-08,19.2,14,24,23.5,17,31,45.4,35,62,13,8,26,5.1,4,6,0.8,0.7,1
2020-02-07,13.8,9,21,17.2,11,25,44.8,40,48,8.3,5,11,4.8,4,5,0.7,0.7,0.8
2020-02-06,38.8,9,107,55.8,9,131,50.9,46,55,9.5,6,18,5,5,5,0.9,0.7,1.1
