#Data for 东西湖区站 from 2019/10/01 to 2020/04/02. [generated on 2020-04-02 00:23]
#Station is located at latitude 30.65802778, longitude 114.1651667
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Wuhan Environmental Protection Bureau (武汉市环保局)  http://www.whepb.gov.cn/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,o3,o3_min,o3_max,no2,no2_min,no2_max,so2,so2_min,so2_max,co,co_min,co_max
2020-04-02,24,24,24,41,41,41,44,44,44,16,16,16,5,5,5,0.6,0.6,0.6
2020-04-01,25.3,9,49,40.5,16,58,49.6,4,112,23.8,9,49,6.4,5,13,0.6,0.6,1.2
2020-03-31,22.2,7,41,34.3,25,44,48.8,22,61,15.4,7,41,5.2,5,7,0.5,0.5,0.7
2020-03-30,14,4,26,18.2,13,27,66.1,54,83,8,5,16,4.8,4,6,0.5,0.4,0.6
2020-03-29,9,2,19,15.9,5,30,64.4,56,70,7.5,4,11,5,3,7,0.4,0.4,0.6
2020-03-28,10.1,2,28,14.1,4,25,66.8,53,88,9.4,5,20,5.3,4,9,0.5,0.4,0.7
2020-03-27,11.8,2,26,18.9,6,34,53.7,35,66,8.3,6,15,5.1,5,6,0.4,0.4,0.7
2020-03-26,24.1,2,44,42.5,20,104,47.6,14,86,17.1,8,27,6.9,5,12,0.9,0.5,1.3
2020-03-25,28.1,5,58,48.3,20,73,44.4,29,68,17.3,11,23,8.6,5,12,0.9,0.6,1.1
2020-03-24,35.9,19,70,63.6,23,87,75.9,50,90,17.8,14,25,9.1,5,12,0.9,0.7,1.1
2020-03-23,40.9,26,53,83,72,106,96,61,153,16.9,11,27,8.5,5,19,1,0.7,1.7
2020-03-22,56.5,36,94,102.9,55,172,74.1,39,127,14.5,11,17,6.3,5,8,1,0.8,1.1
2020-03-21,35.3,20,49,93.3,50,193,63.8,20,105,22.8,14,57,10.7,6,17,1,0.7,1.8
2020-03-20,29.8,19,44,112.2,39,177,100,58,137,13.8,7,32,8.9,7,13,0.6,0.5,0.9
2020-03-19,30.5,22,38,76.1,52,146,87.1,45,134,14.7,9,22,6.8,5,9,0.5,0.5,0.6
2020-03-18,44.5,11,89,87,40,132,88.8,50,122,12.5,7,23,6.9,6,10,0.6,0.4,0.8
2020-03-17,43.1,19,57,90.7,65,106,85.7,30,146,20.7,6,35,8.3,6,12,0.7,0.4,0.9
