#Data for Autostrada Sud km 107, BrennerLEC, Bolzano Alto Adige from 2019/01/01 to 2020/04/03. [generated on 2020-04-03 05:44]
#Station is located at latitude 46.4736128, longitude 11.3262304
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Qualità dell’aria | Agenzia provinciale per l'ambiente | Provincia autonoma di Bolzano - Alto Adige  http://umwelt.provinz.bz.it/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,o3,o3_min,o3_max,so2,so2_min,so2_max
2020-04-02,"-","-","-","-","-","-",50.5,5,96,55.5,14,97
2020-04-01,15,15,15,22,22,22,46,8,84,50,11,89
2020-03-31,8,8,8,9,9,9,25,25,25,56,56,56
2020-03-30,6,6,6,10,10,10,55,54,56,15.5,12,19
2020-03-29,16,16,16,47,47,47,51,25,77,22,18,26
2020-03-28,18,18,18,42,42,42,52.5,12,93,21.5,10,33
2020-03-27,16,16,16,23,23,23,31.5,6,57,39.5,23,56
2020-03-26,15,15,15,22,22,22,25.5,4,47,58,34,82
2020-03-25,13,13,13,19,19,19,"-","-","-","-","-","-"
2020-03-24,15,15,15,21,21,21,42,4,80,56.5,14,99
2020-03-23,6,6,6,9,9,9,61,57,65,21,18,24
2020-03-22,23,23,23,27,27,27,53,53,53,15,15,15
2020-03-21,26,26,26,33,33,33,69.5,34,105,22,10,34
2020-03-20,19,19,19,24,24,24,111,111,111,13,13,13
2020-03-19,"-","-","-","-","-","-",53.5,9,98,35.5,20,51
2020-03-18,19,19,19,25,25,25,4,4,4,42,42,42
2020-03-17,18,18,18,23,23,23,44.5,5,84,29,18,40
2020-03-16,9,9,9,12,12,12,36.5,2,71,28,20,36
2020-03-15,9,9,9,11,11,11,"-","-","-","-","-","-"
2020-03-14,3,3,3,5,5,5,36.5,24,49,27,25,29
2020-03-13,28,28,28,57,57,57,35.5,10,61,40.5,34,47
2020-03-12,36,36,36,46,46,46,36.5,8,65,38.5,35,42
2020-03-11,20,20,20,26,26,26,32,10,54,47,45,49
2020-03-10,9,9,9,13,13,13,33,7,59,46.5,43,50
2020-03-09,10,10,10,16,16,16,29.5,11,48,43.5,42,45
2020-03-08,6,6,6,8,8,8,59.5,43,76,30,22,38
2020-03-07,7,7,7,9,9,9,45.5,3,88,27,13,41
2020-03-06,12,12,12,15,15,15,25,20,30,46.5,32,61
2020-03-05,10,10,10,17,17,17,36,36,36,52,52,52
2020-03-04,5,5,5,9,9,9,64.5,53,76,21,14,28
2020-03-03,5,5,5,7,7,7,8.5,7,10,59.5,48,71
2020-03-02,17,17,17,22,22,22,21,15,27,39.5,28,51
2020-03-01,19,19,19,23,23,23,40,40,40,48,48,48
2020-02-29,9,9,9,15,15,15,41.5,21,62,42.5,42,43
2020-02-28,7,7,7,13,13,13,68,50,86,19.5,10,29
2020-02-27,5,5,5,14,14,14,64.5,43,86,20,14,26
2020-02-26,23,23,23,33,33,33,38,2,74,36.5,24,49
2020-02-25,61,61,61,83,83,83,3,3,3,78,78,78
2020-02-24,43,43,43,54,54,54,25.5,7,44,48.5,47,50
2020-02-23,23,23,23,31,31,31,30.5,7,54,48,47,49
2020-02-22,22,22,22,29,29,29,31,10,52,55.5,52,59
2020-02-21,15,15,15,23,23,23,31,8,54,42,32,52
2020-02-20,9,9,9,18,18,18,50,44,56,36.5,31,42
2020-02-19,6,6,6,12,12,12,23,9,37,54,54,54
2020-02-18,24,24,24,33,33,33,3,3,3,59,59,59
2020-02-17,33,33,33,45,45,45,2,2,2,49,49,49
2020-02-16,18,18,18,24,24,24,45,45,45,30,30,30
2020-02-15,9,9,9,13,13,13,29,16,42,55.5,50,61
2020-02-14,13,13,13,20,20,20,39,39,39,21,21,21
2020-02-13,12,12,12,24,24,24,37,37,37,40,40,40
2020-02-12,4,4,4,9,9,9,66,65,67,20.5,18,23
2020-02-11,"-","-","-","-","-","-",34.5,4,65,51,36,66
