#Data for Borgofranco , Lombardia from 2019/01/01 to 2020/04/03. [generated on 2020-04-03 05:44]
#Station is located at latitude 45.04650286, longitude 11.18094889
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Agenzia Regionale per la Protezione dell'Ambiente della Lombardia)  https://ita.arpalombardia.it/ITA/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,no2,no2_min,no2_max
2020-04-01,11,11,11,23,23,23,12,12,12
2020-03-31,2,2,2,10,10,10,6,6,6
2020-03-30,16,16,16,45,45,45,11,11,11
2020-03-29,24,24,24,110,110,110,9,9,9
2020-03-28,30,30,30,113,113,113,15,15,15
2020-03-27,24,24,24,78,78,78,16,16,16
2020-03-26,13,13,13,23,23,23,11,11,11
2020-03-25,10,10,10,19,19,19,6,6,6
2020-03-24,12,12,12,16,16,16,29,29,29
2020-03-23,"-","-","-",8,8,8,18,18,18
2020-03-22,4,4,4,19,19,19,8,8,8
2020-03-21,33,33,33,48,48,48,14,14,14
2020-03-20,33,33,33,47,47,47,21,21,21
2020-03-19,30,30,30,49,49,49,17,17,17
2020-03-18,29,29,29,42,42,42,15,15,15
2020-03-17,25,25,25,36,36,36,17,17,17
2020-03-16,13,13,13,25,25,25,22,22,22
2020-03-15,1,1,1,10,10,10,13,13,13
2020-03-14,9,9,9,17,17,17,14,14,14
2020-03-13,40,40,40,50,50,50,22,22,22
2020-03-12,49,49,49,68,68,68,18,18,18
2020-03-11,28,28,28,45,45,45,23,23,23
2020-03-10,20,20,20,30,30,30,32,32,32
2020-03-09,17,17,17,28,28,28,23,23,23
2020-03-08,4,4,4,11,11,11,22,22,22
2020-03-07,21,21,21,30,30,30,17,17,17
2020-03-06,13,13,13,18,18,18,24,24,24
2020-03-05,17,17,17,25,25,25,26,26,26
2020-03-04,4,4,4,9,9,9,20,20,20
2020-03-03,7,7,7,12,12,12,29,29,29
2020-03-02,25,25,25,36,36,36,28,28,28
2020-03-01,20,20,20,22,22,22,22,22,22
2020-02-29,30,30,30,39,39,39,30,30,30
2020-02-28,2,2,2,15,15,15,53,53,53
2020-02-27,5,5,5,14,14,14,21,21,21
2020-02-26,14,14,14,30,30,30,30,30,30
2020-02-25,44,44,44,71,71,71,49,49,49
2020-02-24,60,60,60,81,81,81,32,32,32
2020-02-23,55,55,55,"-","-","-",42,42,42
2020-02-22,40,40,40,"-","-","-",45,45,45
2020-02-21,24,24,24,"-","-","-",50,50,50
2020-02-20,12,12,12,16,16,16,49,49,49
2020-02-19,35,35,35,51,51,51,34,34,34
2020-02-18,48,48,48,69,69,69,42,42,42
2020-02-17,66,66,66,79,79,79,45,45,45
2020-02-16,36,36,36,46,46,46,31,31,31
2020-02-15,34,34,34,48,48,48,36,36,36
2020-02-14,28,28,28,35,35,35,33,33,33
2020-02-13,37,37,37,50,50,50,"-","-","-"
2020-02-12,4,4,4,19,19,19,25,25,25
2020-02-11,13,13,13,29,29,29,26,26,26
2020-02-10,48,48,48,65,65,65,25,25,25
2020-02-09,51,51,51,64,64,64,28,28,28
2020-02-08,34,34,34,52,52,52,37,37,37
2020-02-07,30,30,30,39,39,39,41,41,41
2020-02-06,14,14,14,24,24,24,42,42,42
2020-02-05,"-","-","-",5,5,5,14,14,14
2020-02-04,7,7,7,28,28,28,27,27,27
2020-02-03,37,37,37,58,58,58,28,28,28
2020-02-02,43,43,43,60,60,60,31,31,31
2020-02-01,72,72,72,89,89,89,36,36,36
2020-01-31,52,52,52,70,70,70,36,36,36
2020-01-30,31,31,31,42,42,42,31,31,31
2020-01-29,26,26,26,40,40,40,27,27,27
2020-01-28,65,65,65,82,82,82,41,41,41
2020-01-27,52,52,52,73,73,73,42,42,42
2020-01-26,54,54,54,82,82,82,38,38,38
2020-01-25,78,78,78,91,91,91,38,38,38
2020-01-24,68,68,68,86,86,86,58,58,58
2020-01-23,52,52,52,67,67,67,50,50,50
2020-01-22,33,33,33,48,48,48,40,40,40
2020-01-21,25,25,25,33,33,33,39,39,39
2020-01-20,7,7,7,19,19,19,25,25,25
2020-01-19,16,16,16,18,18,18,34,34,34
2020-01-18,32,32,32,40,40,40,38,38,38
2020-01-17,55,55,55,79,79,79,62,62,62
2020-01-16,60,60,60,107,107,107,64,64,64
2020-01-15,84,84,84,93,93,93,22,22,22
2020-01-14,64,64,64,74,74,74,33,33,33
2020-01-13,46,46,46,51,51,51,23,23,23
2020-01-12,41,41,41,52,52,52,40,40,40
2020-01-11,57,57,57,68,68,68,49,49,49
2020-01-10,53,53,53,59,59,59,46,46,46
2020-01-09,34,34,34,47,47,47,35,35,35
2020-01-08,19,19,19,33,33,33,32,32,32
2020-01-07,30,30,30,41,41,41,32,32,32
2020-01-06,24,24,24,38,38,38,23,23,23
2020-01-05,38,38,38,50,50,50,31,31,31
2020-01-04,44,44,44,58,58,58,46,46,46
2020-01-03,52,52,52,65,65,65,33,33,33
2020-01-02,56,56,56,66,66,66,30,30,30
2019-12-31,"-","-","-","-","-","-",25,25,25
2019-12-30,39,39,39,49,49,49,28,28,28
2019-12-29,42,42,42,45,45,45,26,26,26
2019-12-28,37,37,37,44,44,44,27,27,27
2019-12-27,38,38,38,48,48,48,29,29,29
2019-12-26,42,42,42,51,51,51,32,32,32
2019-12-25,24,24,24,31,31,31,31,31,31
2019-12-24,5,5,5,8,8,8,32,32,32
2019-12-23,"-","-","-",1,1,1,18,18,18
2019-12-22,8,8,8,16,16,16,25,25,25
2019-12-21,12,12,12,14,14,14,18,18,18
2019-12-20,17,17,17,27,27,27,28,28,28
2019-12-19,23,23,23,43,43,43,17,17,17
2019-12-18,33,33,33,48,48,48,23,23,23
2019-12-17,39,39,39,51,51,51,30,30,30
2019-12-16,48,48,48,109,109,109,29,29,29
2019-12-15,40,40,40,31,31,31,"-","-","-"
2019-12-12,20,20,20,19,19,19,"-","-","-"
2019-12-11,"-","-","-","-","-","-",34,34,34
2019-12-10,34,34,34,45,45,45,30,30,30
2019-12-09,57,57,57,68,68,68,27,27,27
2019-12-08,55,55,55,67,67,67,29,29,29
2019-12-07,47,47,47,57,57,57,33,33,33
2019-12-06,48,48,48,57,57,57,44,44,44
2019-12-05,36,36,36,45,45,45,41,41,41
2019-12-04,20,20,20,21,21,21,40,40,40
2019-12-03,4,4,4,12,12,12,25,25,25
2019-12-02,16,16,16,25,25,25,28,28,28
2019-12-01,16,16,16,22,22,22,25,25,25
2019-11-30,20,20,20,29,29,29,36,36,36
2019-11-29,20,20,20,28,28,28,38,38,38
2019-11-28,17,17,17,21,21,21,32,32,32
2019-11-27,22,22,22,27,27,27,30,30,30
2019-11-26,17,17,17,20,20,20,31,31,31
2019-11-25,6,6,6,15,15,15,31,31,31
2019-11-24,3,3,3,18,18,18,10,10,10
2019-11-23,14,14,14,18,18,18,18,18,18
2019-11-22,20,20,20,31,31,31,34,34,34
2019-11-21,32,32,32,40,40,40,36,36,36
2019-11-20,19,19,19,24,24,24,21,21,21
2019-11-19,9,9,9,8,8,8,16,16,16
2019-11-18,13,13,13,18,18,18,34,34,34
2019-11-17,3,3,3,6,6,6,26,26,26
2019-11-16,19,19,19,24,24,24,36,36,36
2019-11-15,4,4,4,13,13,13,28,28,28
2019-11-14,18,18,18,21,21,21,42,42,42
2019-11-13,10,10,10,12,12,12,43,43,43
2019-11-12,12,12,12,21,21,21,50,50,50
2019-11-11,16,16,16,17,17,17,34,34,34
2019-11-10,17,17,17,22,22,22,39,39,39
2019-11-09,6,6,6,17,17,17,38,38,38
2019-11-08,17,17,17,15,15,15,35,35,35
2019-11-07,24,24,24,35,35,35,32,32,32
2019-11-06,7,7,7,13,13,13,45,45,45
2019-11-05,13,13,13,18,18,18,32,32,32
2019-11-04,9,9,9,18,18,18,45,45,45
2019-11-03,10,10,10,15,15,15,18,18,18
2019-11-02,20,20,20,25,25,25,25,25,25
2019-11-01,8,8,8,12,12,12,38,38,38
2019-10-31,7,7,7,14,14,14,36,36,36
2019-10-30,1,1,1,6,6,6,29,29,29
2019-10-29,22,22,22,45,45,45,37,37,37
2019-10-28,36,36,36,55,55,55,40,40,40
2019-10-27,22,22,22,36,36,36,32,32,32
2019-10-26,24,24,24,33,33,33,37,37,37
2019-10-25,9,9,9,35,35,35,38,38,38
2019-10-24,"-","-","-",40,40,40,25,25,25
2019-10-23,2,2,2,32,32,32,24,24,24
2019-10-22,"-","-","-",28,28,28,23,23,23
2019-10-21,"-","-","-","-","-","-",13,13,13
2019-10-20,"-","-","-",23,23,23,21,21,21
2019-10-19,"-","-","-","-","-","-",22,22,22
2019-10-18,17,17,17,29,29,29,37,37,37
2019-10-17,22,22,22,30,30,30,26,26,26
2019-10-16,5,5,5,13,13,13,21,21,21
2019-10-15,33,33,33,40,40,40,14,14,14
2019-10-14,50,50,50,61,61,61,15,15,15
2019-10-13,44,44,44,54,54,54,11,11,11
2019-10-12,34,34,34,53,53,53,19,19,19
2019-10-11,18,18,18,31,31,31,22,22,22
2019-10-10,22,22,22,35,35,35,18,18,18
2019-10-09,28,28,28,31,31,31,19,19,19
2019-10-08,10,10,10,12,12,12,15,15,15
2019-10-07,4,4,4,11,11,11,18,18,18
2019-10-06,18,18,18,21,21,21,12,12,12
2019-10-05,27,27,27,31,31,31,20,20,20
2019-10-04,24,24,24,16,16,16,20,20,20
2019-10-03,1,1,1,3,3,3,22,22,22
2019-10-02,2,2,2,18,18,18,17,17,17
2019-10-01,"-","-","-",41,41,41,32,32,32
2019-09-30,"-","-","-",26,26,26,15,15,15
2019-09-29,"-","-","-",28,28,28,15,15,15
2019-09-28,"-","-","-",37,37,37,14,14,14
2019-09-27,"-","-","-",21,21,21,14,14,14
2019-09-26,"-","-","-",12,12,12,14,14,14
2019-09-25,"-","-","-",30,30,30,20,20,20
2019-09-24,"-","-","-",23,23,23,22,22,22
2019-09-23,"-","-","-",28,28,28,13,13,13
2019-09-22,"-","-","-",26,26,26,15,15,15
2019-09-21,"-","-","-",19,19,19,24,24,24
2019-09-20,"-","-","-","-","-","-",22,22,22
2019-09-19,"-","-","-",10,10,10,22,22,22
2019-09-18,"-","-","-",25,25,25,10,10,10
2019-09-17,"-","-","-",40,40,40,21,21,21
2019-09-16,"-","-","-",26,26,26,16,16,16
2019-09-15,"-","-","-",17,17,17,12,12,12
2019-09-14,"-","-","-",25,25,25,15,15,15
2019-09-13,"-","-","-",28,28,28,20,20,20
2019-09-12,"-","-","-",20,20,20,20,20,20
2019-09-11,"-","-","-",19,19,19,15,15,15
2019-09-10,"-","-","-",8,8,8,12,12,12
2019-09-09,"-","-","-",4,4,4,20,20,20
2019-09-08,"-","-","-",4,4,4,9,9,9
2019-09-07,"-","-","-",15,15,15,17,17,17
2019-09-06,"-","-","-","-","-","-",10,10,10
2019-09-05,"-","-","-",19,19,19,21,21,21
2019-09-04,"-","-","-",11,11,11,12,12,12
2019-09-03,"-","-","-",12,12,12,12,12,12
2019-09-02,"-","-","-",25,25,25,16,16,16
2019-09-01,"-","-","-",23,23,23,22,22,22
2019-08-31,"-","-","-",38,38,38,14,14,14
2019-08-30,"-","-","-",42,42,42,15,15,15
2019-08-29,"-","-","-",33,33,33,32,32,32
2019-08-28,"-","-","-",38,38,38,21,21,21
2019-08-27,"-","-","-",32,32,32,22,22,22
2019-08-26,"-","-","-",30,30,30,19,19,19
2019-08-25,"-","-","-",30,30,30,15,15,15
2019-08-24,"-","-","-",44,44,44,12,12,12
2019-08-23,"-","-","-",26,26,26,17,17,17
2019-08-22,"-","-","-",19,19,19,12,12,12
2019-08-21,"-","-","-",22,22,22,14,14,14
2019-08-20,"-","-","-",27,27,27,15,15,15
2019-08-19,"-","-","-",16,16,16,12,12,12
2019-08-18,"-","-","-",15,15,15,9,9,9
2019-08-17,"-","-","-",18,18,18,13,13,13
2019-08-16,"-","-","-",6,6,6,10,10,10
2019-08-15,"-","-","-",7,7,7,13,13,13
2019-08-14,"-","-","-",6,6,6,9,9,9
2019-08-13,"-","-","-",17,17,17,11,11,11
2019-08-12,"-","-","-",36,36,36,11,11,11
2019-08-11,"-","-","-",45,45,45,8,8,8
2019-08-10,"-","-","-",46,46,46,12,12,12
2019-08-09,"-","-","-",24,24,24,10,10,10
2019-08-08,"-","-","-",16,16,16,11,11,11
2019-08-07,"-","-","-",19,19,19,10,10,10
2019-08-06,"-","-","-",14,14,14,14,14,14
2019-08-05,"-","-","-",9,9,9,9,9,9
2019-08-04,"-","-","-",10,10,10,"-","-","-"
2019-08-02,"-","-","-","-","-","-",12,12,12
2019-08-01,"-","-","-",39,39,39,23,23,23
2019-07-31,"-","-","-",27,27,27,16,16,16
2019-07-30,"-","-","-",35,35,35,17,17,17
2019-07-29,"-","-","-",28,28,28,12,12,12
2019-07-28,"-","-","-",9,9,9,9,9,9
2019-07-27,"-","-","-",22,22,22,15,15,15
2019-07-26,"-","-","-",28,28,28,22,22,22
2019-07-25,"-","-","-",24,24,24,20,20,20
2019-07-24,"-","-","-",20,20,20,19,19,19
2019-07-23,"-","-","-",31,31,31,21,21,21
2019-07-22,"-","-","-",28,28,28,12,12,12
2019-07-21,"-","-","-",39,39,39,15,15,15
2019-07-20,"-","-","-",23,23,23,16,16,16
2019-07-19,"-","-","-",22,22,22,26,26,26
2019-07-18,"-","-","-",26,26,26,18,18,18
2019-07-17,"-","-","-",21,21,21,21,21,21
2019-07-16,"-","-","-",21,21,21,23,23,23
