#Data for Cremona Fatebenefratelli, Lombardia from 2019/01/01 to 2020/04/03. [generated on 2020-04-03 05:44]
#Station is located at latitude 45.14254358, longitude 10.04384767
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Agenzia Regionale per la Protezione dell'Ambiente della Lombardia)  https://ita.arpalombardia.it/ITA/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,o3,o3_min,o3_max,no2,no2_min,no2_max,so2,so2_min,so2_max,co,co_min,co_max
2020-04-01,21,21,21,28,28,28,77,77,77,55,55,55,1,1,1,0.4,0.4,0.4
2020-03-31,"-","-","-","-","-","-",71,71,71,41,41,41,3,3,3,0.3,0.3,0.3
2020-03-30,17,17,17,51,51,51,83,83,83,44,44,44,4,4,4,0.4,0.4,0.4
2020-03-29,24,24,24,97,97,97,98,98,98,27,27,27,2,2,2,0.3,0.3,0.3
2020-03-28,28,28,28,97,97,97,89,89,89,35,35,35,3,3,3,0.3,0.3,0.3
2020-03-27,28,28,28,48,48,48,59,59,59,35,35,35,2,2,2,0.3,0.3,0.3
2020-03-26,"-","-","-",19,19,19,55,55,55,40,40,40,2,2,2,0.6,0.6,0.6
2020-03-25,"-","-","-",21,21,21,71,71,71,60,60,60,1,1,1,0.5,0.5,0.5
2020-03-24,"-","-","-",26,26,26,76,76,76,60,60,60,1,1,1,0.6,0.6,0.6
2020-03-23,"-","-","-",20,20,20,75,75,75,43,43,43,1,1,1,0.5,0.5,0.5
2020-03-22,"-","-","-",26,26,26,72,72,72,13,13,13,1,1,1,0.6,0.6,0.6
2020-03-21,"-","-","-",35,35,35,97,97,97,40,40,40,2,2,2,0.6,0.6,0.6
2020-03-20,38,38,38,58,58,58,93,93,93,60,60,60,2,2,2,0.8,0.8,0.8
2020-03-19,43,43,43,55,55,55,100,100,100,90,90,90,2,2,2,0.8,0.8,0.8
2020-03-18,49,49,49,63,63,63,93,93,93,94,94,94,2,2,2,0.8,0.8,0.8
2020-03-17,30,30,30,45,45,45,87,87,87,94,94,94,2,2,2,0.7,0.7,0.7
2020-03-16,27,27,27,34,34,34,81,81,81,75,75,75,2,2,2,0.6,0.6,0.6
2020-03-15,16,16,16,18,18,18,77,77,77,28,28,28,2,2,2,0.5,0.5,0.5
2020-03-14,23,23,23,27,27,27,56,56,56,29,29,29,1,1,1,0.6,0.6,0.6
2020-03-13,15,15,15,30,30,30,77,77,77,38,38,38,1,1,1,0.6,0.6,0.6
2020-03-12,50,50,50,62,62,62,58,58,58,63,63,63,2,2,2,0.7,0.7,0.7
2020-03-11,25,25,25,35,35,35,68,68,68,84,84,84,2,2,2,0.5,0.5,0.5
2020-03-10,22,22,22,29,29,29,65,65,65,68,68,68,2,2,2,0.5,0.5,0.5
2020-03-09,29,29,29,32,32,32,64,64,64,57,57,57,1,1,1,0.6,0.6,0.6
2020-03-08,17,17,17,20,20,20,81,81,81,77,77,77,2,2,2,0.6,0.6,0.6
2020-03-07,32,32,32,37,37,37,76,76,76,41,41,41,2,2,2,0.6,0.6,0.6
2020-03-06,26,26,26,29,29,29,56,56,56,63,63,63,3,3,3,0.6,0.6,0.6
2020-03-05,23,23,23,27,27,27,48,48,48,55,55,55,3,3,3,0.5,0.5,0.5
2020-03-04,10,10,10,31,31,31,64,64,64,82,82,82,3,3,3,0.6,0.6,0.6
2020-03-03,19,19,19,25,25,25,31,31,31,51,51,51,1,1,1,0.6,0.6,0.6
2020-03-02,25,25,25,28,28,28,37,37,37,42,42,42,1,1,1,0.4,0.4,0.4
2020-03-01,23,23,23,27,27,27,50,50,50,25,25,25,2,2,2,0.3,0.3,0.3
2020-02-29,29,29,29,38,38,38,45,45,45,61,61,61,3,3,3,0.4,0.4,0.4
2020-02-28,13,13,13,22,22,22,75,75,75,111,111,111,10,10,10,0.3,0.3,0.3
2020-02-27,12,12,12,17,17,17,66,66,66,70,70,70,1,1,1,0.1,0.1,0.1
2020-02-26,27,27,27,35,35,35,64,64,64,44,44,44,1,1,1,0.5,0.5,0.5
2020-02-25,67,67,67,88,88,88,35,35,35,68,68,68,2,2,2,0.8,0.8,0.8
2020-02-24,43,43,43,48,48,48,67,67,67,46,46,46,1,1,1,0.7,0.7,0.7
2020-02-23,51,51,51,61,61,61,64,64,64,65,65,65,2,2,2,1,1,1
2020-02-22,48,48,48,61,61,61,63,63,63,92,92,92,2,2,2,0.9,0.9,0.9
2020-02-21,46,46,46,60,60,60,53,53,53,82,82,82,5,5,5,1,1,1
2020-02-20,34,34,34,48,48,48,60,60,60,113,113,113,3,3,3,0.9,0.9,0.9
2020-02-19,42,42,42,51,51,51,60,60,60,49,49,49,5,5,5,0.8,0.8,0.8
2020-02-18,38,38,38,46,46,46,49,49,49,72,72,72,5,5,5,0.8,0.8,0.8
2020-02-17,37,37,37,77,77,77,16,16,16,59,59,59,5,5,5,0.9,0.9,0.9
2020-02-16,41,41,41,89,89,89,50,50,50,78,78,78,3,3,3,1,1,1
2020-02-15,65,65,65,79,79,79,40,40,40,84,84,84,1,1,1,0.9,0.9,0.9
2020-02-14,39,39,39,49,49,49,48,48,48,81,81,81,5,5,5,0.8,0.8,0.8
2020-02-13,36,36,36,55,55,55,41,41,41,97,97,97,3,3,3,0.7,0.7,0.7
2020-02-12,12,12,12,17,17,17,63,63,63,69,69,69,4,4,4,0.5,0.5,0.5
2020-02-11,23,23,23,29,29,29,63,63,63,76,76,76,6,6,6,0.7,0.7,0.7
2020-02-10,63,63,63,76,76,76,20,20,20,66,66,66,4,4,4,0.8,0.8,0.8
2020-02-09,36,36,36,84,84,84,18,18,18,65,65,65,6,6,6,1.4,1.4,1.4
2020-02-08,49,49,49,66,66,66,45,45,45,105,105,105,3,3,3,1.3,1.3,1.3
2020-02-07,34,34,34,49,49,49,45,45,45,92,92,92,5,5,5,0.8,0.8,0.8
2020-02-06,22,22,22,38,38,38,51,51,51,111,111,111,3,3,3,0.7,0.7,0.7
2020-02-05,11,11,11,21,21,21,58,58,58,85,85,85,2,2,2,0.4,0.4,0.4
2020-02-04,23,23,23,38,38,38,60,60,60,30,30,30,1,1,1,0.5,0.5,0.5
2020-02-03,28,28,28,36,36,36,16,16,16,40,40,40,1,1,1,0.6,0.6,0.6
2020-02-02,33,33,33,44,44,44,8,8,8,41,41,41,2,2,2,0.6,0.6,0.6
2020-02-01,63,63,63,73,73,73,4,4,4,47,47,47,3,3,3,0.8,0.8,0.8
2020-01-31,50,50,50,63,63,63,27,27,27,86,86,86,13,13,13,0.8,0.8,0.8
2020-01-30,45,45,45,58,58,58,19,19,19,80,80,80,6,6,6,0.7,0.7,0.7
2020-01-29,36,36,36,44,44,44,51,51,51,68,68,68,9,9,9,0.5,0.5,0.5
2020-01-28,70,70,70,79,79,79,23,23,23,54,54,54,2,2,2,0.7,0.7,0.7
2020-01-27,66,66,66,78,78,78,33,33,33,86,86,86,19,19,19,1,1,1
2020-01-26,74,74,74,83,83,83,36,36,36,84,84,84,9,9,9,1,1,1
2020-01-25,77,77,77,74,74,74,4,4,4,59,59,59,3,3,3,0.9,0.9,0.9
2020-01-24,76,76,76,90,90,90,8,8,8,81,81,81,7,7,7,1.3,1.3,1.3
