#Data for Lodi via Vignati, Lombardia from 2019/01/01 to 2020/04/03. [generated on 2020-04-03 05:44]
#Station is located at latitude 45.30601628, longitude 9.48527511
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Agenzia Regionale per la Protezione dell'Ambiente della Lombardia)  https://ita.arpalombardia.it/ITA/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,no2,no2_min,no2_max,so2,so2_min,so2_max,co,co_min,co_max
2020-04-01,14,14,14,22,22,22,39,39,39,3,3,3,0.6,0.6,0.6
2020-03-31,6,6,6,13,13,13,31,31,31,2,2,2,0.5,0.5,0.5
2020-03-30,12,12,12,44,44,44,40,40,40,3,3,3,0.6,0.6,0.6
2020-03-29,24,24,24,115,115,115,37,37,37,3,3,3,0.7,0.7,0.7
2020-03-28,18,18,18,77,77,77,70,70,70,3,3,3,0.6,0.6,0.6
2020-03-27,12,12,12,36,36,36,45,45,45,3,3,3,0.6,0.6,0.6
2020-03-26,9,9,9,17,17,17,37,37,37,2,2,2,0.5,0.5,0.5
2020-03-25,8,8,8,20,20,20,33,33,33,2,2,2,0.4,0.4,0.4
2020-03-24,16,16,16,28,28,28,49,49,49,3,3,3,0.6,0.6,0.6
2020-03-23,6,6,6,16,16,16,27,27,27,2,2,2,0.4,0.4,0.4
2020-03-22,16,16,16,37,37,37,19,19,19,2,2,2,0.6,0.6,0.6
2020-03-21,17,17,17,34,34,34,38,38,38,4,4,4,0.7,0.7,0.7
2020-03-20,33,33,33,59,59,59,59,59,59,4,4,4,0.7,0.7,0.7
2020-03-19,33,33,33,56,56,56,87,87,87,3,3,3,0.8,0.8,0.8
2020-03-18,33,33,33,60,60,60,100,100,100,4,4,4,0.8,0.8,0.8
2020-03-17,26,26,26,41,41,41,74,74,74,4,4,4,0.7,0.7,0.7
2020-03-16,18,18,18,32,32,32,63,63,63,4,4,4,0.6,0.6,0.6
2020-03-15,12,12,12,19,19,19,30,30,30,3,3,3,0.6,0.6,0.6
2020-03-14,21,21,21,54,54,54,19,19,19,3,3,3,0.5,0.5,0.5
2020-03-13,4,4,4,13,13,13,46,46,46,3,3,3,0.8,0.8,0.8
2020-03-12,24,24,24,55,55,55,59,59,59,4,4,4,1,1,1
2020-03-11,8,8,8,22,22,22,69,69,69,4,4,4,0.8,0.8,0.8
2020-03-10,12,12,12,27,27,27,73,73,73,3,3,3,0.7,0.7,0.7
2020-03-09,16,16,16,31,31,31,59,59,59,3,3,3,0.9,0.9,0.9
2020-03-08,10,10,10,19,19,19,66,66,66,3,3,3,0.8,0.8,0.8
2020-03-07,17,17,17,39,39,39,59,59,59,3,3,3,0.9,0.9,0.9
2020-03-06,8,8,8,21,21,21,57,57,57,2,2,2,0.8,0.8,0.8
2020-03-05,11,11,11,24,24,24,47,47,47,2,2,2,0.7,0.7,0.7
2020-03-04,12,12,12,24,24,24,80,80,80,3,3,3,0.9,0.9,0.9
2020-03-03,9,9,9,19,19,19,57,57,57,"-","-","-",0.8,0.8,0.8
2020-03-02,12,12,12,29,29,29,48,48,48,2,2,2,0.8,0.8,0.8
2020-03-01,12,12,12,27,27,27,27,27,27,2,2,2,0.6,0.6,0.6
2020-02-29,21,21,21,40,40,40,66,66,66,3,3,3,0.8,0.8,0.8
2020-02-28,6,6,6,13,13,13,129,129,129,3,3,3,0.7,0.7,0.7
2020-02-27,5,5,5,10,10,10,90,90,90,4,4,4,0.6,0.6,0.6
2020-02-26,20,20,20,45,45,45,45,45,45,3,3,3,0.8,0.8,0.8
