#Data for Sesto San Giovanni , Lombardia from 2019/01/01 to 2020/04/03. [generated on 2020-04-03 05:44]
#Station is located at latitude 45.53476819, longitude 9.23610903
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Agenzia Regionale per la Protezione dell'Ambiente della Lombardia)  https://ita.arpalombardia.it/ITA/
date,pm25,pm25_min,pm25_max,no2,no2_min,no2_max,co,co_min,co_max
2020-04-01,18,18,18,55,55,55,0.5,0.5,0.5
2020-03-31,8,8,8,50,50,50,0.4,0.4,0.4
2020-03-30,16,16,16,49,49,49,0.4,0.4,0.4
2020-03-29,27,27,27,45,45,45,0.6,0.6,0.6
2020-03-28,33,33,33,65,65,65,0.5,0.5,0.5
2020-03-27,21,21,21,49,49,49,0.5,0.5,0.5
2020-03-26,14,14,14,41,41,41,0.4,0.4,0.4
2020-03-25,14,14,14,53,53,53,0.4,0.4,0.4
2020-03-24,18,18,18,67,67,67,0.5,0.5,0.5
2020-03-23,12,12,12,38,38,38,0.4,0.4,0.4
2020-03-22,20,20,20,18,18,18,0.4,0.4,0.4
2020-03-21,21,21,21,52,52,52,0.5,0.5,0.5
2020-03-20,"-","-","-",42,42,42,0.6,0.6,0.6
2020-03-19,21,21,21,"-","-","-",0.5,0.5,0.5
2020-03-18,76,76,76,"-","-","-",0.5,0.5,0.5
2020-03-17,37,37,37,"-","-","-","-","-","-"
2020-03-16,23,23,23,36,36,36,"-","-","-"
2020-03-15,25,25,25,51,51,51,"-","-","-"
2020-03-14,24,24,24,54,54,54,"-","-","-"
2020-03-13,14,14,14,70,70,70,"-","-","-"
2020-03-12,23,23,23,79,79,79,"-","-","-"
2020-03-11,18,18,18,96,96,96,"-","-","-"
2020-03-10,25,25,25,88,88,88,"-","-","-"
2020-03-09,28,28,28,89,89,89,"-","-","-"
2020-03-08,15,15,15,93,93,93,"-","-","-"
2020-03-07,29,29,29,79,79,79,"-","-","-"
2020-03-06,26,26,26,66,66,66,"-","-","-"
2020-03-05,20,20,20,74,74,74,"-","-","-"
2020-03-04,25,25,25,91,91,91,"-","-","-"
2020-03-03,20,20,20,"-","-","-","-","-","-"
2020-02-29,"-","-","-",82,82,82,0.4,0.4,0.4
2020-02-28,"-","-","-",105,105,105,0.3,0.3,0.3
2020-02-27,29,29,29,24,24,24,0.7,0.7,0.7
2020-02-26,"-","-","-",72,72,72,1.4,1.4,1.4
2020-02-25,45,45,45,87,87,87,1.3,1.3,1.3
2020-02-24,41,41,41,86,86,86,1.2,1.2,1.2
2020-02-23,43,43,43,98,98,98,1.4,1.4,1.4
2020-02-22,42,42,42,109,109,109,1.2,1.2,1.2
2020-02-21,"-","-","-",102,102,102,1.3,1.3,1.3
2020-02-20,69,69,69,115,115,115,1.2,1.2,1.2
2020-02-19,10,10,10,167,167,167,1.4,1.4,1.4
2020-02-18,53,53,53,75,75,75,1.4,1.4,1.4
2020-02-17,62,62,62,94,94,94,1.4,1.4,1.4
2020-02-16,64,64,64,101,101,101,1.5,1.5,1.5
2020-02-15,52,52,52,92,92,92,1.3,1.3,1.3
2020-02-14,31,31,31,99,99,99,1.1,1.1,1.1
2020-02-13,25,25,25,125,125,125,0.9,0.9,0.9
2020-02-12,5,5,5,114,114,114,0.8,0.8,0.8
2020-02-11,21,21,21,89,89,89,1.3,1.3,1.3
2020-02-10,61,61,61,158,158,158,1.4,1.4,1.4
2020-02-09,72,72,72,97,97,97,1.5,1.5,1.5
2020-02-08,51,51,51,104,104,104,1.2,1.2,1.2
2020-02-07,37,37,37,120,120,120,1.2,1.2,1.2
2020-02-06,22,22,22,107,107,107,0.8,0.8,0.8
2020-02-05,8,8,8,73,73,73,1.1,1.1,1.1
2020-02-04,25,25,25,56,56,56,1.4,1.4,1.4
2020-02-03,38,38,38,98,98,98,2.1,2.1,2.1
2020-02-02,41,41,41,59,59,59,1.7,1.7,1.7
2020-02-01,72,72,72,77,77,77,1.7,1.7,1.7
2020-01-31,55,55,55,98,98,98,1.9,1.9,1.9
2020-01-30,35,35,35,109,109,109,1.4,1.4,1.4
2020-01-29,19,19,19,99,99,99,1.3,1.3,1.3
2020-01-28,49,49,49,84,84,84,1.6,1.6,1.6
2020-01-27,80,80,80,137,137,137,2,2,2
2020-01-26,74,74,74,85,85,85,1.9,1.9,1.9
2020-01-25,67,67,67,97,97,97,1.6,1.6,1.6
2020-01-24,71,71,71,131,131,131,2,2,2
2020-01-23,48,48,48,136,136,136,1.6,1.6,1.6
2020-01-22,50,50,50,116,116,116,1.9,1.9,1.9
