#Data for Ponti sul Mincio , Lombardia from 2019/01/01 to 2020/04/03. [generated on 2020-04-03 05:44]
#Station is located at latitude 45.41277633, longitude 10.68336214
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Agenzia Regionale per la Protezione dell'Ambiente della Lombardia)  https://ita.arpalombardia.it/ITA/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,o3,o3_min,o3_max,no2,no2_min,no2_max
2020-04-01,13,13,13,18,18,18,92,92,92,21,21,21
2020-03-31,7,7,7,11,11,11,87,87,87,20,20,20
2020-03-30,16,16,16,40,40,40,92,92,92,14,14,14
2020-03-29,25,25,25,93,93,93,106,106,106,15,15,15
2020-03-28,24,24,24,83,83,83,96,96,96,23,23,23
2020-03-27,23,23,23,42,42,42,71,71,71,31,31,31
2020-03-26,11,11,11,19,19,19,82,82,82,23,23,23
2020-03-25,10,10,10,15,15,15,86,86,86,25,25,25
2020-03-24,13,13,13,20,20,20,90,90,90,27,27,27
2020-03-23,8,8,8,16,16,16,89,89,89,18,18,18
2020-03-22,20,20,20,24,24,24,83,83,83,20,20,20
2020-03-21,46,46,46,57,57,57,106,106,106,27,27,27
2020-03-20,31,31,31,42,42,42,116,116,116,29,29,29
2020-03-19,24,24,24,30,30,30,112,112,112,35,35,35
2020-03-18,38,38,38,47,47,47,111,111,111,45,45,45
2020-03-17,32,32,32,46,46,46,101,101,101,37,37,37
2020-03-16,18,18,18,29,29,29,91,91,91,31,31,31
2020-03-15,11,11,11,14,14,14,94,94,94,14,14,14
2020-03-14,16,16,16,20,20,20,72,72,72,29,29,29
2020-03-13,33,33,33,45,45,45,73,73,73,36,36,36
2020-03-12,44,44,44,60,60,60,62,62,62,43,43,43
2020-03-11,33,33,33,42,42,42,82,82,82,50,50,50
2020-03-10,30,30,30,39,39,39,72,72,72,56,56,56
2020-03-09,20,20,20,29,29,29,85,85,85,44,44,44
2020-03-08,10,10,10,12,12,12,95,95,95,41,41,41
2020-03-07,20,20,20,26,26,26,76,76,76,28,28,28
2020-03-06,16,16,16,21,21,21,61,61,61,40,40,40
2020-03-05,10,10,10,17,17,17,74,74,74,53,53,53
2020-03-04,8,8,8,12,12,12,75,75,75,42,42,42
2020-03-03,9,9,9,11,11,11,54,54,54,49,49,49
2020-03-02,19,19,19,28,28,28,58,58,58,39,39,39
2020-03-01,13,13,13,19,19,19,72,72,72,24,24,24
2020-02-29,16,16,16,31,31,31,66,66,66,45,45,45
2020-02-28,13,13,13,28,28,28,89,89,89,77,77,77
2020-02-27,12,12,12,21,21,21,78,78,78,59,59,59
2020-02-26,36,36,36,50,50,50,79,79,79,51,51,51
2020-02-25,62,62,62,83,83,83,54,54,54,55,55,55
2020-02-24,50,50,50,65,65,65,86,86,86,49,49,49
2020-02-23,52,52,52,71,71,71,52,52,52,57,57,57
2020-02-22,37,37,37,51,51,51,79,79,79,65,65,65
2020-02-21,30,30,30,49,49,49,56,56,56,67,67,67
2020-02-20,15,15,15,26,26,26,76,76,76,72,72,72
2020-02-19,34,34,34,43,43,43,76,76,76,64,64,64
2020-02-18,50,50,50,75,75,75,35,35,35,66,66,66
2020-02-17,65,65,65,82,82,82,20,20,20,60,60,60
2020-02-16,50,50,50,65,65,65,62,62,62,69,69,69
2020-02-15,38,38,38,50,50,50,62,62,62,63,63,63
2020-02-14,29,29,29,39,39,39,61,61,61,69,69,69
2020-02-13,29,29,29,47,47,47,66,66,66,69,69,69
2020-02-12,25,25,25,35,35,35,79,79,79,56,56,56
2020-02-11,27,27,27,45,45,45,84,84,84,48,48,48
2020-02-10,57,57,57,69,69,69,47,47,47,61,61,61
2020-02-09,58,58,58,76,76,76,55,55,55,52,52,52
2020-02-08,45,45,45,65,65,65,48,48,48,70,70,70
2020-02-07,29,29,29,46,46,46,59,59,59,71,71,71
2020-02-06,9,9,9,22,22,22,76,76,76,72,72,72
2020-02-05,5,5,5,9,9,9,76,76,76,73,73,73
2020-02-04,20,20,20,30,30,30,80,80,80,32,32,32
2020-02-03,46,46,46,68,68,68,23,23,23,46,46,46
2020-02-02,46,46,46,58,58,58,20,20,20,38,38,38
2020-02-01,60,60,60,79,79,79,23,23,23,51,51,51
2020-01-31,51,51,51,64,64,64,31,31,31,65,65,65
2020-01-30,40,40,40,56,56,56,39,39,39,59,59,59
2020-01-29,26,26,26,34,34,34,46,46,46,54,54,54
2020-01-28,45,45,45,56,56,56,25,25,25,55,55,55
2020-01-27,50,50,50,62,62,62,59,59,59,56,56,56
2020-01-26,68,68,68,75,75,75,33,33,33,55,55,55
2020-01-25,68,68,68,88,88,88,9,9,9,68,68,68
2020-01-24,53,53,53,73,73,73,23,23,23,67,67,67
2020-01-23,45,45,45,63,63,63,51,51,51,58,58,58
2020-01-22,38,38,38,53,53,53,26,26,26,67,67,67
2020-01-21,17,17,17,29,29,29,53,53,53,64,64,64
2020-01-20,10,10,10,21,21,21,61,61,61,78,78,78
2020-01-19,20,20,20,25,25,25,54,54,54,62,62,62
2020-01-18,24,24,24,37,37,37,52,52,52,57,57,57
2020-01-17,31,31,31,40,40,40,44,44,44,67,67,67
2020-01-16,69,69,69,77,77,77,39,39,39,60,60,60
2020-01-15,69,69,69,88,88,88,13,13,13,68,68,68
2020-01-14,56,56,56,71,71,71,20,20,20,51,51,51
2020-01-13,37,37,37,50,50,50,55,55,55,62,62,62
2020-01-12,27,27,27,37,37,37,51,51,51,50,50,50
2020-01-11,43,43,43,60,60,60,45,45,45,60,60,60
2020-01-10,53,53,53,70,70,70,4,4,4,60,60,60
2020-01-09,44,44,44,57,57,57,6,6,6,60,60,60
2020-01-08,47,47,47,56,56,56,8,8,8,52,52,52
2020-01-07,80,80,80,98,98,98,10,10,10,38,38,38
2020-01-06,40,40,40,52,52,52,67,67,67,49,49,49
2020-01-05,33,33,33,41,41,41,70,70,70,53,53,53
2020-01-04,38,38,38,47,47,47,30,30,30,56,56,56
2020-01-03,45,45,45,56,56,56,25,25,25,51,51,51
2020-01-02,53,53,53,66,66,66,38,38,38,55,55,55
2020-01-01,54,54,54,64,64,64,53,53,53,58,58,58
2019-12-31,53,53,53,61,61,61,20,20,20,51,51,51
2019-12-30,48,48,48,63,63,63,26,26,26,46,46,46
2019-12-29,38,38,38,49,49,49,29,29,29,38,38,38
2019-12-28,27,27,27,40,40,40,51,51,51,59,59,59
2019-12-27,21,21,21,34,34,34,49,49,49,54,54,54
2019-12-26,28,28,28,37,37,37,48,48,48,63,63,63
2019-12-25,13,13,13,19,19,19,59,59,59,52,52,52
2019-12-24,7,7,7,12,12,12,54,54,54,54,54,54
2019-12-23,7,7,7,11,11,11,57,57,57,34,34,34
2019-12-22,5,5,5,9,9,9,61,61,61,32,32,32
2019-12-21,5,5,5,9,9,9,57,57,57,42,42,42
2019-12-20,12,12,12,29,29,29,51,51,51,39,39,39
2019-12-19,18,18,18,32,32,32,13,13,13,44,44,44
2019-12-18,29,29,29,51,51,51,4,4,4,38,38,38
2019-12-17,20,20,20,34,34,34,43,43,43,53,53,53
2019-12-16,26,26,26,37,37,37,18,18,18,52,52,52
2019-12-15,26,26,26,37,37,37,17,17,17,39,39,39
2019-12-14,23,23,23,28,28,28,39,39,39,49,49,49
2019-12-13,15,15,15,23,23,23,24,24,24,57,57,57
2019-12-12,17,17,17,27,27,27,47,47,47,51,51,51
2019-12-11,12,12,12,26,26,26,59,59,59,63,63,63
2019-12-10,22,22,22,33,33,33,66,66,66,67,67,67
2019-12-09,52,52,52,68,68,68,9,9,9,48,48,48
2019-12-08,44,44,44,57,57,57,26,26,26,47,47,47
2019-12-07,51,51,51,70,70,70,10,10,10,54,54,54
2019-12-06,28,28,28,45,45,45,15,15,15,47,47,47
2019-12-05,22,22,22,35,35,35,35,35,35,54,54,54
2019-12-04,16,16,16,30,30,30,43,43,43,53,53,53
2019-12-03,8,8,8,14,14,14,44,44,44,51,51,51
2019-12-02,13,13,13,20,20,20,48,48,48,34,34,34
2019-12-01,18,18,18,27,27,27,13,13,13,33,33,33
2019-11-30,24,24,24,36,36,36,20,20,20,35,35,35
2019-11-29,27,27,27,33,33,33,18,18,18,35,35,35
2019-11-28,23,23,23,23,23,23,11,11,11,38,38,38
2019-11-27,22,22,22,22,22,22,6,6,6,41,41,41
2019-11-26,16,16,16,23,23,23,23,23,23,41,41,41
2019-11-25,8,8,8,13,13,13,36,36,36,50,50,50
2019-11-24,6,6,6,8,8,8,69,69,69,28,28,28
2019-11-23,6,6,6,6,6,6,70,70,70,21,21,21
2019-11-22,12,12,12,12,12,12,60,60,60,45,45,45
2019-11-21,28,28,28,25,25,25,12,12,12,40,40,40
2019-11-20,16,16,16,17,17,17,43,43,43,38,38,38
2019-11-19,5,5,5,5,5,5,57,57,57,41,41,41
2019-11-18,14,14,14,15,15,15,52,52,52,52,52,52
2019-11-17,8,8,8,8,8,8,72,72,72,37,37,37
2019-11-16,16,16,16,17,17,17,59,59,59,48,48,48
2019-11-15,7,7,7,7,7,7,75,75,75,36,36,36
2019-11-14,7,7,7,9,9,9,75,75,75,54,54,54
2019-11-13,7,7,7,10,10,10,65,65,65,52,52,52
2019-11-12,7,7,7,7,7,7,53,53,53,45,45,45
2019-11-11,10,10,10,12,12,12,27,27,27,42,42,42
2019-11-10,14,14,14,15,15,15,58,58,58,44,44,44
2019-11-09,16,16,16,18,18,18,66,66,66,32,32,32
2019-11-08,8,8,8,8,8,8,54,54,54,41,41,41
2019-11-07,15,15,15,16,16,16,35,35,35,40,40,40
2019-11-06,12,12,12,13,13,13,30,30,30,40,40,40
2019-11-05,17,17,17,18,18,18,41,41,41,28,28,28
2019-11-04,12,12,12,13,13,13,41,41,41,"-","-","-"
2019-11-03,7,7,7,7,7,7,45,45,45,"-","-","-"
2019-11-02,21,21,21,17,17,17,41,41,41,"-","-","-"
2019-11-01,16,16,16,17,17,17,47,47,47,21,21,21
2019-10-31,14,14,14,15,15,15,36,36,36,24,24,24
2019-10-30,9,9,9,11,11,11,46,46,46,25,25,25
2019-10-29,37,37,37,38,38,38,40,40,40,28,28,28
2019-10-28,39,39,39,47,47,47,59,59,59,32,32,32
2019-10-27,23,23,23,27,27,27,68,68,68,41,41,41
2019-10-26,18,18,18,24,24,24,52,52,52,31,31,31
2019-10-25,22,22,22,24,24,24,77,77,77,36,36,36
2019-10-24,30,30,30,32,32,32,33,33,33,30,30,30
2019-10-23,29,29,29,30,30,30,57,57,57,27,27,27
2019-10-22,27,27,27,29,29,29,81,81,81,35,35,35
2019-10-21,17,17,17,20,20,20,88,88,88,21,21,21
2019-10-20,13,13,13,16,16,16,88,88,88,15,15,15
2019-10-19,24,24,24,22,22,22,45,45,45,29,29,29
2019-10-18,27,27,27,26,26,26,54,54,54,27,27,27
2019-10-17,23,23,23,26,26,26,76,76,76,32,32,32
2019-10-16,12,12,12,15,15,15,78,78,78,35,35,35
2019-10-15,60,60,60,36,36,36,78,78,78,28,28,28
2019-10-14,72,72,72,63,63,63,90,90,90,45,45,45
2019-10-13,70,70,70,55,55,55,63,63,63,28,28,28
2019-10-12,53,53,53,47,47,47,74,74,74,37,37,37
2019-10-11,23,23,23,23,23,23,71,71,71,46,46,46
2019-10-10,25,25,25,26,26,26,64,64,64,30,30,30
2019-10-09,20,20,20,20,20,20,61,61,61,46,46,46
2019-10-08,16,16,16,19,19,19,77,77,77,37,37,37
2019-10-07,12,12,12,12,12,12,69,69,69,30,30,30
2019-10-06,16,16,16,18,18,18,89,89,89,22,22,22
2019-10-05,37,37,37,42,42,42,81,81,81,41,41,41
2019-10-04,9,9,9,13,13,13,76,76,76,33,33,33
2019-10-03,9,9,9,7,7,7,89,89,89,32,32,32
2019-10-02,11,11,11,19,19,19,74,74,74,26,26,26
2019-10-01,30,30,30,36,36,36,108,108,108,35,35,35
2019-09-30,20,20,20,27,27,27,105,105,105,46,46,46
2019-09-29,16,16,16,22,22,22,105,105,105,34,34,34
2019-09-28,30,30,30,32,32,32,98,98,98,33,33,33
2019-09-27,32,32,32,29,29,29,103,103,103,48,48,48
2019-09-26,24,24,24,24,24,24,98,98,98,40,40,40
2019-09-25,22,22,22,24,24,24,95,95,95,35,35,35
2019-09-24,11,11,11,13,13,13,90,90,90,44,44,44
2019-09-23,35,35,35,26,26,26,48,48,48,26,26,26
2019-09-22,21,21,21,22,22,22,78,78,78,22,22,22
2019-09-21,14,14,14,21,21,21,106,106,106,44,44,44
2019-09-20,11,11,11,15,15,15,96,96,96,40,40,40
2019-09-19,9,9,9,15,15,15,90,90,90,19,19,19
2019-09-18,23,23,23,36,36,36,111,111,111,18,18,18
2019-09-17,35,35,35,40,40,40,142,142,142,49,49,49
2019-09-16,30,30,30,37,37,37,143,143,143,38,38,38
2019-09-15,20,20,20,27,27,27,123,123,123,43,43,43
2019-09-14,20,20,20,27,27,27,150,150,150,47,47,47
2019-09-13,22,22,22,30,30,30,138,138,138,51,51,51
2019-09-12,18,18,18,25,25,25,138,138,138,37,37,37
2019-09-11,13,13,13,20,20,20,120,120,120,40,40,40
2019-09-10,9,9,9,13,13,13,113,113,113,34,34,34
2019-09-09,7,7,7,10,10,10,83,83,83,36,36,36
2019-09-08,4,4,4,5,5,5,79,79,79,15,15,15
2019-09-07,9,9,9,10,10,10,88,88,88,32,32,32
2019-09-06,10,10,10,8,8,8,77,77,77,24,24,24
2019-09-05,13,13,13,20,20,20,151,151,151,41,41,41
2019-09-04,10,10,10,18,18,18,125,125,125,36,36,36
2019-09-03,7,7,7,9,9,9,114,114,114,15,15,15
2019-09-02,15,15,15,18,18,18,123,123,123,29,29,29
2019-09-01,15,15,15,19,19,19,141,141,141,24,24,24
2019-08-31,16,16,16,21,21,21,138,138,138,19,19,19
2019-08-30,17,17,17,26,26,26,155,155,155,44,44,44
2019-08-29,17,17,17,22,22,22,146,146,146,21,21,21
2019-08-28,24,24,24,33,33,33,132,132,132,34,34,34
2019-08-27,20,20,20,26,26,26,146,146,146,40,40,40
2019-08-26,17,17,17,22,22,22,129,129,129,27,27,27
2019-08-25,12,12,12,18,18,18,138,138,138,32,32,32
2019-08-24,13,13,13,17,17,17,111,111,111,29,29,29
2019-08-23,21,21,21,27,27,27,118,118,118,27,27,27
2019-08-22,14,14,14,22,22,22,130,130,130,18,18,18
2019-08-21,13,13,13,20,20,20,135,135,135,28,28,28
2019-08-20,12,12,12,23,23,23,150,150,150,27,27,27
2019-08-19,13,13,13,19,19,19,123,123,123,41,41,41
2019-08-18,12,12,12,19,19,19,140,140,140,27,27,27
2019-08-17,8,8,8,15,15,15,125,125,125,36,36,36
2019-08-16,7,7,7,11,11,11,117,117,117,29,29,29
2019-08-15,6,6,6,13,13,13,116,116,116,30,30,30
2019-08-14,7,7,7,12,12,12,109,109,109,17,17,17
2019-08-13,14,14,14,19,19,19,104,104,104,16,16,16
2019-08-12,16,16,16,24,24,24,82,82,82,"-","-","-"
2019-08-11,18,18,18,24,24,24,145,145,145,"-","-","-"
2019-08-10,17,17,17,25,25,25,141,141,141,"-","-","-"
2019-08-09,18,18,18,23,23,23,128,128,128,"-","-","-"
2019-08-08,12,12,12,14,14,14,122,122,122,"-","-","-"
2019-08-07,10,10,10,13,13,13,141,141,141,"-","-","-"
2019-08-06,13,13,13,20,20,20,148,148,148,"-","-","-"
2019-08-05,10,10,10,16,16,16,161,161,161,"-","-","-"
2019-08-04,10,10,10,13,13,13,144,144,144,"-","-","-"
2019-08-02,28,28,28,29,29,29,83,83,83,"-","-","-"
2019-08-01,15,15,15,20,20,20,165,165,165,"-","-","-"
2019-07-31,14,14,14,18,18,18,147,147,147,"-","-","-"
2019-07-30,16,16,16,20,20,20,149,149,149,"-","-","-"
2019-07-29,12,12,12,13,13,13,154,154,154,"-","-","-"
2019-07-28,13,13,13,12,12,12,92,92,92,"-","-","-"
2019-07-27,17,17,17,20,20,20,142,142,142,"-","-","-"
2019-07-26,12,12,12,22,22,22,176,176,176,"-","-","-"
2019-07-25,18,18,18,26,26,26,191,191,191,"-","-","-"
2019-07-24,19,19,19,29,29,29,189,189,189,51,51,51
2019-07-23,18,18,18,28,28,28,186,186,186,55,55,55
2019-07-22,19,19,19,29,29,29,175,175,175,44,44,44
2019-07-21,18,18,18,26,26,26,163,163,163,22,22,22
2019-07-20,20,20,20,28,28,28,166,166,166,28,28,28
2019-07-19,14,14,14,21,21,21,162,162,162,46,46,46
2019-07-18,16,16,16,21,21,21,147,147,147,29,29,29
2019-07-17,10,10,10,15,15,15,142,142,142,36,36,36
2019-07-16,8,8,8,10,10,10,135,135,135,42,42,42
2019-07-15,10,10,10,10,10,10,104,104,104,27,27,27
2019-07-14,5,5,5,8,8,8,126,126,126,15,15,15
2019-07-13,10,10,10,13,13,13,134,134,134,29,29,29
