#Data for Moggio , Lombardia from 2019/01/01 to 2020/04/03. [generated on 2020-04-03 05:44]
#Station is located at latitude 45.91279097, longitude 9.49754261
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Agenzia Regionale per la Protezione dell'Ambiente della Lombardia)  https://ita.arpalombardia.it/ITA/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,o3,o3_min,o3_max,no2,no2_min,no2_max
2020-04-01,16,16,16,14,14,14,91,91,91,8,8,8
2020-03-31,5,5,5,5,5,5,80,80,80,5,5,5
2020-03-30,10,10,10,16,16,16,106,106,106,5,5,5
2020-03-29,12,12,12,47,47,47,110,110,110,5,5,5
2020-03-28,19,19,19,40,40,40,111,111,111,8,8,8
2020-03-27,16,16,16,21,21,21,97,97,97,15,15,15
2020-03-26,16,16,16,21,21,21,89,89,89,13,13,13
2020-03-25,17,17,17,18,18,18,90,90,90,7,7,7
2020-03-24,10,10,10,16,16,16,97,97,97,10,10,10
2020-03-23,10,10,10,14,14,14,82,82,82,7,7,7
2020-03-22,16,16,16,20,20,20,119,119,119,9,9,9
2020-03-21,14,14,14,21,21,21,122,122,122,10,10,10
2020-03-20,25,25,25,30,30,30,124,124,124,21,21,21
2020-03-19,21,21,21,23,23,23,132,132,132,15,15,15
2020-03-18,14,14,14,17,17,17,120,120,120,16,16,16
2020-03-17,24,24,24,25,25,25,104,104,104,17,17,17
2020-03-16,13,13,13,14,14,14,94,94,94,17,17,17
2020-03-15,7,7,7,9,9,9,82,82,82,6,6,6
2020-03-14,8,8,8,8,8,8,85,85,85,12,12,12
2020-03-13,17,17,17,21,21,21,95,95,95,14,14,14
2020-03-12,25,25,25,28,28,28,96,96,96,21,21,21
2020-03-11,5,5,5,5,5,5,95,95,95,21,21,21
2020-03-10,1,1,1,4,4,4,97,97,97,5,5,5
2020-03-09,10,10,10,12,12,12,103,103,103,13,13,13
2020-03-08,9,9,9,8,8,8,107,107,107,10,10,10
2020-03-07,2,2,2,2,2,2,102,102,102,10,10,10
2020-03-06,5,5,5,5,5,5,86,86,86,15,15,15
2020-03-05,18,18,18,15,15,15,89,89,89,17,17,17
2020-03-04,5,5,5,6,6,6,98,98,98,14,14,14
2020-03-03,4,4,4,2,2,2,94,94,94,6,6,6
2020-03-02,4,4,4,1,1,1,97,97,97,13,13,13
2020-03-01,7,7,7,6,6,6,82,82,82,12,12,12
2020-02-29,7,7,7,10,10,10,99,99,99,7,7,7
2020-02-28,8,8,8,5,5,5,102,102,102,4,4,4
2020-02-27,2,2,2,5,5,5,95,95,95,9,9,9
2020-02-26,7,7,7,7,7,7,92,92,92,6,6,6
2020-02-25,22,22,22,30,30,30,94,94,94,29,29,29
2020-02-24,13,13,13,15,15,15,90,90,90,31,31,31
2020-02-23,26,26,26,29,29,29,104,104,104,22,22,22
2020-02-22,29,29,29,33,33,33,82,82,82,31,31,31
2020-02-21,7,7,7,8,8,8,93,93,93,25,25,25
2020-02-20,7,7,7,6,6,6,95,95,95,39,39,39
2020-02-19,21,21,21,23,23,23,94,94,94,20,20,20
2020-02-18,8,8,8,9,9,9,91,91,91,33,33,33
2020-02-17,7,7,7,7,7,7,101,101,101,11,11,11
2020-02-16,26,26,26,31,31,31,96,96,96,16,16,16
2020-02-15,8,8,8,11,11,11,98,98,98,13,13,13
2020-02-14,3,3,3,4,4,4,96,96,96,8,8,8
2020-02-13,"-","-","-","-","-","-",97,97,97,17,17,17
2020-02-12,"-","-","-","-","-","-",97,97,97,3,3,3
2020-02-11,2,2,2,2,2,2,95,95,95,4,4,4
2020-02-10,6,6,6,8,8,8,92,92,92,7,7,7
2020-02-09,35,35,35,40,40,40,93,93,93,23,23,23
2020-02-08,31,31,31,31,31,31,77,77,77,29,29,29
2020-02-07,9,9,9,9,9,9,95,95,95,20,20,20
2020-02-06,5,5,5,7,7,7,93,93,93,12,12,12
2020-02-05,4,4,4,1,1,1,93,93,93,3,3,3
2020-02-04,8,8,8,14,14,14,93,93,93,14,14,14
2020-02-03,10,10,10,15,15,15,76,76,76,4,4,4
2020-02-02,6,6,6,8,8,8,90,90,90,20,20,20
2020-02-01,5,5,5,6,6,6,85,85,85,7,7,7
2020-01-31,7,7,7,9,9,9,86,86,86,14,14,14
2020-01-30,3,3,3,4,4,4,94,94,94,19,19,19
2020-01-29,2,2,2,3,3,3,91,91,91,5,5,5
2020-01-28,7,7,7,8,8,8,90,90,90,16,16,16
2020-01-27,11,11,11,18,18,18,88,88,88,21,21,21
2020-01-26,19,19,19,20,20,20,81,81,81,18,18,18
2020-01-25,15,15,15,18,18,18,86,86,86,17,17,17
2020-01-24,10,10,10,9,9,9,95,95,95,14,14,14
2020-01-23,10,10,10,12,12,12,94,94,94,26,26,26
2020-01-22,3,3,3,4,4,4,97,97,97,7,7,7
2020-01-21,5,5,5,6,6,6,92,92,92,7,7,7
2020-01-20,4,4,4,6,6,6,84,84,84,9,9,9
2020-01-19,2,2,2,1,1,1,88,88,88,5,5,5
2020-01-18,3,3,3,4,4,4,91,91,91,11,11,11
2020-01-17,5,5,5,7,7,7,98,98,98,11,11,11
2020-01-16,5,5,5,5,5,5,96,96,96,8,8,8
2020-01-15,4,4,4,6,6,6,96,96,96,17,17,17
2020-01-14,4,4,4,6,6,6,98,98,98,5,5,5
2020-01-13,10,10,10,11,11,11,96,96,96,21,21,21
2020-01-12,4,4,4,5,5,5,97,97,97,4,4,4
2020-01-11,"-","-","-",3,3,3,98,98,98,4,4,4
2020-01-10,2,2,2,6,6,6,94,94,94,6,6,6
2020-01-09,3,3,3,7,7,7,99,99,99,13,13,13
2020-01-08,4,4,4,3,3,3,96,96,96,5,5,5
2020-01-07,5,5,5,7,7,7,99,99,99,9,9,9
2020-01-06,12,12,12,16,16,16,84,84,84,13,13,13
2020-01-05,4,4,4,4,4,4,97,97,97,5,5,5
2020-01-04,4,4,4,1,1,1,96,96,96,4,4,4
