#Data for Bergamo Via Meucci, Lombardia from 2019/01/01 to 2020/04/03. [generated on 2020-04-03 05:44]
#Station is located at latitude 45.691044, longitude 9.64366225
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Agenzia Regionale per la Protezione dell'Ambiente della Lombardia)  https://ita.arpalombardia.it/ITA/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,o3,o3_min,o3_max,no2,no2_min,no2_max,co,co_min,co_max
2020-04-01,18,18,18,17,17,17,83,83,83,34,34,34,0.3,0.3,0.3
2020-03-31,9,9,9,9,9,9,74,74,74,26,26,26,0.3,0.3,0.3
2020-03-30,15,15,15,29,29,29,95,95,95,16,16,16,0.3,0.3,0.3
2020-03-29,21,21,21,70,70,70,101,101,101,19,19,19,0.4,0.4,0.4
2020-03-28,30,30,30,90,90,90,98,98,98,28,28,28,0.4,0.4,0.4
2020-03-27,27,27,27,34,34,34,81,81,81,24,24,24,0.4,0.4,0.4
2020-03-26,21,21,21,25,25,25,71,71,71,20,20,20,0.3,0.3,0.3
2020-03-25,17,17,17,21,21,21,81,81,81,16,16,16,0.3,0.3,0.3
2020-03-24,18,18,18,22,22,22,91,91,91,32,32,32,0.4,0.4,0.4
2020-03-23,12,12,12,19,19,19,77,77,77,18,18,18,0.3,0.3,0.3
2020-03-22,23,23,23,26,26,26,80,80,80,15,15,15,0.3,0.3,0.3
2020-03-21,23,23,23,27,27,27,112,112,112,20,20,20,0.3,0.3,0.3
2020-03-20,34,34,34,41,41,41,114,114,114,32,32,32,0.4,0.4,0.4
2020-03-19,25,25,25,26,26,26,115,115,115,39,39,39,0.4,0.4,0.4
2020-03-18,35,35,35,37,37,37,110,110,110,36,36,36,0.4,0.4,0.4
2020-03-17,32,32,32,32,32,32,92,92,92,38,38,38,0.4,0.4,0.4
2020-03-16,18,18,18,21,21,21,85,85,85,35,35,35,0.4,0.4,0.4
2020-03-15,13,13,13,14,14,14,77,77,77,23,23,23,0.4,0.4,0.4
2020-03-14,27,27,27,30,30,30,74,74,74,24,24,24,0.4,0.4,0.4
2020-03-13,21,21,21,27,27,27,83,83,83,33,33,33,0.4,0.4,0.4
