#Data for Calusco , Lombardia from 2019/01/01 to 2020/04/03. [generated on 2020-04-03 05:44]
#Station is located at latitude 45.69043647, longitude 9.48426111
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Agenzia Regionale per la Protezione dell'Ambiente della Lombardia)  https://ita.arpalombardia.it/ITA/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,o3,o3_min,o3_max,no2,no2_min,no2_max,so2,so2_min,so2_max,co,co_min,co_max
2020-04-01,20,20,20,19,19,19,77,77,77,29,29,29,1,1,1,0.4,0.4,0.4
2020-03-31,15,15,15,11,11,11,67,67,67,24,24,24,1,1,1,0.4,0.4,0.4
2020-03-30,11,11,11,26,26,26,84,84,84,17,17,17,2,2,2,0.4,0.4,0.4
2020-03-29,16,16,16,80,80,80,94,94,94,17,17,17,2,2,2,0.5,0.5,0.5
2020-03-28,26,26,26,77,77,77,92,92,92,27,27,27,2,2,2,0.5,0.5,0.5
2020-03-27,18,18,18,31,31,31,76,76,76,22,22,22,2,2,2,0.4,0.4,0.4
2020-03-26,17,17,17,21,21,21,69,69,69,29,29,29,1,1,1,0.3,0.3,0.3
2020-03-25,18,18,18,18,18,18,75,75,75,16,16,16,1,1,1,0.3,0.3,0.3
2020-03-24,23,23,23,20,20,20,84,84,84,20,20,20,2,2,2,0.4,0.4,0.4
2020-03-23,16,16,16,19,19,19,69,69,69,23,23,23,1,1,1,0.4,0.4,0.4
2020-03-22,21,21,21,32,32,32,74,74,74,20,20,20,1,1,1,0.3,0.3,0.3
2020-03-21,16,16,16,23,23,23,104,104,104,15,15,15,2,2,2,0.3,0.3,0.3
2020-03-20,22,22,22,36,36,36,101,101,101,31,31,31,2,2,2,0.5,0.5,0.5
2020-03-19,22,22,22,28,28,28,105,105,105,38,38,38,2,2,2,0.5,0.5,0.5
2020-03-18,29,29,29,36,36,36,102,102,102,38,38,38,2,2,2,0.5,0.5,0.5
2020-03-17,32,32,32,34,34,34,87,87,87,42,42,42,2,2,2,0.5,0.5,0.5
2020-03-16,"-","-","-",19,19,19,79,79,79,44,44,44,1,1,1,0.5,0.5,0.5
2020-03-15,17,17,17,18,18,18,69,69,69,28,28,28,1,1,1,0.4,0.4,0.4
2020-03-14,25,25,25,31,31,31,67,67,67,20,20,20,2,2,2,0.4,0.4,0.4
2020-03-13,17,17,17,23,23,23,75,75,75,31,31,31,2,2,2,0.4,0.4,0.4
2020-03-12,24,24,24,42,42,42,63,63,63,37,37,37,2,2,2,0.5,0.5,0.5
2020-03-11,19,19,19,19,19,19,66,66,66,58,58,58,3,3,3,0.4,0.4,0.4
2020-03-10,18,18,18,21,21,21,75,75,75,49,49,49,3,3,3,0.4,0.4,0.4
2020-03-09,27,27,27,25,25,25,70,70,70,48,48,48,2,2,2,0.6,0.6,0.6
2020-03-08,11,11,11,13,13,13,86,86,86,49,49,49,2,2,2,0.5,0.5,0.5
2020-03-07,23,23,23,26,26,26,90,90,90,44,44,44,4,4,4,0.8,0.8,0.8
2020-03-06,26,26,26,21,21,21,51,51,51,69,69,69,4,4,4,0.7,0.7,0.7
2020-03-05,13,13,13,17,17,17,65,65,65,43,43,43,3,3,3,0.5,0.5,0.5
2020-03-04,13,13,13,18,18,18,73,73,73,68,68,68,3,3,3,0.6,0.6,0.6
2020-03-03,27,27,27,16,16,16,71,71,71,44,44,44,4,4,4,0.5,0.5,0.5
2020-03-02,7,7,7,20,20,20,66,66,66,42,42,42,3,3,3,0.4,0.4,0.4
2020-03-01,14,14,14,20,20,20,61,61,61,37,37,37,2,2,2,0.4,0.4,0.4
2020-02-29,28,28,28,27,27,27,68,68,68,44,44,44,2,2,2,0.5,0.5,0.5
2020-02-28,14,14,14,11,11,11,90,90,90,82,82,82,3,3,3,0.5,0.5,0.5
2020-02-27,6,6,6,6,6,6,76,76,76,34,34,34,2,2,2,0.5,0.5,0.5
2020-02-26,22,22,22,33,33,33,85,85,85,48,48,48,4,4,4,0.9,0.9,0.9
2020-02-25,29,29,29,54,54,54,61,61,61,55,55,55,2,2,2,0.7,0.7,0.7
2020-02-24,38,38,38,51,51,51,60,60,60,36,36,36,1,1,1,0.6,0.6,0.6
2020-02-23,37,37,37,48,48,48,89,89,89,48,48,48,1,1,1,0.9,0.9,0.9
2020-02-22,38,38,38,49,49,49,71,71,71,74,74,74,4,4,4,0.8,0.8,0.8
2020-02-21,35,35,35,35,35,35,46,46,46,79,79,79,3,3,3,0.8,0.8,0.8
2020-02-20,18,18,18,18,18,18,56,56,56,83,83,83,6,6,6,0.8,0.8,0.8
2020-02-19,24,24,24,36,36,36,74,74,74,44,44,44,2,2,2,0.9,0.9,0.9
