#Data for Darfo , Lombardia from 2019/01/01 to 2020/04/03. [generated on 2020-04-03 05:44]
#Station is located at latitude 45.87460256, longitude 10.17736553
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Agenzia Regionale per la Protezione dell'Ambiente della Lombardia)  https://ita.arpalombardia.it/ITA/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,o3,o3_min,o3_max,no2,no2_min,no2_max
2020-04-01,23,23,23,29,29,29,82,82,82,25,25,25
2020-03-31,17,17,17,17,17,17,65,65,65,19,19,19
2020-03-30,14,14,14,24,24,24,91,91,91,16,16,16
2020-03-29,24,24,24,63,63,63,89,89,89,20,20,20
2020-03-28,37,37,37,83,83,83,104,104,104,26,26,26
2020-03-27,31,31,31,42,42,42,83,83,83,28,28,28
2020-03-26,25,25,25,28,28,28,80,80,80,29,29,29
2020-03-25,21,21,21,26,26,26,83,83,83,31,31,31
2020-03-24,24,24,24,30,30,30,92,92,92,28,28,28
2020-03-23,14,14,14,23,23,23,80,80,80,16,16,16
2020-03-22,31,31,31,42,42,42,75,75,75,20,20,20
2020-03-21,22,22,22,24,24,24,118,118,118,16,16,16
2020-03-20,30,30,30,35,35,35,120,120,120,27,27,27
2020-03-19,25,25,25,31,31,31,122,122,122,36,36,36
2020-03-18,29,29,29,36,36,36,112,112,112,46,46,46
2020-03-17,37,37,37,37,37,37,97,97,97,60,60,60
2020-03-16,21,21,21,26,26,26,84,84,84,34,34,34
2020-03-15,26,26,26,25,25,25,69,69,69,29,29,29
2020-03-14,24,24,24,24,24,24,74,74,74,24,24,24
2020-03-13,40,40,40,46,46,46,76,76,76,40,40,40
2020-03-12,34,34,34,39,39,39,73,73,73,61,61,61
2020-03-11,32,32,32,35,35,35,64,64,64,75,75,75
2020-03-10,26,26,26,30,30,30,74,74,74,72,72,72
2020-03-09,27,27,27,31,31,31,84,84,84,77,77,77
2020-03-08,16,16,16,15,15,15,98,98,98,48,48,48
2020-03-07,21,21,21,22,22,22,94,94,94,41,41,41
2020-03-06,29,29,29,33,33,33,55,55,55,70,70,70
2020-03-05,28,28,28,30,30,30,68,68,68,50,50,50
2020-03-04,16,16,16,28,28,28,80,80,80,47,47,47
2020-03-03,23,23,23,22,22,22,66,66,66,63,63,63
2020-03-02,29,29,29,34,34,34,35,35,35,50,50,50
2020-03-01,34,34,34,40,40,40,53,53,53,45,45,45
2020-02-29,19,19,19,30,30,30,59,59,59,74,74,74
2020-02-28,16,16,16,19,19,19,103,103,103,71,71,71
2020-02-27,14,14,14,19,19,19,82,82,82,82,82,82
2020-02-26,42,42,42,53,53,53,93,93,93,48,48,48
2020-02-25,86,86,86,109,109,109,16,16,16,70,70,70
2020-02-24,87,87,87,112,112,112,57,57,57,79,79,79
2020-02-21,"-","-","-","-","-","-",62,62,62,62,62,62
2020-02-20,20,20,20,24,24,24,79,79,79,78,78,78
2020-02-19,25,25,25,31,31,31,87,87,87,65,65,65
2020-02-18,53,53,53,66,66,66,39,39,39,75,75,75
2020-02-17,57,57,57,73,73,73,34,34,34,82,82,82
2020-02-16,48,48,48,58,58,58,62,62,62,81,81,81
2020-02-15,29,29,29,33,33,33,73,73,73,93,93,93
2020-02-14,27,27,27,33,33,33,55,55,55,85,85,85
2020-02-13,22,22,22,33,33,33,73,73,73,88,88,88
2020-02-12,13,13,13,15,15,15,85,85,85,74,74,74
2020-02-11,23,23,23,27,27,27,81,81,81,61,61,61
2020-02-10,61,61,61,70,70,70,33,33,33,76,76,76
2020-02-09,63,63,63,73,73,73,57,57,57,73,73,73
2020-02-08,44,44,44,58,58,58,43,43,43,76,76,76
2020-02-07,33,33,33,43,43,43,62,62,62,89,89,89
2020-02-06,21,21,21,27,27,27,64,64,64,82,82,82
2020-02-05,11,11,11,16,16,16,92,92,92,71,71,71
2020-02-04,24,24,24,29,29,29,86,86,86,45,45,45
2020-02-03,51,51,51,60,60,60,28,28,28,64,64,64
2020-02-02,47,47,47,55,55,55,35,35,35,64,64,64
2020-02-01,39,39,39,53,53,53,21,21,21,70,70,70
2020-01-31,34,34,34,44,44,44,58,58,58,83,83,83
2020-01-30,36,36,36,45,45,45,51,51,51,79,79,79
2020-01-29,27,27,27,28,28,28,59,59,59,78,78,78
2020-01-28,44,44,44,55,55,55,8,8,8,64,64,64
2020-01-27,44,44,44,56,56,56,46,46,46,87,87,87
2020-01-26,58,58,58,69,69,69,48,48,48,77,77,77
2020-01-25,59,59,59,78,78,78,13,13,13,82,82,82
2020-01-24,47,47,47,58,58,58,18,18,18,82,82,82
2020-01-23,37,37,37,48,48,48,33,33,33,87,87,87
2020-01-22,39,39,39,52,52,52,40,40,40,86,86,86
2020-01-21,32,32,32,41,41,41,35,35,35,92,92,92
2020-01-20,28,28,28,36,36,36,64,64,64,76,76,76
2020-01-19,25,25,25,28,28,28,62,62,62,57,57,57
2020-01-18,46,46,46,50,50,50,28,28,28,61,61,61
2020-01-17,26,26,26,31,31,31,55,55,55,88,88,88
2020-01-16,43,43,43,58,58,58,37,37,37,80,80,80
2020-01-15,46,46,46,60,60,60,29,29,29,83,83,83
2020-01-14,40,40,40,55,55,55,44,44,44,88,88,88
2020-01-13,37,37,37,50,50,50,47,47,47,80,80,80
2020-01-12,32,32,32,37,37,37,75,75,75,71,71,71
2020-01-11,33,33,33,42,42,42,60,60,60,78,78,78
2020-01-10,35,35,35,46,46,46,51,51,51,84,84,84
2020-01-09,42,42,42,55,55,55,44,44,44,87,87,87
2020-01-08,50,50,50,63,63,63,47,47,47,92,92,92
2020-01-07,45,45,45,56,56,56,51,51,51,78,78,78
2020-01-06,35,35,35,41,41,41,54,54,54,63,63,63
2020-01-05,32,32,32,39,39,39,61,61,61,77,77,77
2020-01-04,49,49,49,57,57,57,37,37,37,74,74,74
2020-01-03,48,48,48,62,62,62,21,21,21,75,75,75
2020-01-02,47,47,47,57,57,57,42,42,42,77,77,77
2020-01-01,51,51,51,60,60,60,45,45,45,62,62,62
2019-12-31,146,146,146,169,169,169,45,45,45,72,72,72
2019-12-30,"-","-","-","-","-","-",30,30,30,33,33,33
2019-12-29,42,42,42,48,48,48,48,48,48,48,48,48
