#Data for Sondrio via Paribelli, Lombardia from 2019/01/01 to 2020/04/03. [generated on 2020-04-03 05:44]
#Station is located at latitude 46.16785664, longitude 9.87921169
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Agenzia Regionale per la Protezione dell'Ambiente della Lombardia)  https://ita.arpalombardia.it/ITA/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,o3,o3_min,o3_max,no2,no2_min,no2_max
2020-04-01,15,15,15,16,16,16,89,89,89,22,22,22
2020-03-31,8,8,8,8,8,8,75,75,75,9,9,9
2020-03-30,9,9,9,12,12,12,72,72,72,15,15,15
2020-03-29,18,18,18,37,37,37,97,97,97,15,15,15
2020-03-28,20,20,20,35,35,35,93,93,93,24,24,24
2020-03-27,23,23,23,28,28,28,91,91,91,26,26,26
2020-03-26,18,18,18,20,20,20,86,86,86,26,26,26
2020-03-25,17,17,17,21,21,21,81,81,81,28,28,28
2020-03-24,15,15,15,18,18,18,91,91,91,17,17,17
2020-03-23,14,14,14,20,20,20,71,71,71,9,9,9
2020-03-22,23,23,23,26,26,26,93,93,93,10,10,10
2020-03-21,12,12,12,14,14,14,101,101,101,13,13,13
2020-03-20,18,18,18,19,19,19,106,106,106,25,25,25
2020-03-19,18,18,18,19,19,19,108,108,108,24,24,24
2020-03-18,15,15,15,17,17,17,102,102,102,26,26,26
2020-03-17,16,16,16,15,15,15,91,91,91,21,21,21
2020-03-16,10,10,10,13,13,13,80,80,80,17,17,17
2020-03-15,13,13,13,16,16,16,67,67,67,12,12,12
2020-03-14,10,10,10,11,11,11,63,63,63,12,12,12
2020-03-13,16,16,16,19,19,19,82,82,82,21,21,21
2020-03-12,21,21,21,25,25,25,87,87,87,22,22,22
2020-03-11,11,11,11,15,15,15,71,71,71,27,27,27
2020-03-10,14,14,14,15,15,15,88,88,88,34,34,34
2020-03-09,14,14,14,18,18,18,84,84,84,45,45,45
2020-03-08,8,8,8,9,9,9,96,96,96,27,27,27
2020-03-07,9,9,9,11,11,11,95,95,95,29,29,29
2020-03-06,16,16,16,15,15,15,78,78,78,28,28,28
2020-03-05,18,18,18,20,20,20,72,72,72,37,37,37
2020-03-04,11,11,11,12,12,12,89,89,89,42,42,42
2020-03-03,8,8,8,12,12,12,73,73,73,34,34,34
2020-03-02,19,19,19,24,24,24,40,40,40,35,35,35
2020-03-01,23,23,23,26,26,26,65,65,65,19,19,19
2020-02-29,28,28,28,33,33,33,44,44,44,56,56,56
2020-02-28,10,10,10,14,14,14,92,92,92,44,44,44
2020-02-27,8,8,8,9,9,9,80,80,80,43,43,43
2020-02-26,25,25,25,28,28,28,88,88,88,26,26,26
2020-02-25,52,52,52,64,64,64,29,29,29,38,38,38
2020-02-24,29,29,29,36,36,36,68,68,68,51,51,51
2020-02-23,28,28,28,32,32,32,89,89,89,41,41,41
2020-02-22,24,24,24,31,31,31,72,72,72,48,48,48
2020-02-21,"-","-","-","-","-","-",84,84,84,54,54,54
2020-02-20,12,12,12,15,15,15,82,82,82,53,53,53
2020-02-19,10,10,10,11,11,11,81,81,81,45,45,45
