#Data for Treviglio , Lombardia from 2019/01/01 to 2020/04/03. [generated on 2020-04-03 05:44]
#Station is located at latitude 45.51933533, longitude 9.59201917
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Agenzia Regionale per la Protezione dell'Ambiente della Lombardia)  https://ita.arpalombardia.it/ITA/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,no2,no2_min,no2_max,so2,so2_min,so2_max,co,co_min,co_max
2020-04-01,15,15,15,21,21,21,37,37,37,1,1,1,0.4,0.4,0.4
2020-03-31,8,8,8,12,12,12,43,43,43,1,1,1,0.3,0.3,0.3
2020-03-30,15,15,15,29,29,29,43,43,43,1,1,1,0.3,0.3,0.3
2020-03-29,36,36,36,90,90,90,39,39,39,1,1,1,0.5,0.5,0.5
2020-03-28,36,36,36,80,80,80,68,68,68,1,1,1,0.4,0.4,0.4
2020-03-27,22,22,22,39,39,39,42,42,42,1,1,1,0.3,0.3,0.3
2020-03-26,14,14,14,23,23,23,45,45,45,1,1,1,0.3,0.3,0.3
2020-03-25,13,13,13,22,22,22,44,44,44,1,1,1,0.2,0.2,0.2
2020-03-24,16,16,16,29,29,29,52,52,52,2,2,2,0.4,0.4,0.4
2020-03-23,11,11,11,21,21,21,37,37,37,1,1,1,0.2,0.2,0.2
2020-03-22,19,19,19,30,30,30,21,21,21,1,1,1,0.3,0.3,0.3
2020-03-21,19,19,19,32,32,32,36,36,36,1,1,1,0.3,0.3,0.3
2020-03-20,29,29,29,47,47,47,47,47,47,2,2,2,0.4,0.4,0.4
2020-03-19,21,21,21,36,36,36,69,69,69,1,1,1,0.5,0.5,0.5
2020-03-18,33,33,33,50,50,50,98,98,98,1,1,1,0.5,0.5,0.5
2020-03-17,27,27,27,38,38,38,72,72,72,2,2,2,0.5,0.5,0.5
2020-03-16,16,16,16,23,23,23,62,62,62,1,1,1,0.4,0.4,0.4
2020-03-15,13,13,13,20,20,20,45,45,45,1,1,1,0.6,0.6,0.6
2020-03-14,18,18,18,32,32,32,47,47,47,1,1,1,0.5,0.5,0.5
2020-03-13,13,13,13,18,18,18,51,51,51,1,1,1,0.4,0.4,0.4
2020-03-12,26,26,26,47,47,47,63,63,63,1,1,1,0.5,0.5,0.5
2020-03-11,19,19,19,29,29,29,68,68,68,2,2,2,0.5,0.5,0.5
2020-03-10,22,22,22,36,36,36,82,82,82,1,1,1,0.6,0.6,0.6
2020-03-09,18,18,18,29,29,29,68,68,68,1,1,1,0.7,0.7,0.7
2020-03-08,12,12,12,17,17,17,82,82,82,1,1,1,0.6,0.6,0.6
2020-03-07,22,22,22,33,33,33,61,61,61,1,1,1,0.7,0.7,0.7
2020-03-06,14,14,14,21,21,21,65,65,65,1,1,1,0.5,0.5,0.5
2020-03-05,14,14,14,24,24,24,59,59,59,1,1,1,0.6,0.6,0.6
2020-03-04,18,18,18,28,28,28,84,84,84,1,1,1,0.9,0.9,0.9
2020-03-03,12,12,12,23,23,23,66,66,66,1,1,1,0.8,0.8,0.8
2020-03-02,17,17,17,25,25,25,50,50,50,3,3,3,0.8,0.8,0.8
2020-03-01,12,12,12,20,20,20,35,35,35,3,3,3,0.7,0.7,0.7
2020-02-29,23,23,23,35,35,35,70,70,70,6,6,6,0.8,0.8,0.8
2020-02-28,11,11,11,18,18,18,99,99,99,5,5,5,0.8,0.8,0.8
2020-02-27,8,8,8,14,14,14,86,86,86,8,8,8,0.6,0.6,0.6
2020-02-26,29,29,29,45,45,45,63,63,63,3,3,3,0.9,0.9,0.9
2020-02-25,44,44,44,77,77,77,76,76,76,3,3,3,0.9,0.9,0.9
