#Data for Schivenoglia , Lombardia from 2019/01/01 to 2020/04/03. [generated on 2020-04-03 05:44]
#Station is located at latitude 45.01688067, longitude 11.07609728
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Agenzia Regionale per la Protezione dell'Ambiente della Lombardia)  https://ita.arpalombardia.it/ITA/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,o3,o3_min,o3_max,no2,no2_min,no2_max,so2,so2_min,so2_max,co,co_min,co_max
2020-04-01,9,9,9,14,14,14,104,104,104,18,18,18,2,2,2,0.7,0.7,0.7
2020-03-31,5,5,5,10,10,10,98,98,98,11,11,11,5,5,5,0.6,0.6,0.6
2020-03-30,14,14,14,41,41,41,95,95,95,19,19,19,7,7,7,0.5,0.5,0.5
2020-03-29,31,31,31,105,105,105,116,116,116,19,19,19,9,9,9,0.6,0.6,0.6
2020-03-28,36,36,36,102,102,102,102,102,102,25,25,25,6,6,6,0.5,0.5,0.5
2020-03-27,30,30,30,71,71,71,74,74,74,24,24,24,6,6,6,0.5,0.5,0.5
2020-03-26,14,14,14,21,21,21,73,73,73,18,18,18,5,5,5,0.6,0.6,0.6
2020-03-25,14,14,14,20,20,20,85,85,85,13,13,13,5,5,5,0.6,0.6,0.6
2020-03-24,11,11,11,16,16,16,90,90,90,21,21,21,5,5,5,1.1,1.1,1.1
2020-03-23,3,3,3,11,11,11,91,91,91,16,16,16,4,4,4,1.1,1.1,1.1
2020-03-22,18,18,18,22,22,22,96,96,96,8,8,8,5,5,5,0.9,0.9,0.9
2020-03-21,32,32,32,45,45,45,121,121,121,20,20,20,5,5,5,0.9,0.9,0.9
2020-03-20,33,33,33,43,43,43,116,116,116,21,21,21,6,6,6,0.9,0.9,0.9
2020-03-19,38,38,38,45,45,45,120,120,120,29,29,29,4,4,4,1,1,1
2020-03-18,34,34,34,46,46,46,118,118,118,30,30,30,4,4,4,0.9,0.9,0.9
2020-03-17,"-","-","-","-","-","-",116,116,116,21,21,21,2,2,2,0.9,0.9,0.9
2020-03-16,"-","-","-","-","-","-",102,102,102,23,23,23,4,4,4,1.1,1.1,1.1
2020-03-15,11,11,11,16,16,16,96,96,96,10,10,10,2,2,2,1,1,1
2020-03-14,18,18,18,25,25,25,72,72,72,16,16,16,2,2,2,1,1,1
2020-03-13,41,41,41,48,48,48,77,77,77,26,26,26,3,3,3,0.9,0.9,0.9
2020-03-12,42,42,42,54,54,54,111,111,111,29,29,29,3,3,3,1.1,1.1,1.1
2020-03-11,33,33,33,39,39,39,95,95,95,27,27,27,3,3,3,1.1,1.1,1.1
2020-03-10,24,24,24,29,29,29,77,77,77,31,31,31,3,3,3,1,1,1
2020-03-09,23,23,23,28,28,28,89,89,89,33,33,33,4,4,4,1,1,1
2020-03-08,15,15,15,17,17,17,102,102,102,23,23,23,2,2,2,1,1,1
2020-03-07,35,35,35,29,29,29,88,88,88,26,26,26,4,4,4,1,1,1
2020-03-06,14,14,14,21,21,21,84,84,84,25,25,25,4,4,4,0.9,0.9,0.9
2020-03-05,23,23,23,25,25,25,78,78,78,26,26,26,4,4,4,1,1,1
2020-03-04,15,15,15,21,21,21,74,74,74,24,24,24,3,3,3,1,1,1
2020-03-03,13,13,13,15,15,15,56,56,56,27,27,27,5,5,5,0.9,0.9,0.9
2020-03-02,23,23,23,29,29,29,50,50,50,28,28,28,5,5,5,1,1,1
2020-03-01,21,21,21,28,28,28,70,70,70,21,21,21,4,4,4,1.1,1.1,1.1
2020-02-29,29,29,29,40,40,40,60,60,60,29,29,29,5,5,5,1.1,1.1,1.1
2020-02-28,15,15,15,19,19,19,93,93,93,39,39,39,4,4,4,1.1,1.1,1.1
2020-02-27,4,4,4,11,11,11,82,82,82,19,19,19,4,4,4,1,1,1
2020-02-26,18,18,18,31,31,31,81,81,81,29,29,29,4,4,4,1,1,1
2020-02-25,34,34,34,57,57,57,74,74,74,49,49,49,6,6,6,1,1,1
2020-02-24,57,57,57,67,67,67,95,95,95,28,28,28,3,3,3,1,1,1
2020-02-23,53,53,53,66,66,66,80,80,80,35,35,35,3,3,3,1,1,1
2020-02-22,43,43,43,53,53,53,85,85,85,38,38,38,3,3,3,1.1,1.1,1.1
2020-02-21,29,29,29,42,42,42,66,66,66,48,48,48,4,4,4,1,1,1
2020-02-20,26,26,26,33,33,33,96,96,96,31,31,31,3,3,3,0.9,0.9,0.9
2020-02-19,28,28,28,38,38,38,71,71,71,36,36,36,3,3,3,0.9,0.9,0.9
2020-02-18,55,55,55,67,67,67,40,40,40,38,38,38,2,2,2,1,1,1
2020-02-17,64,64,64,77,77,77,73,73,73,45,45,45,4,4,4,1,1,1
2020-02-16,40,40,40,55,55,55,77,77,77,28,28,28,"-","-","-",1.1,1.1,1.1
2020-02-15,34,34,34,44,44,44,67,67,67,56,56,56,"-","-","-",1.1,1.1,1.1
2020-02-14,28,28,28,38,38,38,70,70,70,37,37,37,1,1,1,0.9,0.9,0.9
2020-02-13,36,36,36,46,46,46,58,58,58,42,42,42,2,2,2,1,1,1
2020-02-12,10,10,10,19,19,19,84,84,84,26,26,26,2,2,2,0.9,0.9,0.9
2020-02-11,13,13,13,26,26,26,86,86,86,4,4,4,3,3,3,1.1,1.1,1.1
2020-02-10,48,48,48,60,60,60,51,51,51,"-","-","-",2,2,2,1.1,1.1,1.1
2020-02-09,50,50,50,61,61,61,66,66,66,43,43,43,1,1,1,1.2,1.2,1.2
2020-02-08,42,42,42,53,53,53,60,60,60,51,51,51,1,1,1,1.3,1.3,1.3
2020-02-07,34,34,34,46,46,46,47,47,47,57,57,57,3,3,3,1.1,1.1,1.1
2020-02-06,17,17,17,23,23,23,77,77,77,54,54,54,1,1,1,1,1,1
2020-02-05,7,7,7,4,4,4,84,84,84,23,23,23,1,1,1,0.9,0.9,0.9
2020-02-04,11,11,11,28,28,28,80,80,80,36,36,36,2,2,2,0.9,0.9,0.9
2020-02-03,29,29,29,42,42,42,40,40,40,36,36,36,1,1,1,0.9,0.9,0.9
