#Data for Pavia Folperti, Lombardia from 2019/01/01 to 2020/04/03. [generated on 2020-04-03 05:44]
#Station is located at latitude 45.19468231, longitude 9.16464919
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Agenzia Regionale per la Protezione dell'Ambiente della Lombardia)  https://ita.arpalombardia.it/ITA/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,o3,o3_min,o3_max,no2,no2_min,no2_max,so2,so2_min,so2_max
2020-04-01,19,19,19,27,27,27,96,96,96,39,39,39,2,2,2
2020-03-31,3,3,3,7,7,7,81,81,81,21,21,21,2,2,2
2020-03-30,19,19,19,43,43,43,93,93,93,30,30,30,3,3,3
2020-03-29,21,21,21,76,76,76,108,108,108,43,43,43,4,4,4
2020-03-28,28,28,28,80,80,80,95,95,95,30,30,30,6,6,6
2020-03-27,19,19,19,41,41,41,72,72,72,33,33,33,3,3,3
2020-03-26,16,16,16,17,17,17,66,66,66,27,27,27,2,2,2
2020-03-25,16,16,16,20,20,20,81,81,81,22,22,22,2,2,2
2020-03-24,19,19,19,25,25,25,89,89,89,43,43,43,4,4,4
2020-03-23,25,25,25,46,46,46,81,81,81,30,30,30,1,1,1
2020-03-22,21,21,21,25,25,25,82,82,82,21,21,21,2,2,2
2020-03-21,26,26,26,27,27,27,109,109,109,43,43,43,4,4,4
2020-03-20,30,30,30,42,42,42,99,99,99,51,51,51,6,6,6
2020-03-19,"-","-","-",56,56,56,114,114,114,49,49,49,"-","-","-"
2020-03-18,"-","-","-",53,53,53,111,111,111,51,51,51,"-","-","-"
2020-03-17,"-","-","-",35,35,35,100,100,100,48,48,48,25,25,25
2020-03-16,"-","-","-",25,25,25,93,93,93,45,45,45,2,2,2
2020-03-15,"-","-","-",17,17,17,87,87,87,23,23,23,2,2,2
2020-03-14,"-","-","-",30,30,30,60,60,60,19,19,19,2,2,2
2020-03-13,"-","-","-",10,10,10,100,100,100,30,30,30,5,5,5
2020-03-12,"-","-","-",36,36,36,72,72,72,51,51,51,4,4,4
2020-03-11,"-","-","-",21,21,21,84,84,84,58,58,58,8,8,8
2020-03-10,"-","-","-",20,20,20,85,85,85,72,72,72,9,9,9
2020-03-09,"-","-","-",35,35,35,79,79,79,50,50,50,3,3,3
