#Data for Merate , Lombardia from 2019/01/01 to 2020/04/03. [generated on 2020-04-03 05:44]
#Station is located at latitude 45.69795956, longitude 9.40619194
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Agenzia Regionale per la Protezione dell'Ambiente della Lombardia)  https://ita.arpalombardia.it/ITA/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,o3,o3_min,o3_max,no2,no2_min,no2_max,co,co_min,co_max
2020-04-01,17,17,17,22,22,22,83,83,83,32,32,32,0.5,0.5,0.5
2020-03-31,9,9,9,13,13,13,66,66,66,27,27,27,0.5,0.5,0.5
2020-03-30,10,10,10,22,22,22,94,94,94,18,18,18,0.4,0.4,0.4
2020-03-29,17,17,17,74,74,74,106,106,106,20,20,20,0.6,0.6,0.6
2020-03-28,21,21,21,91,91,91,101,101,101,29,29,29,0.5,0.5,0.5
2020-03-27,22,22,22,37,37,37,81,81,81,34,34,34,0.5,0.5,0.5
2020-03-26,17,17,17,25,25,25,74,74,74,44,44,44,0.5,0.5,0.5
2020-03-25,16,16,16,23,23,23,78,78,78,43,43,43,0.5,0.5,0.5
2020-03-24,15,15,15,24,24,24,85,85,85,45,45,45,0.6,0.6,0.6
2020-03-23,12,12,12,21,21,21,75,75,75,34,34,34,0.5,0.5,0.5
2020-03-22,22,22,22,31,31,31,86,86,86,25,25,25,0.5,0.5,0.5
2020-03-21,19,19,19,28,28,28,115,115,115,25,25,25,0.5,0.5,0.5
2020-03-20,28,28,28,41,41,41,111,111,111,65,65,65,0.6,0.6,0.6
2020-03-19,25,25,25,37,37,37,111,111,111,69,69,69,0.6,0.6,0.6
2020-03-18,28,28,28,40,40,40,111,111,111,69,69,69,0.7,0.7,0.7
2020-03-17,29,29,29,39,39,39,84,84,84,69,69,69,0.6,0.6,0.6
2020-03-16,20,20,20,26,26,26,78,78,78,62,62,62,0.7,0.7,0.7
2020-03-15,19,19,19,24,24,24,73,73,73,32,32,32,0.7,0.7,0.7
2020-03-14,24,24,24,29,29,29,65,65,65,38,38,38,0.7,0.7,0.7
2020-03-13,21,21,21,31,31,31,75,75,75,51,51,51,0.6,0.6,0.6
2020-03-12,27,27,27,47,47,47,59,59,59,55,55,55,0.7,0.7,0.7
2020-03-11,19,19,19,32,32,32,65,65,65,100,100,100,0.7,0.7,0.7
2020-03-10,20,20,20,35,35,35,68,68,68,80,80,80,0.7,0.7,0.7
2020-03-09,24,24,24,35,35,35,70,70,70,82,82,82,0.7,0.7,0.7
2020-03-08,12,12,12,18,18,18,94,94,94,72,72,72,0.7,0.7,0.7
2020-03-07,17,17,17,28,28,28,84,84,84,62,62,62,1,1,1
2020-03-06,23,23,23,36,36,36,47,47,47,90,90,90,1,1,1
2020-03-05,17,17,17,24,24,24,57,57,57,68,68,68,0.8,0.8,0.8
2020-03-04,14,14,14,26,26,26,74,74,74,104,104,104,0.9,0.9,0.9
2020-03-03,15,15,15,24,24,24,66,66,66,70,70,70,0.9,0.9,0.9
2020-03-02,15,15,15,22,22,22,67,67,67,59,59,59,0.8,0.8,0.8
2020-03-01,21,21,21,26,26,26,56,56,56,50,50,50,0.7,0.7,0.7
2020-02-29,14,14,14,28,28,28,72,72,72,64,64,64,0.8,0.8,0.8
2020-02-28,8,8,8,16,16,16,88,88,88,104,104,104,0.8,0.8,0.8
2020-02-27,7,7,7,15,15,15,78,78,78,84,84,84,0.6,0.6,0.6
2020-02-26,21,21,21,36,36,36,80,80,80,59,59,59,1.1,1.1,1.1
2020-02-25,41,41,41,62,62,62,56,56,56,88,88,88,1,1,1
2020-02-24,39,39,39,58,58,58,63,63,63,59,59,59,0.7,0.7,0.7
2020-02-23,38,38,38,55,55,55,91,91,91,65,65,65,1.1,1.1,1.1
2020-02-22,39,39,39,61,61,61,71,71,71,104,104,104,1,1,1
2020-02-21,29,29,29,47,47,47,43,43,43,99,99,99,1,1,1
2020-02-20,18,18,18,30,30,30,53,53,53,110,110,110,0.9,0.9,0.9
2020-02-19,28,28,28,46,46,46,71,71,71,84,84,84,1,1,1
2020-02-18,43,43,43,62,62,62,41,41,41,89,89,89,1.1,1.1,1.1
2020-02-17,67,67,67,94,94,94,19,19,19,82,82,82,1.1,1.1,1.1
2020-02-16,59,59,59,79,79,79,58,58,58,96,96,96,1,1,1
2020-02-15,28,28,28,46,46,46,66,66,66,88,88,88,1,1,1
2020-02-14,25,25,25,45,45,45,50,50,50,105,105,105,1,1,1
2020-02-13,22,22,22,45,45,45,74,74,74,110,110,110,0.7,0.7,0.7
2020-02-12,8,8,8,23,23,23,91,91,91,105,105,105,0.6,0.6,0.6
2020-02-11,13,13,13,35,35,35,88,88,88,82,82,82,1.1,1.1,1.1
2020-02-10,41,41,41,58,58,58,50,50,50,94,94,94,1.1,1.1,1.1
2020-02-09,62,62,62,75,75,75,50,50,50,78,78,78,1,1,1
2020-02-08,44,44,44,64,64,64,32,32,32,94,94,94,1,1,1
2020-02-07,24,24,24,49,49,49,51,51,51,115,115,115,1,1,1
2020-02-06,21,21,21,53,53,53,58,58,58,113,113,113,0.9,0.9,0.9
2020-02-05,7,7,7,21,21,21,78,78,78,82,82,82,0.5,0.5,0.5
2020-02-04,14,14,14,35,35,35,79,79,79,53,53,53,0.8,0.8,0.8
2020-02-03,31,31,31,49,49,49,28,28,28,79,79,79,1.2,1.2,1.2
2020-02-02,40,40,40,52,52,52,21,21,21,58,58,58,1.4,1.4,1.4
2020-02-01,51,51,51,75,75,75,15,15,15,82,82,82,1.3,1.3,1.3
2020-01-31,33,33,33,61,61,61,54,54,54,108,108,108,1.3,1.3,1.3
2020-01-30,31,31,31,60,60,60,58,58,58,110,110,110,1.2,1.2,1.2
2020-01-29,16,16,16,33,33,33,55,55,55,99,99,99,0.9,0.9,0.9
2020-01-28,39,39,39,54,54,54,35,35,35,77,77,77,1.2,1.2,1.2
2020-01-27,55,55,55,82,82,82,37,37,37,101,101,101,1.2,1.2,1.2
2020-01-26,57,57,57,80,80,80,37,37,37,90,90,90,1.5,1.5,1.5
2020-01-25,63,63,63,95,95,95,20,20,20,109,109,109,1.5,1.5,1.5
2020-01-24,51,51,51,78,78,78,35,35,35,105,105,105,1.2,1.2,1.2
2020-01-23,43,43,43,67,67,67,50,50,50,115,115,115,1.3,1.3,1.3
2020-01-22,40,40,40,67,67,67,21,21,21,125,125,125,1.5,1.5,1.5
2020-01-21,36,36,36,60,60,60,37,37,37,129,129,129,1.5,1.5,1.5
2020-01-20,15,15,15,28,28,28,64,64,64,106,106,106,0.9,0.9,0.9
2020-01-19,26,26,26,35,35,35,54,54,54,75,75,75,1.2,1.2,1.2
2020-01-18,38,38,38,51,51,51,30,30,30,85,85,85,1.2,1.2,1.2
2020-01-17,43,43,43,67,67,67,31,31,31,121,121,121,1.6,1.6,1.6
2020-01-16,79,79,79,103,103,103,14,14,14,116,116,116,1.6,1.6,1.6
2020-01-15,95,95,95,121,121,121,7,7,7,91,91,91,1.7,1.7,1.7
2020-01-14,69,69,69,97,97,97,12,12,12,112,112,112,1.6,1.6,1.6
2020-01-13,46,46,46,60,60,60,45,45,45,98,98,98,1.1,1.1,1.1
2020-01-12,33,33,33,42,42,42,38,38,38,89,89,89,1.1,1.1,1.1
2020-01-11,38,38,38,56,56,56,33,33,33,125,125,125,1.5,1.5,1.5
2020-01-10,42,42,42,68,68,68,26,26,26,112,112,112,1.6,1.6,1.6
2020-01-09,38,38,38,58,58,58,42,42,42,118,118,118,1.4,1.4,1.4
