#Data for Cremona Cadorna, Lombardia from 2019/01/01 to 2020/04/03. [generated on 2020-04-03 05:44]
#Station is located at latitude 45.13195042, longitude 10.01574064
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Agenzia Regionale per la Protezione dell'Ambiente della Lombardia)  https://ita.arpalombardia.it/ITA/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,no2,no2_min,no2_max,so2,so2_min,so2_max,co,co_min,co_max
2020-04-01,21,21,21,23,23,23,38,38,38,2,2,2,0.4,0.4,0.4
2020-03-31,8,8,8,10,10,10,33,33,33,2,2,2,0.3,0.3,0.3
2020-03-30,22,22,22,30,30,30,28,28,28,3,3,3,0.3,0.3,0.3
2020-03-29,28,28,28,69,69,69,23,23,23,2,2,2,0.3,0.3,0.3
2020-03-28,27,27,27,58,58,58,20,20,20,7,7,7,0.4,0.4,0.4
2020-03-27,21,21,21,41,41,41,30,30,30,2,2,2,0.4,0.4,0.4
2020-03-26,13,13,13,17,17,17,33,33,33,1,1,1,0.3,0.3,0.3
2020-03-25,13,13,13,18,18,18,35,35,35,1,1,1,0.2,0.2,0.2
2020-03-24,17,17,17,20,20,20,30,30,30,6,6,6,0.3,0.3,0.3
2020-03-23,10,10,10,15,15,15,16,16,16,1,1,1,0.2,0.2,0.2
2020-03-22,17,17,17,26,26,26,9,9,9,1,1,1,0.4,0.4,0.4
2020-03-21,28,28,28,32,32,32,32,32,32,3,3,3,0.4,0.4,0.4
2020-03-20,36,36,36,54,54,54,48,48,48,3,3,3,0.6,0.6,0.6
2020-03-19,37,37,37,57,57,57,79,79,79,4,4,4,0.6,0.6,0.6
2020-03-18,41,41,41,55,55,55,82,82,82,2,2,2,0.6,0.6,0.6
2020-03-17,24,24,24,33,33,33,74,74,74,2,2,2,0.5,0.5,0.5
2020-03-16,18,18,18,24,24,24,71,71,71,3,3,3,0.4,0.4,0.4
2020-03-15,12,12,12,15,15,15,31,31,31,1,1,1,0.3,0.3,0.3
2020-03-14,26,26,26,33,33,33,23,23,23,1,1,1,0.5,0.5,0.5
2020-03-13,22,22,22,31,31,31,31,31,31,4,4,4,0.4,0.4,0.4
2020-03-12,43,43,43,57,57,57,36,36,36,4,4,4,0.5,0.5,0.5
2020-03-11,19,19,19,28,28,28,55,55,55,6,6,6,0.4,0.4,0.4
2020-03-10,18,18,18,26,26,26,"-","-","-",5,5,5,0.4,0.4,0.4
2020-03-09,22,22,22,32,32,32,"-","-","-",2,2,2,0.4,0.4,0.4
2020-03-08,14,14,14,14,14,14,"-","-","-",2,2,2,0.4,0.4,0.4
2020-03-07,31,31,31,40,40,40,"-","-","-",6,6,6,0.6,0.6,0.6
2020-03-06,17,17,17,21,21,21,"-","-","-",1,1,1,0.5,0.5,0.5
2020-03-05,14,14,14,24,24,24,"-","-","-",1,1,1,0.4,0.4,0.4
2020-03-04,19,19,19,22,22,22,"-","-","-",4,4,4,0.6,0.6,0.6
2020-03-03,13,13,13,18,18,18,"-","-","-",1,1,1,0.6,0.6,0.6
2020-03-02,24,24,24,13,13,13,"-","-","-",1,1,1,0.5,0.5,0.5
2020-03-01,16,16,16,26,26,26,"-","-","-",1,1,1,0.4,0.4,0.4
2020-02-29,20,20,20,64,64,64,"-","-","-",2,2,2,0.5,0.5,0.5
2020-02-28,11,11,11,38,38,38,"-","-","-",4,4,4,0.4,0.4,0.4
2020-02-27,8,8,8,12,12,12,"-","-","-",5,5,5,0.4,0.4,0.4
2020-02-26,31,31,31,44,44,44,"-","-","-",1,1,1,0.5,0.5,0.5
2020-02-25,66,66,66,87,87,87,29,29,29,1,1,1,0.5,0.5,0.5
2020-02-24,38,38,38,50,50,50,35,35,35,2,2,2,"-","-","-"
2020-02-23,48,48,48,66,66,66,65,65,65,3,3,3,"-","-","-"
2020-02-22,46,46,46,60,60,60,64,64,64,5,5,5,"-","-","-"
2020-02-21,42,42,42,58,58,58,76,76,76,5,5,5,0.8,0.8,0.8
2020-02-20,30,30,30,38,38,38,73,73,73,2,2,2,0.8,0.8,0.8
2020-02-19,41,41,41,54,54,54,46,46,46,6,6,6,0.5,0.5,0.5
2020-02-18,34,34,34,46,46,46,52,52,52,1,1,1,0.6,0.6,0.6
2020-02-17,72,72,72,90,90,90,50,50,50,2,2,2,0.6,0.6,0.6
2020-02-16,73,73,73,90,90,90,54,54,54,4,4,4,0.9,0.9,0.9
2020-02-15,63,63,63,79,79,79,72,72,72,3,3,3,0.9,0.9,0.9
2020-02-14,39,39,39,55,55,55,60,60,60,6,6,6,0.6,0.6,0.6
2020-02-13,34,34,34,49,49,49,71,71,71,3,3,3,0.6,0.6,0.6
