#Data for Bormio , Lombardia from 2019/01/01 to 2020/04/03. [generated on 2020-04-03 05:44]
#Station is located at latitude 46.46618, longitude 10.370589
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Agenzia Regionale per la Protezione dell'Ambiente della Lombardia)  https://ita.arpalombardia.it/ITA/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,o3,o3_min,o3_max,no2,no2_min,no2_max,so2,so2_min,so2_max,co,co_min,co_max
2020-04-01,11,11,11,10,10,10,91,91,91,10,10,10,3,3,3,0.2,0.2,0.2
2020-03-31,4,4,4,5,5,5,114,114,114,8,8,8,3,3,3,0.2,0.2,0.2
2020-03-30,7,7,7,10,10,10,74,74,74,29,29,29,3,3,3,0.3,0.3,0.3
2020-03-29,13,13,13,17,17,17,99,99,99,18,18,18,5,5,5,0.3,0.3,0.3
2020-03-28,15,15,15,15,15,15,99,99,99,17,17,17,5,5,5,0.4,0.4,0.4
2020-03-27,21,21,21,19,19,19,80,80,80,24,24,24,4,4,4,0.4,0.4,0.4
2020-03-26,17,17,17,12,12,12,84,84,84,16,16,16,3,3,3,0.5,0.5,0.5
2020-03-25,15,15,15,15,15,15,84,84,84,15,15,15,2,2,2,0.4,0.4,0.4
2020-03-24,7,7,7,10,10,10,87,87,87,9,9,9,2,2,2,0.4,0.4,0.4
2020-03-23,5,5,5,11,11,11,73,73,73,10,10,10,2,2,2,0.5,0.5,0.5
2020-03-22,7,7,7,14,14,14,88,88,88,10,10,10,2,2,2,0.5,0.5,0.5
2020-03-21,5,5,5,11,11,11,92,92,92,16,16,16,2,2,2,0.5,0.5,0.5
2020-03-20,7,7,7,10,10,10,107,107,107,13,13,13,2,2,2,0.5,0.5,0.5
2020-03-19,11,11,11,13,13,13,99,99,99,16,16,16,3,3,3,0.5,0.5,0.5
2020-03-18,10,10,10,12,12,12,89,89,89,15,15,15,4,4,4,0.4,0.4,0.4
2020-03-17,11,11,11,12,12,12,86,86,86,24,24,24,5,5,5,0.4,0.4,0.4
2020-03-16,11,11,11,12,12,12,78,78,78,13,13,13,3,3,3,0.4,0.4,0.4
2020-03-15,6,6,6,6,6,6,80,80,80,10,10,10,2,2,2,0.4,0.4,0.4
2020-03-14,8,8,8,10,10,10,84,84,84,32,32,32,2,2,2,0.5,0.5,0.5
2020-03-13,5,5,5,10,10,10,93,93,93,18,18,18,5,5,5,0.7,0.7,0.7
2020-03-12,10,10,10,14,14,14,92,92,92,28,28,28,6,6,6,0.7,0.7,0.7
2020-03-11,4,4,4,6,6,6,77,77,77,23,23,23,9,9,9,0.6,0.6,0.6
2020-03-10,9,9,9,9,9,9,87,87,87,19,19,19,3,3,3,0.6,0.6,0.6
2020-03-09,13,13,13,14,14,14,89,89,89,37,37,37,5,5,5,0.6,0.6,0.6
2020-03-08,10,10,10,11,11,11,93,93,93,30,30,30,5,5,5,0.5,0.5,0.5
2020-03-07,7,7,7,7,7,7,94,94,94,19,19,19,4,4,4,0.4,0.4,0.4
2020-03-06,10,10,10,10,10,10,87,87,87,31,31,31,5,5,5,0.6,0.6,0.6
2020-03-05,12,12,12,15,15,15,73,73,73,49,49,49,7,7,7,0.5,0.5,0.5
2020-03-04,5,5,5,6,6,6,95,95,95,23,23,23,3,3,3,0.4,0.4,0.4
2020-03-03,"-","-","-",2,2,2,85,85,85,34,34,34,2,2,2,1.1,1.1,1.1
2020-03-02,17,17,17,19,19,19,"-","-","-",69,69,69,3,3,3,1.1,1.1,1.1
2020-03-01,17,17,17,18,18,18,"-","-","-",41,41,41,7,7,7,0.6,0.6,0.6
2020-02-29,15,15,15,18,18,18,"-","-","-",54,54,54,10,10,10,0.4,0.4,0.4
2020-02-28,8,8,8,8,8,8,"-","-","-",30,30,30,4,4,4,0.4,0.4,0.4
2020-02-27,3,3,3,5,5,5,84,84,84,18,18,18,3,3,3,0.4,0.4,0.4
2020-02-26,"-","-","-",3,3,3,84,84,84,18,18,18,2,2,2,0.6,0.6,0.6
2020-02-25,14,14,14,21,21,21,53,53,53,53,53,53,6,6,6,0.6,0.6,0.6
2020-02-24,6,6,6,9,9,9,77,77,77,33,33,33,10,10,10,0.7,0.7,0.7
2020-02-23,19,19,19,24,24,24,41,41,41,51,51,51,15,15,15,0.9,0.9,0.9
2020-02-22,15,15,15,18,18,18,79,79,79,60,60,60,9,9,9,0.5,0.5,0.5
2020-02-21,8,8,8,10,10,10,88,88,88,48,48,48,6,6,6,0.4,0.4,0.4
2020-02-20,5,5,5,9,9,9,81,81,81,45,45,45,6,6,6,0.5,0.5,0.5
2020-02-19,6,6,6,8,8,8,87,87,87,45,45,45,6,6,6,0.5,0.5,0.5
2020-02-18,5,5,5,7,7,7,83,83,83,19,19,19,4,4,4,0.6,0.6,0.6
2020-02-17,18,18,18,21,21,21,85,85,85,48,48,48,8,8,8,0.6,0.6,0.6
2020-02-16,18,18,18,19,19,19,81,81,81,62,62,62,12,12,12,0.7,0.7,0.7
2020-02-15,14,14,14,16,16,16,85,85,85,64,64,64,7,7,7,0.6,0.6,0.6
2020-02-14,9,9,9,11,11,11,83,83,83,37,37,37,4,4,4,0.4,0.4,0.4
2020-02-13,"-","-","-",10,10,10,83,83,83,41,41,41,6,6,6,0.5,0.5,0.5
2020-02-12,"-","-","-",6,6,6,83,83,83,29,29,29,3,3,3,0.4,0.4,0.4
2020-02-11,"-","-","-",4,4,4,87,87,87,25,25,25,3,3,3,0.6,0.6,0.6
2020-02-10,21,21,21,27,27,27,76,76,76,61,61,61,8,8,8,0.7,0.7,0.7
2020-02-09,19,19,19,24,24,24,83,83,83,48,48,48,6,6,6,0.6,0.6,0.6
2020-02-08,19,19,19,22,22,22,78,78,78,62,62,62,7,7,7,0.5,0.5,0.5
2020-02-07,18,18,18,21,21,21,74,74,74,47,47,47,6,6,6,0.5,0.5,0.5
2020-02-06,11,11,11,14,14,14,84,84,84,44,44,44,6,6,6,0.4,0.4,0.4
2020-02-05,5,5,5,4,4,4,89,89,89,8,8,8,2,2,2,0.3,0.3,0.3
2020-02-04,7,7,7,12,12,12,86,86,86,20,20,20,2,2,2,0.3,0.3,0.3
2020-02-03,4,4,4,10,10,10,62,62,62,19,19,19,5,5,5,0.7,0.7,0.7
2020-02-02,11,11,11,13,13,13,78,78,78,46,46,46,7,7,7,0.6,0.6,0.6
2020-02-01,14,14,14,16,16,16,66,66,66,47,47,47,9,9,9,0.7,0.7,0.7
2020-01-31,24,24,24,30,30,30,45,45,45,66,66,66,12,12,12,0.9,0.9,0.9
2020-01-30,15,15,15,19,19,19,68,68,68,64,64,64,6,6,6,0.8,0.8,0.8
2020-01-29,4,4,4,7,7,7,80,80,80,35,35,35,4,4,4,0.4,0.4,0.4
2020-01-28,13,13,13,18,18,18,60,60,60,51,51,51,4,4,4,0.6,0.6,0.6
2020-01-27,13,13,13,23,23,23,75,75,75,51,51,51,5,5,5,0.5,0.5,0.5
2020-01-26,18,18,18,34,34,34,70,70,70,53,53,53,15,15,15,0.6,0.6,0.6
2020-01-25,19,19,19,28,28,28,62,62,62,62,62,62,15,15,15,0.5,0.5,0.5
2020-01-24,16,16,16,23,23,23,66,66,66,58,58,58,10,10,10,0.5,0.5,0.5
2020-01-23,14,14,14,18,18,18,70,70,70,54,54,54,11,11,11,0.7,0.7,0.7
2020-01-22,16,16,16,18,18,18,65,65,65,"-","-","-",9,9,9,0.7,0.7,0.7
2020-01-21,26,26,26,30,30,30,61,61,61,64,64,64,12,12,12,0.8,0.8,0.8
2020-01-20,13,13,13,15,15,15,75,75,75,26,26,26,5,5,5,0.4,0.4,0.4
2020-01-19,9,9,9,10,10,10,79,79,79,17,17,17,3,3,3,0.3,0.3,0.3
2020-01-18,4,4,4,6,6,6,74,74,74,28,28,28,5,5,5,0.6,0.6,0.6
2020-01-17,15,15,15,18,18,18,75,75,75,60,60,60,8,8,8,0.6,0.6,0.6
2020-01-16,17,17,17,24,24,24,67,67,67,78,78,78,11,11,11,0.7,0.7,0.7
2020-01-15,17,17,17,19,19,19,73,73,73,61,61,61,8,8,8,0.6,0.6,0.6
2020-01-14,16,16,16,22,22,22,75,75,75,66,66,66,9,9,9,0.7,0.7,0.7
2020-01-13,18,18,18,24,24,24,67,67,67,71,71,71,10,10,10,1.1,1.1,1.1
2020-01-12,20,20,20,26,26,26,74,74,74,69,69,69,8,8,8,1.1,1.1,1.1
2020-01-11,8,8,8,9,9,9,73,73,73,29,29,29,5,5,5,0.6,0.6,0.6
2020-01-10,16,16,16,20,20,20,70,70,70,67,67,67,6,6,6,0.8,0.8,0.8
2020-01-09,12,12,12,14,14,14,52,52,52,49,49,49,10,10,10,0.7,0.7,0.7
2020-01-08,21,21,21,27,27,27,74,74,74,66,66,66,10,10,10,0.8,0.8,0.8
2020-01-07,10,10,10,12,12,12,82,82,82,38,38,38,5,5,5,0.7,0.7,0.7
2020-01-06,19,19,19,22,22,22,73,73,73,49,49,49,7,7,7,0.8,0.8,0.8
2020-01-05,8,8,8,8,8,8,102,102,102,18,18,18,3,3,3,0.3,0.3,0.3
2020-01-04,7,7,7,8,8,8,85,85,85,46,46,46,6,6,6,0.5,0.5,0.5
2020-01-03,23,23,23,30,30,30,52,52,52,91,91,91,21,21,21,1.2,1.2,1.2
2020-01-02,23,23,23,30,30,30,58,58,58,69,69,69,10,10,10,0.9,0.9,0.9
2020-01-01,18,18,18,23,23,23,59,59,59,64,64,64,10,10,10,0.8,0.8,0.8
2019-12-31,18,18,18,19,19,19,75,75,75,68,68,68,11,11,11,0.8,0.8,0.8
2019-12-30,22,22,22,27,27,27,60,60,60,71,71,71,13,13,13,0.9,0.9,0.9
2019-12-29,19,19,19,22,22,22,64,64,64,60,60,60,8,8,8,0.6,0.6,0.6
2019-12-28,10,10,10,11,11,11,83,83,83,16,16,16,3,3,3,0.3,0.3,0.3
2019-12-27,14,14,14,12,12,12,70,70,70,48,48,48,7,7,7,0.6,0.6,0.6
2019-12-26,24,24,24,23,23,23,65,65,65,49,49,49,6,6,6,0.6,0.6,0.6
2019-12-25,17,17,17,14,14,14,76,76,76,26,26,26,7,7,7,0.5,0.5,0.5
2019-12-24,17,17,17,19,19,19,67,67,67,49,49,49,5,5,5,0.6,0.6,0.6
2019-12-23,3,3,3,7,7,7,73,73,73,17,17,17,3,3,3,0.3,0.3,0.3
2019-12-22,2,2,2,6,6,6,63,63,63,37,37,37,6,6,6,0.6,0.6,0.6
2019-12-21,1,1,1,10,10,10,45,45,45,48,48,48,2,2,2,0.6,0.6,0.6
2019-12-20,6,6,6,11,11,11,57,57,57,42,42,42,4,4,4,0.7,0.7,0.7
2019-12-19,15,15,15,20,20,20,17,17,17,51,51,51,9,9,9,1.3,1.3,1.3
2019-12-18,32,32,32,35,35,35,11,11,11,37,37,37,5,5,5,1.5,1.5,1.5
2019-12-17,31,31,31,34,34,34,37,37,37,59,59,59,17,17,17,1.3,1.3,1.3
2019-12-16,34,34,34,38,38,38,51,51,51,72,72,72,18,18,18,1.2,1.2,1.2
2019-12-15,30,30,30,31,31,31,64,64,64,60,60,60,13,13,13,1,1,1
2019-12-14,15,15,15,15,15,15,75,75,75,41,41,41,12,12,12,0.6,0.6,0.6
2019-12-13,17,17,17,20,20,20,67,67,67,63,63,63,32,32,32,0.9,0.9,0.9
2019-12-12,12,12,12,15,15,15,73,73,73,43,43,43,6,6,6,1.2,1.2,1.2
2019-12-11,27,27,27,36,36,36,69,69,69,66,66,66,10,10,10,1.2,1.2,1.2
2019-12-10,8,8,8,9,9,9,89,89,89,15,15,15,3,3,3,0.7,0.7,0.7
2019-12-09,24,24,24,27,27,27,58,58,58,56,56,56,11,11,11,1,1,1
2019-12-08,29,29,29,31,31,31,62,62,62,69,69,69,10,10,10,1.1,1.1,1.1
2019-12-07,20,20,20,24,24,24,59,59,59,65,65,65,13,13,13,1,1,1
2019-12-06,23,23,23,25,25,25,60,60,60,67,67,67,12,12,12,1,1,1
2019-12-05,40,40,40,26,26,26,59,59,59,62,62,62,8,8,8,0.8,0.8,0.8
2019-12-04,24,24,24,26,26,26,59,59,59,67,67,67,9,9,9,0.8,0.8,0.8
2019-12-03,33,33,33,22,22,22,62,62,62,64,64,64,6,6,6,0.8,0.8,0.8
2019-12-02,17,17,17,17,17,17,62,62,62,41,41,41,8,8,8,1.1,1.1,1.1
2019-12-01,29,29,29,30,30,30,56,56,56,58,58,58,10,10,10,1,1,1
2019-11-30,13,13,13,13,13,13,64,64,64,26,26,26,4,4,4,0.4,0.4,0.4
2019-11-29,13,13,13,14,14,14,71,71,71,44,44,44,7,7,7,0.6,0.6,0.6
2019-11-28,16,16,16,16,16,16,44,44,44,36,36,36,7,7,7,0.9,0.9,0.9
2019-11-27,25,25,25,27,27,27,26,26,26,46,46,46,3,3,3,1,1,1
2019-11-26,18,18,18,22,22,22,43,43,43,50,50,50,10,10,10,0.8,0.8,0.8
2019-11-25,17,17,17,16,16,16,39,39,39,44,44,44,8,8,8,0.8,0.8,0.8
2019-11-24,24,24,24,22,22,22,23,23,23,40,40,40,9,9,9,1,1,1
2019-11-23,28,28,28,26,26,26,31,31,31,44,44,44,7,7,7,1,1,1
2019-11-22,22,22,22,18,18,18,62,62,62,44,44,44,8,8,8,0.8,0.8,0.8
2019-11-21,24,24,24,22,22,22,36,36,36,39,39,39,7,7,7,0.7,0.7,0.7
2019-11-20,18,18,18,18,18,18,32,32,32,46,46,46,7,7,7,1,1,1
2019-11-19,24,24,24,28,28,28,55,55,55,49,49,49,4,4,4,1,1,1
2019-11-18,8,8,8,15,15,15,60,60,60,40,40,40,3,3,3,0.6,0.6,0.6
2019-11-17,16,16,16,23,23,23,63,63,63,54,54,54,3,3,3,1.3,1.3,1.3
2019-11-16,17,17,17,24,24,24,56,56,56,60,60,60,6,6,6,1,1,1
2019-11-15,21,21,21,26,26,26,69,69,69,82,82,82,3,3,3,1.1,1.1,1.1
2019-11-14,20,20,20,22,22,22,63,63,63,63,63,63,5,5,5,0.7,0.7,0.7
2019-11-13,9,9,9,5,5,5,75,75,75,20,20,20,2,2,2,0.2,0.2,0.2
2019-11-12,29,29,29,27,27,27,69,69,69,42,42,42,3,3,3,0.9,0.9,0.9
2019-11-11,25,25,25,23,23,23,55,55,55,59,59,59,2,2,2,0.7,0.7,0.7
2019-11-10,17,17,17,12,12,12,67,67,67,24,24,24,3,3,3,0.3,0.3,0.3
2019-11-09,14,14,14,10,10,10,70,70,70,19,19,19,2,2,2,0.5,0.5,0.5
2019-11-08,27,27,27,26,26,26,22,22,22,45,45,45,2,2,2,0.9,0.9,0.9
2019-11-07,13,13,13,12,12,12,52,52,52,39,39,39,2,2,2,0.4,0.4,0.4
2019-11-06,6,6,6,11,11,11,51,51,51,43,43,43,2,2,2,0.4,0.4,0.4
2019-11-05,3,3,3,7,7,7,60,60,60,33,33,33,1,1,1,0.5,0.5,0.5
2019-11-04,5,5,5,5,5,5,52,52,52,35,35,35,2,2,2,0.4,0.4,0.4
2019-11-03,5,5,5,6,6,6,61,61,61,32,32,32,1,1,1,0.5,0.5,0.5
2019-11-02,9,9,9,9,9,9,21,21,21,25,25,25,1,1,1,0.5,0.5,0.5
2019-11-01,11,11,11,12,12,12,26,26,26,20,20,20,1,1,1,0.4,0.4,0.4
2019-10-31,9,9,9,11,11,11,38,38,38,36,36,36,1,1,1,0.7,0.7,0.7
2019-10-30,6,6,6,9,9,9,41,41,41,31,31,31,1,1,1,0.7,0.7,0.7
2019-10-29,10,10,10,13,13,13,51,51,51,36,36,36,1,1,1,0.7,0.7,0.7
2019-10-28,9,9,9,13,13,13,54,54,54,34,34,34,2,2,2,0.7,0.7,0.7
2019-10-27,10,10,10,14,14,14,73,73,73,28,28,28,2,2,2,0.7,0.7,0.7
2019-10-26,9,9,9,12,12,12,57,57,57,28,28,28,2,2,2,0.6,0.6,0.6
2019-10-25,7,7,7,11,11,11,51,51,51,27,27,27,2,2,2,0.6,0.6,0.6
2019-10-24,9,9,9,12,12,12,50,50,50,33,33,33,2,2,2,0.6,0.6,0.6
2019-10-23,9,9,9,13,13,13,54,54,54,25,25,25,2,2,2,0.5,0.5,0.5
2019-10-22,4,4,4,10,10,10,54,54,54,29,29,29,2,2,2,0.7,0.7,0.7
2019-10-21,8,8,8,10,10,10,44,44,44,37,37,37,1,1,1,0.7,0.7,0.7
2019-10-20,7,7,7,9,9,9,57,57,57,22,22,22,1,1,1,0.7,0.7,0.7
2019-10-19,13,13,13,16,16,16,36,36,36,34,34,34,2,2,2,0.8,0.8,0.8
2019-10-18,10,10,10,14,14,14,48,48,48,37,37,37,2,2,2,0.6,0.6,0.6
2019-10-17,"-","-","-",7,7,7,74,74,74,25,25,25,2,2,2,0.5,0.5,0.5
2019-10-16,"-","-","-",4,4,4,91,91,91,25,25,25,1,1,1,0.5,0.5,0.5
2019-10-15,2,2,2,11,11,11,62,62,62,39,39,39,2,2,2,0.6,0.6,0.6
2019-10-14,8,8,8,12,12,12,70,70,70,32,32,32,2,2,2,0.5,0.5,0.5
