#Data for Varese Copelli, Lombardia from 2019/01/01 to 2020/04/03. [generated on 2020-04-03 05:44]
#Station is located at latitude 45.8169745, longitude 8.82024911
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Agenzia Regionale per la Protezione dell'Ambiente della Lombardia)  https://ita.arpalombardia.it/ITA/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,no2,no2_min,no2_max,co,co_min,co_max
2020-04-01,17,17,17,19,19,19,55,55,55,0.3,0.3,0.3
2020-03-31,9,9,9,13,13,13,32,32,32,0.3,0.3,0.3
2020-03-30,12,12,12,12,12,12,34,34,34,0.3,0.3,0.3
2020-03-29,25,25,25,75,75,75,43,43,43,0.4,0.4,0.4
2020-03-28,26,26,26,70,70,70,59,59,59,0.4,0.4,0.4
2020-03-27,24,24,24,26,26,26,40,40,40,0.3,0.3,0.3
2020-03-26,24,24,24,25,25,25,43,43,43,0.2,0.2,0.2
2020-03-25,17,17,17,21,21,21,38,38,38,0.2,0.2,0.2
2020-03-24,13,13,13,21,21,21,51,51,51,0.2,0.2,0.2
2020-03-23,13,13,13,20,20,20,28,28,28,0.2,0.2,0.2
2020-03-22,29,29,29,33,33,33,16,16,16,0.3,0.3,0.3
2020-03-21,24,24,24,23,23,23,50,50,50,0.3,0.3,0.3
2020-03-20,26,26,26,33,33,33,56,56,56,0.6,0.6,0.6
2020-03-19,20,20,20,22,22,22,68,68,68,0.6,0.6,0.6
2020-03-18,28,28,28,30,30,30,69,69,69,0.6,0.6,0.6
2020-03-17,23,23,23,27,27,27,57,57,57,0.6,0.6,0.6
2020-03-16,19,19,19,23,23,23,58,58,58,0.5,0.5,0.5
2020-03-15,14,14,14,17,17,17,30,30,30,0.5,0.5,0.5
2020-03-14,15,15,15,18,18,18,35,35,35,0.6,0.6,0.6
2020-03-13,22,22,22,26,26,26,55,55,55,0.6,0.6,0.6
2020-03-12,21,21,21,26,26,26,58,58,58,0.6,0.6,0.6
2020-03-11,16,16,16,18,18,18,83,83,83,0.6,0.6,0.6
2020-03-10,6,6,6,8,8,8,50,50,50,0.5,0.5,0.5
2020-03-09,21,21,21,24,24,24,60,60,60,0.6,0.6,0.6
2020-03-08,9,9,9,12,12,12,68,68,68,0.5,0.5,0.5
2020-03-07,12,12,12,15,15,15,56,56,56,0.7,0.7,0.7
2020-03-06,27,27,27,26,26,26,69,69,69,0.7,0.7,0.7
2020-03-05,25,25,25,25,25,25,60,60,60,0.5,0.5,0.5
2020-03-04,7,7,7,11,11,11,87,87,87,0.5,0.5,0.5
2020-03-03,9,9,9,7,7,7,67,67,67,0.4,0.4,0.4
2020-03-02,18,18,18,24,24,24,52,52,52,0.5,0.5,0.5
