#Data for Lecco Via Sora, Lombardia from 2019/01/01 to 2020/04/03. [generated on 2020-04-03 05:44]
#Station is located at latitude 45.86375372, longitude 9.39995481
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Agenzia Regionale per la Protezione dell'Ambiente della Lombardia)  https://ita.arpalombardia.it/ITA/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,o3,o3_min,o3_max,no2,no2_min,no2_max
2020-04-01,16,16,16,18,18,18,85,85,85,26,26,26
2020-03-31,7,7,7,10,10,10,67,67,67,17,17,17
2020-03-30,4,4,4,11,11,11,79,79,79,22,22,22
2020-03-29,16,16,16,64,64,64,98,98,98,28,28,28
2020-03-28,19,19,19,65,65,65,95,95,95,22,22,22
2020-03-27,22,22,22,31,31,31,80,80,80,25,25,25
2020-03-26,18,18,18,23,23,23,70,70,70,24,24,24
2020-03-25,14,14,14,18,18,18,74,74,74,23,23,23
2020-03-24,11,11,11,18,18,18,86,86,86,28,28,28
2020-03-23,8,8,8,17,17,17,71,71,71,20,20,20
2020-03-22,25,25,25,31,31,31,69,69,69,14,14,14
2020-03-21,17,17,17,21,21,21,108,108,108,22,22,22
2020-03-20,22,22,22,28,28,28,106,106,106,37,37,37
2020-03-19,15,15,15,21,21,21,115,115,115,37,37,37
2020-03-18,18,18,18,22,22,22,108,108,108,35,35,35
2020-03-17,22,22,22,26,26,26,94,94,94,34,34,34
2020-03-16,12,12,12,16,16,16,82,82,82,29,29,29
2020-03-15,13,13,13,15,15,15,61,61,61,21,21,21
2020-03-14,16,16,16,16,16,16,66,66,66,23,23,23
2020-03-13,24,24,24,31,31,31,86,86,86,38,38,38
2020-03-12,28,28,28,37,37,37,61,61,61,43,43,43
2020-03-11,11,11,11,16,16,16,84,84,84,46,46,46
2020-03-10,5,5,5,6,6,6,88,88,88,45,45,45
2020-03-09,16,16,16,20,20,20,78,78,78,59,59,59
2020-03-08,8,8,8,8,8,8,99,99,99,33,33,33
2020-03-07,4,4,4,5,5,5,95,95,95,43,43,43
2020-03-06,14,14,14,15,15,15,57,57,57,49,49,49
2020-03-05,16,16,16,19,19,19,60,60,60,47,47,47
2020-03-04,5,5,5,8,8,8,85,85,85,51,51,51
2020-03-03,"-","-","-",3,3,3,84,84,84,40,40,40
2020-03-02,16,16,16,16,16,16,60,60,60,35,35,35
2020-03-01,22,22,22,22,22,22,56,56,56,39,39,39
2020-02-29,10,10,10,16,16,16,71,71,71,60,60,60
2020-02-28,4,4,4,5,5,5,94,94,94,39,39,39
2020-02-27,3,3,3,5,5,5,85,85,85,34,34,34
2020-02-26,7,7,7,11,11,11,88,88,88,37,37,37
2020-02-25,51,51,51,63,63,63,44,44,44,51,51,51
2020-02-24,39,39,39,50,50,50,54,54,54,46,46,46
2020-02-23,42,42,42,51,51,51,106,106,106,40,40,40
2020-02-22,40,40,40,49,49,49,75,75,75,57,57,57
2020-02-21,22,22,22,30,30,30,56,56,56,76,76,76
2020-02-20,15,15,15,11,11,11,76,76,76,66,66,66
2020-02-19,18,18,18,25,25,25,84,84,84,51,51,51
2020-02-18,36,36,36,40,40,40,53,53,53,62,62,62
2020-02-17,50,50,50,61,61,61,40,40,40,71,71,71
2020-02-16,46,46,46,97,97,97,51,51,51,50,50,50
2020-02-15,75,75,75,23,23,23,66,66,66,52,52,52
2020-02-14,15,15,15,11,11,11,65,65,65,49,49,49
2020-02-13,"-","-","-",20,20,20,77,77,77,71,71,71
2020-02-12,"-","-","-",3,3,3,94,94,94,52,52,52
2020-02-11,1,1,1,7,7,7,92,92,92,54,54,54
2020-02-10,46,46,46,52,52,52,70,70,70,64,64,64
2020-02-09,54,54,54,68,68,68,63,63,63,67,67,67
2020-02-08,30,30,30,40,40,40,60,60,60,67,67,67
2020-02-07,12,12,12,18,18,18,64,64,64,67,67,67
2020-02-06,9,9,9,14,14,14,77,77,77,64,64,64
2020-02-05,"-","-","-",1,1,1,85,85,85,19,19,19
2020-02-04,8,8,8,14,14,14,85,85,85,41,41,41
2020-02-03,23,23,23,37,37,37,45,45,45,61,61,61
2020-02-02,15,15,15,17,17,17,57,57,57,50,50,50
2020-02-01,24,24,24,32,32,32,27,27,27,60,60,60
2020-01-31,15,15,15,21,21,21,70,70,70,66,66,66
2020-01-30,13,13,13,19,19,19,69,69,69,70,70,70
2020-01-29,4,4,4,5,5,5,81,81,81,42,42,42
2020-01-28,34,34,34,40,40,40,58,58,58,57,57,57
2020-01-27,35,35,35,50,50,50,45,45,45,75,75,75
2020-01-26,39,39,39,48,48,48,54,54,54,53,53,53
2020-01-25,46,46,46,56,56,56,20,20,20,61,61,61
2020-01-24,32,32,32,45,45,45,26,26,26,74,74,74
2020-01-23,23,23,23,30,30,30,41,41,41,71,71,71
2020-01-22,17,17,17,23,23,23,43,43,43,80,80,80
2020-01-21,13,13,13,18,18,18,52,52,52,67,67,67
2020-01-20,6,6,6,8,8,8,69,69,69,63,63,63
2020-01-19,5,5,5,9,9,9,72,72,72,44,44,44
2020-01-18,31,31,31,36,36,36,37,37,37,65,65,65
2020-01-17,21,21,21,25,25,25,46,46,46,74,74,74
2020-01-16,35,35,35,43,43,43,35,35,35,73,73,73
2020-01-15,63,63,63,81,81,81,10,10,10,82,82,82
2020-01-14,33,33,33,44,44,44,45,45,45,76,76,76
2020-01-13,23,23,23,31,31,31,42,42,42,64,64,64
2020-01-12,13,13,13,15,15,15,67,67,67,53,53,53
2020-01-11,14,14,14,19,19,19,52,52,52,66,66,66
2020-01-10,14,14,14,21,21,21,43,43,43,70,70,70
2020-01-09,19,19,19,26,26,26,41,41,41,67,67,67
2020-01-08,19,19,19,23,23,23,43,43,43,72,72,72
2020-01-07,41,41,41,49,49,49,35,35,35,75,75,75
2020-01-06,21,21,21,27,27,27,60,60,60,45,45,45
2020-01-05,7,7,7,9,9,9,64,64,64,61,61,61
2020-01-04,14,14,14,18,18,18,86,86,86,64,64,64
2020-01-03,21,21,21,26,26,26,32,32,32,63,63,63
2020-01-02,23,23,23,28,28,28,43,43,43,58,58,58
2020-01-01,27,27,27,32,32,32,53,53,53,49,49,49
2019-12-31,26,26,26,32,32,32,39,39,39,58,58,58
2019-12-30,40,40,40,45,45,45,38,38,38,49,49,49
2019-12-29,36,36,36,42,42,42,44,44,44,50,50,50
2019-12-28,21,21,21,27,27,27,38,38,38,52,52,52
2019-12-27,17,17,17,21,21,21,49,49,49,56,56,56
2019-12-26,8,8,8,8,8,8,70,70,70,57,57,57
2019-12-25,4,4,4,6,6,6,78,78,78,35,35,35
2019-12-24,8,8,8,9,9,9,56,56,56,45,45,45
2019-12-23,"-","-","-","-","-","-",73,73,73,36,36,36
2019-12-22,4,4,4,6,6,6,61,61,61,37,37,37
2019-12-21,8,8,8,8,8,8,53,53,53,43,43,43
2019-12-20,8,8,8,12,12,12,63,63,63,52,52,52
2019-12-19,17,17,17,21,21,21,15,15,15,47,47,47
2019-12-18,12,12,12,17,17,17,11,11,11,54,54,54
2019-12-17,20,20,20,22,22,22,12,12,12,51,51,51
2019-12-16,15,15,15,20,20,20,21,21,21,51,51,51
2019-12-15,17,17,17,20,20,20,32,32,32,58,58,58
2019-12-14,7,7,7,10,10,10,62,62,62,70,70,70
2019-12-13,12,12,12,13,13,13,49,49,49,49,49,49
2019-12-12,24,24,24,23,23,23,20,20,20,62,62,62
2019-12-11,17,17,17,24,24,24,47,47,47,71,71,71
2019-12-10,2,2,2,3,3,3,81,81,81,32,32,32
2019-12-09,58,58,58,69,69,69,25,25,25,74,74,74
2019-12-08,19,19,19,24,24,24,44,44,44,60,60,60
2019-12-07,17,17,17,22,22,22,48,48,48,60,60,60
2019-12-06,29,29,29,34,34,34,36,36,36,66,66,66
2019-12-05,18,18,18,24,24,24,31,31,31,63,63,63
2019-12-04,21,21,21,23,23,23,43,43,43,52,52,52
2019-12-03,15,15,15,18,18,18,34,34,34,49,49,49
2019-12-02,12,12,12,15,15,15,46,46,46,45,45,45
2019-12-01,16,16,16,19,19,19,42,42,42,37,37,37
2019-11-30,12,12,12,14,14,14,50,50,50,46,46,46
2019-11-29,8,8,8,9,9,9,34,34,34,47,47,47
2019-11-28,8,8,8,11,11,11,21,21,21,46,46,46
2019-11-27,11,11,11,13,13,13,43,43,43,47,47,47
2019-11-26,13,13,13,20,20,20,35,35,35,51,51,51
2019-11-25,7,7,7,9,9,9,35,35,35,47,47,47
2019-11-24,7,7,7,8,8,8,78,78,78,40,40,40
2019-11-23,7,7,7,7,7,7,77,77,77,47,47,47
2019-11-22,15,15,15,15,15,15,32,32,32,57,57,57
2019-11-21,20,20,20,22,22,22,39,39,39,53,53,53
2019-11-20,8,8,8,11,11,11,45,45,45,55,55,55
2019-11-19,7,7,7,9,9,9,70,70,70,54,54,54
2019-11-18,8,8,8,9,9,9,64,64,64,50,50,50
2019-11-17,8,8,8,8,8,8,62,62,62,48,48,48
2019-11-16,8,8,8,11,11,11,62,62,62,48,48,48
2019-11-15,6,6,6,10,10,10,74,74,74,55,55,55
2019-11-14,6,6,6,12,12,12,53,53,53,58,58,58
2019-11-13,4,4,4,4,4,4,75,75,75,46,46,46
2019-11-12,5,5,5,10,10,10,59,59,59,40,40,40
2019-11-11,8,8,8,8,8,8,47,47,47,48,48,48
2019-11-10,3,3,3,8,8,8,58,58,58,36,36,36
2019-11-09,6,6,6,8,8,8,50,50,50,40,40,40
2019-11-08,5,5,5,7,7,7,51,51,51,43,43,43
2019-11-07,9,9,9,11,11,11,45,45,45,41,41,41
2019-11-06,7,7,7,10,10,10,35,35,35,40,40,40
2019-11-05,4,4,4,8,8,8,61,61,61,45,45,45
2019-11-04,6,6,6,7,7,7,39,39,39,47,47,47
2019-11-03,6,6,6,6,6,6,44,44,44,40,40,40
2019-11-02,30,30,30,36,36,36,27,27,27,46,46,46
2019-11-01,22,22,22,25,25,25,34,34,34,49,49,49
2019-10-31,17,17,17,34,34,34,27,27,27,55,55,55
2019-10-30,15,15,15,24,24,24,37,37,37,"-","-","-"
2019-10-29,26,26,26,26,26,26,58,58,58,42,42,42
2019-10-28,21,21,21,32,32,32,73,73,73,62,62,62
2019-10-27,9,9,9,15,15,15,66,66,66,45,45,45
2019-10-26,8,8,8,12,12,12,61,61,61,43,43,43
2019-10-25,4,4,4,11,11,11,39,39,39,43,43,43
2019-10-24,7,7,7,16,16,16,41,41,41,39,39,39
2019-10-23,12,12,12,21,21,21,50,50,50,43,43,43
2019-10-22,4,4,4,12,12,12,48,48,48,37,37,37
2019-10-21,3,3,3,7,7,7,50,50,50,52,52,52
2019-10-20,5,5,5,11,11,11,54,54,54,36,36,36
