#Data for Ceno, Emilia Romagna from 2019/01/01 to 2020/04/03. [generated on 2020-04-03 05:44]
#Station is located at latitude 45.054420471, longitude 9.726859093
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Arpa Emilia-Romagna  http://www.arpae.it/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,no2,no2_min,no2_max,co,co_min,co_max
2020-04-01,19,19,19,22,22,22,54,54,54,0.4,0.4,0.4
2020-03-31,8,8,8,11,11,11,56,56,56,0.4,0.4,0.4
2020-03-30,17,17,17,34,34,34,44,44,44,0.4,0.4,0.4
2020-03-29,22,22,22,74,74,74,40,40,40,0.4,0.4,0.4
2020-03-28,30,30,30,82,82,82,35,35,35,0.4,0.4,0.4
2020-03-27,23,23,23,39,39,39,35,35,35,0.4,0.4,0.4
2020-03-26,14,14,14,16,16,16,51,51,51,0.4,0.4,0.4
2020-03-25,14,14,14,19,19,19,64,64,64,0.4,0.4,0.4
2020-03-24,13,13,13,17,17,17,57,57,57,0.4,0.4,0.4
2020-03-23,11,11,11,17,17,17,58,58,58,0.4,0.4,0.4
2020-03-22,16,16,16,22,22,22,9,9,9,0.4,0.4,0.4
2020-03-21,22,22,22,26,26,26,31,31,31,0.4,0.4,0.4
2020-03-20,29,29,29,36,36,36,48,48,48,0.4,0.4,0.4
2020-03-19,37,37,37,44,44,44,85,85,85,0.4,0.4,0.4
2020-03-18,40,40,40,49,49,49,91,91,91,0.4,0.4,0.4
2020-03-17,24,24,24,31,31,31,85,85,85,0.4,0.4,0.4
2020-03-16,16,16,16,23,23,23,86,86,86,0.4,0.4,0.4
2020-03-15,15,15,15,20,20,20,53,53,53,0.4,0.4,0.4
2020-03-14,22,22,22,25,25,25,33,33,33,0.4,0.4,0.4
2020-03-13,25,25,25,30,30,30,60,60,60,0.4,0.4,0.4
2020-03-12,39,39,39,49,49,49,60,60,60,0.4,0.4,0.4
2020-03-11,20,20,20,31,31,31,65,65,65,0.5,0.5,0.5
2020-03-10,16,16,16,21,21,21,79,79,79,0.4,0.4,0.4
2020-03-09,23,23,23,29,29,29,64,64,64,0.4,0.4,0.4
2020-03-08,16,16,16,18,18,18,75,75,75,0.4,0.4,0.4
2020-03-07,23,23,23,27,27,27,48,48,48,0.4,0.4,0.4
2020-03-06,20,20,20,23,23,23,60,60,60,0.4,0.4,0.4
2020-03-05,22,22,22,28,28,28,57,57,57,0.4,0.4,0.4
2020-03-04,17,17,17,23,23,23,64,64,64,0.5,0.5,0.5
2020-03-03,14,14,14,19,19,19,58,58,58,0.4,0.4,0.4
2020-03-02,22,22,22,27,27,27,42,42,42,0.4,0.4,0.4
2020-03-01,24,24,24,26,26,26,35,35,35,0.4,0.4,0.4
2020-02-29,24,24,24,33,33,33,55,55,55,0.5,0.5,0.5
2020-02-28,"-","-","-","-","-","-",94,94,94,0.5,0.5,0.5
2020-02-27,8,8,8,12,12,12,67,67,67,0.4,0.4,0.4
2020-02-26,23,23,23,31,31,31,37,37,37,0.5,0.5,0.5
2020-02-25,57,57,57,72,72,72,71,71,71,0.4,0.4,0.4
2020-02-24,36,36,36,43,43,43,72,72,72,0.4,0.4,0.4
2020-02-23,45,45,45,54,54,54,69,69,69,0.5,0.5,0.5
