#Data for Brescia Villaggio Sereno, Lombardia from 2019/01/01 to 2020/04/03. [generated on 2020-04-03 05:44]
#Station is located at latitude 45.515945, longitude 10.21914764
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Agenzia Regionale per la Protezione dell'Ambiente della Lombardia)  https://ita.arpalombardia.it/ITA/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,o3,o3_min,o3_max,no2,no2_min,no2_max,so2,so2_min,so2_max
2020-04-01,19,19,19,24,24,24,82,82,82,36,36,36,3,3,3
2020-03-31,14,14,14,13,13,13,67,67,67,25,25,25,3,3,3
2020-03-30,14,14,14,31,31,31,92,92,92,21,21,21,3,3,3
2020-03-29,24,24,24,85,85,85,106,106,106,18,18,18,2,2,2
2020-03-28,37,37,37,104,104,104,93,93,93,36,36,36,1,1,1
2020-03-27,29,29,29,31,31,31,70,70,70,34,34,34,1,1,1
2020-03-26,25,25,25,31,31,31,65,65,65,39,39,39,1,1,1
2020-03-25,17,17,17,19,19,19,82,82,82,33,33,33,1,1,1
2020-03-24,16,16,16,21,21,21,81,81,81,27,27,27,1,1,1
2020-03-23,14,14,14,21,21,21,73,73,73,36,36,36,1,1,1
2020-03-22,19,19,19,27,27,27,94,94,94,11,11,11,2,2,2
2020-03-21,43,43,43,48,48,48,103,103,103,27,27,27,3,3,3
2020-03-20,41,41,41,50,50,50,113,113,113,35,35,35,2,2,2
2020-03-19,31,31,31,36,36,36,106,106,106,76,76,76,2,2,2
2020-03-18,42,42,42,53,53,53,101,101,101,65,65,65,4,4,4
2020-03-17,36,36,36,43,43,43,92,92,92,77,77,77,3,3,3
2020-03-16,24,24,24,31,31,31,85,85,85,54,54,54,1,1,1
2020-03-15,19,19,19,18,18,18,86,86,86,39,39,39,1,1,1
2020-03-14,32,32,32,33,33,33,65,65,65,37,37,37,4,4,4
2020-03-13,27,27,27,35,35,35,72,72,72,33,33,33,3,3,3
2020-03-12,44,44,44,56,56,56,60,60,60,55,55,55,3,3,3
2020-03-11,32,32,32,41,41,41,77,77,77,60,60,60,5,5,5
2020-03-10,36,36,36,43,43,43,58,58,58,67,67,67,6,6,6
2020-03-09,25,25,25,31,31,31,71,71,71,68,68,68,4,4,4
2020-03-08,16,16,16,16,16,16,88,88,88,80,80,80,2,2,2
2020-03-07,30,30,30,37,37,37,69,69,69,55,55,55,3,3,3
2020-03-06,27,27,27,26,26,26,44,44,44,60,60,60,2,2,2
2020-03-05,17,17,17,18,18,18,65,65,65,55,55,55,1,1,1
2020-03-04,15,15,15,25,25,25,67,67,67,67,67,67,2,2,2
2020-03-03,26,26,26,28,28,28,18,18,18,50,50,50,2,2,2
2020-03-02,14,14,14,21,21,21,57,57,57,58,58,58,6,6,6
2020-03-01,21,21,21,24,24,24,70,70,70,26,26,26,"-","-","-"
2020-02-29,21,21,21,28,28,28,70,70,70,54,54,54,13,13,13
2020-02-28,17,17,17,21,21,21,88,88,88,98,98,98,2,2,2
2020-02-27,19,19,19,27,27,27,74,74,74,90,90,90,2,2,2
2020-02-26,44,44,44,50,50,50,72,72,72,70,70,70,2,2,2
2020-02-25,48,48,48,54,54,54,27,27,27,64,64,64,2,2,2
2020-02-24,38,38,38,53,53,53,77,77,77,59,59,59,1,1,1
2020-02-23,38,38,38,45,45,45,"-","-","-","-","-","-","-","-","-"
2020-02-22,36,36,36,45,45,45,52,52,52,55,55,55,1,1,1
2020-02-21,34,34,34,34,34,34,50,50,50,88,88,88,5,5,5
2020-02-20,20,20,20,25,25,25,66,66,66,84,84,84,2,2,2
2020-02-19,37,37,37,49,49,49,57,57,57,74,74,74,2,2,2
2020-02-18,45,45,45,58,58,58,28,28,28,71,71,71,5,5,5
2020-02-17,46,46,46,63,63,63,37,37,37,66,66,66,2,2,2
2020-02-16,55,55,55,60,60,60,60,60,60,85,85,85,1,1,1
2020-02-15,29,29,29,35,35,35,63,63,63,71,71,71,13,13,13
2020-02-14,34,34,34,42,42,42,36,36,36,79,79,79,2,2,2
2020-02-13,28,28,28,38,38,38,55,55,55,97,97,97,5,5,5
