#Data for Brescia Broletto, Lombardia from 2019/01/01 to 2020/04/03. [generated on 2020-04-03 05:44]
#Station is located at latitude 45.54006456, longitude 10.22281989
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Agenzia Regionale per la Protezione dell'Ambiente della Lombardia)  https://ita.arpalombardia.it/ITA/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,no2,no2_min,no2_max,co,co_min,co_max
2020-04-01,12,12,12,16,16,16,25,25,25,0.5,0.5,0.5
2020-03-31,8,8,8,10,10,10,25,25,25,0.5,0.5,0.5
2020-03-30,18,18,18,31,31,31,16,16,16,0.4,0.4,0.4
2020-03-29,38,38,38,79,79,79,23,23,23,0.6,0.6,0.6
2020-03-28,42,42,42,93,93,93,62,62,62,0.6,0.6,0.6
2020-03-27,21,21,21,34,34,34,42,42,42,0.6,0.6,0.6
2020-03-26,17,17,17,23,23,23,35,35,35,0.6,0.6,0.6
2020-03-25,11,11,11,15,15,15,23,23,23,0.5,0.5,0.5
2020-03-24,11,11,11,16,16,16,23,23,23,0.5,0.5,0.5
2020-03-23,9,9,9,15,15,15,27,27,27,0.5,0.5,0.5
2020-03-22,17,17,17,22,22,22,14,14,14,0.4,0.4,0.4
2020-03-21,31,31,31,37,37,37,29,29,29,0.5,0.5,0.5
2020-03-20,32,32,32,42,42,42,74,74,74,0.5,0.5,0.5
2020-03-19,25,25,25,32,32,32,68,68,68,0.5,0.5,0.5
2020-03-18,35,35,35,44,44,44,83,83,83,0.5,0.5,0.5
2020-03-17,30,30,30,35,35,35,81,81,81,0.5,0.5,0.5
2020-03-16,16,16,16,19,19,19,52,52,52,0.5,0.5,0.5
2020-03-15,11,11,11,11,11,11,23,23,23,0.4,0.4,0.4
2020-03-14,22,22,22,25,25,25,29,29,29,0.5,0.5,0.5
2020-03-13,18,18,18,27,27,27,64,64,64,0.5,0.5,0.5
2020-03-12,42,42,42,54,54,54,63,63,63,0.6,0.6,0.6
2020-03-11,23,23,23,31,31,31,61,61,61,0.6,0.6,0.6
2020-03-10,27,27,27,36,36,36,64,64,64,0.8,0.8,0.8
2020-03-09,17,17,17,22,22,22,60,60,60,0.6,0.6,0.6
2020-03-08,7,7,7,9,9,9,68,68,68,0.5,0.5,0.5
2020-03-07,24,24,24,27,27,27,54,54,54,0.6,0.6,0.6
2020-03-06,18,18,18,22,22,22,59,59,59,0.6,0.6,0.6
2020-03-05,9,9,9,14,14,14,41,41,41,0.6,0.6,0.6
2020-03-04,11,11,11,17,17,17,64,64,64,0.6,0.6,0.6
2020-03-03,18,18,18,23,23,23,51,51,51,0.6,0.6,0.6
2020-03-02,13,13,13,16,16,16,44,44,44,0.5,0.5,0.5
2020-03-01,16,16,16,19,19,19,46,46,46,0.5,0.5,0.5
2020-02-29,13,13,13,23,23,23,60,60,60,0.6,0.6,0.6
2020-02-28,12,12,12,20,20,20,92,92,92,0.6,0.6,0.6
2020-02-27,9,9,9,16,16,16,71,71,71,0.6,0.6,0.6
2020-02-26,37,37,37,47,47,47,59,59,59,0.7,0.7,0.7
2020-02-25,61,61,61,77,77,77,68,68,68,0.7,0.7,0.7
2020-02-24,48,48,48,56,56,56,65,65,65,0.6,0.6,0.6
2020-02-23,35,35,35,45,45,45,63,63,63,0.6,0.6,0.6
2020-02-22,32,32,32,41,41,41,83,83,83,0.6,0.6,0.6
2020-02-21,27,27,27,35,35,35,75,75,75,0.6,0.6,0.6
2020-02-20,11,11,11,17,17,17,81,81,81,0.6,0.6,0.6
2020-02-19,33,33,33,39,39,39,74,74,74,0.6,0.6,0.6
2020-02-18,48,48,48,56,56,56,69,69,69,0.7,0.7,0.7
2020-02-17,54,54,54,65,65,65,71,71,71,0.7,0.7,0.7
2020-02-16,49,49,49,56,56,56,69,69,69,0.6,0.6,0.6
2020-02-15,22,22,22,27,27,27,66,66,66,0.6,0.6,0.6
2020-02-14,27,27,27,37,37,37,79,79,79,0.7,0.7,0.7
2020-02-13,14,14,14,25,25,25,78,78,78,0.6,0.6,0.6
2020-02-12,11,11,11,20,20,20,92,92,92,0.6,0.6,0.6
2020-02-11,35,35,35,45,45,45,84,84,84,1.4,1.4,1.4
2020-02-10,52,52,52,63,63,63,81,81,81,0.8,0.8,0.8
2020-02-09,61,61,61,68,68,68,54,54,54,0.8,0.8,0.8
2020-02-08,34,34,34,44,44,44,71,71,71,0.6,0.6,0.6
2020-02-07,19,19,19,29,29,29,90,90,90,0.6,0.6,0.6
2020-02-06,11,11,11,16,16,16,80,80,80,0.6,0.6,0.6
2020-02-05,7,7,7,12,12,12,85,85,85,0.5,0.5,0.5
2020-02-04,27,27,27,31,31,31,47,47,47,0.8,0.8,0.8
