#Data for Monza Machiavelli, Lombardia from 2019/01/01 to 2020/04/03. [generated on 2020-04-03 05:44]
#Station is located at latitude 45.574117, longitude 9.263808
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Agenzia Regionale per la Protezione dell'Ambiente della Lombardia)  https://ita.arpalombardia.it/ITA/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,o3,o3_min,o3_max,no2,no2_min,no2_max,so2,so2_min,so2_max,co,co_min,co_max
2020-04-01,18,18,18,21,21,21,94,94,94,62,62,62,8,8,8,0.9,0.9,0.9
2020-03-31,10,10,10,14,14,14,81,81,81,51,51,51,4,4,4,0.8,0.8,0.8
2020-03-30,15,15,15,27,27,27,97,97,97,46,46,46,4,4,4,0.8,0.8,0.8
2020-03-29,23,23,23,81,81,81,114,114,114,45,45,45,4,4,4,1,1,1
2020-03-28,27,27,27,88,88,88,106,106,106,71,71,71,5,5,5,0.9,0.9,0.9
2020-03-27,22,22,22,36,36,36,87,87,87,59,59,59,5,5,5,0.9,0.9,0.9
2020-03-26,18,18,18,21,21,21,74,74,74,51,51,51,6,6,6,0.9,0.9,0.9
2020-03-25,16,16,16,21,21,21,91,91,91,60,60,60,6,6,6,0.9,0.9,0.9
2020-03-24,16,16,16,24,24,24,94,94,94,60,60,60,5,5,5,1,1,1
2020-03-23,10,10,10,18,18,18,82,82,82,45,45,45,5,5,5,0.8,0.8,0.8
2020-03-22,21,21,21,27,27,27,85,85,85,30,30,30,4,4,4,0.9,0.9,0.9
2020-03-21,21,21,21,28,28,28,123,123,123,51,51,51,4,4,4,0.9,0.9,0.9
2020-03-20,35,35,35,48,48,48,110,110,110,77,77,77,5,5,5,1,1,1
2020-03-19,30,30,30,41,41,41,117,117,117,77,77,77,6,6,6,1,1,1
2020-03-18,38,38,38,47,47,47,113,113,113,80,80,80,5,5,5,1.1,1.1,1.1
2020-03-17,34,34,34,40,40,40,93,93,93,78,78,78,8,8,8,1.1,1.1,1.1
2020-03-16,21,21,21,23,23,23,88,88,88,71,71,71,5,5,5,1,1,1
2020-03-15,28,28,28,22,22,22,83,83,83,53,53,53,4,4,4,1.2,1.2,1.2
2020-03-14,22,22,22,28,28,28,74,74,74,55,55,55,4,4,4,0.9,0.9,0.9
2020-03-13,"-","-","-","-","-","-",86,86,86,76,76,76,4,4,4,0.8,0.8,0.8
2020-03-12,"-","-","-","-","-","-",52,52,52,71,71,71,4,4,4,1,1,1
2020-03-11,22,22,22,27,27,27,87,87,87,87,87,87,8,8,8,1.2,1.2,1.2
2020-03-10,30,30,30,34,34,34,74,74,74,100,100,100,7,7,7,1.1,1.1,1.1
2020-03-09,28,28,28,30,30,30,84,84,84,83,83,83,5,5,5,1.2,1.2,1.2
2020-03-08,18,18,18,14,14,14,97,97,97,89,89,89,6,6,6,1.1,1.1,1.1
2020-03-07,26,26,26,31,31,31,103,103,103,83,83,83,14,14,14,1.6,1.6,1.6
2020-03-06,28,28,28,29,29,29,70,70,70,95,95,95,5,5,5,1.1,1.1,1.1
2020-03-05,19,19,19,24,24,24,62,62,62,80,80,80,7,7,7,1.1,1.1,1.1
2020-03-04,22,22,22,26,26,26,82,82,82,97,97,97,7,7,7,1.3,1.3,1.3
2020-03-03,21,21,21,21,21,21,47,47,47,86,86,86,7,7,7,1.2,1.2,1.2
2020-03-02,15,15,15,29,29,29,62,62,62,85,85,85,5,5,5,1.1,1.1,1.1
2020-03-01,29,29,29,32,32,32,59,59,59,76,76,76,5,5,5,1,1,1
2020-02-29,25,25,25,30,30,30,64,64,64,91,91,91,22,22,22,1.2,1.2,1.2
2020-02-28,14,14,14,14,14,14,100,100,100,112,112,112,6,6,6,1.2,1.2,1.2
2020-02-27,7,7,7,7,7,7,77,77,77,104,104,104,6,6,6,1,1,1
2020-02-26,33,33,33,36,36,36,91,91,91,86,86,86,4,4,4,1.3,1.3,1.3
2020-02-25,40,40,40,62,62,62,58,58,58,104,104,104,5,5,5,1.1,1.1,1.1
2020-02-24,45,45,45,60,60,60,74,74,74,88,88,88,7,7,7,1,1,1
2020-02-23,42,42,42,56,56,56,91,91,91,108,108,108,6,6,6,1.9,1.9,1.9
2020-02-22,39,39,39,56,56,56,68,68,68,112,112,112,6,6,6,1.5,1.5,1.5
2020-02-21,37,37,37,46,46,46,51,51,51,111,111,111,10,10,10,1.6,1.6,1.6
2020-02-20,20,20,20,26,26,26,54,54,54,117,117,117,11,11,11,1.5,1.5,1.5
2020-02-19,40,40,40,55,55,55,82,82,82,100,100,100,8,8,8,1.3,1.3,1.3
2020-02-18,42,42,42,63,63,63,46,46,46,96,96,96,7,7,7,1.2,1.2,1.2
2020-02-17,42,42,42,78,78,78,15,15,15,93,93,93,6,6,6,1.3,1.3,1.3
2020-02-16,57,57,57,68,68,68,70,70,70,97,97,97,6,6,6,1.5,1.5,1.5
2020-02-15,44,44,44,56,56,56,58,58,58,96,96,96,12,12,12,1.3,1.3,1.3
2020-02-14,33,33,33,31,31,31,60,60,60,113,113,113,8,8,8,1.2,1.2,1.2
2020-02-13,30,30,30,39,39,39,59,59,59,121,121,121,10,10,10,1.3,1.3,1.3
2020-02-12,5,5,5,7,7,7,95,95,95,120,120,120,7,7,7,1.1,1.1,1.1
2020-02-11,23,23,23,24,24,24,86,86,86,96,96,96,8,8,8,1.4,1.4,1.4
2020-02-10,37,37,37,66,66,66,52,52,52,103,103,103,8,8,8,1.4,1.4,1.4
2020-02-09,60,60,60,83,83,83,20,20,20,105,105,105,9,9,9,1.6,1.6,1.6
2020-02-08,45,45,45,59,59,59,36,36,36,101,101,101,9,9,9,1.6,1.6,1.6
