#Data for Mantova S.Agnese, Lombardia from 2019/01/01 to 2020/04/03. [generated on 2020-04-03 05:44]
#Station is located at latitude 45.16057658, longitude 10.79557331
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Agenzia Regionale per la Protezione dell'Ambiente della Lombardia)  https://ita.arpalombardia.it/ITA/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,o3,o3_min,o3_max,no2,no2_min,no2_max,co,co_min,co_max
2020-04-01,9,9,9,15,15,15,88,88,88,30,30,30,0.6,0.6,0.6
2020-03-31,6,6,6,10,10,10,86,86,86,17,17,17,0.6,0.6,0.6
2020-03-30,15,15,15,50,50,50,84,84,84,19,19,19,0.7,0.7,0.7
2020-03-29,22,22,22,102,102,102,98,98,98,34,34,34,0.8,0.8,0.8
2020-03-28,27,27,27,89,89,89,91,91,91,33,33,33,0.7,0.7,0.7
2020-03-27,22,22,22,50,50,50,63,63,63,30,30,30,0.7,0.7,0.7
2020-03-26,9,9,9,13,13,13,61,61,61,28,28,28,0.6,0.6,0.6
2020-03-25,7,7,7,17,17,17,79,79,79,26,26,26,0.5,0.5,0.5
2020-03-24,11,11,11,17,17,17,84,84,84,45,45,45,0.6,0.6,0.6
2020-03-23,4,4,4,11,11,11,84,84,84,24,24,24,0.5,0.5,0.5
2020-03-22,18,18,18,22,22,22,73,73,73,11,11,11,0.7,0.7,0.7
2020-03-21,37,37,37,50,50,50,106,106,106,28,28,28,0.7,0.7,0.7
2020-03-20,33,33,33,46,46,46,105,105,105,39,39,39,0.7,0.7,0.7
2020-03-19,34,34,34,48,48,48,103,103,103,42,42,42,0.8,0.8,0.8
2020-03-18,40,40,40,56,56,56,"-","-","-",75,75,75,0.7,0.7,0.7
2020-03-17,29,29,29,40,40,40,25,25,25,55,55,55,0.7,0.7,0.7
2020-03-16,14,14,14,21,21,21,85,85,85,68,68,68,0.6,0.6,0.6
2020-03-15,7,7,7,13,13,13,86,86,86,20,20,20,0.6,0.6,0.6
2020-03-14,14,14,14,21,21,21,64,64,64,16,16,16,0.7,0.7,0.7
2020-03-13,27,27,27,39,39,39,69,69,69,30,30,30,0.7,0.7,0.7
2020-03-12,43,43,43,60,60,60,82,82,82,43,43,43,0.8,0.8,0.8
2020-03-11,26,26,26,37,37,37,86,86,86,45,45,45,0.7,0.7,0.7
2020-03-10,20,20,20,31,31,31,64,64,64,62,62,62,0.6,0.6,0.6
2020-03-09,19,19,19,29,29,29,71,71,71,53,53,53,0.7,0.7,0.7
2020-03-08,5,5,5,9,9,9,93,93,93,76,76,76,0.6,0.6,0.6
2020-03-07,25,25,25,36,36,36,74,74,74,35,35,35,0.7,0.7,0.7
2020-03-06,14,14,14,19,19,19,68,68,68,58,58,58,0.7,0.7,0.7
2020-03-05,10,10,10,17,17,17,72,72,72,42,42,42,0.6,0.6,0.6
2020-03-04,10,10,10,15,15,15,63,63,63,41,41,41,0.6,0.6,0.6
2020-03-03,5,5,5,10,10,10,43,43,43,43,43,43,0.6,0.6,0.6
2020-03-02,22,22,22,27,27,27,51,51,51,33,33,33,0.7,0.7,0.7
2020-03-01,16,16,16,21,21,21,52,52,52,27,27,27,0.6,0.6,0.6
2020-02-29,16,16,16,30,30,30,57,57,57,54,54,54,0.7,0.7,0.7
2020-02-28,8,8,8,17,17,17,84,84,84,79,79,79,0.6,0.6,0.6
2020-02-27,4,4,4,10,10,10,76,76,76,40,40,40,0.5,0.5,0.5
2020-02-26,21,21,21,40,40,40,78,78,78,43,43,43,0.8,0.8,0.8
2020-02-25,47,47,47,76,76,76,44,44,44,66,66,66,0.8,0.8,0.8
2020-02-24,38,38,38,54,54,54,78,78,78,35,35,35,0.7,0.7,0.7
2020-02-23,45,45,45,62,62,62,76,76,76,42,42,42,0.7,0.7,0.7
2020-02-22,31,31,31,49,49,49,63,63,63,66,66,66,0.8,0.8,0.8
2020-02-21,19,19,19,35,35,35,53,53,53,60,60,60,0.7,0.7,0.7
2020-02-20,16,16,16,31,31,31,76,76,76,73,73,73,0.6,0.6,0.6
2020-02-19,33,33,33,55,55,55,60,60,60,50,50,50,0.7,0.7,0.7
2020-02-18,41,41,41,72,72,72,34,34,34,60,60,60,0.8,0.8,0.8
2020-02-17,61,61,61,94,94,94,35,35,35,52,52,52,0.8,0.8,0.8
2020-02-16,48,48,48,73,73,73,64,64,64,67,67,67,0.9,0.9,0.9
2020-02-15,39,39,39,58,58,58,54,54,54,69,69,69,0.8,0.8,0.8
2020-02-14,30,30,30,45,45,45,53,53,53,62,62,62,0.7,0.7,0.7
2020-02-13,30,30,30,48,48,48,46,46,46,59,59,59,0.7,0.7,0.7
2020-02-12,6,6,6,15,15,15,74,74,74,58,58,58,0.5,0.5,0.5
2020-02-11,17,17,17,38,38,38,80,80,80,38,38,38,0.8,0.8,0.8
2020-02-10,49,49,49,69,69,69,28,28,28,53,53,53,0.9,0.9,0.9
2020-02-09,47,47,47,71,71,71,59,59,59,54,54,54,1,1,1
2020-02-08,33,33,33,56,56,56,47,47,47,74,74,74,0.9,0.9,0.9
2020-02-07,24,24,24,43,43,43,39,39,39,68,68,68,0.7,0.7,0.7
2020-02-06,8,8,8,18,18,18,60,60,60,81,81,81,0.6,0.6,0.6
2020-02-05,2,2,2,8,8,8,74,74,74,41,41,41,0.4,0.4,0.4
2020-02-04,18,18,18,44,44,44,74,74,74,29,29,29,0.7,0.7,0.7
2020-02-03,36,36,36,57,57,57,31,31,31,37,37,37,0.6,0.6,0.6
2020-02-02,31,31,31,55,55,55,13,13,13,44,44,44,0.9,0.9,0.9
2020-02-01,68,68,68,91,91,91,19,19,19,46,46,46,0.8,0.8,0.8
2020-01-31,45,45,45,67,67,67,21,21,21,61,61,61,0.8,0.8,0.8
2020-01-30,34,34,34,47,47,47,24,24,24,60,60,60,0.7,0.7,0.7
2020-01-29,28,28,28,50,50,50,43,43,43,42,42,42,0.7,0.7,0.7
2020-01-28,59,59,59,83,83,83,21,21,21,48,48,48,0.9,0.9,0.9
2020-01-27,56,56,56,81,81,81,19,19,19,63,63,63,0.9,0.9,0.9
2020-01-26,62,62,62,93,93,93,21,21,21,58,58,58,0.9,0.9,0.9
2020-01-25,70,70,70,98,98,98,4,4,4,53,53,53,1,1,1
2020-01-24,61,61,61,87,87,87,6,6,6,61,61,61,1,1,1
2020-01-23,42,42,42,65,65,65,32,32,32,66,66,66,1,1,1
2020-01-22,33,33,33,52,52,52,21,21,21,64,64,64,0.8,0.8,0.8
2020-01-21,20,20,20,31,31,31,45,45,45,62,62,62,1,1,1
2020-01-20,11,11,11,20,20,20,49,49,49,61,61,61,1.1,1.1,1.1
2020-01-19,23,23,23,31,31,31,29,29,29,52,52,52,1.3,1.3,1.3
2020-01-18,31,31,31,47,47,47,40,40,40,49,49,49,1.4,1.4,1.4
2020-01-17,61,61,61,86,86,86,23,23,23,58,58,58,1.4,1.4,1.4
2020-01-16,74,74,74,107,107,107,22,22,22,62,62,62,1.4,1.4,1.4
2020-01-15,73,73,73,98,98,98,4,4,4,57,57,57,1.7,1.7,1.7
2020-01-14,62,62,62,78,78,78,4,4,4,51,51,51,1.6,1.6,1.6
2020-01-13,48,48,48,61,61,61,5,5,5,61,61,61,1.6,1.6,1.6
2020-01-12,43,43,43,55,55,55,32,32,32,55,55,55,1.5,1.5,1.5
2020-01-11,56,56,56,78,78,78,13,13,13,84,84,84,1.8,1.8,1.8
2020-01-10,45,45,45,64,64,64,6,6,6,84,84,84,1.6,1.6,1.6
2020-01-09,30,30,30,41,41,41,7,7,7,49,49,49,1.3,1.3,1.3
2020-01-08,26,26,26,37,37,37,7,7,7,48,48,48,1.1,1.1,1.1
2020-01-07,31,31,31,45,45,45,9,9,9,39,39,39,1.2,1.2,1.2
2020-01-06,24,24,24,38,38,38,35,35,35,46,46,46,1.2,1.2,1.2
2020-01-05,43,43,43,59,59,59,31,31,31,51,51,51,1.2,1.2,1.2
2020-01-04,46,46,46,62,62,62,28,28,28,55,55,55,1.4,1.4,1.4
2020-01-03,53,53,53,74,74,74,10,10,10,61,61,61,1.4,1.4,1.4
2020-01-02,57,57,57,76,76,76,11,11,11,46,46,46,1.4,1.4,1.4
2020-01-01,59,59,59,84,84,84,16,16,16,60,60,60,1.4,1.4,1.4
2019-12-31,51,51,51,66,66,66,22,22,22,52,52,52,1,1,1
2019-12-30,35,35,35,51,51,51,28,28,28,54,54,54,0.8,0.8,0.8
2019-12-29,39,39,39,53,53,53,30,30,30,42,42,42,1.1,1.1,1.1
2019-12-28,36,36,36,51,51,51,18,18,18,45,45,45,1.1,1.1,1.1
2019-12-27,36,36,36,52,52,52,13,13,13,50,50,50,1.2,1.2,1.2
2019-12-26,37,37,37,49,49,49,29,29,29,69,69,69,1.1,1.1,1.1
2019-12-25,21,21,21,33,33,33,40,40,40,48,48,48,1,1,1
2019-12-24,7,7,7,15,15,15,32,32,32,50,50,50,0.8,0.8,0.8
2019-12-23,7,7,7,13,13,13,58,58,58,32,32,32,0.7,0.7,0.7
2019-12-22,7,7,7,12,12,12,51,51,51,32,32,32,0.8,0.8,0.8
2019-12-21,7,7,7,14,14,14,46,46,46,34,34,34,0.8,0.8,0.8
2019-12-20,13,13,13,27,27,27,33,33,33,38,38,38,0.9,0.9,0.9
2019-12-19,25,25,25,45,45,45,17,17,17,39,39,39,1.2,1.2,1.2
2019-12-18,37,37,37,81,81,81,2,2,2,32,32,32,1.2,1.2,1.2
2019-12-17,44,44,44,61,61,61,10,10,10,43,43,43,1.3,1.3,1.3
2019-12-16,45,45,45,57,57,57,3,3,3,43,43,43,1.2,1.2,1.2
2019-12-15,35,35,35,47,47,47,8,8,8,46,46,46,1.1,1.1,1.1
2019-12-14,22,22,22,34,34,34,22,22,22,58,58,58,1,1,1
2019-12-13,15,15,15,19,19,19,37,37,37,58,58,58,0.7,0.7,0.7
2019-12-12,15,15,15,21,21,21,43,43,43,57,57,57,0.9,0.9,0.9
2019-12-11,14,14,14,26,26,26,38,38,38,71,71,71,1,1,1
2019-12-10,37,37,37,56,56,56,15,15,15,58,58,58,1.1,1.1,1.1
2019-12-09,57,57,57,81,81,81,6,6,6,46,46,46,1,1,1
2019-12-08,47,47,47,67,67,67,18,18,18,53,53,53,1.2,1.2,1.2
2019-12-07,44,44,44,64,64,64,18,18,18,55,55,55,1,1,1
2019-12-06,41,41,41,62,62,62,4,4,4,50,50,50,1,1,1
2019-12-05,30,30,30,47,47,47,18,18,18,53,53,53,0.8,0.8,0.8
2019-12-04,12,12,12,22,22,22,47,47,47,60,60,60,0.6,0.6,0.6
2019-12-03,7,7,7,14,14,14,38,38,38,53,53,53,0.6,0.6,0.6
2019-12-02,16,16,16,19,19,19,38,38,38,39,39,39,0.6,0.6,0.6
2019-12-01,15,15,15,26,26,26,32,32,32,33,33,33,0.6,0.6,0.6
2019-11-30,25,25,25,34,34,34,19,19,19,43,43,43,0.7,0.7,0.7
2019-11-29,28,28,28,33,33,33,7,7,7,41,41,41,0.7,0.7,0.7
2019-11-28,23,23,23,28,28,28,14,14,14,40,40,40,0.7,0.7,0.7
2019-11-27,23,23,23,28,28,28,24,24,24,41,41,41,0.9,0.9,0.9
2019-11-26,17,17,17,27,27,27,13,13,13,50,50,50,0.9,0.9,0.9
2019-11-25,6,6,6,13,13,13,61,61,61,49,49,49,0.7,0.7,0.7
2019-11-24,7,7,7,11,11,11,66,66,66,12,12,12,0.6,0.6,0.6
2019-11-23,7,7,7,10,10,10,58,58,58,19,19,19,0.6,0.6,0.6
2019-11-22,22,22,22,29,29,29,55,55,55,39,39,39,0.8,0.8,0.8
2019-11-21,31,31,31,35,35,35,25,25,25,51,51,51,0.8,0.8,0.8
2019-11-20,17,17,17,20,20,20,38,38,38,58,58,58,0.7,0.7,0.7
2019-11-19,2,2,2,6,6,6,67,67,67,29,29,29,0.6,0.6,0.6
2019-11-18,16,16,16,23,23,23,68,68,68,49,49,49,0.7,0.7,0.7
2019-11-17,4,4,4,7,7,7,59,59,59,40,40,40,0.6,0.6,0.6
2019-11-16,20,20,20,24,24,24,53,53,53,49,49,49,0.7,0.7,0.7
2019-11-15,9,9,9,11,11,11,59,59,59,41,41,41,0.6,0.6,0.6
2019-11-14,6,6,6,13,13,13,50,50,50,38,38,38,0.5,0.5,0.5
2019-11-13,7,7,7,8,8,8,46,46,46,32,32,32,0.5,0.5,0.5
2019-11-12,12,12,12,13,13,13,18,18,18,44,44,44,0.5,0.5,0.5
2019-11-11,10,10,10,17,17,17,25,25,25,40,40,40,0.8,0.8,0.8
2019-11-10,14,14,14,21,21,21,53,53,53,51,51,51,0.8,0.8,0.8
2019-11-09,9,9,9,16,16,16,62,62,62,47,47,47,0.7,0.7,0.7
2019-11-08,12,12,12,15,15,15,50,50,50,45,45,45,0.5,0.5,0.5
2019-11-07,19,19,19,27,27,27,40,40,40,47,47,47,0.6,0.6,0.6
2019-11-06,10,10,10,20,20,20,18,18,18,40,40,40,0.8,0.8,0.8
2019-11-05,20,20,20,23,23,23,24,24,24,42,42,42,0.8,0.8,0.8
2019-11-04,6,6,6,15,15,15,38,38,38,35,35,35,0.6,0.6,0.6
2019-11-03,8,8,8,8,8,8,40,40,40,27,27,27,0.6,0.6,0.6
2019-11-02,14,14,14,17,17,17,52,52,52,22,22,22,0.5,0.5,0.5
2019-11-01,7,7,7,15,15,15,40,40,40,36,36,36,"-","-","-"
2019-10-31,6,6,6,14,14,14,36,36,36,36,36,36,"-","-","-"
2019-10-30,4,4,4,15,15,15,40,40,40,36,36,36,0.5,0.5,0.5
2019-10-29,38,38,38,45,45,45,36,36,36,41,41,41,0.8,0.8,0.8
2019-10-28,50,50,50,67,67,67,39,39,39,58,58,58,0.7,0.7,0.7
2019-10-27,18,18,18,36,36,36,62,62,62,48,48,48,0.7,0.7,0.7
2019-10-26,27,27,27,39,39,39,48,48,48,47,47,47,0.6,0.6,0.6
2019-10-25,20,20,20,34,34,34,52,52,52,50,50,50,0.6,0.6,0.6
2019-10-24,64,64,64,52,52,52,48,48,48,46,46,46,0.6,0.6,0.6
2019-10-23,23,23,23,37,37,37,53,53,53,60,60,60,0.8,0.8,0.8
2019-10-22,25,25,25,17,17,17,69,69,69,58,58,58,0.8,0.8,0.8
2019-10-21,12,12,12,20,20,20,74,74,74,24,24,24,0.6,0.6,0.6
2019-10-20,12,12,12,16,16,16,81,81,81,22,22,22,0.6,0.6,0.6
2019-10-19,20,20,20,32,32,32,52,52,52,29,29,29,0.7,0.7,0.7
2019-10-18,10,10,10,28,28,28,45,45,45,44,44,44,0.7,0.7,0.7
2019-10-17,17,17,17,31,31,31,68,68,68,51,51,51,0.7,0.7,0.7
2019-10-16,4,4,4,4,4,4,79,79,79,56,56,56,0.7,0.7,0.7
2019-10-15,38,38,38,50,50,50,66,66,66,32,32,32,0.7,0.7,0.7
2019-10-14,55,55,55,78,78,78,71,71,71,51,51,51,0.8,0.8,0.8
2019-10-13,46,46,46,70,70,70,53,53,53,43,43,43,0.8,0.8,0.8
2019-10-12,36,36,36,56,56,56,76,76,76,65,65,65,0.7,0.7,0.7
2019-10-11,17,17,17,36,36,36,73,73,73,60,60,60,0.7,0.7,0.7
2019-10-10,18,18,18,33,33,33,57,57,57,50,50,50,0.7,0.7,0.7
2019-10-09,9,9,9,20,20,20,62,62,62,44,44,44,0.7,0.7,0.7
2019-10-08,"-","-","-","-","-","-",45,45,45,19,19,19,"-","-","-"
2019-10-04,"-","-","-","-","-","-",66,66,66,21,21,21,"-","-","-"
2019-10-02,11,11,11,27,27,27,64,64,64,31,31,31,0.5,0.5,0.5
2019-10-01,17,17,17,41,41,41,101,101,101,41,41,41,0.6,0.6,0.6
2019-09-30,10,10,10,24,24,24,99,99,99,58,58,58,0.5,0.5,0.5
2019-09-29,8,8,8,19,19,19,99,99,99,22,22,22,0.5,0.5,0.5
2019-09-28,17,17,17,35,35,35,97,97,97,31,31,31,0.5,0.5,0.5
2019-09-27,16,16,16,35,35,35,91,91,91,37,37,37,0.6,0.6,0.6
2019-09-26,13,13,13,29,29,29,97,97,97,47,47,47,0.6,0.6,0.6
2019-09-25,19,19,19,41,41,41,75,75,75,55,55,55,0.6,0.6,0.6
2019-09-24,8,8,8,25,25,25,90,90,90,59,59,59,0.5,0.5,0.5
2019-09-23,15,15,15,30,30,30,62,62,62,30,30,30,0.4,0.4,0.4
2019-09-22,13,13,13,27,27,27,68,68,68,30,30,30,0.4,0.4,0.4
2019-09-21,9,9,9,19,19,19,109,109,109,51,51,51,0.4,0.4,0.4
