#Data for Sannazzaro de Burgondi , Lombardia from 2019/01/01 to 2020/04/03. [generated on 2020-04-03 05:44]
#Station is located at latitude 45.10277464, longitude 8.90418742
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Agenzia Regionale per la Protezione dell'Ambiente della Lombardia)  https://ita.arpalombardia.it/ITA/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,no2,no2_min,no2_max,so2,so2_min,so2_max
2020-04-01,16,16,16,21,21,21,36,36,36,5,5,5
2020-03-31,11,11,11,14,14,14,22,22,22,5,5,5
2020-03-30,24,24,24,38,38,38,33,33,33,12,12,12
2020-03-29,37,37,37,71,71,71,22,22,22,30,30,30
2020-03-28,37,37,37,61,61,61,82,82,82,8,8,8
2020-03-27,19,19,19,30,30,30,29,29,29,4,4,4
2020-03-26,11,11,11,17,17,17,29,29,29,7,7,7
2020-03-25,14,14,14,16,16,16,31,31,31,7,7,7
2020-03-24,18,18,18,21,21,21,34,34,34,5,5,5
2020-03-23,13,13,13,20,20,20,28,28,28,4,4,4
2020-03-22,25,25,25,31,31,31,22,22,22,4,4,4
2020-03-21,23,23,23,26,26,26,30,30,30,44,44,44
2020-03-20,31,31,31,43,43,43,31,31,31,7,7,7
2020-03-19,48,48,48,55,55,55,63,63,63,14,14,14
2020-03-18,38,38,38,47,47,47,80,80,80,7,7,7
2020-03-17,24,24,24,35,35,35,78,78,78,62,62,62
2020-03-16,22,22,22,26,26,26,53,53,53,5,5,5
2020-03-15,15,15,15,16,16,16,31,31,31,5,5,5
2020-03-14,21,21,21,32,32,32,21,21,21,4,4,4
2020-03-13,7,7,7,8,8,8,22,22,22,54,54,54
2020-03-12,10,10,10,19,19,19,43,43,43,22,22,22
2020-03-11,10,10,10,13,13,13,44,44,44,37,37,37
2020-03-10,19,19,19,20,20,20,22,22,22,32,32,32
2020-03-09,21,21,21,27,27,27,53,53,53,6,6,6
2020-03-08,19,19,19,20,20,20,79,79,79,27,27,27
2020-03-07,23,23,23,25,25,25,29,29,29,18,18,18
2020-03-06,10,10,10,14,14,14,73,73,73,8,8,8
2020-03-05,22,22,22,26,26,26,49,49,49,5,5,5
2020-03-04,14,14,14,18,18,18,63,63,63,15,15,15
2020-03-03,14,14,14,13,13,13,54,54,54,4,4,4
2020-03-02,23,23,23,26,26,26,40,40,40,4,4,4
2020-03-01,35,35,35,39,39,39,32,32,32,7,7,7
2020-02-29,20,20,20,30,30,30,55,55,55,7,7,7
2020-02-28,15,15,15,18,18,18,66,66,66,7,7,7
2020-02-27,8,8,8,13,13,13,68,68,68,13,13,13
2020-02-26,25,25,25,29,29,29,37,37,37,9,9,9
2020-02-25,58,58,58,68,68,68,64,64,64,7,7,7
2020-02-24,20,20,20,30,30,30,49,49,49,87,87,87
2020-02-23,44,44,44,49,49,49,47,47,47,33,33,33
2020-02-22,46,46,46,59,59,59,79,79,79,12,12,12
2020-02-21,29,29,29,39,39,39,57,57,57,32,32,32
2020-02-20,30,30,30,37,37,37,90,90,90,12,12,12
2020-02-19,39,39,39,50,50,50,94,94,94,10,10,10
2020-02-18,54,54,54,66,66,66,79,79,79,6,6,6
2020-02-17,61,61,61,70,70,70,47,47,47,4,4,4
2020-02-16,70,70,70,87,87,87,61,61,61,15,15,15
2020-02-15,52,52,52,61,61,61,80,80,80,26,26,26
2020-02-14,42,42,42,52,52,52,59,59,59,38,38,38
2020-02-13,24,24,24,29,29,29,63,63,63,42,42,42
2020-02-12,11,11,11,15,15,15,93,93,93,9,9,9
2020-02-11,25,25,25,29,29,29,59,59,59,10,10,10
2020-02-10,63,63,63,78,78,78,71,71,71,19,19,19
2020-02-09,59,59,59,75,75,75,56,56,56,7,7,7
2020-02-08,40,40,40,54,54,54,75,75,75,40,40,40
2020-02-07,32,32,32,42,42,42,79,79,79,22,22,22
2020-02-06,15,15,15,20,20,20,71,71,71,7,7,7
2020-02-05,8,8,8,12,12,12,40,40,40,6,6,6
2020-02-04,20,20,20,23,23,23,32,32,32,8,8,8
2020-02-03,17,17,17,23,23,23,42,42,42,4,4,4
2020-02-02,27,27,27,33,33,33,37,37,37,38,38,38
2020-02-01,41,41,41,55,55,55,52,52,52,3,3,3
2020-01-31,49,49,49,63,63,63,51,51,51,4,4,4
2020-01-30,25,25,25,37,37,37,72,72,72,7,7,7
2020-01-29,48,48,48,58,58,58,95,95,95,68,68,68
2020-01-28,75,75,75,91,91,91,52,52,52,4,4,4
2020-01-27,58,58,58,71,71,71,68,68,68,12,12,12
2020-01-26,71,71,71,80,80,80,58,58,58,9,9,9
2020-01-25,66,66,66,78,78,78,51,51,51,7,7,7
2020-01-24,70,70,70,82,82,82,74,74,74,11,11,11
2020-01-23,53,53,53,64,64,64,64,64,64,2,2,2
2020-01-22,41,41,41,51,51,51,65,65,65,23,23,23
2020-01-21,30,30,30,40,40,40,56,56,56,16,16,16
2020-01-20,25,25,25,31,31,31,67,67,67,5,5,5
2020-01-19,32,32,32,42,42,42,48,48,48,20,20,20
2020-01-18,37,37,37,43,43,43,81,81,81,21,21,21
2020-01-17,72,72,72,80,80,80,70,70,70,17,17,17
2020-01-16,76,76,76,86,86,86,69,69,69,17,17,17
2020-01-15,85,85,85,100,100,100,51,51,51,5,5,5
2020-01-14,58,58,58,72,72,72,45,45,45,8,8,8
2020-01-13,46,46,46,56,56,56,47,47,47,34,34,34
2020-01-12,43,43,43,49,49,49,70,70,70,6,6,6
2020-01-11,54,54,54,63,63,63,74,74,74,24,24,24
2020-01-10,60,60,60,68,68,68,70,70,70,5,5,5
2020-01-09,35,35,35,46,46,46,52,52,52,7,7,7
2020-01-08,38,38,38,49,49,49,50,50,50,8,8,8
2020-01-07,44,44,44,54,54,54,46,46,46,8,8,8
2020-01-06,49,49,49,59,59,59,44,44,44,3,3,3
2020-01-05,35,35,35,43,43,43,60,60,60,18,18,18
2020-01-04,40,40,40,48,48,48,53,53,53,6,6,6
2020-01-03,58,58,58,63,63,63,49,49,49,3,3,3
2020-01-02,60,60,60,68,68,68,59,59,59,4,4,4
2020-01-01,60,60,60,68,68,68,56,56,56,22,22,22
2019-12-31,45,45,45,55,55,55,43,43,43,4,4,4
2019-12-30,46,46,46,53,53,53,44,44,44,3,3,3
2019-12-29,55,55,55,61,61,61,50,50,50,8,8,8
2019-12-28,47,47,47,53,53,53,62,62,62,6,6,6
2019-12-27,35,35,35,43,43,43,48,48,48,4,4,4
2019-12-26,27,27,27,29,29,29,42,42,42,3,3,3
2019-12-25,18,18,18,24,24,24,25,25,25,1,1,1
2019-12-24,10,10,10,13,13,13,46,46,46,6,6,6
2019-12-23,8,8,8,8,8,8,39,39,39,19,19,19
2019-12-22,10,10,10,11,11,11,41,41,41,13,13,13
2019-12-21,6,6,6,10,10,10,39,39,39,4,4,4
2019-12-20,10,10,10,15,15,15,45,45,45,10,10,10
2019-12-19,18,18,18,29,29,29,52,52,52,6,6,6
2019-12-18,33,33,33,39,39,39,56,56,56,6,6,6
2019-12-17,30,30,30,36,36,36,56,56,56,7,7,7
2019-12-16,48,48,48,54,54,54,54,54,54,7,7,7
2019-12-15,43,43,43,50,50,50,60,60,60,7,7,7
2019-12-14,23,23,23,29,29,29,85,85,85,9,9,9
2019-12-13,27,27,27,33,33,33,75,75,75,7,7,7
2019-12-12,37,37,37,42,42,42,65,65,65,3,3,3
2019-12-11,27,27,27,37,37,37,70,70,70,4,4,4
2019-12-10,27,27,27,36,36,36,106,106,106,2,2,2
2019-12-09,61,61,61,76,76,76,94,94,94,5,5,5
2019-12-08,69,69,69,77,77,77,66,66,66,4,4,4
2019-12-07,63,63,63,72,72,72,77,77,77,17,17,17
2019-12-06,52,52,52,59,59,59,57,57,57,6,6,6
2019-12-05,42,42,42,50,50,50,54,54,54,3,3,3
2019-12-04,23,23,23,29,29,29,90,90,90,4,4,4
2019-12-03,17,17,17,24,24,24,58,58,58,5,5,5
2019-12-02,14,14,14,16,16,16,67,67,67,4,4,4
2019-12-01,26,26,26,32,32,32,44,44,44,4,4,4
2019-11-30,17,17,17,21,21,21,54,54,54,7,7,7
2019-11-29,22,22,22,27,27,27,46,46,46,9,9,9
2019-11-28,20,20,20,25,25,25,39,39,39,4,4,4
2019-11-27,21,21,21,31,31,31,46,46,46,6,6,6
2019-11-26,16,16,16,25,25,25,41,41,41,6,6,6
2019-11-25,9,9,9,13,13,13,47,47,47,6,6,6
2019-11-24,13,13,13,13,13,13,30,30,30,4,4,4
2019-11-23,14,14,14,20,20,20,34,34,34,6,6,6
2019-11-22,38,38,38,34,34,34,44,44,44,10,10,10
2019-11-21,28,28,28,28,28,28,52,52,52,7,7,7
2019-11-20,11,11,11,16,16,16,33,33,33,4,4,4
2019-11-19,12,12,12,14,14,14,50,50,50,5,5,5
2019-11-18,22,22,22,24,24,24,48,48,48,5,5,5
2019-11-17,13,13,13,13,13,13,37,37,37,7,7,7
2019-11-16,21,21,21,25,25,25,39,39,39,6,6,6
2019-11-15,10,10,10,15,15,15,33,33,33,3,3,3
2019-11-14,18,18,18,20,20,20,47,47,47,"-","-","-"
2019-11-13,14,14,14,17,17,17,31,31,31,4,4,4
2019-11-12,16,16,16,21,21,21,32,32,32,7,7,7
2019-11-11,12,12,12,7,7,7,42,42,42,7,7,7
2019-11-08,13,13,13,18,18,18,44,44,44,2,2,2
2019-11-07,16,16,16,21,21,21,51,51,51,2,2,2
2019-11-06,19,19,19,20,20,20,72,72,72,1,1,1
2019-11-05,19,19,19,25,25,25,54,54,54,7,7,7
2019-11-04,12,12,12,18,18,18,51,51,51,7,7,7
2019-11-03,12,12,12,15,15,15,23,23,23,2,2,2
2019-11-02,18,18,18,20,20,20,29,29,29,4,4,4
2019-11-01,12,12,12,22,22,22,38,38,38,4,4,4
2019-10-31,18,18,18,22,22,22,37,37,37,5,5,5
2019-10-30,40,40,40,47,47,47,39,39,39,6,6,6
2019-10-29,59,59,59,77,77,77,41,41,41,5,5,5
2019-10-28,28,28,28,45,45,45,56,56,56,14,14,14
2019-10-27,20,20,20,33,33,33,53,53,53,14,14,14
2019-10-26,14,14,14,25,25,25,43,43,43,7,7,7
2019-10-25,17,17,17,26,26,26,42,42,42,5,5,5
2019-10-24,37,37,37,45,45,45,31,31,31,3,3,3
2019-10-23,27,27,27,48,48,48,39,39,39,7,7,7
2019-10-22,35,35,35,35,35,35,33,33,33,2,2,2
2019-10-21,22,22,22,20,20,20,41,41,41,3,3,3
2019-10-20,29,29,29,30,30,30,26,26,26,4,4,4
2019-10-19,28,28,28,35,35,35,30,30,30,4,4,4
2019-10-18,8,8,8,17,17,17,29,29,29,4,4,4
2019-10-17,13,13,13,26,26,26,22,22,22,14,14,14
2019-10-16,7,7,7,19,19,19,"-","-","-",9,9,9
2019-10-15,27,27,27,35,35,35,"-","-","-",4,4,4
2019-10-14,28,28,28,66,66,66,"-","-","-",10,10,10
2019-10-13,39,39,39,70,70,70,"-","-","-",6,6,6
2019-10-12,30,30,30,48,48,48,24,24,24,26,26,26
2019-10-11,27,27,27,38,38,38,18,18,18,31,31,31
2019-10-10,20,20,20,27,27,27,46,46,46,4,4,4
2019-10-09,21,21,21,31,31,31,40,40,40,3,3,3
2019-10-08,13,13,13,22,22,22,50,50,50,3,3,3
2019-10-07,9,9,9,12,12,12,32,32,32,3,3,3
2019-10-06,21,21,21,37,37,37,32,32,32,9,9,9
2019-10-05,19,19,19,32,32,32,71,71,71,17,17,17
2019-10-04,13,13,13,26,26,26,48,48,48,16,16,16
2019-10-03,10,10,10,15,15,15,31,31,31,4,4,4
2019-10-02,12,12,12,25,25,25,47,47,47,5,5,5
