#Data for Soresina , Lombardia from 2019/01/01 to 2020/04/03. [generated on 2020-04-03 05:44]
#Station is located at latitude 45.28398, longitude 9.86340258
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Agenzia Regionale per la Protezione dell'Ambiente della Lombardia)  https://ita.arpalombardia.it/ITA/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,no2,no2_min,no2_max
2020-04-01,18,18,18,27,27,27,44,44,44
2020-03-31,11,11,11,15,15,15,"-","-","-"
2020-03-30,14,14,14,37,37,37,"-","-","-"
2020-03-29,24,24,24,101,101,101,"-","-","-"
2020-03-28,27,27,27,91,91,91,"-","-","-"
2020-03-27,23,23,23,45,45,45,"-","-","-"
2020-03-26,18,18,18,24,24,24,"-","-","-"
2020-03-25,12,12,12,14,14,14,"-","-","-"
2020-03-24,16,16,16,27,27,27,"-","-","-"
2020-03-23,12,12,12,20,20,20,"-","-","-"
2020-03-22,18,18,18,27,27,27,"-","-","-"
2020-03-21,33,33,33,42,42,42,"-","-","-"
2020-03-20,45,45,45,62,62,62,"-","-","-"
2020-03-19,47,47,47,64,64,64,"-","-","-"
2020-03-18,49,49,49,63,63,63,"-","-","-"
2020-03-17,41,41,41,52,52,52,"-","-","-"
2020-03-16,23,23,23,28,28,28,"-","-","-"
2020-03-15,18,18,18,23,23,23,"-","-","-"
2020-03-14,22,22,22,27,27,27,"-","-","-"
2020-03-13,21,21,21,31,31,31,"-","-","-"
2020-03-12,48,48,48,64,64,64,"-","-","-"
2020-03-11,25,25,25,37,37,37,59,59,59
2020-03-10,23,23,23,21,21,21,58,58,58
2020-03-09,27,27,27,34,34,34,58,58,58
2020-03-08,14,14,14,19,19,19,63,63,63
2020-03-07,32,32,32,36,36,36,57,57,57
2020-03-06,22,22,22,27,27,27,74,74,74
2020-03-05,19,19,19,23,23,23,47,47,47
2020-03-04,17,17,17,25,25,25,58,58,58
2020-03-03,17,17,17,20,20,20,60,60,60
2020-03-02,22,22,22,29,29,29,58,58,58
2020-03-01,14,14,14,21,21,21,46,46,46
2020-02-29,26,26,26,38,38,38,83,83,83
2020-02-28,13,13,13,21,21,21,95,95,95
2020-02-27,14,14,14,23,23,23,96,96,96
2020-02-26,36,36,36,47,47,47,81,81,81
2020-02-25,58,58,58,78,78,78,85,85,85
2020-02-24,39,39,39,51,51,51,70,70,70
2020-02-23,47,47,47,59,59,59,84,84,84
2020-02-22,44,44,44,58,58,58,93,93,93
2020-02-21,40,40,40,57,57,57,85,85,85
2020-02-20,24,24,24,35,35,35,121,121,121
2020-02-19,45,45,45,59,59,59,69,69,69
2020-02-18,36,36,36,47,47,47,105,105,105
2020-02-17,55,55,55,48,48,48,100,100,100
2020-02-16,70,70,70,83,83,83,103,103,103
2020-02-15,64,64,64,81,81,81,122,122,122
2020-02-14,38,38,38,48,48,48,86,86,86
2020-02-13,35,35,35,51,51,51,100,100,100
2020-02-12,13,13,13,21,21,21,84,84,84
2020-02-11,23,23,23,19,19,19,76,76,76
2020-02-10,69,69,69,80,80,80,87,87,87
2020-02-09,74,74,74,94,94,94,83,83,83
2020-02-08,47,47,47,72,72,72,137,137,137
2020-02-07,32,32,32,50,50,50,111,111,111
2020-02-06,21,21,21,31,31,31,92,92,92
2020-02-05,8,8,8,16,16,16,86,86,86
2020-02-04,26,26,26,40,40,40,49,49,49
2020-02-03,21,21,21,36,36,36,56,56,56
2020-02-02,26,26,26,34,34,34,60,60,60
2020-02-01,67,67,67,79,79,79,64,64,64
2020-01-31,46,46,46,61,61,61,75,75,75
2020-01-30,35,35,35,51,51,51,70,70,70
2020-01-29,31,31,31,41,41,41,72,72,72
2020-01-28,66,66,66,78,78,78,64,64,64
2020-01-27,75,75,75,89,89,89,90,90,90
2020-01-26,73,73,73,82,82,82,69,69,69
2020-01-25,76,76,76,85,85,85,74,74,74
2020-01-24,73,73,73,79,79,79,72,72,72
2020-01-23,60,60,60,78,78,78,91,91,91
2020-01-22,43,43,43,56,56,56,70,70,70
2020-01-21,37,37,37,44,44,44,68,68,68
2020-01-20,"-","-","-","-","-","-",67,67,67
2020-01-19,"-","-","-","-","-","-",48,48,48
2020-01-18,"-","-","-","-","-","-",61,61,61
