#Data for Casirate d`Adda , Lombardia from 2019/01/01 to 2020/04/03. [generated on 2020-04-03 05:44]
#Station is located at latitude 45.49822794, longitude 9.55624181
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Agenzia Regionale per la Protezione dell'Ambiente della Lombardia)  https://ita.arpalombardia.it/ITA/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,o3,o3_min,o3_max,no2,no2_min,no2_max
2020-04-01,16,16,16,22,22,22,90,90,90,27,27,27
2020-03-31,9,9,9,12,12,12,73,73,73,44,44,44
2020-03-30,16,16,16,31,31,31,88,88,88,21,21,21
2020-03-29,27,27,27,91,91,91,108,108,108,36,36,36
2020-03-28,32,32,32,82,82,82,98,98,98,42,42,42
2020-03-27,25,25,25,37,37,37,78,78,78,28,28,28
2020-03-26,14,14,14,18,18,18,71,71,71,36,36,36
2020-03-25,16,16,16,22,22,22,85,85,85,37,37,37
2020-03-24,23,23,23,29,29,29,84,84,84,33,33,33
2020-03-23,13,13,13,18,18,18,75,75,75,38,38,38
2020-03-22,27,27,27,34,34,34,68,68,68,10,10,10
2020-03-21,27,27,27,33,33,33,112,112,112,23,23,23
2020-03-20,41,41,41,53,53,53,98,98,98,33,33,33
2020-03-19,37,37,37,44,44,44,115,115,115,52,52,52
2020-03-18,48,48,48,54,54,54,111,111,111,66,66,66
2020-03-17,34,34,34,39,39,39,100,100,100,57,57,57
2020-03-16,21,21,21,23,23,23,92,92,92,48,48,48
2020-03-15,20,20,20,21,21,21,84,84,84,34,34,34
2020-03-14,30,30,30,39,39,39,56,56,56,35,35,35
2020-03-13,16,16,16,27,27,27,88,88,88,35,35,35
2020-03-12,37,37,37,48,48,48,70,70,70,50,50,50
2020-03-11,19,19,19,25,25,25,85,85,85,56,56,56
2020-03-10,29,29,29,36,36,36,66,66,66,59,59,59
2020-03-09,23,23,23,27,27,27,71,71,71,53,53,53
2020-03-08,14,14,14,16,16,16,94,94,94,61,61,61
2020-03-07,33,33,33,35,35,35,86,86,86,39,39,39
2020-03-06,19,19,19,22,22,22,59,59,59,41,41,41
2020-03-05,17,17,17,21,21,21,61,61,61,39,39,39
2020-03-04,20,20,20,27,27,27,82,82,82,63,63,63
2020-03-03,16,16,16,18,18,18,40,40,40,46,46,46
2020-03-02,21,21,21,30,30,30,55,55,55,40,40,40
2020-03-01,15,15,15,20,20,20,63,63,63,20,20,20
2020-02-29,29,29,29,33,33,33,67,67,67,61,61,61
2020-02-28,11,11,11,15,15,15,95,95,95,77,77,77
2020-02-27,7,7,7,10,10,10,79,79,79,65,65,65
2020-02-26,38,38,38,47,47,47,90,90,90,57,57,57
2020-02-25,56,56,56,75,75,75,34,34,34,57,57,57
2020-02-24,38,38,38,50,50,50,68,68,68,55,55,55
2020-02-23,43,43,43,52,52,52,85,85,85,56,56,56
2020-02-22,41,41,41,54,54,54,81,81,81,65,65,65
2020-02-21,35,35,35,47,47,47,63,63,63,77,77,77
2020-02-20,16,16,16,25,25,25,67,67,67,73,73,73
2020-02-19,43,43,43,59,59,59,66,66,66,56,56,56
2020-02-18,41,41,41,53,53,53,63,63,63,62,62,62
2020-02-17,64,64,64,85,85,85,34,34,34,65,65,65
2020-02-16,54,54,54,67,67,67,61,61,61,52,52,52
2020-02-15,45,45,45,52,52,52,49,49,49,63,63,63
2020-02-14,34,34,34,44,44,44,47,47,47,61,61,61
2020-02-13,25,25,25,33,33,33,60,60,60,69,69,69
2020-02-12,10,10,10,11,11,11,87,87,87,66,66,66
2020-02-11,29,29,29,44,44,44,86,86,86,65,65,65
2020-02-10,59,59,59,73,73,73,19,19,19,62,62,62
2020-02-09,65,65,65,90,90,90,25,25,25,62,62,62
2020-02-08,41,41,41,50,50,50,44,44,44,79,79,79
2020-02-07,33,33,33,42,42,42,62,62,62,75,75,75
2020-02-06,19,19,19,23,23,23,68,68,68,84,84,84
2020-02-05,8,8,8,11,11,11,85,85,85,66,66,66
2020-02-04,24,24,24,47,47,47,91,91,91,34,34,34
2020-02-03,22,22,22,33,33,33,14,14,14,37,37,37
2020-02-02,27,27,27,38,38,38,10,10,10,37,37,37
2020-02-01,65,65,65,81,81,81,20,20,20,46,46,46
2020-01-31,54,54,54,71,71,71,20,20,20,68,68,68
2020-01-30,"-","-","-","-","-","-",4,4,4,67,67,67
2020-01-29,32,32,32,39,39,39,54,54,54,79,79,79
2020-01-28,56,56,56,70,70,70,11,11,11,56,56,56
2020-01-27,68,68,68,83,83,83,24,24,24,65,65,65
