#Data for Cornale , Lombardia from 2019/01/01 to 2020/04/03. [generated on 2020-04-03 05:44]
#Station is located at latitude 45.04008561, longitude 8.91415717
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Agenzia Regionale per la Protezione dell'Ambiente della Lombardia)  https://ita.arpalombardia.it/ITA/
date,pm25,pm25_min,pm25_max,o3,o3_min,o3_max,no2,no2_min,no2_max,co,co_min,co_max
2020-04-01,17,17,17,92,92,92,19,19,19,0.6,0.6,0.6
2020-03-31,9,9,9,77,77,77,15,15,15,0.6,0.6,0.6
2020-03-30,26,26,26,86,86,86,22,22,22,0.6,0.6,0.6
2020-03-29,39,39,39,98,98,98,11,11,11,0.7,0.7,0.7
2020-03-28,40,40,40,91,91,91,19,19,19,0.7,0.7,0.7
2020-03-27,26,26,26,67,67,67,19,19,19,0.6,0.6,0.6
2020-03-26,14,14,14,66,66,66,12,12,12,0.6,0.6,0.6
2020-03-25,16,16,16,79,79,79,12,12,12,0.6,0.6,0.6
2020-03-24,17,17,17,87,87,87,23,23,23,0.6,0.6,0.6
2020-03-23,12,12,12,77,77,77,20,20,20,0.6,0.6,0.6
2020-03-22,30,30,30,72,72,72,12,12,12,0.6,0.6,0.6
2020-03-21,23,23,23,102,102,102,17,17,17,0.6,0.6,0.6
2020-03-20,34,34,34,85,85,85,25,25,25,0.7,0.7,0.7
2020-03-19,48,48,48,111,111,111,34,34,34,0.7,0.7,0.7
2020-03-18,41,41,41,108,108,108,33,33,33,0.6,0.6,0.6
2020-03-17,24,24,24,94,94,94,26,26,26,0.5,0.5,0.5
2020-03-16,25,25,25,89,89,89,26,26,26,0.6,0.6,0.6
2020-03-15,13,13,13,83,83,83,16,16,16,0.5,0.5,0.5
2020-03-14,21,21,21,58,58,58,15,15,15,0.5,0.5,0.5
2020-03-13,9,9,9,99,99,99,15,15,15,0.4,0.4,0.4
2020-03-12,13,13,13,79,79,79,41,41,41,0.5,0.5,0.5
2020-03-11,12,12,12,81,81,81,20,20,20,0.5,0.5,0.5
2020-03-10,19,19,19,89,89,89,25,25,25,0.5,0.5,0.5
2020-03-09,16,16,16,84,84,84,43,43,43,0.7,0.7,0.7
2020-03-08,"-","-","-",91,91,91,30,30,30,0.6,0.6,0.6
2020-03-07,97,97,97,83,83,83,28,28,28,0.7,0.7,0.7
2020-03-06,68,68,68,71,71,71,46,46,46,0.6,0.6,0.6
2020-03-05,"-","-","-",65,65,65,44,44,44,0.6,0.6,0.6
2020-03-04,"-","-","-",85,85,85,35,35,35,0.6,0.6,0.6
2020-03-03,"-","-","-",70,70,70,42,42,42,0.5,0.5,0.5
2020-03-02,25,25,25,47,47,47,39,39,39,0.7,0.7,0.7
2020-03-01,41,41,41,39,39,39,29,29,29,0.6,0.6,0.6
2020-02-29,27,27,27,47,47,47,49,49,49,0.7,0.7,0.7
2020-02-28,13,13,13,90,90,90,48,48,48,0.5,0.5,0.5
2020-02-27,10,10,10,68,68,68,38,38,38,0.5,0.5,0.5
2020-02-26,19,19,19,82,82,82,28,28,28,0.5,0.5,0.5
2020-02-25,68,68,68,48,48,48,32,32,32,0.5,0.5,0.5
2020-02-24,26,26,26,80,80,80,27,27,27,0.5,0.5,0.5
2020-02-23,45,45,45,83,83,83,35,35,35,0.7,0.7,0.7
2020-02-22,55,55,55,71,71,71,40,40,40,0.6,0.6,0.6
2020-02-21,31,31,31,79,79,79,40,40,40,0.6,0.6,0.6
2020-02-20,25,25,25,64,64,64,45,45,45,0.5,0.5,0.5
