#Data for Como Centro, Lombardia from 2019/01/01 to 2020/04/03. [generated on 2020-04-03 05:44]
#Station is located at latitude 45.81504217, longitude 9.06697886
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Agenzia Regionale per la Protezione dell'Ambiente della Lombardia)  https://ita.arpalombardia.it/ITA/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,o3,o3_min,o3_max,no2,no2_min,no2_max,so2,so2_min,so2_max,co,co_min,co_max
2020-04-01,24,24,24,30,30,30,83,83,83,38,38,38,1,1,1,0.3,0.3,0.3
2020-03-31,9,9,9,12,12,12,74,74,74,19,19,19,1,1,1,0.3,0.3,0.3
2020-03-30,10,10,10,17,17,17,84,84,84,26,26,26,1,1,1,0.3,0.3,0.3
2020-03-29,15,15,15,62,62,62,110,110,110,28,28,28,1,1,1,0.4,0.4,0.4
2020-03-28,30,30,30,73,73,73,99,99,99,32,32,32,1,1,1,0.3,0.3,0.3
2020-03-27,16,16,16,26,26,26,89,89,89,28,28,28,1,1,1,0.4,0.4,0.4
2020-03-26,22,22,22,28,28,28,74,74,74,22,22,22,1,1,1,0.3,0.3,0.3
2020-03-25,19,19,19,23,23,23,80,80,80,34,34,34,1,1,1,0.3,0.3,0.3
2020-03-24,21,21,21,24,24,24,90,90,90,41,41,41,1,1,1,0.4,0.4,0.4
2020-03-23,20,20,20,29,29,29,75,75,75,30,30,30,2,2,2,0.4,0.4,0.4
2020-03-22,28,28,28,34,34,34,92,92,92,21,21,21,1,1,1,0.3,0.3,0.3
2020-03-21,16,16,16,24,24,24,117,117,117,31,31,31,1,1,1,0.3,0.3,0.3
2020-03-20,24,24,24,28,28,28,116,116,116,51,51,51,2,2,2,0.4,0.4,0.4
2020-03-19,19,19,19,27,27,27,113,113,113,52,52,52,3,3,3,0.4,0.4,0.4
2020-03-18,28,28,28,36,36,36,107,107,107,45,45,45,2,2,2,0.5,0.5,0.5
2020-03-17,31,31,31,40,40,40,84,84,84,58,58,58,2,2,2,0.4,0.4,0.4
2020-03-16,18,18,18,26,26,26,84,84,84,48,48,48,2,2,2,0.4,0.4,0.4
2020-03-15,22,22,22,26,26,26,70,70,70,28,28,28,1,1,1,0.4,0.4,0.4
2020-03-14,18,18,18,27,27,27,66,66,66,21,21,21,1,1,1,0.4,0.4,0.4
2020-03-13,20,20,20,32,32,32,85,85,85,58,58,58,1,1,1,0.6,0.6,0.6
2020-03-12,19,19,19,29,29,29,59,59,59,57,57,57,2,2,2,0.5,0.5,0.5
2020-03-11,9,9,9,13,13,13,74,74,74,65,65,65,3,3,3,0.5,0.5,0.5
2020-03-10,16,16,16,19,19,19,75,75,75,70,70,70,2,2,2,0.5,0.5,0.5
2020-03-09,25,25,25,28,28,28,65,65,65,63,63,63,2,2,2,0.6,0.6,0.6
2020-03-08,15,15,15,17,17,17,95,95,95,60,60,60,2,2,2,0.5,0.5,0.5
2020-03-07,15,15,15,19,19,19,92,92,92,62,62,62,2,2,2,0.7,0.7,0.7
