#Data for Spinadesco , Lombardia from 2019/01/01 to 2020/04/03. [generated on 2020-04-03 05:44]
#Station is located at latitude 45.15047339, longitude 9.93059842
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Agenzia Regionale per la Protezione dell'Ambiente della Lombardia)  https://ita.arpalombardia.it/ITA/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,o3,o3_min,o3_max,no2,no2_min,no2_max
2020-04-01,27,27,27,30,30,30,90,90,90,35,35,35
2020-03-31,14,14,14,21,21,21,84,84,84,34,34,34
2020-03-30,21,21,21,62,62,62,94,94,94,28,28,28
2020-03-29,25,25,25,100,100,100,112,112,112,27,27,27
2020-03-28,25,25,25,104,104,104,101,101,101,29,29,29
2020-03-27,28,28,28,45,45,45,61,61,61,29,29,29
2020-03-26,18,18,18,22,22,22,62,62,62,32,32,32
2020-03-25,16,16,16,31,31,31,82,82,82,38,38,38
2020-03-24,25,25,25,29,29,29,86,86,86,41,41,41
2020-03-23,17,17,17,34,34,34,89,89,89,24,24,24
2020-03-22,20,20,20,28,28,28,84,84,84,22,22,22
2020-03-21,30,30,30,33,33,33,109,109,109,29,29,29
2020-03-20,46,46,46,59,59,59,108,108,108,51,51,51
2020-03-19,42,42,42,52,52,52,115,115,115,47,47,47
2020-03-18,46,46,46,60,60,60,103,103,103,55,55,55
2020-03-17,33,33,33,41,41,41,98,98,98,63,63,63
2020-03-16,27,27,27,35,35,35,95,95,95,58,58,58
2020-03-15,20,20,20,22,22,22,91,91,91,26,26,26
2020-03-14,24,24,24,31,31,31,62,62,62,29,29,29
2020-03-13,24,24,24,32,32,32,88,88,88,24,24,24
2020-03-12,53,53,53,61,61,61,65,65,65,36,36,36
2020-03-11,26,26,26,33,33,33,82,82,82,45,45,45
2020-03-10,23,23,23,27,27,27,79,79,79,56,56,56
2020-03-09,31,31,31,35,35,35,71,71,71,44,44,44
2020-03-08,22,22,22,20,20,20,95,95,95,32,32,32
2020-03-07,33,33,33,37,37,37,88,88,88,31,31,31
2020-03-06,24,24,24,25,25,25,63,63,63,36,36,36
2020-03-05,21,21,21,28,28,28,58,58,58,31,31,31
2020-03-04,21,21,21,26,26,26,79,79,79,35,35,35
2020-03-03,19,19,19,21,21,21,43,43,43,34,34,34
2020-03-02,26,26,26,28,28,28,42,42,42,43,43,43
2020-03-01,22,22,22,23,23,23,53,53,53,26,26,26
2020-02-29,29,29,29,41,41,41,51,51,51,69,69,69
2020-02-28,15,15,15,22,22,22,95,95,95,69,69,69
2020-02-27,14,14,14,20,20,20,80,80,80,53,53,53
2020-02-26,23,23,23,37,37,37,81,81,81,37,37,37
2020-02-25,67,67,67,79,79,79,54,54,54,48,48,48
2020-02-24,41,41,41,53,53,53,74,74,74,35,35,35
2020-02-23,57,57,57,68,68,68,77,77,77,49,49,49
2020-02-22,50,50,50,62,62,62,82,82,82,50,50,50
2020-02-21,47,47,47,60,60,60,64,64,64,54,54,54
2020-02-20,38,38,38,47,47,47,75,75,75,59,59,59
2020-02-19,48,48,48,55,55,55,78,78,78,32,32,32
2020-02-18,36,36,36,45,45,45,57,57,57,34,34,34
2020-02-17,64,64,64,74,74,74,30,30,30,44,44,44
2020-02-16,81,81,81,93,93,93,58,58,58,46,46,46
2020-02-15,63,63,63,75,75,75,47,47,47,47,47,47
2020-02-14,41,41,41,50,50,50,65,65,65,51,51,51
2020-02-13,33,33,33,47,47,47,45,45,45,55,55,55
2020-02-12,13,13,13,20,20,20,80,80,80,58,58,58
2020-02-11,24,24,24,31,31,31,78,78,78,43,43,43
2020-02-10,71,71,71,79,79,79,37,37,37,45,45,45
2020-02-09,75,75,75,89,89,89,23,23,23,55,55,55
2020-02-08,47,47,47,60,60,60,59,59,59,55,55,55
2020-02-07,39,39,39,48,48,48,56,56,56,60,60,60
2020-02-06,27,27,27,37,37,37,69,69,69,72,72,72
2020-02-05,13,13,13,17,17,17,78,78,78,45,45,45
2020-02-04,29,29,29,43,43,43,85,85,85,22,22,22
2020-02-03,26,26,26,38,38,38,22,22,22,36,36,36
2020-02-02,35,35,35,49,49,49,14,14,14,38,38,38
2020-02-01,71,71,71,79,79,79,8,8,8,45,45,45
2020-01-31,51,51,51,60,60,60,33,33,33,59,59,59
2020-01-30,48,48,48,56,56,56,20,20,20,56,56,56
2020-01-29,37,37,37,46,46,46,61,61,61,59,59,59
2020-01-28,78,78,78,89,89,89,20,20,20,50,50,50
2020-01-27,62,62,62,74,74,74,29,29,29,63,63,63
2020-01-26,77,77,77,82,82,82,39,39,39,47,47,47
2020-01-25,80,80,80,87,87,87,5,5,5,56,56,56
