#Data for Lodi S. Alberto, Lombardia from 2019/01/01 to 2020/04/03. [generated on 2020-04-03 05:44]
#Station is located at latitude 45.30278678, longitude 9.49528589
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Agenzia Regionale per la Protezione dell'Ambiente della Lombardia)  https://ita.arpalombardia.it/ITA/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,o3,o3_min,o3_max,no2,no2_min,no2_max
2020-04-01,19,19,19,22,22,22,88,88,88,38,38,38
2020-03-31,11,11,11,13,13,13,73,73,73,25,25,25
2020-03-30,16,16,16,34,34,34,91,91,91,20,20,20
2020-03-29,30,30,30,93,93,93,99,99,99,37,37,37
2020-03-28,33,33,33,83,83,83,91,91,91,37,37,37
2020-03-27,25,25,25,37,37,37,69,69,69,44,44,44
2020-03-26,14,14,14,19,19,19,63,63,63,31,31,31
2020-03-25,14,14,14,17,17,17,81,81,81,21,21,21
2020-03-24,22,22,22,24,24,24,82,82,82,50,50,50
2020-03-23,10,10,10,14,14,14,77,77,77,24,24,24
2020-03-22,21,21,21,25,25,25,82,82,82,13,13,13
2020-03-21,29,29,29,38,38,38,104,104,104,50,50,50
2020-03-20,45,45,45,56,56,56,85,85,85,59,59,59
2020-03-19,45,45,45,52,52,52,107,107,107,60,60,60
2020-03-18,48,48,48,63,63,63,106,106,106,66,66,66
2020-03-17,36,36,36,43,43,43,95,95,95,52,52,52
2020-03-16,24,24,24,27,27,27,87,87,87,40,40,40
2020-03-15,19,19,19,17,17,17,81,81,81,32,32,32
2020-03-14,22,22,22,25,25,25,60,60,60,25,25,25
2020-03-13,17,17,17,18,18,18,94,94,94,52,52,52
2020-03-12,39,39,39,46,46,46,63,63,63,57,57,57
2020-03-11,18,18,18,26,26,26,80,80,80,65,65,65
2020-03-10,25,25,25,24,24,24,76,76,76,87,87,87
2020-03-09,27,27,27,29,29,29,65,65,65,64,64,64
2020-03-08,20,20,20,21,21,21,88,88,88,69,69,69
2020-03-07,25,25,25,27,27,27,82,82,82,45,45,45
2020-03-06,21,21,21,21,21,21,64,64,64,47,47,47
2020-03-05,19,19,19,23,23,23,61,61,61,38,38,38
2020-03-04,18,18,18,22,22,22,73,73,73,44,44,44
2020-03-03,18,18,18,21,21,21,38,38,38,45,45,45
2020-03-02,23,23,23,26,26,26,49,49,49,37,37,37
2020-03-01,24,24,24,28,28,28,58,58,58,29,29,29
2020-02-29,26,26,26,33,33,33,57,57,57,72,72,72
2020-02-28,9,9,9,13,13,13,90,90,90,97,97,97
2020-02-27,6,6,6,14,14,14,77,77,77,92,92,92
2020-02-26,23,23,23,30,30,30,82,82,82,48,48,48
2020-02-25,58,58,58,73,73,73,53,53,53,78,78,78
2020-02-24,34,34,34,42,42,42,71,71,71,30,30,30
2020-02-23,42,42,42,51,51,51,81,81,81,59,59,59
2020-02-22,44,44,44,53,53,53,77,77,77,82,82,82
2020-02-21,35,35,35,43,43,43,73,73,73,70,70,70
2020-02-20,21,21,21,27,27,27,68,68,68,86,86,86
2020-02-19,43,43,43,51,51,51,63,63,63,63,63,63
2020-02-18,41,41,41,48,48,48,67,67,67,64,64,64
2020-02-17,40,40,40,46,46,46,29,29,29,63,63,63
2020-02-16,65,65,65,72,72,72,48,48,48,76,76,76
2020-02-15,60,60,60,70,70,70,45,45,45,78,78,78
2020-02-14,37,37,37,41,41,41,57,57,57,76,76,76
2020-02-13,28,28,28,39,39,39,52,52,52,64,64,64
2020-02-12,8,8,8,12,12,12,74,74,74,85,85,85
2020-02-11,26,26,26,34,34,34,77,77,77,104,104,104
2020-02-10,59,59,59,69,69,69,20,20,20,64,64,64
2020-02-09,68,68,68,76,76,76,9,9,9,65,65,65
2020-02-08,42,42,42,52,52,52,36,36,36,104,104,104
2020-02-07,31,31,31,39,39,39,42,42,42,83,83,83
2020-02-06,16,16,16,23,23,23,65,65,65,90,90,90
2020-02-05,5,5,5,8,8,8,81,81,81,75,75,75
2020-02-04,18,18,18,32,32,32,87,87,87,35,35,35
2020-02-03,19,19,19,31,31,31,24,24,24,38,38,38
2020-02-02,24,24,24,35,35,35,18,18,18,43,43,43
2020-02-01,54,54,54,65,65,65,9,9,9,56,56,56
2020-01-31,45,45,45,61,61,61,16,16,16,70,70,70
2020-01-30,34,34,34,41,41,41,28,28,28,63,63,63
2020-01-29,26,26,26,36,36,36,56,56,56,83,83,83
2020-01-28,69,69,69,79,79,79,12,12,12,56,56,56
2020-01-27,59,59,59,70,70,70,32,32,32,87,87,87
2020-01-26,65,65,65,72,72,72,40,40,40,76,76,76
2020-01-25,71,71,71,78,78,78,5,5,5,66,66,66
2020-01-24,67,67,67,79,79,79,10,10,10,71,71,71
2020-01-23,"-","-","-","-","-","-",25,25,25,112,112,112
2020-01-22,83,83,83,51,51,51,35,35,35,85,85,85
2020-01-21,35,35,35,38,38,38,20,20,20,61,61,61
2020-01-20,16,16,16,20,20,20,57,57,57,70,70,70
2020-01-19,33,33,33,36,36,36,20,20,20,59,59,59
2020-01-18,40,40,40,41,41,41,41,41,41,58,58,58
2020-01-17,65,65,65,71,71,71,21,21,21,76,76,76
2020-01-16,81,81,81,84,84,84,30,30,30,68,68,68
2020-01-15,82,82,82,88,88,88,5,5,5,62,62,62
2020-01-14,67,67,67,68,68,68,3,3,3,53,53,53
2020-01-13,56,56,56,63,63,63,8,8,8,69,69,69
2020-01-12,56,56,56,60,60,60,29,29,29,75,75,75
2020-01-11,55,55,55,61,61,61,23,23,23,72,72,72
2020-01-10,58,58,58,64,64,64,10,10,10,65,65,65
2020-01-09,32,32,32,40,40,40,9,9,9,46,46,46
2020-01-08,20,20,20,34,34,34,10,10,10,46,46,46
2020-01-07,19,19,19,40,40,40,13,13,13,45,45,45
2020-01-06,37,37,37,44,44,44,22,22,22,48,48,48
2020-01-05,42,42,42,49,49,49,27,27,27,60,60,60
2020-01-04,44,44,44,46,46,46,28,28,28,59,59,59
2020-01-03,58,58,58,63,63,63,11,11,11,63,63,63
2020-01-02,63,63,63,72,72,72,19,19,19,73,73,73
2020-01-01,85,85,85,91,91,91,14,14,14,66,66,66
2019-12-31,55,55,55,60,60,60,24,24,24,52,52,52
2019-12-30,42,42,42,48,48,48,36,36,36,54,54,54
2019-12-29,53,53,53,60,60,60,21,21,21,46,46,46
2019-12-28,55,55,55,60,60,60,12,12,12,60,60,60
2019-12-27,45,45,45,50,50,50,13,13,13,56,56,56
2019-12-26,29,29,29,31,31,31,28,28,28,54,54,54
2019-12-25,21,21,21,23,23,23,47,47,47,59,59,59
2019-12-24,9,9,9,15,15,15,44,44,44,59,59,59
2019-12-23,3,3,3,7,7,7,52,52,52,42,42,42
2019-12-22,9,9,9,11,11,11,58,58,58,41,41,41
2019-12-21,12,12,12,14,14,14,25,25,25,43,43,43
2019-12-20,15,15,15,22,22,22,36,36,36,39,39,39
2019-12-19,25,25,25,38,38,38,2,2,2,44,44,44
2019-12-18,30,30,30,34,34,34,3,3,3,52,52,52
2019-12-17,37,37,37,42,42,42,2,2,2,45,45,45
2019-12-16,43,43,43,47,47,47,4,4,4,46,46,46
2019-12-15,36,36,36,39,39,39,5,5,5,48,48,48
2019-12-14,26,26,26,31,31,31,39,39,39,78,78,78
2019-12-13,24,24,24,23,23,23,31,31,31,59,59,59
2019-12-12,27,27,27,29,29,29,26,26,26,71,71,71
2019-12-11,22,22,22,31,31,31,38,38,38,73,73,73
2019-12-10,25,25,25,37,37,37,49,49,49,69,69,69
2019-12-09,60,60,60,71,71,71,20,20,20,53,53,53
2019-12-08,65,65,65,72,72,72,11,11,11,54,54,54
2019-12-07,55,55,55,61,61,61,14,14,14,64,64,64
2019-12-06,47,47,47,54,54,54,5,5,5,55,55,55
2019-12-05,41,41,41,51,51,51,15,15,15,71,71,71
2019-12-04,21,21,21,27,27,27,51,51,51,92,92,92
2019-12-03,14,14,14,19,19,19,"-","-","-",44,44,44
2019-12-02,14,14,14,18,18,18,32,32,32,56,56,56
2019-12-01,26,26,26,32,32,32,39,39,39,30,30,30
2019-11-30,19,19,19,24,24,24,27,27,27,41,41,41
2019-11-29,17,17,17,26,26,26,13,13,13,43,43,43
2019-11-28,21,21,21,27,27,27,14,14,14,38,38,38
2019-11-27,24,24,24,27,27,27,19,19,19,41,41,41
2019-11-26,28,28,28,32,32,32,17,17,17,53,53,53
