#Data for Pomigliano d'Arco Area ASI, Acerra, Campania from 2019/01/01 to 2020/04/03. [generated on 2020-04-03 05:44]
#Station is located at latitude 40.92087, longitude 14.38946
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Agenzia Regionale per la Protezione Ambientale in Campania  http://www.arpacampania.it/
#Attribution: European Environment Agency  http://www.eea.europa.eu/themes/air/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,no2,no2_min,no2_max,so2,so2_min,so2_max,co,co_min,co_max
2020-04-02,12.3,5.3,24.8,16.2,5.8,33.4,10.5,3.7,33,1.4,0.5,2.7,0.3,0.2,1
2020-04-01,5.6,0.1,11.5,8.8,1.6,14.9,3.6,2.3,6.7,0.7,0.2,1.4,0.2,0.2,0.3
2020-03-31,29.1,9.2,54.5,54,9.5,94.1,11.8,2.9,25,0.9,0.4,1.7,0.6,0.3,1
2020-03-30,23,6.4,46,39.6,17.7,89.1,12.8,5.9,24.7,1.4,0.5,2.1,0.5,0.3,0.9
2020-03-29,30.9,0.1,102,31.3,0.5,102.6,9.3,3.4,29.9,1.2,0.2,2.4,0.6,0.3,1.9
2020-03-28,15.3,0.1,47.7,16.1,0.9,53.3,10.3,2.7,36.5,1.9,0.5,6.1,0.5,0.2,1.5
2020-03-27,10.6,0.2,38.3,13.1,1,41.7,8.7,0.3,40.3,0.7,0.1,1.6,0.5,0.3,0.9
2020-03-26,6.9,0.1,31.1,6.7,0.3,27.2,2.9,0.8,7.3,10.5,0.1,15.3,0.5,0.4,0.6
2020-03-25,10.1,3.5,21.3,13.2,6,29.7,6,1.9,10.9,7.3,4.6,10.3,0.4,0.4,0.6
2020-03-24,10.3,1.8,21.9,17,4.2,54.2,4.7,1.2,15.4,4.2,2.6,5.9,0.4,0.4,0.5
2020-03-23,15.7,8.8,23,25.6,14.8,42.1,3.2,1.7,5.7,4.1,2.6,6,0.4,0.3,0.4
2020-03-22,36.6,3.4,85,42.3,6.7,91.1,8,2.2,19.1,6.8,5.6,7.8,0.6,0.4,1.4
2020-03-21,41.9,9.6,83.2,50.9,12.5,91.5,16.2,4.1,31.9,5.4,3.9,6.4,0.8,0.4,1.5
2020-03-20,40,13,76.5,48.3,15.7,81.6,16.8,5.4,34.5,2.4,1.3,3.6,0.8,0.5,1.4
2020-03-19,41.5,3.6,72.4,51.2,8,94.7,19.4,5.3,39.5,1.9,0.6,3.3,0.8,0.4,1.4
2020-03-18,40.6,3.9,77.9,49.2,10.5,87.8,21.2,5,46.6,0.9,0.2,1.8,0.8,0.4,1.5
2020-03-17,30.4,2.5,72.4,39.9,9.7,77.8,15.3,3.3,32.9,0.2,0.1,0.6,0.6,0.4,1.3
2020-03-16,15.4,3.1,57.3,20.8,6,65.7,10.4,1.6,29.1,0.6,0.1,2.8,0.5,0.4,1.1
2020-03-15,18.5,2,49.6,20.5,0.8,49.5,5.8,1.2,17.5,2.2,0.3,4,0.5,0.3,1
2020-03-14,35.1,16.8,57,42.6,23.6,77,13.2,4.3,22.7,3.1,2,6.3,0.7,0.4,1
2020-03-13,30.5,7.6,64,39,17.9,60.4,17.9,7.8,33.1,1.6,0.5,2.8,0.7,0.4,1.2
2020-03-12,34.9,1.8,85.4,43.2,4.8,90,18,5.7,32.1,0.3,0.1,0.9,0.8,0.4,1.6
2020-03-11,35,9.7,80.5,44.5,21,89.1,24.8,8.1,52.4,0.3,0.1,0.6,1.2,0.5,9.2
2020-03-10,18.9,0.1,84.6,26.7,0.2,91.1,15.3,2.5,51.7,1.2,0.5,3,0.6,0.3,1.7
2020-03-09,17,2.4,67.3,22.7,8,77.9,23,5.2,60.5,2.7,2,3.6,0.7,0.4,1.6
2020-03-08,10.4,0.7,25.5,14.2,4,28.8,11.9,2,29.7,"-","-","-",0.5,0.3,0.8
2020-03-07,7.8,0.1,20.2,11.1,3.7,20.7,10.6,6.4,17.9,0.2,0.1,0.9,0.5,0.4,0.6
2020-03-06,8.3,0.7,24.1,17.5,3.4,34.4,7.3,1.3,20.6,0.6,0.1,1.5,0.5,0.4,0.7
2020-03-05,11.3,0.7,22.1,14.8,5.1,25.6,17.4,5,35.1,0.3,0.1,0.6,0.5,0.4,0.7
2020-03-04,10,0.5,46.5,16.7,2.8,53,14.5,7.5,34.2,0.3,0.1,0.8,0.5,0.4,1.1
2020-03-03,8,0.4,26.8,18.6,1.1,41.6,12.5,0.8,55.3,8.4,0.2,11.8,0.4,0.3,1.1
2020-03-02,9.3,2.2,23.8,24.6,9,44.8,6.3,2.1,23.1,8.8,7.2,11.1,0.4,0.3,0.5
2020-03-01,17.7,2.4,61.1,32.6,10.3,72.6,9.7,1.9,50.5,7.3,5.1,9.1,0.5,0.3,1.4
2020-02-29,13,0.1,41.8,24.7,0.2,58.7,19,2.7,48.6,4.5,1.1,6.9,0.5,0.3,1.2
2020-02-28,8.1,0.1,23.4,16.7,5,36.2,8.4,2.3,21.5,6.1,3,8.2,0.4,0.3,0.5
2020-02-27,13.6,2,54.3,18.4,8.3,39.3,9,1.1,43.5,6.8,4.5,9.6,0.3,0.3,0.6
2020-02-26,31,0.1,114.8,57,0.2,178.9,10.4,2.4,41.4,9.8,7.7,11.3,0.5,0.3,1.3
2020-02-25,20.4,1.9,53.1,42.5,0.2,129.9,14.1,2.8,34.4,6.1,4.5,8.3,0.5,0.4,1
2020-02-24,12.4,1.2,29.3,81.8,0.2,199.9,13.1,5.6,35.8,3.1,1,4.2,0.5,0.4,1
2020-02-23,22.7,7,39.9,52.6,0.2,141.3,24.5,5.7,58.4,1,0.3,2.2,0.8,0.4,1.7
2020-02-22,19.7,0.1,103,50.8,0.2,133.8,14.2,3.5,54.1,1.5,0.2,4.1,0.5,0.3,1.8
2020-02-21,28.5,0.1,83.3,46.3,0.2,126.2,37.7,13.9,75.3,3.5,1.7,5.6,0.9,0.4,2.1
2020-02-20,22.1,3.7,42.7,39.2,11.1,75.8,26.8,6,49.5,3.7,2.1,5.3,0.7,0.3,1.2
2020-02-19,26.5,4.4,69,46,10.7,103.2,29.2,6.8,50,4.7,3.5,6.4,0.8,0.4,1.8
2020-02-18,38,5.5,80,61.3,11,112.1,34.3,9.9,62.6,2.7,1.1,3.5,1,0.4,1.7
2020-02-17,30.1,10.5,50.4,49.7,23.3,75.9,40.4,11.7,65.9,2.5,1.6,3.1,0.9,0.4,1.6
2020-02-16,36.5,21.2,46.6,53.3,48.1,57.7,41,33.1,50.3,1.7,1.3,2,1,0.8,1.2
2020-02-15,8.2,0.1,26.1,29.4,2.7,117.2,11.2,4,40.2,3.3,1.5,5.7,0.4,0.3,0.9
2020-02-14,17,2.3,79.2,39.9,0.2,122.7,20.4,6.3,52.8,6.7,4.6,8.9,0.5,0.4,1.6
2020-02-13,32.3,1.3,99.9,62.3,8.8,133.2,28.1,3.2,53.7,5.5,4.3,7.1,0.8,0.3,1.9
2020-02-12,20,0.1,54.7,54.1,0.2,94,22,5.1,54.4,6.6,5.9,7.7,0.6,0.3,2
2020-02-11,14.9,6.5,28.3,42.1,0.2,83.7,10.2,4,20.8,7.1,6,8.3,0.4,0.3,0.5
2020-02-10,26,6.5,89.9,48.4,15.6,126.8,23.4,7.4,62,4.4,1.8,6.2,0.6,0.4,1.8
2020-02-09,60,12.1,130.1,88.4,26.2,176,30.5,10.8,59.5,1.7,0.4,3.4,1.2,0.4,2.6
2020-02-08,42.4,13.3,76.3,72.6,29.1,126.9,39.1,15.7,69.7,2.2,0.7,6,1,0.5,2
2020-02-07,22.4,7,65.5,56.1,12.9,123.8,37.9,6.6,79.1,0.9,0.2,1.9,0.8,0.2,2.1
2020-02-06,10.7,2.7,19.7,23.4,7.2,44.2,8.6,0.4,31.2,1.3,0.1,3.8,0.3,0.2,0.6
2020-02-05,8.4,4.2,12.6,10.8,1.1,18.4,9.7,5.5,14.1,4.3,1.4,8,0.3,0.3,0.4
2020-02-03,13,0.1,27.1,22.5,6.8,46.7,16.8,5.1,40.2,12.8,10.8,14.2,0.4,0.3,0.8
2020-02-02,53.9,8.8,138.3,66.2,20.9,169.8,24.1,11.5,40.3,12.3,10.6,13.9,1,0.4,2.4
